,5dcff490b043890effa91b55
Pond10Fish11_TotalOutcome,100
Pond10Fish11_TimeLeft,1100.392
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,1.527
PondTime,103.13
TimeLeft,1098.761
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,18.598916621413082
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.013
Pond6Fish1_PondTime,9.725
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,120
Pond6Fish1_TimeLeft,1069.827
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.051
Pond6Fish2_PondTime,18.084
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,130
Pond6Fish2_TimeLeft,1061.468
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.965
Pond6Fish3_PondTime,27.109
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,140
Pond6Fish3_TimeLeft,1052.443
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.31
Pond6Fish4_PondTime,36.968
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,150
Pond6Fish4_TimeLeft,1042.584
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.286
Pond6Fish5_PondTime,47.896
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,160
Pond6Fish5_TimeLeft,1031.656
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.948
Pond6Fish6_PondTime,60.26
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,170
Pond6Fish6_TimeLeft,1019.292
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.181
Pond6Fish7_PondTime,74.621
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,180
Pond6Fish7_TimeLeft,1004.931
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.298
Pond6Fish8_PondTime,91.988
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,190
Pond6Fish8_TimeLeft,987.564
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.152
PondTime,92.641
TimeLeft,986.41
PondOutcome,90
TotalOutcome,190
PondStart,PondStart
PondIntroTime,17.670163023285568
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.205
Pond5Fish1_PondTime,9.274
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,200
Pond5Fish1_TimeLeft,958.835
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.318
Pond5Fish2_PondTime,17.081
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,210
Pond5Fish2_TimeLeft,951.028
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.039
Pond5Fish3_PondTime,25.441
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,220
Pond5Fish3_TimeLeft,942.668
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.287
Pond5Fish4_PondTime,34.465
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,230
Pond5Fish4_TimeLeft,933.644
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.351
Pond5Fish5_PondTime,44.325
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,240
Pond5Fish5_TimeLeft,923.784
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.287
Pond5Fish6_PondTime,55.253
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,250
Pond5Fish6_TimeLeft,912.856
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.625
Pond5Fish7_PondTime,67.613
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,260
Pond5Fish7_TimeLeft,900.496
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.412
Pond5Fish8_PondTime,81.979
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,270
Pond5Fish8_TimeLeft,886.13
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,1.215
PondTime,82.811
TimeLeft,884.797
PondOutcome,80
TotalOutcome,270
PondStart,PondStart
PondIntroTime,10.320196570828557
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.275
Pond11Fish1_PondTime,8.025
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,280
Pond11Fish1_TimeLeft,865.842
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.058
Pond11Fish2_PondTime,14.38
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,290
Pond11Fish2_TimeLeft,859.487
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.827
Pond11Fish3_PondTime,21.02
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,300
Pond11Fish3_TimeLeft,852.847
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.934
Pond11Fish4_PondTime,27.994
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,310
Pond11Fish4_TimeLeft,845.873
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.048
Pond11Fish5_PondTime,35.352
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,320
Pond11Fish5_TimeLeft,838.515
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.968
Pond11Fish6_PondTime,43.176
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,340
Pond11Fish6_TimeLeft,830.691
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.478
Pond11Fish7_PondTime,51.532
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,350
Pond11Fish7_TimeLeft,822.335
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.968
Pond11Fish8_PondTime,60.56
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,360
Pond11Fish8_TimeLeft,813.307
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.421
Pond11Fish9_PondTime,70.419
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,370
Pond11Fish9_TimeLeft,803.448
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.786
Pond11Fish10_PondTime,81.43
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,380
Pond11Fish10_TimeLeft,792.437
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.668
Pond11Fish11_PondTime,93.79
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,390
Pond11Fish11_TimeLeft,780.077
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,1.366
PondTime,95.025
TimeLeft,778.341
PondOutcome,120
TotalOutcome,390
PondStart,PondStart
PondIntroTime,14.623090722598135
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.022
Pond4Fish1_PondTime,9.725
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,400
Pond4Fish1_TimeLeft,753.367
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.964
Pond4Fish2_PondTime,18.085
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,410
Pond4Fish2_TimeLeft,745.007
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.21
Pond4Fish3_PondTime,27.11
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,430
Pond4Fish3_TimeLeft,735.982
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.139
Pond4Fish4_PondTime,36.97
Pond4Fish4_PondOutcome,60
Pond4Fish4_TotalOutcome,450
Pond4Fish4_TimeLeft,726.122
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.162
Pond4Fish5_PondTime,47.898
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,460
Pond4Fish5_TimeLeft,715.194
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.117
Pond4Fish6_PondTime,60.258
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,470
Pond4Fish6_TimeLeft,702.834
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.23
Pond4Fish7_PondTime,74.622
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,480
Pond4Fish7_TimeLeft,688.47
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,0.606
PondTime,74.662
TimeLeft,687.928
PondOutcome,90
TotalOutcome,480
PondStart,PondStart
PondIntroTime,19.79818369494751
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.949
Pond1Fish1_PondTime,8.559
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,490
Pond1Fish1_TimeLeft,658.956
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.936
Pond1Fish2_PondTime,15.532
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,500
Pond1Fish2_TimeLeft,651.983
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.323
Pond1Fish3_PondTime,22.889
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,510
Pond1Fish3_TimeLeft,644.626
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.123
Pond1Fish4_PondTime,30.714
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,520
Pond1Fish4_TimeLeft,636.801
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.012
Pond1Fish5_PondTime,39.072
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,530
Pond1Fish5_TimeLeft,628.443
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.247
Pond1Fish6_PondTime,48.097
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,540
Pond1Fish6_TimeLeft,619.418
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.019
Pond1Fish7_PondTime,57.957
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,550
Pond1Fish7_TimeLeft,609.558
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.484
Pond1Fish8_PondTime,68.884
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,560
Pond1Fish8_TimeLeft,598.631
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.258
Pond1Fish9_PondTime,81.245
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,570
Pond1Fish9_TimeLeft,586.27
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,1.061
PondTime,81.774
TimeLeft,585.239
PondOutcome,90
TotalOutcome,570
PondStart,PondStart
PondIntroTime,12.728923605754972
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.014
Pond2Fish1_PondTime,7.807
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,580
Pond2Fish1_TimeLeft,564.097
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.388
Pond2Fish2_PondTime,13.914
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,590
Pond2Fish2_TimeLeft,557.99
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.223
Pond2Fish3_PondTime,20.286
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,600
Pond2Fish3_TimeLeft,551.618
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.019
Pond2Fish4_PondTime,26.926
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,610
Pond2Fish4_TimeLeft,544.978
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.883
Pond2Fish5_PondTime,33.899
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,630
Pond2Fish5_TimeLeft,538.005
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.168
Pond2Fish6_PondTime,41.256
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,640
Pond2Fish6_TimeLeft,530.648
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.16
Pond2Fish7_PondTime,49.082
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,650
Pond2Fish7_TimeLeft,522.822
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.09
Pond2Fish8_PondTime,57.439
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,660
Pond2Fish8_TimeLeft,514.465
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.125
Pond2Fish9_PondTime,66.464
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,670
Pond2Fish9_TimeLeft,505.44
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.033
Pond2Fish10_PondTime,76.324
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,680
Pond2Fish10_TimeLeft,495.58
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.378
Pond2Fish11_PondTime,87.251
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,690
Pond2Fish11_TimeLeft,484.653
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.153
Pond2Fish12_PondTime,99.613
Pond2Fish12_PondOutcome,130
Pond2Fish12_TotalOutcome,700
Pond2Fish12_TimeLeft,472.29
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.063
Pond2Fish13_PondTime,113.99
Pond2Fish13_PondOutcome,140
Pond2Fish13_TotalOutcome,710
Pond2Fish13_TimeLeft,457.914
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.799
PondTime,114.043
TimeLeft,457.359
PondOutcome,140
TotalOutcome,710
PondStart,PondStart
PondIntroTime,19.493384405504912
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.183
Pond9Fish1_PondTime,9.726
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,720
Pond9Fish1_TimeLeft,427.529
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.537
Pond9Fish2_PondTime,18.083
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,730
Pond9Fish2_TimeLeft,419.172
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.056
Pond9Fish3_PondTime,27.109
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,740
Pond9Fish3_TimeLeft,410.146
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.044
Pond9Fish4_PondTime,36.969
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,750
Pond9Fish4_TimeLeft,400.286
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.157
Pond9Fish5_PondTime,47.895
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,760
Pond9Fish5_TimeLeft,389.36
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.003
Pond9Fish6_PondTime,60.259
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,780
Pond9Fish6_TimeLeft,376.996
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.134
Pond9Fish7_PondTime,74.623
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,790
Pond9Fish7_TimeLeft,362.631
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.383
Pond9Fish8_PondTime,91.99
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,800
Pond9Fish8_TimeLeft,345.265
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.285
Pond9Fish9_PondTime,114.346
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,810
Pond9Fish9_TimeLeft,322.909
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.544
Pond9Fish10_PondTime,146.709
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,820
Pond9Fish10_TimeLeft,290.546
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.904
PondTime,147.363
TimeLeft,289.391
PondOutcome,110
TotalOutcome,820
PondStart,PondStart
PondIntroTime,16.803274620324373
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.399
Pond3Fish1_PondTime,8.892
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,830
Pond3Fish1_TimeLeft,263.068
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.235
Pond3Fish2_PondTime,16.25
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,840
Pond3Fish2_TimeLeft,255.71
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.278
Pond3Fish3_PondTime,24.073
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,850
Pond3Fish3_TimeLeft,247.887
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.252
Pond3Fish4_PondTime,32.43
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,860
Pond3Fish4_TimeLeft,239.53
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.13
Pond3Fish5_PondTime,41.457
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,870
Pond3Fish5_TimeLeft,230.503
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.554
Pond3Fish6_PondTime,51.316
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,880
