,5d96dc63334c5c00175db42c
Pond5Fish5_CatchTime,0.774
Pond5Fish5_PondTime,37.085
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,190
Pond5Fish5_TimeLeft,930.837
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.272
Pond5Fish6_PondTime,45.45
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,200
Pond5Fish6_TimeLeft,922.472
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.111
Pond5Fish7_PondTime,54.482
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,210
Pond5Fish7_TimeLeft,913.44
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.149
Pond5Fish8_PondTime,64.349
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,220
Pond5Fish8_TimeLeft,903.573
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.33
Pond5Fish9_PondTime,75.282
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,240
Pond5Fish9_TimeLeft,892.64
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.185
Pond5Fish10_PondTime,87.649
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,250
Pond5Fish10_TimeLeft,880.273
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.697
Pond5Fish11_PondTime,102.019
Pond5Fish11_PondOutcome,130
Pond5Fish11_TotalOutcome,260
Pond5Fish11_TimeLeft,865.903
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.341
Pond5Fish12_PondTime,119.382
Pond5Fish12_PondOutcome,140
Pond5Fish12_TotalOutcome,270
Pond5Fish12_TimeLeft,848.54
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,1.956
PondTime,120.886
TimeLeft,846.534
PondOutcome,140
TotalOutcome,270
PondStart,PondStart
PondIntroTime,16.299471971578896
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.056
Pond8Fish1_PondTime,9.735
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,280
Pond8Fish1_TimeLeft,819.889
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.015
Pond8Fish2_PondTime,18.102
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,290
Pond8Fish2_TimeLeft,811.522
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.104
Pond8Fish3_PondTime,27.134
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,300
Pond8Fish3_TimeLeft,802.49
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.929
Pond8Fish4_PondTime,37
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,310
Pond8Fish4_TimeLeft,792.624
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.172
Pond8Fish5_PondTime,47.934
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,320
Pond8Fish5_TimeLeft,781.69
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.85
Pond8Fish6_PondTime,60.3
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,330
Pond8Fish6_TimeLeft,769.324
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.915
Pond8Fish7_PondTime,74.666
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,350
Pond8Fish7_TimeLeft,754.957
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.035
Pond8Fish8_PondTime,92.038
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,360
Pond8Fish8_TimeLeft,737.586
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.403
PondTime,92.684
TimeLeft,736.438
PondOutcome,90
TotalOutcome,360
PondStart,PondStart
PondIntroTime,11.728928165975958
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.468
Pond12Fish1_PondTime,9.266
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,370
Pond12Fish1_TimeLeft,714.826
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.421
Pond12Fish2_PondTime,17.083
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,380
Pond12Fish2_TimeLeft,707.009
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.933
Pond12Fish3_PondTime,25.45
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,390
Pond12Fish3_TimeLeft,698.642
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.075
Pond12Fish4_PondTime,34.483
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,410
Pond12Fish4_TimeLeft,689.609
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.133
Pond12Fish5_PondTime,44.349
Pond12Fish5_PondOutcome,70
Pond12Fish5_TotalOutcome,430
Pond12Fish5_TimeLeft,679.743
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.147
Pond12Fish6_PondTime,55.284
Pond12Fish6_PondOutcome,80
Pond12Fish6_TotalOutcome,440
Pond12Fish6_TimeLeft,668.808
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,0.959
Pond12Fish7_PondTime,67.652
Pond12Fish7_PondOutcome,90
Pond12Fish7_TotalOutcome,450
Pond12Fish7_TimeLeft,656.44
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.243
Pond12Fish8_PondTime,82.017
Pond12Fish8_PondOutcome,100
Pond12Fish8_TotalOutcome,460
Pond12Fish8_TimeLeft,642.075
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.048
Pond12Fish9_PondTime,99.384
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,470
Pond12Fish9_TimeLeft,624.708
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,0.927
Pond12Fish10_PondTime,121.751
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,480
Pond12Fish10_TimeLeft,602.341
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.968
PondTime,121.849
TimeLeft,601.741
PondOutcome,120
TotalOutcome,480
PondStart,PondStart
PondIntroTime,13.48166471812874
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.058
Pond11Fish1_PondTime,7.8
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,490
Pond11Fish1_TimeLeft,579.843
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.041
Pond11Fish2_PondTime,13.918
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,500
Pond11Fish2_TimeLeft,573.725
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.03
Pond11Fish3_PondTime,20.284
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,510
Pond11Fish3_TimeLeft,567.359
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.449
Pond11Fish4_PondTime,26.934
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,530
Pond11Fish4_TimeLeft,560.709
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.038
Pond11Fish5_PondTime,33.916
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,540
Pond11Fish5_TimeLeft,553.727
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.194
Pond11Fish6_PondTime,41.284
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,550
Pond11Fish6_TimeLeft,546.359
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.835
Pond11Fish7_PondTime,49.101
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,560
Pond11Fish7_TimeLeft,538.542
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.279
Pond11Fish8_PondTime,57.467
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,570
Pond11Fish8_TimeLeft,530.176
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.125
Pond11Fish9_PondTime,66.5
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,580
Pond11Fish9_TimeLeft,521.143
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.951
Pond11Fish10_PondTime,76.368
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,590
Pond11Fish10_TimeLeft,511.275
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.928
Pond11Fish11_PondTime,87.301
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,600
Pond11Fish11_TimeLeft,500.342
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.976
Pond11Fish12_PondTime,99.667
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,610
Pond11Fish12_TimeLeft,487.976
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,0.768
Pond11Fish13_PondTime,114.034
Pond11Fish13_PondOutcome,140
Pond11Fish13_TotalOutcome,620
Pond11Fish13_TimeLeft,473.609
Type,RT
FishN,15
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,0.812
Pond11Fish14_PondTime,131.398
Pond11Fish14_PondOutcome,150
Pond11Fish14_TotalOutcome,630
Pond11Fish14_TimeLeft,456.245
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,0.999
PondTime,131.413
TimeLeft,455.727
PondOutcome,150
TotalOutcome,630
PondStart,PondStart
PondIntroTime,18.470396536868066
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.964
Pond10Fish1_PondTime,8.884
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,640
Pond10Fish1_TimeLeft,427.744
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.756
Pond10Fish2_PondTime,16.252
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,650
Pond10Fish2_TimeLeft,420.376
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.853
Pond10Fish3_PondTime,24.068
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,670
Pond10Fish3_TimeLeft,412.56
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.463
Pond10Fish4_PondTime,32.433
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,680
Pond10Fish4_TimeLeft,404.195
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.341
Pond10Fish5_PondTime,41.467
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,690
Pond10Fish5_TimeLeft,395.161
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.914
Pond10Fish6_PondTime,51.334
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,700
Pond10Fish6_TimeLeft,385.294
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.968
Pond10Fish7_PondTime,62.267
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,710
Pond10Fish7_TimeLeft,374.361
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.878
Pond10Fish8_PondTime,74.634
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,720
Pond10Fish8_TimeLeft,361.994
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.998
Pond10Fish9_PondTime,89
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,730
Pond10Fish9_TimeLeft,347.628
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,0.982
Pond10Fish10_PondTime,106.367
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,740
Pond10Fish10_TimeLeft,330.261
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.994
PondTime,106.543
TimeLeft,329.583
PondOutcome,110
TotalOutcome,740
PondStart,PondStart
PondIntroTime,19.63190124835819
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.076
Pond4Fish1_PondTime,8.017
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,750
Pond4Fish1_TimeLeft,301.328
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.965
Pond4Fish2_PondTime,14.385
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,770
Pond4Fish2_TimeLeft,294.96
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.962
Pond4Fish3_PondTime,21.033
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,780
Pond4Fish3_TimeLeft,288.312
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.89
Pond4Fish4_PondTime,28.016
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,790
Pond4Fish4_TimeLeft,281.329
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.022
Pond4Fish5_PondTime,35.386
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,800
Pond4Fish5_TimeLeft,273.959
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.226
Pond4Fish6_PondTime,43.201
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,810
Pond4Fish6_TimeLeft,266.144
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.006
Pond4Fish7_PondTime,51.566
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,820
Pond4Fish7_TimeLeft,257.779
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.835
Pond4Fish8_PondTime,60.6
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,830
Pond4Fish8_TimeLeft,248.745
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.822
Pond4Fish9_PondTime,70.467
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,840
Pond4Fish9_TimeLeft,238.878
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.573
Pond4Fish10_PondTime,81.399
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,860
Pond4Fish10_TimeLeft,227.946
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.083
Pond4Fish11_PondTime,93.766
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,870
Pond4Fish11_TimeLeft,215.579
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,golden
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.854
Pond4Fish12_PondTime,108.133
Pond4Fish12_PondOutcome,150
Pond4Fish12_TotalOutcome,890
Pond4Fish12_TimeLeft,201.212
Type,RT
FishN,17
Fish,13
Pond4Fish13_FishType,golden
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,0.907
Pond4Fish13_PondTime,125.5
Pond4Fish13_PondOutcome,170
Pond4Fish13_TotalOutcome,910
Pond4Fish13_TimeLeft,183.845
Type,RT
FishN,17
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,1.185
Pond4Fish14_PondTime,147.865
Pond4Fish14_PondOutcome,180
Pond4Fish14_TotalOutcome,920
Pond4Fish14_TimeLeft,161.48
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,0.894
PondTime,148.159
TimeLeft,160.684
PondOutcome,180
TotalOutcome,920
PondStart,PondStart
PondIntroTime,14.28761983057484
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.78
Pond2Fish1_PondTime,8.886
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,930
Pond2Fish1_TimeLeft,136.894
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.279
Pond2Fish2_PondTime,16.251
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,940
Pond2Fish2_TimeLeft,129.529
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.007
Pond2Fish3_PondTime,24.067
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,950
Pond2Fish3_TimeLeft,121.713
Type,RT
