,5ba85a9d032d360001b83177
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,120
Pond1Fish12_TimeLeft,1109.2
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.834
PondTime,93.243
TimeLeft,1108.641
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,19.13246404612437
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.964
Pond5Fish1_PondTime,8.924
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,130
Pond5Fish1_TimeLeft,1079.9
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.047
Pond5Fish2_PondTime,16.339
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,140
Pond5Fish2_TimeLeft,1072.485
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.975
Pond5Fish3_PondTime,24.182
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,150
Pond5Fish3_TimeLeft,1064.641
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.668
Pond5Fish4_PondTime,32.556
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,160
Pond5Fish4_TimeLeft,1056.268
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.991
Pond5Fish5_PondTime,41.608
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,170
Pond5Fish5_TimeLeft,1047.216
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.897
Pond5Fish6_PondTime,51.487
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,180
Pond5Fish6_TimeLeft,1037.337
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.944
Pond5Fish7_PondTime,62.43
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,190
Pond5Fish7_TimeLeft,1026.394
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.153
Pond5Fish8_PondTime,74.83
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,200
Pond5Fish8_TimeLeft,1013.993
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.156
Pond5Fish9_PondTime,89.26
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,210
Pond5Fish9_TimeLeft,999.564
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.469
Pond5Fish10_PondTime,106.689
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,220
Pond5Fish10_TimeLeft,982.135
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,golden
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.164
Pond5Fish11_PondTime,129.108
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,240
Pond5Fish11_TimeLeft,959.716
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.044
Pond5Fish12_PondTime,161.504
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,250
Pond5Fish12_TimeLeft,927.32
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,0.879
PondTime,161.609
TimeLeft,926.709
PondOutcome,130
TotalOutcome,250
PondStart,PondStart
PondIntroTime,15.749849316198379
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.945
Pond8Fish1_PondTime,8.919
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,260
Pond8Fish1_TimeLeft,901.387
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.272
Pond8Fish2_PondTime,16.28
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,270
Pond8Fish2_TimeLeft,894.026
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.097
Pond8Fish3_PondTime,24.132
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,280
Pond8Fish3_TimeLeft,886.174
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.121
Pond8Fish4_PondTime,32.507
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,290
Pond8Fish4_TimeLeft,877.799
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.322
Pond8Fish5_PondTime,41.533
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,300
Pond8Fish5_TimeLeft,868.773
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.994
Pond8Fish6_PondTime,51.397
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,310
Pond8Fish6_TimeLeft,858.909
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.855
Pond8Fish7_PondTime,62.361
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,320
Pond8Fish7_TimeLeft,847.945
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.097
Pond8Fish8_PondTime,74.75
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,330
Pond8Fish8_TimeLeft,835.556
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.024
Pond8Fish9_PondTime,89.159
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,340
Pond8Fish9_TimeLeft,821.146
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.139
Pond8Fish10_PondTime,111.383
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,350
Pond8Fish10_TimeLeft,798.922
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.775
Pond8Fish11_PondTime,133.877
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,360
Pond8Fish11_TimeLeft,776.429
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,20
Pond8Fish12_CatchTime,1.248
Pond8Fish12_PondTime,166.26
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,370
Pond8Fish12_TimeLeft,744.046
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,61.024
PondTime,226.733
TimeLeft,683.064
PondOutcome,120
TotalOutcome,370
PondStart,PondStart
PondIntroTime,14.563933527097106
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.131
Pond10Fish1_PondTime,7.631
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,380
Pond10Fish1_TimeLeft,660.226
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.099
Pond10Fish2_PondTime,13.576
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,390
Pond10Fish2_TimeLeft,654.28
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.901
Pond10Fish3_PondTime,19.723
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,400
Pond10Fish3_TimeLeft,648.134
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.86
Pond10Fish4_PondTime,26.112
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,410
Pond10Fish4_TimeLeft,641.745
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.907
Pond10Fish5_PondTime,32.777
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,420
Pond10Fish5_TimeLeft,635.08
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.801
Pond10Fish6_PondTime,39.755
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,430
Pond10Fish6_TimeLeft,628.102
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.57
Pond10Fish7_PondTime,47.152
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,440
Pond10Fish7_TimeLeft,620.704
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.229
Pond10Fish8_PondTime,54.98
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,450
Pond10Fish8_TimeLeft,612.877
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.328
Pond10Fish9_PondTime,63.377
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,460
Pond10Fish9_TimeLeft,604.479
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.042
Pond10Fish10_PondTime,72.431
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,470
Pond10Fish10_TimeLeft,595.426
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.285
Pond10Fish11_PondTime,82.318
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,480
Pond10Fish11_TimeLeft,585.538
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.884
Pond10Fish12_PondTime,93.262
Pond10Fish12_PondOutcome,120
Pond10Fish12_TotalOutcome,490
Pond10Fish12_TimeLeft,574.594
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,0.916
Pond10Fish13_PondTime,105.622
Pond10Fish13_PondOutcome,130
Pond10Fish13_TotalOutcome,500
Pond10Fish13_TimeLeft,562.235
Type,RT
FishN,16
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.235
Pond10Fish14_PondTime,120.015
Pond10Fish14_PondOutcome,140
Pond10Fish14_TotalOutcome,510
Pond10Fish14_TimeLeft,547.842
Type,RT
FishN,16
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.678
Pond10Fish15_PondTime,137.429
Pond10Fish15_PondOutcome,150
Pond10Fish15_TotalOutcome,520
Pond10Fish15_TimeLeft,530.428
Type,RT
FishN,16
Fish,16
Pond10Fish16_FishType,purple
Pond10Fish16_FishLatency,15
Pond10Fish16_CatchTime,1.061
Pond10Fish16_PondTime,159.827
Pond10Fish16_PondOutcome,160
Pond10Fish16_TotalOutcome,530
Pond10Fish16_TimeLeft,508.03
Type,RT
FishN,16
Fish,17
Pond10Fish17_FishType,purple
Pond10Fish17_FishLatency,20
Pond10Fish17_CatchTime,1.285
Pond10Fish17_PondTime,192.228
Pond10Fish17_PondOutcome,170
Pond10Fish17_TotalOutcome,540
Pond10Fish17_TimeLeft,475.629
PondEnd_LastFish,17
FishN,19
Type,RT
GiveUpTime,41.244
PondTime,232.968
TimeLeft,434.381
PondOutcome,170
TotalOutcome,540
PondStart,PondStart
PondIntroTime,15.98597577540204
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.903
Pond12Fish1_PondTime,9.753
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,550
Pond12Fish1_TimeLeft,408.01
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.102
Pond12Fish2_PondTime,18.131
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,570
Pond12Fish2_TimeLeft,399.632
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.236
Pond12Fish3_PondTime,27.191
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,580
Pond12Fish3_TimeLeft,390.572
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.957
Pond12Fish4_PondTime,37.07
Pond12Fish4_PondOutcome,60
Pond12Fish4_TotalOutcome,600
Pond12Fish4_TimeLeft,380.693
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.06
Pond12Fish5_PondTime,48.008
Pond12Fish5_PondOutcome,70
Pond12Fish5_TotalOutcome,610
Pond12Fish5_TimeLeft,369.754
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.558
Pond12Fish6_PondTime,60.373
Pond12Fish6_PondOutcome,90
Pond12Fish6_TotalOutcome,630
Pond12Fish6_TimeLeft,357.389
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.225
Pond12Fish7_PondTime,74.753
Pond12Fish7_PondOutcome,100
Pond12Fish7_TotalOutcome,640
Pond12Fish7_TimeLeft,343.01
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.164
Pond12Fish8_PondTime,92.133
Pond12Fish8_PondOutcome,110
Pond12Fish8_TotalOutcome,650
Pond12Fish8_TimeLeft,325.63
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.608
PondTime,114.339
TimeLeft,302.919
PondOutcome,110
TotalOutcome,650
PondStart,PondStart
PondIntroTime,10.370067458134145
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.058
Pond11Fish1_PondTime,8.564
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,660
Pond11Fish1_TimeLeft,283.324
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.255
Pond11Fish2_PondTime,15.557
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,670
Pond11Fish2_TimeLeft,276.331
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.078
Pond11Fish3_PondTime,22.969
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,680
Pond11Fish3_TimeLeft,268.919
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.204
Pond11Fish4_PondTime,30.802
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,690
Pond11Fish4_TimeLeft,261.086
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.159
Pond11Fish5_PondTime,39.214
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,710
Pond11Fish5_TimeLeft,252.674
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.923
Pond11Fish6_PondTime,48.259
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,720
Pond11Fish6_TimeLeft,243.629
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.121
Pond11Fish7_PondTime,58.121
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,730
Pond11Fish7_TimeLeft,233.767
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.379
Pond11Fish8_PondTime,69.115
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,750
Pond11Fish8_TimeLeft,222.772
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.049
Pond11Fish9_PondTime,81.513
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,760
Pond11Fish9_TimeLeft,210.375
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.217
Pond11Fish10_PondTime,95.901
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,770
Pond11Fish10_TimeLeft,195.987
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.079
Pond11Fish11_PondTime,113.278
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,780
Pond11Fish11_TimeLeft,178.61
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,15
Pond11Fish12_CatchTime,1.275
Pond11Fish12_PondTime,135.678
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,790
Pond11Fish12_TimeLeft,156.21
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,20
Pond11Fish13_CatchTime,1.058
Pond11Fish13_PondTime,168.071
Pond11Fish13_PondOutcome,150
Pond11Fish13_TotalOutcome,800
Pond11Fish13_TimeLeft,123.816
PondEnd_LastFish,13
FishN,15
Type,RT
GiveUpTime,36.429
PondTime,203.74
TimeLeft,87.64
PondOutcome,150
TotalOutcome,800
PondStart,PondStart
PondIntroTime,11.009803600609303
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.785
Pond7Fish1_PondTime,8.377
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,810
Pond7Fish1_TimeLeft,67.583
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.014
Pond7Fish2_PondTime,15.025
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,820
Pond7Fish2_TimeLeft,60.934
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.797
Pond7Fish3_PondTime,22.024
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,830
Pond7Fish3_TimeLeft,53.936
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.086
Pond7Fish4_PondTime,29.406
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,840
Pond7Fish4_TimeLeft,46.554
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.961
Pond7Fish5_PondTime,37.244
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,850
Pond7Fish5_TimeLeft,38.716
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.026
Pond7Fish6_PondTime,45.644
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,860
Pond7Fish6_TimeLeft,30.315
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,golden
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.993
Pond7Fish7_PondTime,54.692
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,880
Pond7Fish7_TimeLeft,21.268
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.908
Pond7Fish8_PondTime,64.569
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,890
Pond7Fish8_TimeLeft,11.391
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.001
Pond7Fish9_PondTime,75.531
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,900
Pond7Fish9_TimeLeft,0.429
