,587905adc34844000174ee45
Pond3Fish6_TotalOutcome,70
Pond3Fish6_TimeLeft,1141.889
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,13.198
PondTime,72.8
TimeLeft,1129.056
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,19.605315246153623
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.962
Pond5Fish1_PondTime,8.307
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,80
Pond5Fish1_TimeLeft,1100.493
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.07
Pond5Fish2_PondTime,14.994
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,90
Pond5Fish2_TimeLeft,1093.806
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.862
Pond5Fish3_PondTime,21.985
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,100
Pond5Fish3_TimeLeft,1086.814
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.598
Pond5Fish4_PondTime,29.377
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,110
Pond5Fish4_TimeLeft,1079.423
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.006
Pond5Fish5_PondTime,37.211
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,120
Pond5Fish5_TimeLeft,1071.589
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.028
Pond5Fish6_PondTime,45.611
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,130
Pond5Fish6_TimeLeft,1063.189
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.241
Pond5Fish7_PondTime,54.679
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,140
Pond5Fish7_TimeLeft,1054.121
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.686
Pond5Fish8_PondTime,64.578
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,160
Pond5Fish8_TimeLeft,1044.222
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.991
Pond5Fish9_PondTime,75.546
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,170
Pond5Fish9_TimeLeft,1033.254
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.956
Pond5Fish10_PondTime,87.931
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,180
Pond5Fish10_TimeLeft,1020.869
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.062
Pond5Fish11_PondTime,102.313
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,190
Pond5Fish11_TimeLeft,1006.487
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.757
Pond5Fish12_PondTime,119.78
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,200
Pond5Fish12_TimeLeft,989.02
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,17.328
PondTime,137.006
TimeLeft,971.287
PondOutcome,130
TotalOutcome,200
PondStart,PondStart
PondIntroTime,16.205811025574803
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.17
Pond1Fish1_PondTime,8.038
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,210
Pond1Fish1_TimeLeft,946.401
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,14.503
Pond1Fish2_PondOutcome,10
Pond1Fish2_TotalOutcome,210
Pond1Fish2_TimeLeft,939.937
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.939
Pond1Fish3_PondTime,21.19
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,220
Pond1Fish3_TimeLeft,933.25
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.993
Pond1Fish4_PondTime,28.207
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,230
Pond1Fish4_TimeLeft,926.233
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.856
Pond1Fish5_PondTime,35.61
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,240
Pond1Fish5_TimeLeft,918.83
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.063
Pond1Fish6_PondTime,43.457
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,250
Pond1Fish6_TimeLeft,910.983
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.142
Pond1Fish7_PondTime,51.849
Pond1Fish7_PondOutcome,60
Pond1Fish7_TotalOutcome,260
Pond1Fish7_TimeLeft,902.591
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.02
Pond1Fish8_PondTime,60.925
Pond1Fish8_PondOutcome,70
Pond1Fish8_TotalOutcome,270
Pond1Fish8_TimeLeft,893.515
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.341
Pond1Fish9_PondTime,70.81
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,280
Pond1Fish9_TimeLeft,883.63
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.112
Pond1Fish10_PondTime,81.775
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,290
Pond1Fish10_TimeLeft,872.665
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,1.12
Pond1Fish11_PondTime,94.176
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,300
Pond1Fish11_TimeLeft,860.264
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,1.103
Pond1Fish12_PondTime,108.562
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,310
Pond1Fish12_TimeLeft,845.878
Type,RT
FishN,13
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,1.751
Pond1Fish13_PondTime,126.008
Pond1Fish13_PondOutcome,120
Pond1Fish13_TotalOutcome,320
Pond1Fish13_TimeLeft,828.431
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,18.388
PondTime,144.295
TimeLeft,809.638
PondOutcome,120
TotalOutcome,320
PondStart,PondStart
PondIntroTime,12.414745413698256
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.143
Pond6Fish1_PondTime,9.299
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,330
Pond6Fish1_TimeLeft,787.28
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.316
Pond6Fish2_PondTime,17.135
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,340
Pond6Fish2_TimeLeft,779.444
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.939
Pond6Fish3_PondTime,25.535
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,350
Pond6Fish3_TimeLeft,771.045
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.246
Pond6Fish4_PondTime,34.602
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,360
Pond6Fish4_TimeLeft,761.977
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.97
Pond6Fish5_PondTime,44.488
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,370
Pond6Fish5_TimeLeft,752.092
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.228
Pond6Fish6_PondTime,55.453
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,380
Pond6Fish6_TimeLeft,741.126
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.256
Pond6Fish7_PondTime,67.837
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,390
Pond6Fish7_TimeLeft,728.743
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.061
Pond6Fish8_PondTime,82.222
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,400
Pond6Fish8_TimeLeft,714.357
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,1.055
Pond6Fish9_PondTime,99.606
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,410
Pond6Fish9_TimeLeft,696.974
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,-1
Pond6Fish10_PondTime,122.054
Pond6Fish10_PondOutcome,90
Pond6Fish10_TotalOutcome,410
Pond6Fish10_TimeLeft,674.526
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,45.349
PondTime,144.218
TimeLeft,651.855
PondOutcome,90
TotalOutcome,410
PondStart,PondStart
PondIntroTime,18.87489265529439
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.875
Pond4Fish1_PondTime,9.756
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,420
Pond4Fish1_TimeLeft,622.586
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.379
Pond4Fish2_PondTime,18.137
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,430
Pond4Fish2_TimeLeft,614.205
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.129
Pond4Fish3_PondTime,27.187
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,440
Pond4Fish3_TimeLeft,605.154
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.958
Pond4Fish4_PondTime,37.071
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,450
Pond4Fish4_TimeLeft,595.271
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.985
Pond4Fish5_PondTime,48.04
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,460
Pond4Fish5_TimeLeft,584.302
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.237
Pond4Fish6_PondTime,60.425
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,470
Pond4Fish6_TimeLeft,571.917
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.19
Pond4Fish7_PondTime,74.822
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,480
Pond4Fish7_TimeLeft,557.52
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,0.997
Pond4Fish8_PondTime,92.206
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,490
Pond4Fish8_TimeLeft,540.136
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.043
Pond4Fish9_PondTime,114.593
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,500
Pond4Fish9_TimeLeft,517.749
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,8.566
PondTime,122.404
TimeLeft,509.429
PondOutcome,90
TotalOutcome,500
PondStart,PondStart
PondIntroTime,19.476111833937466
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.218
Pond10Fish1_PondTime,7.619
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,510
Pond10Fish1_TimeLeft,481.691
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.254
Pond10Fish2_PondTime,13.544
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,520
Pond10Fish2_TimeLeft,475.766
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.982
Pond10Fish3_PondTime,19.677
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,530
Pond10Fish3_TimeLeft,469.633
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.975
Pond10Fish4_PondTime,26.078
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,540
Pond10Fish4_TimeLeft,463.232
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.019
Pond10Fish5_PondTime,32.762
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,550
Pond10Fish5_TimeLeft,456.548
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.114
Pond10Fish6_PondTime,39.779
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,560
Pond10Fish6_TimeLeft,449.531
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.028
Pond10Fish7_PondTime,47.153
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,570
Pond10Fish7_TimeLeft,442.156
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.072
Pond10Fish8_PondTime,55.013
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,580
Pond10Fish8_TimeLeft,434.297
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.89
Pond10Fish9_PondTime,63.395
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,600
Pond10Fish9_TimeLeft,425.914
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.871
Pond10Fish10_PondTime,72.446
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,610
Pond10Fish10_TimeLeft,416.863
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.204
Pond10Fish11_PondTime,82.348
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,620
Pond10Fish11_TimeLeft,406.962
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.071
Pond10Fish12_PondTime,93.294
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,630
Pond10Fish12_TimeLeft,396.016
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.261
Pond10Fish13_PondTime,105.679
Pond10Fish13_PondOutcome,140
Pond10Fish13_TotalOutcome,640
Pond10Fish13_TimeLeft,383.63
Type,RT
FishN,16
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.069
Pond10Fish14_PondTime,120.064
Pond10Fish14_PondOutcome,150
Pond10Fish14_TotalOutcome,650
Pond10Fish14_TimeLeft,369.246
Type,RT
FishN,16
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.198
Pond10Fish15_PondTime,137.437
Pond10Fish15_PondOutcome,160
Pond10Fish15_TotalOutcome,660
Pond10Fish15_TimeLeft,351.873
Type,RT
FishN,16
Fish,16
Pond10Fish16_FishType,purple
Pond10Fish16_FishLatency,15
Pond10Fish16_CatchTime,1.138
Pond10Fish16_PondTime,159.835
Pond10Fish16_PondOutcome,170
Pond10Fish16_TotalOutcome,670
Pond10Fish16_TimeLeft,329.474
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,20.792
PondTime,179.972
TimeLeft,308.833
PondOutcome,170
TotalOutcome,670
PondStart,PondStart
PondIntroTime,19.086546818725765
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.255
Pond11Fish1_PondTime,8.297
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,680
Pond11Fish1_TimeLeft,280.785
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.443
Pond11Fish2_PondTime,14.975
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,690
Pond11Fish2_TimeLeft,274.108
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.83
Pond11Fish3_PondTime,22.106
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,700
Pond11Fish3_TimeLeft,266.976
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.902
Pond11Fish4_PondTime,29.509
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,710
Pond11Fish4_TimeLeft,259.574
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,-1
Pond11Fish5_PondTime,37.426
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,710
Pond11Fish5_TimeLeft,251.657
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.754
Pond11Fish6_PondTime,45.81
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,720
Pond11Fish6_TimeLeft,243.273
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.792
Pond11Fish7_PondTime,54.866
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,730
Pond11Fish7_TimeLeft,234.217
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.053
Pond11Fish8_PondTime,64.744
Pond11Fish8_PondOutcome,70
Pond11Fish8_TotalOutcome,740
Pond11Fish8_TimeLeft,224.339
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.828
Pond11Fish9_PondTime,75.694
Pond11Fish9_PondOutcome,80
Pond11Fish9_TotalOutcome,750
Pond11Fish9_TimeLeft,213.389
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.837
Pond11Fish10_PondTime,88.063
Pond11Fish10_PondOutcome,90
Pond11Fish10_TotalOutcome,760
Pond11Fish10_TimeLeft,201.019
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.643
Pond11Fish11_PondTime,102.459
Pond11Fish11_PondOutcome,100
Pond11Fish11_TotalOutcome,770
Pond11Fish11_TimeLeft,186.624
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.787
Pond11Fish12_PondTime,119.88
Pond11Fish12_PondOutcome,110
Pond11Fish12_TotalOutcome,780
Pond11Fish12_TimeLeft,169.203
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,17.189
PondTime,136.065
TimeLeft,152.513
PondOutcome,110
TotalOutcome,780
PondStart,PondStart
PondIntroTime,18.04742751410231
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.91
Pond7Fish1_PondTime,7.812
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,790
Pond7Fish1_TimeLeft,126
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.021
Pond7Fish2_PondTime,13.96
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,800
Pond7Fish2_TimeLeft,119.851
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.836
Pond7Fish3_PondTime,20.361
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,810
Pond7Fish3_TimeLeft,113.451
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.79
Pond7Fish4_PondTime,27.045
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,820
Pond7Fish4_TimeLeft,106.767
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.828
Pond7Fish5_PondTime,34.045
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,830
Pond7Fish5_TimeLeft,99.767
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.973
Pond7Fish6_PondTime,41.428
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,840
Pond7Fish6_TimeLeft,92.384
Type,RT
FishN,16
