,5c7e51eaaaf8870001c8613a
Pond6Fish1_CatchTime,0.849
Pond6Fish1_PondTime,8.903
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,20
Pond6Fish1_TimeLeft,1193.491
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.09
Pond6Fish2_PondTime,16.288
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,30
Pond6Fish2_TimeLeft,1186.107
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.85
Pond6Fish3_PondTime,24.119
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,40
Pond6Fish3_TimeLeft,1178.276
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.934
Pond6Fish4_PondTime,32.475
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,50
Pond6Fish4_TimeLeft,1169.92
PondEnd_LastFish,4
FishN,14
Type,RT
GiveUpTime,7.858
PondTime,39.474
TimeLeft,1162.411
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,16.001973589882255
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.9
Pond8Fish1_PondTime,8.032
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,60
Pond8Fish1_TimeLeft,1137.741
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.265
Pond8Fish2_PondTime,14.16
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,70
Pond8Fish2_TimeLeft,1131.613
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,0.881
Pond8Fish3_PondTime,20.529
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,80
Pond8Fish3_TimeLeft,1125.244
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.533
Pond8Fish4_PondTime,27.172
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,90
Pond8Fish4_TimeLeft,1118.601
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,0.82
Pond8Fish5_PondTime,34.159
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,100
Pond8Fish5_TimeLeft,1111.614
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.055
Pond8Fish6_PondTime,41.517
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,110
Pond8Fish6_TimeLeft,1104.255
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.824
Pond8Fish7_PondTime,49.348
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,120
Pond8Fish7_TimeLeft,1096.425
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.84
Pond8Fish8_PondTime,57.709
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,130
Pond8Fish8_TimeLeft,1088.064
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,0.938
Pond8Fish9_PondTime,66.733
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,140
Pond8Fish9_TimeLeft,1079.04
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.148
Pond8Fish10_PondTime,76.59
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,150
Pond8Fish10_TimeLeft,1069.182
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,9.528
PondTime,85.469
TimeLeft,1059.8
PondOutcome,100
TotalOutcome,150
PondStart,PondStart
PondIntroTime,13.428206278476864
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.845
Pond12Fish1_PondTime,7.804
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,160
Pond12Fish1_TimeLeft,1037.939
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.836
Pond12Fish2_PondTime,13.929
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,170
Pond12Fish2_TimeLeft,1031.814
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,golden
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.862
Pond12Fish3_PondTime,20.306
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,190
Pond12Fish3_TimeLeft,1025.437
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.894
Pond12Fish4_PondTime,26.955
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,200
Pond12Fish4_TimeLeft,1018.787
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.881
Pond12Fish5_PondTime,33.946
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,210
Pond12Fish5_TimeLeft,1011.796
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.858
Pond12Fish6_PondTime,41.305
Pond12Fish6_PondOutcome,80
Pond12Fish6_TotalOutcome,230
Pond12Fish6_TimeLeft,1004.438
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.091
Pond12Fish7_PondTime,49.138
Pond12Fish7_PondOutcome,100
Pond12Fish7_TotalOutcome,250
Pond12Fish7_TimeLeft,996.605
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.916
Pond12Fish8_PondTime,57.501
Pond12Fish8_PondOutcome,110
Pond12Fish8_TotalOutcome,260
Pond12Fish8_TimeLeft,988.242
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.933
Pond12Fish9_PondTime,66.524
Pond12Fish9_PondOutcome,120
Pond12Fish9_TotalOutcome,270
Pond12Fish9_TimeLeft,979.219
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,6.392
PondTime,72.053
TimeLeft,973.184
PondOutcome,120
TotalOutcome,270
PondStart,PondStart
PondIntroTime,18.07157813338563
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.998
Pond5Fish1_PondTime,7.801
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,280
Pond5Fish1_TimeLeft,946.68
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.36
Pond5Fish2_PondTime,13.91
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,290
Pond5Fish2_TimeLeft,940.571
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.883
Pond5Fish3_PondTime,20.268
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,300
Pond5Fish3_TimeLeft,934.213
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,26.977
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,300
Pond5Fish4_TimeLeft,927.504
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.936
Pond5Fish5_PondTime,33.95
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,310
Pond5Fish5_TimeLeft,920.53
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.005
Pond5Fish6_PondTime,41.307
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,330
Pond5Fish6_TimeLeft,913.174
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.207
Pond5Fish7_PondTime,49.127
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,340
Pond5Fish7_TimeLeft,905.354
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.688
Pond5Fish8_PondTime,57.486
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,360
Pond5Fish8_TimeLeft,896.994
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,0.732
PondTime,58.117
TimeLeft,895.854
PondOutcome,90
TotalOutcome,360
PondStart,PondStart
PondIntroTime,11.546236763242632
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,15.829
PondTime,0.277
TimeLeft,876.85
PondOutcome,0
TotalOutcome,360
PondStart,PondStart
PondIntroTime,13.092440315522254
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.159
Pond1Fish1_PondTime,12.141
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,370
Pond1Fish1_TimeLeft,833.927
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.149
Pond1Fish2_PondTime,18.256
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,380
Pond1Fish2_TimeLeft,827.812
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,26.68
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,380
Pond1Fish3_TimeLeft,819.388
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.917
Pond1Fish4_PondTime,33.348
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,390
Pond1Fish4_TimeLeft,812.72
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.22
Pond1Fish5_PondTime,40.322
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,400
Pond1Fish5_TimeLeft,805.746
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.894
Pond1Fish6_PondTime,47.679
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,420
Pond1Fish6_TimeLeft,798.389
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.014
Pond1Fish7_PondTime,55.49
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,430
Pond1Fish7_TimeLeft,790.578
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.069
Pond1Fish8_PondTime,63.85
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,440
Pond1Fish8_TimeLeft,782.218
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,3.741
PondTime,66.861
TimeLeft,778.7
PondOutcome,80
TotalOutcome,440
PondStart,PondStart
PondIntroTime,15.005769850686193
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.027
Pond3Fish1_PondTime,8.553
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,450
Pond3Fish1_TimeLeft,746.498
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.811
Pond3Fish2_PondTime,15.527
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,460
Pond3Fish2_TimeLeft,739.524
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.05
Pond3Fish3_PondTime,22.888
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,470
Pond3Fish3_TimeLeft,732.163
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.953
Pond3Fish4_PondTime,30.705
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,480
Pond3Fish4_TimeLeft,724.346
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.062
Pond3Fish5_PondTime,39.071
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,490
Pond3Fish5_TimeLeft,715.979
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.832
Pond3Fish6_PondTime,48.115
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,500
Pond3Fish6_TimeLeft,706.936
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.753
Pond3Fish7_PondTime,58.04
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,510
Pond3Fish7_TimeLeft,697.01
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.03
Pond3Fish8_PondTime,68.972
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,520
Pond3Fish8_TimeLeft,686.079
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.083
Pond3Fish9_PondTime,81.331
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,530
Pond3Fish9_TimeLeft,673.72
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,95.757
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,530
Pond3Fish10_TimeLeft,659.294
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,26.001
PondTime,106.62
TimeLeft,647.923
PondOutcome,90
TotalOutcome,530
PondStart,PondStart
PondIntroTime,12.3658213368617
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.852
Pond4Fish1_PondTime,8.549
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,550
Pond4Fish1_TimeLeft,611.711
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,15.244
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,550
Pond4Fish2_TimeLeft,605.016
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.834
Pond4Fish3_PondTime,22.222
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,560
Pond4Fish3_TimeLeft,598.038
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.903
Pond4Fish4_PondTime,29.579
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,570
Pond4Fish4_TimeLeft,590.681
PondEnd_LastFish,4
FishN,16
Type,RT
GiveUpTime,4.827
PondTime,33.516
TimeLeft,586.238
PondOutcome,40
TotalOutcome,570
PondStart,PondStart
PondIntroTime,13.606389607302845
PondEnd_LastFish,4
FishN,14
Type,RT
GiveUpTime,41.469
PondTime,9.851
TimeLeft,542.311
PondOutcome,0
TotalOutcome,570
PondStart,PondStart
PondIntroTime,15.154433543793857
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.035
Pond10Fish1_PondTime,9.279
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,580
Pond10Fish1_TimeLeft,416.837
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.052
Pond10Fish2_PondTime,17.099
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,590
Pond10Fish2_TimeLeft,409.017
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.827
Pond10Fish3_PondTime,25.455
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,600
Pond10Fish3_TimeLeft,400.661
PondEnd_LastFish,3
FishN,13
Type,RT
GiveUpTime,7.639
PondTime,32.122
TimeLeft,393.488
PondOutcome,30
TotalOutcome,600
PondStart,PondStart
PondIntroTime,14.758927712682635
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.818
Pond11Fish1_PondTime,8.024
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,620
Pond11Fish1_TimeLeft,319.941
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.89
Pond11Fish2_PondTime,14.381
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,630
Pond11Fish2_TimeLeft,313.584
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.818
Pond11Fish3_PondTime,21.024
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,640
Pond11Fish3_TimeLeft,306.941
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.827
Pond11Fish4_PondTime,28.005
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,650
Pond11Fish4_TimeLeft,299.96
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.89
Pond11Fish5_PondTime,35.361
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,660
Pond11Fish5_TimeLeft,292.604
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.813
Pond11Fish6_PondTime,43.179
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,670
Pond11Fish6_TimeLeft,284.785
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.79
Pond11Fish7_PondTime,51.543
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,690
Pond11Fish7_TimeLeft,276.422
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.799
Pond11Fish8_PondTime,60.567
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,700
Pond11Fish8_TimeLeft,267.397
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.771
Pond11Fish9_PondTime,70.432
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,710
Pond11Fish9_TimeLeft,257.533
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.093
Pond11Fish10_PondTime,81.362
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,720
Pond11Fish10_TimeLeft,246.603
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,9.831
PondTime,90.485
TimeLeft,236.974
PondOutcome,120
TotalOutcome,720
PondStart,PondStart
PondIntroTime,17.146873197052628
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.82
Pond2Fish1_PondTime,8.277
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,730
Pond2Fish1_TimeLeft,210.925
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.953
Pond2Fish2_PondTime,14.924
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,740
Pond2Fish2_TimeLeft,204.278
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.136
Pond2Fish3_PondTime,21.9
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,750
Pond2Fish3_TimeLeft,197.302
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.861
Pond2Fish4_PondTime,29.264
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,760
Pond2Fish4_TimeLeft,189.938
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.902
Pond2Fish5_PondTime,37.084
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,770
Pond2Fish5_TimeLeft,182.117
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,golden
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.765
Pond2Fish6_PondTime,45.463
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,790
Pond2Fish6_TimeLeft,173.739
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.892
Pond2Fish7_PondTime,54.497
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,800
Pond2Fish7_TimeLeft,164.705
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.85
Pond2Fish8_PondTime,64.354
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,810
Pond2Fish8_TimeLeft,154.848
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.965
Pond2Fish9_PondTime,75.286
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,820
Pond2Fish9_TimeLeft,143.916
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,11.702
PondTime,86.153
TimeLeft,132.542
PondOutcome,100
TotalOutcome,820
PondStart,PondStart
PondIntroTime,10.79441474052146
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.013
Pond11Fish1_PondTime,8.035
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,830
Pond11Fish1_TimeLeft,113.086
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.841
Pond11Fish2_PondTime,14.399
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,840
Pond11Fish2_TimeLeft,106.722
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.833
Pond11Fish3_PondTime,21.051
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,850
Pond11Fish3_TimeLeft,100.069
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.845
Pond11Fish4_PondTime,28.036
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,860
