,5b2739eb34ffd00001b4669b
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.135
Pond10Fish12_PondTime,92.995
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,130
Pond10Fish12_TimeLeft,1109.404
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.548
PondTime,105.179
TimeLeft,1096.715
PondOutcome,130
TotalOutcome,130
PondStart,PondStart
PondIntroTime,19.145903303287923
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.607
Pond1Fish1_PondTime,8.887
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,140
Pond1Fish1_TimeLeft,1068.055
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.012
Pond1Fish2_PondTime,16.257
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,150
Pond1Fish2_TimeLeft,1060.685
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.945
Pond1Fish3_PondTime,24.076
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,160
Pond1Fish3_TimeLeft,1052.866
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.965
Pond1Fish4_PondTime,32.445
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,170
Pond1Fish4_TimeLeft,1044.497
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.062
Pond1Fish5_PondTime,41.466
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,180
Pond1Fish5_TimeLeft,1035.475
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.876
Pond1Fish6_PondTime,51.336
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,190
Pond1Fish6_TimeLeft,1025.606
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.235
Pond1Fish7_PondTime,62.273
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,200
Pond1Fish7_TimeLeft,1014.669
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,1.219
Pond1Fish8_PondTime,74.628
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,210
Pond1Fish8_TimeLeft,1002.314
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.053
Pond1Fish9_PondTime,89.002
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,220
Pond1Fish9_TimeLeft,987.94
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,0.945
Pond1Fish10_PondTime,106.357
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,230
Pond1Fish10_TimeLeft,970.585
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.013
Pond1Fish11_PondTime,128.716
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,240
Pond1Fish11_TimeLeft,948.226
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,20
Pond1Fish12_CatchTime,1.191
Pond1Fish12_PondTime,161.078
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,250
Pond1Fish12_TimeLeft,915.864
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,0.657
PondTime,161.134
TimeLeft,915.3
PondOutcome,120
TotalOutcome,250
PondStart,PondStart
PondIntroTime,11.387107777409256
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.944
Pond6Fish1_PondTime,7.801
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,260
Pond6Fish1_TimeLeft,895.489
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.443
Pond6Fish2_PondTime,13.918
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,270
Pond6Fish2_TimeLeft,889.372
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.917
Pond6Fish3_PondTime,20.289
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,280
Pond6Fish3_TimeLeft,883.001
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.979
Pond6Fish4_PondTime,26.94
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,290
Pond6Fish4_TimeLeft,876.35
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.856
Pond6Fish5_PondTime,33.91
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,300
Pond6Fish5_TimeLeft,869.38
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.77
Pond6Fish6_PondTime,41.279
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,310
Pond6Fish6_TimeLeft,862.011
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.048
Pond6Fish7_PondTime,49.098
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,320
Pond6Fish7_TimeLeft,854.192
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.852
Pond6Fish8_PondTime,57.468
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,330
Pond6Fish8_TimeLeft,845.822
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.958
Pond6Fish9_PondTime,66.773
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,340
Pond6Fish9_TimeLeft,836.517
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.745
Pond6Fish10_PondTime,76.643
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,350
Pond6Fish10_TimeLeft,826.647
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.288
Pond6Fish11_PondTime,87.58
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,360
Pond6Fish11_TimeLeft,815.71
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.77
Pond6Fish12_PondTime,99.953
Pond6Fish12_PondOutcome,120
Pond6Fish12_TotalOutcome,370
Pond6Fish12_TimeLeft,803.337
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,0.828
Pond6Fish13_PondTime,114.326
Pond6Fish13_PondOutcome,130
Pond6Fish13_TotalOutcome,380
Pond6Fish13_TimeLeft,788.964
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,0.949
Pond6Fish14_PondTime,131.679
Pond6Fish14_PondOutcome,140
Pond6Fish14_TotalOutcome,390
Pond6Fish14_TimeLeft,771.611
Type,RT
FishN,17
Fish,15
Pond6Fish15_FishType,purple
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,0.914
Pond6Fish15_PondTime,154.039
Pond6Fish15_PondOutcome,150
Pond6Fish15_TotalOutcome,400
Pond6Fish15_TimeLeft,749.251
PondEnd_LastFish,15
FishN,18
Type,RT
GiveUpTime,1.026
PondTime,154.18
TimeLeft,748.605
PondOutcome,150
TotalOutcome,400
PondStart,PondStart
PondIntroTime,10.68220731569454
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.764
Pond8Fish1_PondTime,8.269
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,410
Pond8Fish1_TimeLeft,729.027
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.807
Pond8Fish2_PondTime,14.922
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,420
Pond8Fish2_TimeLeft,722.374
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.807
Pond8Fish3_PondTime,21.91
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,430
Pond8Fish3_TimeLeft,715.386
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.036
Pond8Fish4_PondTime,29.278
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,440
Pond8Fish4_TimeLeft,708.018
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.913
Pond8Fish5_PondTime,37.098
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,450
Pond8Fish5_TimeLeft,700.198
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,45.517
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,450
Pond8Fish6_TimeLeft,691.779
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.323
Pond8Fish7_PondTime,54.554
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,460
Pond8Fish7_TimeLeft,682.742
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.681
Pond8Fish8_PondTime,64.426
Pond8Fish8_PondOutcome,70
Pond8Fish8_TotalOutcome,470
Pond8Fish8_TimeLeft,672.87
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.212
Pond8Fish9_PondTime,75.363
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,480
Pond8Fish9_TimeLeft,661.933
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.703
Pond8Fish10_PondTime,87.735
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,500
Pond8Fish10_TimeLeft,649.561
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,2.08
PondTime,88.728
TimeLeft,648.064
PondOutcome,100
TotalOutcome,500
PondStart,PondStart
PondIntroTime,13.591275664512068
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.901
Pond11Fish1_PondTime,9.721
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,510
Pond11Fish1_TimeLeft,624.136
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.627
Pond11Fish2_PondTime,18.091
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,520
Pond11Fish2_TimeLeft,615.765
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.908
Pond11Fish3_PondTime,27.128
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,530
Pond11Fish3_TimeLeft,606.729
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.918
Pond11Fish4_PondTime,37
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,550
Pond11Fish4_TimeLeft,596.857
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.825
Pond11Fish5_PondTime,47.936
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,560
Pond11Fish5_TimeLeft,585.92
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.017
Pond11Fish6_PondTime,60.307
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,570
Pond11Fish6_TimeLeft,573.55
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,74.73
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,570
Pond11Fish7_TimeLeft,559.127
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,0.809
Pond11Fish8_PondTime,92.103
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,580
Pond11Fish8_TimeLeft,541.754
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.383
PondTime,113.811
TimeLeft,519.545
PondOutcome,80
TotalOutcome,580
PondStart,PondStart
PondIntroTime,15.755047260317951
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.551
Pond4Fish1_PondTime,7.8
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,590
Pond4Fish1_TimeLeft,495.372
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,2.018
Pond4Fish2_PondTime,13.969
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,600
Pond4Fish2_TimeLeft,489.203
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.832
Pond4Fish3_PondTime,20.473
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,610
Pond4Fish3_TimeLeft,482.699
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.992
Pond4Fish4_PondTime,27.125
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,620
Pond4Fish4_TimeLeft,476.046
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.186
Pond4Fish5_PondTime,34.112
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,630
Pond4Fish5_TimeLeft,469.06
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.088
Pond4Fish6_PondTime,41.48
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,640
Pond4Fish6_TimeLeft,461.692
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.013
Pond4Fish7_PondTime,49.299
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,650
Pond4Fish7_TimeLeft,453.872
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.721
Pond4Fish8_PondTime,57.672
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,660
Pond4Fish8_TimeLeft,445.5
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,0.795
Pond4Fish9_PondTime,66.708
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,670
Pond4Fish9_TimeLeft,436.464
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,0.816
Pond4Fish10_PondTime,76.581
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,680
Pond4Fish10_TimeLeft,426.591
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.73
Pond4Fish11_PondTime,87.514
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,690
Pond4Fish11_TimeLeft,415.658
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,0.753
PondTime,99.723
TimeLeft,402.946
PondOutcome,110
TotalOutcome,690
PondStart,PondStart
PondIntroTime,18.906466390471905
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.674
Pond12Fish1_PondTime,8.554
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,700
Pond12Fish1_TimeLeft,374.84
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.47
Pond12Fish2_PondTime,15.539
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,710
Pond12Fish2_TimeLeft,367.855
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.853
Pond12Fish3_PondTime,22.91
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,720
Pond12Fish3_TimeLeft,360.484
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.97
Pond12Fish4_PondTime,30.729
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,730
Pond12Fish4_TimeLeft,352.665
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.828
Pond12Fish5_PondTime,39.097
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,740
Pond12Fish5_TimeLeft,344.297
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.918
Pond12Fish6_PondTime,48.133
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,750
Pond12Fish6_TimeLeft,335.261
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.07
Pond12Fish7_PondTime,58.01
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,760
Pond12Fish7_TimeLeft,325.384
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.056
Pond12Fish8_PondTime,68.942
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,770
Pond12Fish8_TimeLeft,314.452
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.007
Pond12Fish9_PondTime,81.297
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,780
Pond12Fish9_TimeLeft,302.097
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.811
Pond12Fish10_PondTime,95.667
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,790
Pond12Fish10_TimeLeft,287.727
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,0.78
Pond12Fish11_PondTime,113.026
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,800
Pond12Fish11_TimeLeft,270.368
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,0.496
PondTime,134.895
TimeLeft,247.995
PondOutcome,110
TotalOutcome,800
PondStart,PondStart
PondIntroTime,18.672441774979234
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.627
Pond9Fish1_PondTime,8.885
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,810
Pond9Fish1_TimeLeft,219.799
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.165
Pond9Fish2_PondTime,16.255
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,820
Pond9Fish2_TimeLeft,212.429
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.053
Pond9Fish3_PondTime,24.075
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,830
Pond9Fish3_TimeLeft,204.609
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.081
Pond9Fish4_PondTime,32.444
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,840
Pond9Fish4_TimeLeft,196.24
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.014
