,5cc24a0dd56649001715d5cc
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.661
Pond7Fish5_PondTime,32.68
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1169.719
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,0.86
Pond7Fish6_PondTime,39.676
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,70
Pond7Fish6_TimeLeft,1162.723
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,0.965
Pond7Fish7_PondTime,47.053
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,80
Pond7Fish7_TimeLeft,1155.346
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,0.914
PondTime,47.14
TimeLeft,1154.755
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,15.934983901679516
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.27
Pond10Fish1_PondTime,9.275
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,90
Pond10Fish1_TimeLeft,1128.919
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.048
Pond10Fish2_PondTime,17.097
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,100
Pond10Fish2_TimeLeft,1121.097
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.987
Pond10Fish3_PondTime,25.473
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,110
Pond10Fish3_TimeLeft,1112.721
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.87
Pond10Fish4_PondTime,34.511
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,120
Pond10Fish4_TimeLeft,1103.683
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.9
Pond10Fish5_PondTime,44.392
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,130
Pond10Fish5_TimeLeft,1093.802
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.782
Pond10Fish6_PondTime,55.348
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,140
Pond10Fish6_TimeLeft,1082.846
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.989
Pond10Fish7_PondTime,67.717
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,150
Pond10Fish7_TimeLeft,1070.477
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.809
PondTime,67.724
TimeLeft,1069.968
PondOutcome,70
TotalOutcome,150
PondStart,PondStart
PondIntroTime,18.28026644187048
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,7.876
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,150
Pond11Fish1_TimeLeft,1043.167
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.909
Pond11Fish2_PondTime,14.004
Pond11Fish2_PondOutcome,10
Pond11Fish2_TotalOutcome,160
Pond11Fish2_TimeLeft,1037.039
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.398
Pond11Fish3_PondTime,20.386
Pond11Fish3_PondOutcome,20
Pond11Fish3_TotalOutcome,170
Pond11Fish3_TimeLeft,1030.657
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.637
Pond11Fish4_PondTime,27.054
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,180
Pond11Fish4_TimeLeft,1023.989
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.079
Pond11Fish5_PondTime,34.049
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,190
Pond11Fish5_TimeLeft,1016.994
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.863
Pond11Fish6_PondTime,41.435
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,200
Pond11Fish6_TimeLeft,1009.608
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.867
Pond11Fish7_PondTime,49.263
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,210
Pond11Fish7_TimeLeft,1001.78
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.949
Pond11Fish8_PondTime,57.648
Pond11Fish8_PondOutcome,70
Pond11Fish8_TotalOutcome,220
Pond11Fish8_TimeLeft,993.395
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.575
Pond11Fish9_PondTime,66.694
Pond11Fish9_PondOutcome,80
Pond11Fish9_TotalOutcome,230
Pond11Fish9_TimeLeft,984.349
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.919
Pond11Fish10_PondTime,76.578
Pond11Fish10_PondOutcome,90
Pond11Fish10_TotalOutcome,240
Pond11Fish10_TimeLeft,974.465
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,golden
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.702
Pond11Fish11_PondTime,87.515
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,260
Pond11Fish11_TimeLeft,963.528
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.038
Pond11Fish12_PondTime,99.888
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,270
Pond11Fish12_TimeLeft,951.155
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,0.799
PondTime,99.926
TimeLeft,950.612
PondOutcome,120
TotalOutcome,270
PondStart,PondStart
PondIntroTime,17.29263550369069
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.099
Pond3Fish1_PondTime,7.828
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,280
Pond3Fish1_TimeLeft,924.869
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.921
Pond3Fish2_PondTime,13.961
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,300
Pond3Fish2_TimeLeft,918.735
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.095
Pond3Fish3_PondTime,20.346
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,310
Pond3Fish3_TimeLeft,912.351
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.138
Pond3Fish4_PondTime,27.004
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,320
Pond3Fish4_TimeLeft,905.693
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.88
Pond3Fish5_PondTime,33.998
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,330
Pond3Fish5_TimeLeft,898.699
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.974
Pond3Fish6_PondTime,41.377
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,340
Pond3Fish6_TimeLeft,891.32
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.904
Pond3Fish7_PondTime,49.209
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,350
Pond3Fish7_TimeLeft,883.487
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.758
Pond3Fish8_PondTime,57.655
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,360
Pond3Fish8_TimeLeft,875.042
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.203
Pond3Fish9_PondTime,66.701
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,370
Pond3Fish9_TimeLeft,865.996
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.158
Pond3Fish10_PondTime,76.571
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,380
Pond3Fish10_TimeLeft,856.126
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,0.521
PondTime,87.127
TimeLeft,845.067
PondOutcome,110
TotalOutcome,380
PondStart,PondStart
PondIntroTime,15.744616298470646
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.059
Pond12Fish1_PondTime,8.574
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,390
Pond12Fish1_TimeLeft,820.129
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.997
Pond12Fish2_PondTime,15.578
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,400
Pond12Fish2_TimeLeft,813.125
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.855
Pond12Fish3_PondTime,22.953
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,410
Pond12Fish3_TimeLeft,805.75
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.763
Pond12Fish4_PondTime,30.789
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,420
Pond12Fish4_TimeLeft,797.914
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.715
Pond12Fish5_PondTime,39.161
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,430
Pond12Fish5_TimeLeft,789.542
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.948
Pond12Fish6_PondTime,48.213
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,440
Pond12Fish6_TimeLeft,780.49
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.985
Pond12Fish7_PondTime,58.08
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,450
Pond12Fish7_TimeLeft,770.623
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.972
Pond12Fish8_PondTime,69.021
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,460
Pond12Fish8_TimeLeft,759.682
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,golden
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.72
Pond12Fish9_PondTime,81.393
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,480
Pond12Fish9_TimeLeft,747.31
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.835
PondTime,95.72
TimeLeft,732.474
PondOutcome,100
TotalOutcome,480
PondStart,PondStart
PondIntroTime,17.115921631921083
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.59
Pond9Fish1_PondTime,8.046
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,490
Pond9Fish1_TimeLeft,706.699
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.74
Pond9Fish2_PondTime,14.423
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,500
Pond9Fish2_TimeLeft,700.322
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.904
Pond9Fish3_PondTime,21.098
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,510
Pond9Fish3_TimeLeft,693.648
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.045
Pond9Fish4_PondTime,28.1
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,520
Pond9Fish4_TimeLeft,686.646
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.435
Pond9Fish5_PondTime,35.474
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,530
Pond9Fish5_TimeLeft,679.272
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,43.361
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,530
Pond9Fish6_TimeLeft,671.385
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.008
Pond9Fish7_PondTime,51.732
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,540
Pond9Fish7_TimeLeft,663.014
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.54
Pond9Fish8_PondTime,60.775
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,560
Pond9Fish8_TimeLeft,653.971
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.923
Pond9Fish9_PondTime,70.66
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,644.086
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.632
Pond9Fish10_PondTime,81.608
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,580
Pond9Fish10_TimeLeft,633.138
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.99
Pond9Fish11_PondTime,93.975
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,590
Pond9Fish11_TimeLeft,620.771
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.978
Pond9Fish12_PondTime,108.351
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,600
Pond9Fish12_TimeLeft,606.395
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,1.031
Pond9Fish13_PondTime,125.734
Pond9Fish13_PondOutcome,130
Pond9Fish13_TotalOutcome,610
Pond9Fish13_TimeLeft,589.012
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,0.883
Pond9Fish14_PondTime,148.113
Pond9Fish14_PondOutcome,140
Pond9Fish14_TotalOutcome,620
Pond9Fish14_TimeLeft,566.632
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,30.966
PondTime,178.166
TimeLeft,536.067
PondOutcome,140
TotalOutcome,620
PondStart,PondStart
PondIntroTime,18.29294117866084
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.022
Pond4Fish1_PondTime,9.293
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,630
Pond4Fish1_TimeLeft,507.857
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,17.181
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,630
Pond4Fish2_TimeLeft,499.969
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.157
Pond4Fish3_PondTime,25.55
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,650
Pond4Fish3_TimeLeft,491.6
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.926
Pond4Fish4_PondTime,34.591
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,660
Pond4Fish4_TimeLeft,482.559
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.661
Pond4Fish5_PondTime,44.467
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,670
Pond4Fish5_TimeLeft,472.683
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.015
Pond4Fish6_PondTime,55.419
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,680
Pond4Fish6_TimeLeft,461.731
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.214
Pond4Fish7_PondTime,67.804
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,690
Pond4Fish7_TimeLeft,449.346
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.237
Pond4Fish8_PondTime,82.192
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,700
Pond4Fish8_TimeLeft,434.958
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,golden
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.364
Pond4Fish9_PondTime,99.565
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,720
Pond4Fish9_TimeLeft,417.585
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.088
Pond4Fish10_PondTime,121.948
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,740
Pond4Fish10_TimeLeft,395.202
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,27.958
PondTime,149.187
TimeLeft,367.458
PondOutcome,120
TotalOutcome,740
PondStart,PondStart
PondIntroTime,10.72590299649164
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.826
Pond2Fish1_PondTime,7.815
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,750
Pond2Fish1_TimeLeft,348.287
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.869
Pond2Fish2_PondTime,13.943
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,760
Pond2Fish2_TimeLeft,342.159
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.675
Pond2Fish3_PondTime,20.325
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,770
Pond2Fish3_TimeLeft,335.777
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.592
Pond2Fish4_PondTime,26.992
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,780
Pond2Fish4_TimeLeft,329.11
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.108
Pond2Fish5_PondTime,33.982
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,790
Pond2Fish5_TimeLeft,322.12
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.462
Pond2Fish6_PondTime,41.355
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,800
Pond2Fish6_TimeLeft,314.747
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.39
Pond2Fish7_PondTime,49.182
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,810
Pond2Fish7_TimeLeft,306.92
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.285
Pond2Fish8_PondTime,57.564
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,820
Pond2Fish8_TimeLeft,298.538
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,golden
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,2.041
Pond2Fish9_PondTime,66.659
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,840
Pond2Fish9_TimeLeft,289.443
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.94
Pond2Fish10_PondTime,76.545
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,850
Pond2Fish10_TimeLeft,279.557
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.963
Pond2Fish11_PondTime,87.498
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,860
Pond2Fish11_TimeLeft,268.604
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.128
Pond2Fish12_PondTime,99.86
Pond2Fish12_PondOutcome,130
Pond2Fish12_TotalOutcome,870
Pond2Fish12_TimeLeft,256.242
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,0.708
PondTime,99.897
TimeLeft,255.696
PondOutcome,130
TotalOutcome,870
PondStart,PondStart
PondIntroTime,13.369959604460746
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,golden
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.735
Pond8Fish1_PondTime,9.73
Pond8Fish1_PondOutcome,20
Pond8Fish1_TotalOutcome,890
Pond8Fish1_TimeLeft,231.971
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.962
Pond8Fish2_PondTime,21.186
