,5e1e789ad956371d569c8088
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.319
Pond10Fish7_PondTime,74.673
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,440
Pond10Fish7_TimeLeft,710.386
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.887
Pond10Fish8_PondTime,92.038
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,450
Pond10Fish8_TimeLeft,693.022
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.145
Pond10Fish9_PondTime,114.407
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,460
Pond10Fish9_TimeLeft,670.653
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,0.727
PondTime,146.707
TimeLeft,637.852
PondOutcome,90
TotalOutcome,460
PondStart,PondStart
PondIntroTime,15.485352270770818
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.51
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,470
Pond7Fish1_TimeLeft,613.209
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.904
Pond7Fish2_PondTime,15.153
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,480
Pond7Fish2_TimeLeft,606.566
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.322
Pond7Fish3_PondTime,22.131
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,490
Pond7Fish3_TimeLeft,599.588
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.854
Pond7Fish4_PondTime,29.5
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,510
Pond7Fish4_TimeLeft,592.219
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.089
Pond7Fish5_PondTime,37.324
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,520
Pond7Fish5_TimeLeft,584.395
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.123
Pond7Fish6_PondTime,45.678
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,530
Pond7Fish6_TimeLeft,576.041
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.32
Pond7Fish7_PondTime,54.701
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,540
Pond7Fish7_TimeLeft,567.018
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.933
Pond7Fish8_PondTime,64.572
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,550
Pond7Fish8_TimeLeft,557.147
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.996
Pond7Fish9_PondTime,75.507
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,560
Pond7Fish9_TimeLeft,546.212
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.684
Pond7Fish10_PondTime,87.875
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,570
Pond7Fish10_TimeLeft,533.843
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,-1
Pond7Fish11_PondTime,102.336
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,570
Pond7Fish11_TimeLeft,519.383
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.027
Pond7Fish12_PondTime,119.704
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,580
Pond7Fish12_TimeLeft,502.015
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,1.037
Pond7Fish13_PondTime,142.073
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,590
Pond7Fish13_TimeLeft,479.645
Type,RT
FishN,16
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,20
Pond7Fish14_CatchTime,1.041
Pond7Fish14_PondTime,174.433
Pond7Fish14_PondOutcome,140
Pond7Fish14_TotalOutcome,600
Pond7Fish14_TimeLeft,447.286
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,1.944
PondTime,175.623
TimeLeft,445.593
PondOutcome,140
TotalOutcome,600
PondStart,PondStart
PondIntroTime,16.114972189534456
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.994
Pond1Fish1_PondTime,8.56
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,610
Pond1Fish1_TimeLeft,420.286
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.15
Pond1Fish2_PondTime,15.534
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,620
Pond1Fish2_TimeLeft,413.312
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.04
Pond1Fish3_PondTime,22.963
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,630
Pond1Fish3_TimeLeft,405.883
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.751
Pond1Fish4_PondTime,30.783
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,640
Pond1Fish4_TimeLeft,398.063
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.252
Pond1Fish5_PondTime,39.158
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,650
Pond1Fish5_TimeLeft,389.688
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.068
Pond1Fish6_PondTime,48.192
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,660
Pond1Fish6_TimeLeft,380.654
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.151
Pond1Fish7_PondTime,58.065
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,670
Pond1Fish7_TimeLeft,370.781
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.062
Pond1Fish8_PondTime,69
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,680
Pond1Fish8_TimeLeft,359.846
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.025
Pond1Fish9_PondTime,81.367
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,690
Pond1Fish9_TimeLeft,347.479
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.035
Pond1Fish10_PondTime,95.731
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,700
Pond1Fish10_TimeLeft,333.115
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,0.944
Pond1Fish11_PondTime,113.092
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,710
Pond1Fish11_TimeLeft,315.753
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,19.101
PondTime,131.34
TimeLeft,297.002
PondOutcome,110
TotalOutcome,710
PondStart,PondStart
PondIntroTime,16.653763118665665
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,0.971
Pond6Fish1_PondTime,8.276
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,720
Pond6Fish1_TimeLeft,271.427
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.935
Pond6Fish2_PondTime,14.92
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,740
Pond6Fish2_TimeLeft,264.783
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.319
Pond6Fish3_PondTime,21.893
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,750
Pond6Fish3_TimeLeft,257.81
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.972
Pond6Fish4_PondTime,29.251
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,760
Pond6Fish4_TimeLeft,250.452
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.137
Pond6Fish5_PondTime,37.06
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,770
Pond6Fish5_TimeLeft,242.643
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.022
Pond6Fish6_PondTime,45.429
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,780
Pond6Fish6_TimeLeft,234.273
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.002
Pond6Fish7_PondTime,54.452
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,790
Pond6Fish7_TimeLeft,225.25
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.129
Pond6Fish8_PondTime,64.305
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,800
Pond6Fish8_TimeLeft,215.398
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,0.881
Pond6Fish9_PondTime,75.245
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,810
Pond6Fish9_TimeLeft,204.458
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,-1
Pond6Fish10_PondTime,87.673
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,810
Pond6Fish10_TimeLeft,192.03
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,1.055
Pond6Fish11_PondTime,102.043
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,820
Pond6Fish11_TimeLeft,177.66
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,12
Pond6Fish12_CatchTime,0.925
Pond6Fish12_PondTime,119.405
Pond6Fish12_PondOutcome,120
Pond6Fish12_TotalOutcome,830
Pond6Fish12_TimeLeft,160.298
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,2.521
PondTime,121.056
TimeLeft,158.144
PondOutcome,120
TotalOutcome,830
PondStart,PondStart
PondIntroTime,18.87004033429548
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.07
Pond9Fish1_PondTime,7.795
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,840
Pond9Fish1_TimeLeft,130.854
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.214
Pond9Fish2_PondTime,13.905
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,850
Pond9Fish2_TimeLeft,124.744
Type,RT
