,59f17b480fb3a90001bd9ff8
Pond1Fish4_TimeLeft,1095.506
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.284
Pond1Fish5_PondTime,44.627
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,100
Pond1Fish5_TimeLeft,1085.601
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.615
Pond1Fish6_PondTime,55.588
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,110
Pond1Fish6_TimeLeft,1074.641
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.173
Pond1Fish7_PondTime,68.001
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,130
Pond1Fish7_TimeLeft,1062.227
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.465
Pond1Fish8_PondTime,82.417
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,140
Pond1Fish8_TimeLeft,1047.811
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,golden
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.106
Pond1Fish9_PondTime,99.832
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,160
Pond1Fish9_TimeLeft,1030.397
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.396
Pond1Fish10_PondTime,122.248
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,170
Pond1Fish10_TimeLeft,1007.98
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.832
PondTime,122.666
TimeLeft,1007.031
PondOutcome,120
TotalOutcome,170
PondStart,PondStart
PondIntroTime,17.52908114111051
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.568
Pond12Fish1_PondTime,8.077
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,180
Pond12Fish1_TimeLeft,980.785
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.573
Pond12Fish2_PondTime,14.46
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,190
Pond12Fish2_TimeLeft,974.402
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.249
Pond12Fish3_PondTime,21.164
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,200
Pond12Fish3_TimeLeft,967.698
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.241
Pond12Fish4_PondTime,28.174
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,210
Pond12Fish4_TimeLeft,960.687
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.226
Pond12Fish5_PondTime,35.587
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,220
Pond12Fish5_TimeLeft,953.274
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.908
Pond12Fish6_PondTime,43.456
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,230
Pond12Fish6_TimeLeft,945.406
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.216
Pond12Fish7_PondTime,51.857
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,250
Pond12Fish7_TimeLeft,937.005
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.25
Pond12Fish8_PondTime,60.947
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,260
Pond12Fish8_TimeLeft,927.915
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,golden
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.205
Pond12Fish9_PondTime,70.867
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,280
Pond12Fish9_TimeLeft,917.995
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.341
Pond12Fish10_PondTime,81.854
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,290
Pond12Fish10_TimeLeft,907.007
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.161
Pond12Fish11_PondTime,94.255
Pond12Fish11_PondOutcome,130
Pond12Fish11_TotalOutcome,300
Pond12Fish11_TimeLeft,894.607
Type,RT
FishN,16
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,0.891
Pond12Fish12_PondTime,108.639
Pond12Fish12_PondOutcome,140
Pond12Fish12_TotalOutcome,310
Pond12Fish12_TimeLeft,880.223
Type,RT
FishN,16
Fish,13
Pond12Fish13_FishType,purple
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,1.552
Pond12Fish13_PondTime,126.065
Pond12Fish13_PondOutcome,150
Pond12Fish13_TotalOutcome,320
Pond12Fish13_TimeLeft,862.797
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,0.639
PondTime,148.453
TimeLeft,839.893
PondOutcome,150
TotalOutcome,320
PondStart,PondStart
PondIntroTime,10.466968899127096
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.42
Pond6Fish1_PondTime,9.318
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,330
Pond6Fish1_TimeLeft,819.446
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.939
Pond6Fish2_PondTime,17.146
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,350
Pond6Fish2_TimeLeft,811.618
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.317
Pond6Fish3_PondTime,25.567
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,360
Pond6Fish3_TimeLeft,803.196
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.305
Pond6Fish4_PondTime,34.614
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,370
Pond6Fish4_TimeLeft,794.15
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.102
Pond6Fish5_PondTime,44.511
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,380
Pond6Fish5_TimeLeft,784.253
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.23
Pond6Fish6_PondTime,55.489
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,390
Pond6Fish6_TimeLeft,773.275
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.211
Pond6Fish7_PondTime,67.879
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,410
Pond6Fish7_TimeLeft,760.885
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.028
Pond6Fish8_PondTime,82.287
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,420
Pond6Fish8_TimeLeft,746.476
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,-1
Pond6Fish9_PondTime,99.761
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,420
Pond6Fish9_TimeLeft,729.003
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,1.22
Pond6Fish10_PondTime,122.175
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,430
Pond6Fish10_TimeLeft,706.589
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,1.103
PondTime,122.687
TimeLeft,705.554
PondOutcome,110
TotalOutcome,430
PondStart,PondStart
PondIntroTime,19.4156499276869
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.756
Pond9Fish1_PondTime,7.729
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,440
Pond9Fish1_TimeLeft,677.765
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.978
Pond9Fish2_PondTime,13.659
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,460
Pond9Fish2_TimeLeft,671.835
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,19.909
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,460
Pond9Fish3_TimeLeft,665.585
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.197
Pond9Fish4_PondTime,26.325
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,470
Pond9Fish4_TimeLeft,659.169
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.106
Pond9Fish5_PondTime,33.018
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,480
Pond9Fish5_TimeLeft,652.477
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.088
Pond9Fish6_PondTime,40.065
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,490
Pond9Fish6_TimeLeft,645.43
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.096
Pond9Fish7_PondTime,47.465
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,500
Pond9Fish7_TimeLeft,638.03
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.151
Pond9Fish8_PondTime,55.336
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,510
Pond9Fish8_TimeLeft,630.159
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.012
Pond9Fish9_PondTime,63.745
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,520
Pond9Fish9_TimeLeft,621.75
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.401
Pond9Fish10_PondTime,72.818
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,530
Pond9Fish10_TimeLeft,612.677
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1
Pond9Fish11_PondTime,82.736
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,540
Pond9Fish11_TimeLeft,602.759
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,golden
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.808
Pond9Fish12_PondTime,93.731
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,560
Pond9Fish12_TimeLeft,591.763
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.65
Pond9Fish13_PondTime,106.166
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,570
Pond9Fish13_TimeLeft,579.329
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.697
Pond9Fish14_PondTime,120.597
Pond9Fish14_PondOutcome,150
Pond9Fish14_TotalOutcome,580
Pond9Fish14_TimeLeft,564.897
Type,RT
FishN,12
Fish,15
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.168
Pond9Fish15_PondTime,138.029
Pond9Fish15_PondOutcome,160
Pond9Fish15_TotalOutcome,590
Pond9Fish15_TimeLeft,547.466
Type,RT
FishN,12
Fish,16
Pond9Fish16_FishType,purple
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,1.314
Pond9Fish16_PondTime,160.427
Pond9Fish16_PondOutcome,170
Pond9Fish16_TotalOutcome,600
Pond9Fish16_TimeLeft,525.067
Type,RT
FishN,12
Fish,17
Pond9Fish17_FishType,purple
Pond9Fish17_FishLatency,20
Pond9Fish17_CatchTime,1.318
Pond9Fish17_PondTime,192.823
Pond9Fish17_PondOutcome,180
Pond9Fish17_TotalOutcome,610
Pond9Fish17_TimeLeft,492.672
PondEnd_LastFish,17
FishN,19
Type,RT
GiveUpTime,0.934
PondTime,193.262
TimeLeft,491.709
PondOutcome,180
TotalOutcome,610
PondStart,PondStart
PondIntroTime,13.785478337667882
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.146
Pond10Fish1_PondTime,9.353
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,620
Pond10Fish1_TimeLeft,467.931
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.582
Pond10Fish2_PondTime,17.208
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,630
Pond10Fish2_TimeLeft,460.075
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.275
Pond10Fish3_PondTime,25.632
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,640
Pond10Fish3_TimeLeft,451.652
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.196
Pond10Fish4_PondTime,34.721
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,650
Pond10Fish4_TimeLeft,442.563
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.4
Pond10Fish5_PondTime,44.625
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,660
Pond10Fish5_TimeLeft,432.659
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.299
Pond10Fish6_PondTime,55.592
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,670
Pond10Fish6_TimeLeft,421.691
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.205
Pond10Fish7_PondTime,67.973
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,680
Pond10Fish7_TimeLeft,409.31
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.347
Pond10Fish8_PondTime,82.367
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,690
Pond10Fish8_TimeLeft,394.917
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.187
Pond10Fish9_PondTime,99.784
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,700
Pond10Fish9_TimeLeft,377.5
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,15
Pond10Fish10_CatchTime,0.95
Pond10Fish10_PondTime,122.195
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,720
Pond10Fish10_TimeLeft,355.089
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,golden
Pond10Fish11_FishLatency,20
Pond10Fish11_CatchTime,1.199
Pond10Fish11_PondTime,154.61
Pond10Fish11_PondOutcome,130
Pond10Fish11_TotalOutcome,740
Pond10Fish11_TimeLeft,322.673
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,0.932
PondTime,154.943
TimeLeft,321.826
PondOutcome,130
TotalOutcome,740
PondStart,PondStart
PondIntroTime,18.97986077470705
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.197
Pond2Fish1_PondTime,9.798
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,750
Pond2Fish1_TimeLeft,292.388
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.112
Pond2Fish2_PondTime,18.234
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,760
Pond2Fish2_TimeLeft,283.953
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.925
Pond2Fish3_PondTime,27.306
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,770
Pond2Fish3_TimeLeft,274.881
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.087
Pond2Fish4_PondTime,37.191
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,780
Pond2Fish4_TimeLeft,264.996
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.429
Pond2Fish5_PondTime,48.167
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,790
Pond2Fish5_TimeLeft,254.02
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.363
Pond2Fish6_PondTime,60.553
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,800
Pond2Fish6_TimeLeft,241.633
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.972
Pond2Fish7_PondTime,74.941
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,810
Pond2Fish7_TimeLeft,227.246
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.37
Pond2Fish8_PondTime,92.359
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,820
Pond2Fish8_TimeLeft,209.828
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.08
Pond2Fish9_PondTime,114.768
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,830
Pond2Fish9_TimeLeft,187.418
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,golden
Pond2Fish10_FishLatency,20
Pond2Fish10_CatchTime,1.194
Pond2Fish10_PondTime,147.195
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,850
Pond2Fish10_TimeLeft,154.991
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.805
PondTime,147.398
TimeLeft,154.262
PondOutcome,110
TotalOutcome,850
PondStart,PondStart
PondIntroTime,14.218799585942179
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.339
Pond11Fish1_PondTime,8.071
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,860
Pond11Fish1_TimeLeft,131.334
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.238
Pond11Fish2_PondTime,14.493
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,870
Pond11Fish2_TimeLeft,124.912
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.275
Pond11Fish3_PondTime,21.194
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,880
Pond11Fish3_TimeLeft,118.21
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.115
Pond11Fish4_PondTime,28.191
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,890
Pond11Fish4_TimeLeft,111.214
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.3
Pond11Fish5_PondTime,35.592
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,900
Pond11Fish5_TimeLeft,103.812
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.503
Pond11Fish6_PondTime,43.459
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,910
Pond11Fish6_TimeLeft,95.946
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.159
Pond11Fish7_PondTime,51.875
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,920
