,5b829a201a1b2200016e86c4
Pond1Fish14_PondOutcome,130
Pond1Fish14_TotalOutcome,230
Pond1Fish14_TimeLeft,883.184
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,0.536
PondTime,180.021
TimeLeft,850.947
PondOutcome,130
TotalOutcome,230
PondStart,PondStart
PondIntroTime,15.508856282103807
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.795
Pond12Fish1_PondTime,8.885
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,250
Pond12Fish1_TimeLeft,825.933
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.819
Pond12Fish2_PondTime,16.252
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,260
Pond12Fish2_TimeLeft,818.566
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.828
Pond12Fish3_PondTime,24.067
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,270
Pond12Fish3_TimeLeft,810.751
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.741
Pond12Fish4_PondTime,32.433
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,280
Pond12Fish4_TimeLeft,802.385
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.674
Pond12Fish5_PondTime,41.47
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,290
Pond12Fish5_TimeLeft,793.348
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.585
Pond12Fish6_PondTime,51.335
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,300
Pond12Fish6_TimeLeft,783.483
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.961
Pond12Fish7_PondTime,62.27
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,310
Pond12Fish7_TimeLeft,772.548
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.652
Pond12Fish8_PondTime,74.634
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,320
Pond12Fish8_TimeLeft,760.184
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.82
Pond12Fish9_PondTime,89.001
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,330
Pond12Fish9_TimeLeft,745.817
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.651
PondTime,105.985
TimeLeft,728.329
PondOutcome,100
TotalOutcome,330
PondStart,PondStart
PondIntroTime,15.825076275505126
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.599
Pond9Fish1_PondTime,7.601
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,340
Pond9Fish1_TimeLeft,704.282
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.738
Pond9Fish2_PondTime,13.502
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,350
Pond9Fish2_TimeLeft,698.381
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.423
Pond9Fish3_PondTime,19.617
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,360
Pond9Fish3_TimeLeft,692.266
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.047
Pond9Fish4_PondTime,25.985
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,370
Pond9Fish4_TimeLeft,685.898
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.974
Pond9Fish5_PondTime,32.635
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,380
Pond9Fish5_TimeLeft,679.248
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.878
Pond9Fish6_PondTime,39.617
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,390
Pond9Fish6_TimeLeft,672.266
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.677
Pond9Fish7_PondTime,46.986
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,400
Pond9Fish7_TimeLeft,664.896
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.879
Pond9Fish8_PondTime,54.802
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,410
Pond9Fish8_TimeLeft,657.081
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.8
Pond9Fish9_PondTime,63.168
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,420
Pond9Fish9_TimeLeft,648.715
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.734
Pond9Fish10_PondTime,72.201
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,430
Pond9Fish10_TimeLeft,639.682
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.77
Pond9Fish11_PondTime,82.069
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,440
Pond9Fish11_TimeLeft,629.814
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.773
Pond9Fish12_PondTime,93.002
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,450
Pond9Fish12_TimeLeft,618.881
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.375
Pond9Fish13_PondTime,105.37
Pond9Fish13_PondOutcome,130
Pond9Fish13_TotalOutcome,460
Pond9Fish13_TimeLeft,606.513
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.009
Pond9Fish14_PondTime,119.735
Pond9Fish14_PondOutcome,140
Pond9Fish14_TotalOutcome,470
Pond9Fish14_TimeLeft,592.148
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,0.395
PondTime,136.529
TimeLeft,574.853
PondOutcome,140
TotalOutcome,470
PondStart,PondStart
PondIntroTime,15.834468267858028
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.546
Pond2Fish1_PondTime,7.803
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,490
Pond2Fish1_TimeLeft,550.596
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.644
Pond2Fish2_PondTime,13.918
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,500
Pond2Fish2_TimeLeft,544.481
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.678
Pond2Fish3_PondTime,20.285
Pond2Fish3_PondOutcome,50
Pond2Fish3_TotalOutcome,520
Pond2Fish3_TimeLeft,538.114
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.835
Pond2Fish4_PondTime,26.935
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,530
Pond2Fish4_TimeLeft,531.464
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.837
Pond2Fish5_PondTime,33.92
Pond2Fish5_PondOutcome,70
Pond2Fish5_TotalOutcome,540
Pond2Fish5_TimeLeft,524.479
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.95
Pond2Fish6_PondTime,41.286
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,550
Pond2Fish6_TimeLeft,517.113
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,golden
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,0.648
Pond2Fish7_PondTime,49.102
Pond2Fish7_PondOutcome,100
Pond2Fish7_TotalOutcome,570
Pond2Fish7_TimeLeft,509.297
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.664
Pond2Fish8_PondTime,57.47
Pond2Fish8_PondOutcome,110
Pond2Fish8_TotalOutcome,580
Pond2Fish8_TimeLeft,500.929
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.692
Pond2Fish9_PondTime,66.503
Pond2Fish9_PondOutcome,120
Pond2Fish9_TotalOutcome,590
Pond2Fish9_TimeLeft,491.896
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,golden
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.69
Pond2Fish10_PondTime,76.368
Pond2Fish10_PondOutcome,140
Pond2Fish10_TotalOutcome,610
Pond2Fish10_TimeLeft,482.031
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.652
Pond2Fish11_PondTime,87.305
Pond2Fish11_PondOutcome,150
Pond2Fish11_TotalOutcome,620
Pond2Fish11_TimeLeft,471.094
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,0.75
Pond2Fish12_PondTime,99.669
Pond2Fish12_PondOutcome,160
Pond2Fish12_TotalOutcome,630
Pond2Fish12_TimeLeft,458.73
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,0.646
Pond2Fish13_PondTime,114.037
Pond2Fish13_PondOutcome,170
Pond2Fish13_TotalOutcome,640
Pond2Fish13_TimeLeft,444.362
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.296
PondTime,130.797
TimeLeft,427.101
PondOutcome,170
TotalOutcome,640
PondStart,PondStart
PondIntroTime,10.73588183382526
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.721
Pond11Fish1_PondTime,8.884
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,650
Pond11Fish1_TimeLeft,406.861
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.779
Pond11Fish2_PondTime,16.249
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,660
Pond11Fish2_TimeLeft,399.496
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.995
Pond11Fish3_PondTime,24.065
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,670
Pond11Fish3_TimeLeft,391.68
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.644
Pond11Fish4_PondTime,32.433
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,680
Pond11Fish4_TimeLeft,383.311
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.131
Pond11Fish5_PondTime,41.467
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,690
Pond11Fish5_TimeLeft,374.278
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.065
Pond11Fish6_PondTime,51.333
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,700
Pond11Fish6_TimeLeft,364.412
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.635
Pond11Fish7_PondTime,62.266
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,720
Pond11Fish7_TimeLeft,353.479
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.82
Pond11Fish8_PondTime,74.633
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,730
Pond11Fish8_TimeLeft,341.112
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.582
Pond11Fish9_PondTime,89.001
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,740
Pond11Fish9_TimeLeft,326.744
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.448
PondTime,105.631
TimeLeft,309.611
PondOutcome,100
TotalOutcome,740
PondStart,PondStart
PondIntroTime,17.62655646307394
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.827
Pond7Fish1_PondTime,9.268
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,750
Pond7Fish1_TimeLeft,282.094
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.626
Pond7Fish2_PondTime,17.086
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,760
Pond7Fish2_TimeLeft,274.276
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.755
Pond7Fish3_PondTime,25.451
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,780
Pond7Fish3_TimeLeft,265.911
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.777
Pond7Fish4_PondTime,34.487
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,790
Pond7Fish4_TimeLeft,256.875
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.662
Pond7Fish5_PondTime,44.351
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,800
Pond7Fish5_TimeLeft,247.011
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.697
Pond7Fish6_PondTime,55.284
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,810
Pond7Fish6_TimeLeft,236.078
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,0.355
PondTime,67.072
TimeLeft,223.79
PondOutcome,70
TotalOutcome,810
PondStart,PondStart
PondIntroTime,18.690735569689423
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.773
Pond6Fish1_PondTime,9.269
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,820
Pond6Fish1_TimeLeft,195.208
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.772
Pond6Fish2_PondTime,17.084
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,830
Pond6Fish2_TimeLeft,187.393
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.83
Pond6Fish3_PondTime,25.45
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,840
Pond6Fish3_TimeLeft,179.026
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.653
Pond6Fish4_PondTime,34.483
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,850
Pond6Fish4_TimeLeft,169.994
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.801
Pond6Fish5_PondTime,44.353
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,860
Pond6Fish5_TimeLeft,160.124
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.572
Pond6Fish6_PondTime,55.284
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,870
Pond6Fish6_TimeLeft,149.193
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,0.695
PondTime,67.395
TimeLeft,136.58
PondOutcome,60
TotalOutcome,870
PondStart,PondStart
PondIntroTime,14.612040484789759
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.636
Pond10Fish1_PondTime,9.734
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,880
Pond10Fish1_TimeLeft,111.625
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.823
Pond10Fish2_PondTime,18.102
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,890
