,5aeb8d6b8db5b00001ad8d1a
Pond2Fish4_TotalOutcome,170
Pond2Fish4_TimeLeft,1028.024
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.755
Pond2Fish5_PondTime,32.64
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,190
Pond2Fish5_TimeLeft,1021.375
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,0.939
PondTime,39.509
TimeLeft,1014.003
PondOutcome,60
TotalOutcome,190
PondStart,PondStart
PondIntroTime,12.976755215786397
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.843
Pond7Fish1_PondTime,7.804
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,200
Pond7Fish1_TimeLeft,992.591
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.963
Pond7Fish2_PondTime,13.92
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,210
Pond7Fish2_TimeLeft,986.475
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.944
Pond7Fish3_PondTime,20.292
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,220
Pond7Fish3_TimeLeft,980.103
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.73
Pond7Fish4_PondTime,26.94
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,230
Pond7Fish4_TimeLeft,973.455
PondEnd_LastFish,4
FishN,18
Type,RT
GiveUpTime,0.834
PondTime,33.868
TimeLeft,966.023
PondOutcome,40
TotalOutcome,230
PondStart,PondStart
PondIntroTime,15.40318004321307
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.773
Pond12Fish1_PondTime,7.61
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,240
Pond12Fish1_TimeLeft,942.376
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.962
Pond12Fish2_PondTime,13.495
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,250
Pond12Fish2_TimeLeft,936.491
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.189
Pond12Fish3_PondTime,19.609
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,260
Pond12Fish3_TimeLeft,930.376
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.026
Pond12Fish4_PondTime,25.967
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,270
Pond12Fish4_TimeLeft,924.019
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.747
Pond12Fish5_PondTime,32.609
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,280
Pond12Fish5_TimeLeft,917.376
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.872
Pond12Fish6_PondTime,39.58
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,290
Pond12Fish6_TimeLeft,910.405
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.574
PondTime,46.509
TimeLeft,902.974
PondOutcome,60
TotalOutcome,290
PondStart,PondStart
PondIntroTime,15.539268816355616
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.22
Pond11Fish1_PondTime,8.278
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,310
Pond11Fish1_TimeLeft,878.55
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.998
Pond11Fish2_PondTime,14.929
Pond11Fish2_PondOutcome,40
Pond11Fish2_TotalOutcome,330
Pond11Fish2_TimeLeft,871.898
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.884
Pond11Fish3_PondTime,21.905
Pond11Fish3_PondOutcome,50
Pond11Fish3_TotalOutcome,340
Pond11Fish3_TimeLeft,864.923
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.721
Pond11Fish4_PondTime,29.263
Pond11Fish4_PondOutcome,60
Pond11Fish4_TotalOutcome,350
Pond11Fish4_TimeLeft,857.565
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.983
Pond11Fish5_PondTime,37.073
Pond11Fish5_PondOutcome,70
Pond11Fish5_TotalOutcome,360
Pond11Fish5_TimeLeft,849.755
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.39
Pond11Fish6_PondTime,45.446
Pond11Fish6_PondOutcome,80
Pond11Fish6_TotalOutcome,370
Pond11Fish6_TimeLeft,841.382
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,0.865
PondTime,54.313
TimeLeft,832.012
PondOutcome,80
TotalOutcome,370
PondStart,PondStart
PondIntroTime,12.21251924522221
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.892
Pond9Fish1_PondTime,9.275
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,380
Pond9Fish1_TimeLeft,809.891
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.333
Pond9Fish2_PondTime,17.093
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,390
Pond9Fish2_TimeLeft,802.073
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.229
Pond9Fish3_PondTime,25.472
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,400
Pond9Fish3_TimeLeft,793.694
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.762
Pond9Fish4_PondTime,34.508
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,410
Pond9Fish4_TimeLeft,784.658
PondEnd_LastFish,4
FishN,13
Type,RT
GiveUpTime,0.693
PondTime,44.003
TimeLeft,774.659
PondOutcome,40
TotalOutcome,410
PondStart,PondStart
PondIntroTime,16.402403311803937
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.018
Pond3Fish1_PondTime,8.278
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,420
Pond3Fish1_TimeLeft,749.34
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.875
Pond3Fish2_PondTime,14.931
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,430
Pond3Fish2_TimeLeft,742.687
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.942
Pond3Fish3_PondTime,21.907
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,440
Pond3Fish3_TimeLeft,735.711
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.726
Pond3Fish4_PondTime,29.273
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,450
Pond3Fish4_TimeLeft,728.345
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.029
Pond3Fish5_PondTime,37.095
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,460
Pond3Fish5_TimeLeft,720.523
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.337
Pond3Fish6_PondTime,45.461
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,470
Pond3Fish6_TimeLeft,712.157
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,0.765
PondTime,45.768
TimeLeft,711.346
PondOutcome,60
TotalOutcome,470
PondStart,PondStart
PondIntroTime,10.408790921792388
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.753
Pond1Fish1_PondTime,7.806
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,480
Pond1Fish1_TimeLeft,692.502
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.911
Pond1Fish2_PondTime,13.926
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,490
Pond1Fish2_TimeLeft,686.382
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.924
Pond1Fish3_PondTime,20.293
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,500
Pond1Fish3_TimeLeft,680.015
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.075
Pond1Fish4_PondTime,26.948
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,510
Pond1Fish4_TimeLeft,673.36
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.869
Pond1Fish5_PondTime,33.927
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,520
Pond1Fish5_TimeLeft,666.381
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.018
Pond1Fish6_PondTime,41.309
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,530
Pond1Fish6_TimeLeft,658.999
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.239
Pond1Fish7_PondTime,49.132
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,540
Pond1Fish7_TimeLeft,651.176
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.794
Pond1Fish8_PondTime,57.494
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,560
Pond1Fish8_TimeLeft,642.814
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.174
Pond1Fish9_PondTime,66.521
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,570
Pond1Fish9_TimeLeft,633.787
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.061
Pond1Fish10_PondTime,76.386
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,580
Pond1Fish10_TimeLeft,623.922
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,0.88
PondTime,76.534
TimeLeft,623.271
PondOutcome,110
TotalOutcome,580
PondStart,PondStart
PondIntroTime,12.094465510454029
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.887
Pond8Fish1_PondTime,7.801
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,590
Pond8Fish1_TimeLeft,602.754
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.176
Pond8Fish2_PondTime,13.933
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,600
Pond8Fish2_TimeLeft,596.622
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.03
Pond8Fish3_PondTime,20.303
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,610
Pond8Fish3_TimeLeft,590.251
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,0.806
Pond8Fish4_PondTime,26.957
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,620
Pond8Fish4_TimeLeft,583.598
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.148
Pond8Fish5_PondTime,33.938
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,630
Pond8Fish5_TimeLeft,576.616
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.689
Pond8Fish6_PondTime,41.304
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,640
Pond8Fish6_TimeLeft,569.251
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.869
Pond8Fish7_PondTime,49.115
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,650
Pond8Fish7_TimeLeft,561.44
PondEnd_LastFish,7
FishN,18
Type,RT
GiveUpTime,1.312
PondTime,49.506
TimeLeft,560.546
PondOutcome,70
TotalOutcome,650
PondStart,PondStart
PondIntroTime,15.934127373620868
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.217
Pond10Fish1_PondTime,8.571
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,660
Pond10Fish1_TimeLeft,535.417
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,0.895
Pond10Fish2_PondTime,15.549
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,670
Pond10Fish2_TimeLeft,528.439
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.83
Pond10Fish3_PondTime,22.902
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,690
Pond10Fish3_TimeLeft,521.086
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.963
Pond10Fish4_PondTime,30.714
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,700
Pond10Fish4_TimeLeft,513.274
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,golden
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.904
Pond10Fish5_PondTime,39.076
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,720
Pond10Fish5_TimeLeft,504.912
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.262
Pond10Fish6_PondTime,48.108
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,730
Pond10Fish6_TimeLeft,495.88
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.088
Pond10Fish7_PondTime,57.971
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,740
Pond10Fish7_TimeLeft,486.017
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.76
Pond10Fish8_PondTime,68.914
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,750
Pond10Fish8_TimeLeft,475.074
PondEnd_LastFish,8
FishN,15
Type,RT
GiveUpTime,0.684
PondTime,80.957
TimeLeft,462.528
PondOutcome,100
TotalOutcome,750
PondStart,PondStart
PondIntroTime,16.260617938823998
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.794
Pond3Fish1_PondTime,7.799
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,760
Pond3Fish1_TimeLeft,437.846
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.035
Pond3Fish2_PondTime,13.913
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,770
Pond3Fish2_TimeLeft,431.732
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.935
Pond3Fish3_PondTime,20.279
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,780
Pond3Fish3_TimeLeft,425.366
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.328
Pond3Fish4_PondTime,26.929
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,790
Pond3Fish4_TimeLeft,418.716
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.759
Pond3Fish5_PondTime,33.921
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,800
Pond3Fish5_TimeLeft,411.723
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.46
Pond3Fish6_PondTime,41.285
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,810
Pond3Fish6_TimeLeft,404.36
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.201
Pond3Fish7_PondTime,49.099
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,820
Pond3Fish7_TimeLeft,396.546
PondEnd_LastFish,7
FishN,18
Type,RT
GiveUpTime,0.659
PondTime,49.168
TimeLeft,395.974
PondOutcome,70
TotalOutcome,820
PondStart,PondStart
PondIntroTime,14.050979390740395
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.846
Pond7Fish1_PondTime,9.28
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,830
Pond7Fish1_TimeLeft,372.013
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.034
Pond7Fish2_PondTime,17.095
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,840
Pond7Fish2_TimeLeft,364.198
PondEnd_LastFish,2
FishN,13
Type,RT
GiveUpTime,0.487
PondTime,25.019
TimeLeft,355.771
PondOutcome,20
TotalOutcome,840
PondStart,PondStart
