,5b4ee6a830e986000136c7a8
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.076
Pond3Fish6_PondTime,60.068
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,920
Pond3Fish6_TimeLeft,202.06
Pond3_Type,RT
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.873
Pond3Fish7_PondTime,67.491
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,930
Pond3Fish7_TimeLeft,194.637
Pond3_GiveUpTime,0.48
Pond3_PondTime,75.526
Pond3_PondOutcome,70
Pond3_TotalOutcome,930
Pond3_TimeLeft,186.602
Pond8IntroTime,16.64001166820526
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.026
Pond8Fish1_PondTime,27.04
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,940
Pond8Fish1_TimeLeft,159.562
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.01
Pond8Fish2_PondTime,35.45
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,950
Pond8Fish2_TimeLeft,151.152
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.045
Pond8Fish3_PondTime,44.517
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,960
Pond8Fish3_TimeLeft,142.085
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.947
Pond8Fish4_PondTime,54.395
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,970
Pond8Fish4_TimeLeft,132.207
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.076
Pond8Fish5_PondTime,65.38
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,980
Pond8Fish5_TimeLeft,121.222
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.743
Pond8Fish6_PondTime,77.803
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,990
Pond8Fish6_TimeLeft,108.799
Pond8_GiveUpTime,8.279
Pond8_PondTime,85.397
Pond8_PondOutcome,60
Pond8_TotalOutcome,990
Pond8_TimeLeft,101.205
Pond5IntroTime,19.43963716039434
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.887
Pond5Fish1_PondTime,27.749
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,1000
Pond5Fish1_TimeLeft,73.456
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.117
Pond5Fish2_PondTime,33.689
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,1010
Pond5Fish2_TimeLeft,67.516
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.837
Pond5Fish3_PondTime,39.857
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,1020
Pond5Fish3_TimeLeft,61.348
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.777
Pond5Fish4_PondTime,46.26
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,1030
Pond5Fish4_TimeLeft,54.945
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.972
Pond5Fish5_PondTime,52.955
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,1040
Pond5Fish5_TimeLeft,48.25
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.786
Pond5Fish6_PondTime,59.954
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,1050
Pond5Fish6_TimeLeft,41.251
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.823
Pond5Fish7_PondTime,67.374
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,1060
Pond5Fish7_TimeLeft,33.831
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.02
Pond5Fish8_PondTime,75.22
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,1070
Pond5Fish8_TimeLeft,25.985
Pond5_GiveUpTime,0.817
Pond5_PondTime,83.895
Pond5_PondOutcome,80
Pond5_TotalOutcome,1070
Pond5_TimeLeft,17.31
Pond9IntroTime,14.71984806470573
