,5c629a00794c4a0001058978
Pond10Fish9_PondTime,92.055
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,890
Pond10Fish9_TimeLeft,81.299
Pond10_Type,RT
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,0.886
Pond10Fish10_PondTime,104.417
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,900
Pond10Fish10_TimeLeft,68.937
Pond10_GiveUpTime,5.669
Pond10_PondTime,109.57
Pond10_PondOutcome,120
Pond10_TotalOutcome,900
Pond10_TimeLeft,63.783
Pond12IntroTime,18.270702986046672
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.941
Pond12Fish1_PondTime,27.445
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,910
Pond12Fish1_TimeLeft,36.338
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.207
Pond12Fish2_PondTime,34.422
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,920
Pond12Fish2_TimeLeft,29.361
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.684
Pond12Fish3_PondTime,41.782
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,930
Pond12Fish3_TimeLeft,22.001
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.928
Pond12Fish4_PondTime,49.598
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,940
Pond12Fish4_TimeLeft,14.185
Pond12_Type,RT
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.806
Pond12Fish5_PondTime,57.958
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,960
Pond12Fish5_TimeLeft,5.825
