,5d8d17dacb67210018b69dc3
Pond2Fish1_TimeLeft,980.537
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.701
Pond2Fish2_PondTime,18.153
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,208
Pond2Fish2_TimeLeft,972.111
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.789
Pond2Fish3_PondTime,27.233
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,220
Pond2Fish3_TimeLeft,963.031
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.696
Pond2Fish4_PondTime,37.096
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,222
Pond2Fish4_TimeLeft,953.168
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.599
Pond2Fish5_PondTime,48.031
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,234
Pond2Fish5_TimeLeft,942.233
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.215
Pond2Fish6_PondTime,60.392
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,246
Pond2Fish6_TimeLeft,929.872
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,0.568
PondTime,74.305
TimeLeft,915.453
PondOutcome,62
TotalOutcome,246
PondStart,PondStart
PondIntroTime,12.046320377849042
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.058
Pond12Fish1_PondTime,8.887
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,248
Pond12Fish1_TimeLeft,893.9
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.048
Pond12Fish2_PondTime,16.299
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,260
Pond12Fish2_TimeLeft,886.488
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.984
Pond12Fish3_PondTime,24.163
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,272
Pond12Fish3_TimeLeft,878.624
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.113
Pond12Fish4_PondTime,32.535
Pond12Fish4_PondOutcome,28
Pond12Fish4_TotalOutcome,274
Pond12Fish4_TimeLeft,870.252
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.789
Pond12Fish5_PondTime,41.581
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,286
Pond12Fish5_TimeLeft,861.206
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.08
Pond12Fish6_PondTime,51.441
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,298
Pond12Fish6_TimeLeft,851.346
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.994
Pond12Fish7_PondTime,62.377
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,310
Pond12Fish7_TimeLeft,840.41
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.901
Pond12Fish8_PondTime,74.74
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,322
Pond12Fish8_TimeLeft,828.047
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,gray
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.139
Pond12Fish9_PondTime,89.103
Pond12Fish9_PondOutcome,78
Pond12Fish9_TotalOutcome,324
Pond12Fish9_TimeLeft,813.684
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.93
PondTime,89.371
TimeLeft,812.909
PondOutcome,78
TotalOutcome,324
PondStart,PondStart
PondIntroTime,17.46578837512061
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.768
Pond8Fish1_PondTime,8.573
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,336
Pond8Fish1_TimeLeft,786.242
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.875
Pond8Fish2_PondTime,15.553
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,348
Pond8Fish2_TimeLeft,779.262
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.812
Pond8Fish3_PondTime,22.913
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,360
Pond8Fish3_TimeLeft,771.902
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.001
Pond8Fish4_PondTime,30.789
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,372
Pond8Fish4_TimeLeft,764.026
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.696
Pond8Fish5_PondTime,39.149
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,384
Pond8Fish5_TimeLeft,755.666
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.915
Pond8Fish6_PondTime,48.178
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,396
Pond8Fish6_TimeLeft,746.637
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.276
Pond8Fish7_PondTime,58.042
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,408
Pond8Fish7_TimeLeft,736.772
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.945
Pond8Fish8_PondTime,68.98
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,420
Pond8Fish8_TimeLeft,725.835
PondEnd_LastFish,8
FishN,15
Type,RD
GiveUpTime,0.467
PondTime,80.864
TimeLeft,713.444
PondOutcome,96
TotalOutcome,420
PondStart,PondStart
PondIntroTime,18.231539537664503
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.052
Pond9Fish1_PondTime,7.621
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,432
Pond9Fish1_TimeLeft,686.965
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,gray
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.994
Pond9Fish2_PondTime,13.513
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,434
Pond9Fish2_TimeLeft,681.073
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.801
Pond9Fish3_PondTime,19.657
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,446
Pond9Fish3_TimeLeft,674.929
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.876
Pond9Fish4_PondTime,26.077
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,458
Pond9Fish4_TimeLeft,668.509
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.928
Pond9Fish5_PondTime,32.794
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,470
Pond9Fish5_TimeLeft,661.792
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.892
Pond9Fish6_PondTime,39.822
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,482
Pond9Fish6_TimeLeft,654.764
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.066
Pond9Fish7_PondTime,47.248
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,494
Pond9Fish7_TimeLeft,647.338
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.073
Pond9Fish8_PondTime,55.104
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,506
Pond9Fish8_TimeLeft,639.482
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.208
Pond9Fish9_PondTime,63.465
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,518
Pond9Fish9_TimeLeft,631.121
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.975
Pond9Fish10_PondTime,72.49
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,530
Pond9Fish10_TimeLeft,622.096
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.932
Pond9Fish11_PondTime,82.417
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,542
Pond9Fish11_TimeLeft,612.169
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.042
Pond9Fish12_PondTime,93.35
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,554
Pond9Fish12_TimeLeft,601.236
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.355
PondTime,105.403
TimeLeft,588.679
PondOutcome,134
TotalOutcome,554
PondStart,PondStart
PondIntroTime,18.84062888333574
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.982
Pond1Fish1_PondTime,8.959
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,566
Pond1Fish1_TimeLeft,560.263
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.98
Pond1Fish2_PondTime,16.361
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,578
Pond1Fish2_TimeLeft,552.861
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.334
Pond1Fish3_PondTime,24.175
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,590
Pond1Fish3_TimeLeft,545.047
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.838
Pond1Fish4_PondTime,32.535
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,602
Pond1Fish4_TimeLeft,536.687
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.086
Pond1Fish5_PondTime,41.56
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,614
Pond1Fish5_TimeLeft,527.662
PondEnd_LastFish,5
FishN,14
Type,RD
GiveUpTime,0.536
PondTime,51.207
TimeLeft,517.51
PondOutcome,60
TotalOutcome,614
PondStart,PondStart
PondIntroTime,14.187752504367381
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.152
Pond10Fish1_PondTime,7.605
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,626
Pond10Fish1_TimeLeft,495.089
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,0.795
Pond10Fish2_PondTime,13.499
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,638
Pond10Fish2_TimeLeft,489.195
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.934
Pond10Fish3_PondTime,19.615
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,650
Pond10Fish3_TimeLeft,483.078
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.771
Pond10Fish4_PondTime,25.978
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,662
Pond10Fish4_TimeLeft,476.716
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.584
Pond10Fish5_PondTime,32.678
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,674
Pond10Fish5_TimeLeft,470.016
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.796
Pond10Fish6_PondTime,39.659
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,686
Pond10Fish6_TimeLeft,463.034
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,gray
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.706
Pond10Fish7_PondTime,47.06
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,688
Pond10Fish7_TimeLeft,455.634
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.7
Pond10Fish8_PondTime,54.874
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,700
Pond10Fish8_TimeLeft,447.82
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.771
Pond10Fish9_PondTime,63.283
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,712
Pond10Fish9_TimeLeft,439.411
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.724
Pond10Fish10_PondTime,72.37
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,724
Pond10Fish10_TimeLeft,430.324
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.688
Pond10Fish11_PondTime,82.294
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,736
Pond10Fish11_TimeLeft,420.398
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,0.829
PondTime,93.143
TimeLeft,409.047
PondOutcome,122
TotalOutcome,736
PondStart,PondStart
PondIntroTime,17.12268444010988
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.939
Pond4Fish1_PondTime,9.791
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,738
Pond4Fish1_TimeLeft,381.522
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.99
Pond4Fish2_PondTime,18.456
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,750
Pond4Fish2_TimeLeft,372.857
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.765
Pond4Fish3_PondTime,27.484
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,762
Pond4Fish3_TimeLeft,363.829
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.011
Pond4Fish4_PondTime,37.343
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,774
Pond4Fish4_TimeLeft,353.97
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.249
Pond4Fish5_PondTime,48.271
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,786
Pond4Fish5_TimeLeft,343.042
PondEnd_LastFish,5
FishN,12
Type,RD
GiveUpTime,0.583
PondTime,48.315
TimeLeft,342.493
PondOutcome,50
TotalOutcome,786
PondStart,PondStart
PondIntroTime,15.199582588393241
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.984
Pond3Fish1_PondTime,9.726
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,798
Pond3Fish1_TimeLeft,316.944
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.909
Pond3Fish2_PondTime,18.106
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,800
Pond3Fish2_TimeLeft,308.564
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.184
Pond3Fish3_PondTime,27.153
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,812
Pond3Fish3_TimeLeft,299.517
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.829
Pond3Fish4_PondTime,37.065
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,824
Pond3Fish4_TimeLeft,289.605
PondEnd_LastFish,4
FishN,12
Type,RD
GiveUpTime,0.556
PondTime,47.889
TimeLeft,278.276
PondOutcome,38
TotalOutcome,824
PondStart,PondStart
PondIntroTime,10.639935561921448
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.834
Pond7Fish1_PondTime,8.025
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,836
Pond7Fish1_TimeLeft,258.993
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.804
Pond7Fish2_PondTime,14.399
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,848
Pond7Fish2_TimeLeft,252.619
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.038
Pond7Fish3_PondTime,21.052
Pond7Fish3_PondOutcome,36
