,5b780f891c89e50001d6e8b1
Pond3Fish4_PondTime,37.105
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,234
Pond3Fish4_TimeLeft,923.591
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.843
Pond3Fish5_PondTime,48.031
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,246
Pond3Fish5_TimeLeft,912.665
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.776
Pond3Fish6_PondTime,60.394
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,258
Pond3Fish6_TimeLeft,900.302
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.059
Pond3Fish7_PondTime,74.752
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,270
Pond3Fish7_TimeLeft,885.944
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.714
PondTime,91.997
TimeLeft,868.198
PondOutcome,84
TotalOutcome,270
PondStart,PondStart
PondIntroTime,19.27396576385945
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.84
Pond6Fish1_PondTime,8.017
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,282
Pond6Fish1_TimeLeft,840.295
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.197
Pond6Fish2_PondTime,14.372
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,294
Pond6Fish2_TimeLeft,833.94
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.133
Pond6Fish3_PondTime,21.012
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,306
Pond6Fish3_TimeLeft,827.299
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.137
Pond6Fish4_PondTime,27.987
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,318
Pond6Fish4_TimeLeft,820.325
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.213
Pond6Fish5_PondTime,35.341
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,320
Pond6Fish5_TimeLeft,812.97
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.943
Pond6Fish6_PondTime,43.155
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,332
Pond6Fish6_TimeLeft,805.157
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.397
Pond6Fish7_PondTime,51.511
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,344
Pond6Fish7_TimeLeft,796.801
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.151
Pond6Fish8_PondTime,60.531
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,356
Pond6Fish8_TimeLeft,787.781
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.167
Pond6Fish9_PondTime,70.387
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,368
Pond6Fish9_TimeLeft,777.925
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.113
Pond6Fish10_PondTime,81.312
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,380
Pond6Fish10_TimeLeft,767
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.157
Pond6Fish11_PondTime,93.669
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,392
Pond6Fish11_TimeLeft,754.643
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.731
PondTime,93.757
TimeLeft,754.054
PondOutcome,122
TotalOutcome,392
PondStart,PondStart
PondIntroTime,10.368773869704455
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.372
Pond10Fish1_PondTime,8.553
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,404
Pond10Fish1_TimeLeft,734.522
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.168
Pond10Fish2_PondTime,15.525
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,416
Pond10Fish2_TimeLeft,727.55
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.38
Pond10Fish3_PondTime,22.882
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,428
Pond10Fish3_TimeLeft,720.193
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.168
Pond10Fish4_PondTime,30.695
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,440
Pond10Fish4_TimeLeft,712.38
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.924
Pond10Fish5_PondTime,39.05
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,452
Pond10Fish5_TimeLeft,704.025
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.093
Pond10Fish6_PondTime,48.071
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,464
Pond10Fish6_TimeLeft,695.004
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.248
Pond10Fish7_PondTime,57.933
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,476
Pond10Fish7_TimeLeft,685.142
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.411
Pond10Fish8_PondTime,68.86
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,488
Pond10Fish8_TimeLeft,674.215
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.095
Pond10Fish9_PondTime,81.216
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,500
Pond10Fish9_TimeLeft,661.859
PondEnd_LastFish,9
FishN,15
Type,RD
GiveUpTime,1.194
PondTime,81.704
TimeLeft,660.869
PondOutcome,108
TotalOutcome,500
PondStart,PondStart
PondIntroTime,14.079069392755628
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.266
Pond5Fish1_PondTime,8.886
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,512
Pond5Fish1_TimeLeft,637.289
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.871
Pond5Fish2_PondTime,16.243
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,524
Pond5Fish2_TimeLeft,629.932
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.848
Pond5Fish3_PondTime,24.055
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,536
Pond5Fish3_TimeLeft,622.12
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.646
Pond5Fish4_PondTime,32.41
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,548
Pond5Fish4_TimeLeft,613.765
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.279
Pond5Fish5_PondTime,41.432
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,560
Pond5Fish5_TimeLeft,604.743
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.049
Pond5Fish6_PondTime,51.287
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,572
Pond5Fish6_TimeLeft,594.887
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.419
Pond5Fish7_PondTime,62.214
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,584
Pond5Fish7_TimeLeft,583.961
PondEnd_LastFish,7
FishN,14
Type,RD
GiveUpTime,0.9
PondTime,74.292
TimeLeft,571.382
PondOutcome,84
TotalOutcome,584
PondStart,PondStart
PondIntroTime,16.271507805213332
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.049
Pond1Fish1_PondTime,9.72
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,596
Pond1Fish1_TimeLeft,544.782
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.949
Pond1Fish2_PondTime,18.076
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,608
Pond1Fish2_TimeLeft,536.426
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.863
Pond1Fish3_PondTime,27.097
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,620
Pond1Fish3_TimeLeft,527.405
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.231
Pond1Fish4_PondTime,36.953
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,622
Pond1Fish4_TimeLeft,517.549
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.267
Pond1Fish5_PondTime,47.884
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,634
Pond1Fish5_TimeLeft,506.618
PondEnd_LastFish,5
FishN,12
Type,RD
GiveUpTime,0.6
PondTime,59.899
TimeLeft,494.102
PondOutcome,50
TotalOutcome,634
PondStart,PondStart
PondIntroTime,10.67224996862933
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.162
Pond2Fish1_PondTime,7.797
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,646
Pond2Fish1_TimeLeft,475.022
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.994
Pond2Fish2_PondTime,13.909
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,658
Pond2Fish2_TimeLeft,468.91
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.743
Pond2Fish3_PondTime,20.269
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,670
Pond2Fish3_TimeLeft,462.55
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.999
Pond2Fish4_PondTime,26.911
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,682
Pond2Fish4_TimeLeft,455.908
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.939
Pond2Fish5_PondTime,33.882
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,694
Pond2Fish5_TimeLeft,448.937
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.095
Pond2Fish6_PondTime,41.238
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,706
Pond2Fish6_TimeLeft,441.581
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,0.865
Pond2Fish7_PondTime,49.052
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,708
Pond2Fish7_TimeLeft,433.767
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.831
Pond2Fish8_PondTime,57.413
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,720
Pond2Fish8_TimeLeft,425.406
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.929
Pond2Fish9_PondTime,66.436
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,732
Pond2Fish9_TimeLeft,416.383
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.738
Pond2Fish10_PondTime,76.291
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,744
Pond2Fish10_TimeLeft,406.528
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.854
Pond2Fish11_PondTime,87.223
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,756
Pond2Fish11_TimeLeft,395.596
PondEnd_LastFish,11
FishN,18
Type,RD
GiveUpTime,0.554
PondTime,99.143
TimeLeft,383.174
PondOutcome,122
TotalOutcome,756
PondStart,PondStart
PondIntroTime,13.784843131434172
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.9
Pond4Fish1_PondTime,8.885
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,768
Pond4Fish1_TimeLeft,359.891
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.161
Pond4Fish2_PondTime,16.241
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,780
Pond4Fish2_TimeLeft,352.535
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.187
Pond4Fish3_PondTime,24.055
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,792
Pond4Fish3_TimeLeft,344.721
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.287
Pond4Fish4_PondTime,32.409
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,804
Pond4Fish4_TimeLeft,336.367
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.881
Pond4Fish5_PondTime,41.431
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,816
Pond4Fish5_TimeLeft,327.345
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.13
Pond4Fish6_PondTime,51.287
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,828
Pond4Fish6_TimeLeft,317.489
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.062
Pond4Fish7_PondTime,62.219
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,840
Pond4Fish7_TimeLeft,306.557
PondEnd_LastFish,7
FishN,14
Type,RD
GiveUpTime,0.615
PondTime,74.436
TimeLeft,293.839
PondOutcome,84
TotalOutcome,840
PondStart,PondStart
PondIntroTime,19.531362808775157
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.174
Pond7Fish1_PondTime,8.019
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,852
Pond7Fish1_TimeLeft,265.675
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.124
Pond7Fish2_PondTime,14.379
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,864
Pond7Fish2_TimeLeft,259.315
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.58
Pond7Fish3_PondTime,21.019
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,876
Pond7Fish3_TimeLeft,252.675
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.999
Pond7Fish4_PondTime,27.993
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,888
Pond7Fish4_TimeLeft,245.701
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.836
Pond7Fish5_PondTime,35.348
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,900
Pond7Fish5_TimeLeft,238.346
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.054
Pond7Fish6_PondTime,43.162
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,912
Pond7Fish6_TimeLeft,230.532
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.836
Pond7Fish7_PondTime,51.525
Pond7Fish7_PondOutcome,84
