,5dd5d22886c8865a3dfc92eb
PondStart,PondStart
PondIntroTime,10.611542838159949
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.905
Pond3Fish1_PondTime,8.908
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,596
Pond3Fish1_TimeLeft,564.306
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.125
Pond3Fish2_PondTime,16.274
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,608
Pond3Fish2_TimeLeft,556.94
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.922
Pond3Fish3_PondTime,24.108
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,620
Pond3Fish3_TimeLeft,549.106
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.405
Pond3Fish4_PondTime,32.476
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,632
Pond3Fish4_TimeLeft,540.738
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.142
Pond3Fish5_PondTime,41.511
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,634
Pond3Fish5_TimeLeft,531.703
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.127
Pond3Fish6_PondTime,51.393
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,646
Pond3Fish6_TimeLeft,521.821
PondEnd_LastFish,6
FishN,14
Type,RD
GiveUpTime,2.391
PondTime,53.114
TimeLeft,519.599
PondOutcome,62
TotalOutcome,646
PondStart,PondStart
PondIntroTime,11.768869359511882
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.988
Pond1Fish1_PondTime,9.744
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,658
Pond1Fish1_TimeLeft,497.445
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.124
Pond1Fish2_PondTime,19.627
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,670
Pond1Fish2_TimeLeft,487.562
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.126
Pond1Fish3_PondTime,28.679
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,682
Pond1Fish3_TimeLeft,478.509
PondEnd_LastFish,3
FishN,12
Type,RD
GiveUpTime,0.688
PondTime,28.699
TimeLeft,477.987
PondOutcome,36
TotalOutcome,682
PondStart,PondStart
PondIntroTime,18.0186389060691
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.098
Pond4Fish1_PondTime,7.824
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,694
Pond4Fish1_TimeLeft,451.501
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.073
Pond4Fish2_PondTime,13.941
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,706
Pond4Fish2_TimeLeft,445.384
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.286
Pond4Fish3_PondTime,20.327
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,718
Pond4Fish3_TimeLeft,438.998
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.826
Pond4Fish4_PondTime,26.998
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,730
Pond4Fish4_TimeLeft,432.327
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.906
Pond4Fish5_PondTime,33.981
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,732
Pond4Fish5_TimeLeft,425.344
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.664
Pond4Fish6_PondTime,41.367
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,744
Pond4Fish6_TimeLeft,417.958
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.744
Pond4Fish7_PondTime,49.2
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,756
Pond4Fish7_TimeLeft,410.125
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.391
Pond4Fish8_PondTime,57.582
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,768
Pond4Fish8_TimeLeft,401.743
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.61
Pond4Fish9_PondTime,66.627
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,780
Pond4Fish9_TimeLeft,392.698
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,0.77
Pond4Fish10_PondTime,76.502
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,792
Pond4Fish10_TimeLeft,382.823
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.828
Pond4Fish11_PondTime,87.454
Pond4Fish11_PondOutcome,122
Pond4Fish11_TotalOutcome,804
Pond4Fish11_TimeLeft,371.871
PondEnd_LastFish,11
FishN,18
Type,RD
GiveUpTime,0.848
PondTime,99.812
TimeLeft,359.009
PondOutcome,122
TotalOutcome,804
PondStart,PondStart
PondIntroTime,12.174986363388598
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.912
Pond2Fish1_PondTime,8.286
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,816
Pond2Fish1_TimeLeft,337.906
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.073
Pond2Fish2_PondTime,14.943
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,828
Pond2Fish2_TimeLeft,331.249
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.183
Pond2Fish3_PondTime,21.928
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,840
Pond2Fish3_TimeLeft,324.264
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.854
Pond2Fish4_PondTime,29.31
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,852
Pond2Fish4_TimeLeft,316.882
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.002
Pond2Fish5_PondTime,37.149
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,864
Pond2Fish5_TimeLeft,309.043
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.983
Pond2Fish6_PondTime,45.53
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,876
Pond2Fish6_TimeLeft,300.662
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.023
Pond2Fish7_PondTime,54.574
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,888
Pond2Fish7_TimeLeft,291.618
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.36
Pond2Fish8_PondTime,64.446
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,900
Pond2Fish8_TimeLeft,281.745
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.786
Pond2Fish9_PondTime,75.495
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,912
Pond2Fish9_TimeLeft,270.697
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.218
