,5dd28cf3fef7c229fd984072
PondStart,PondStart
PondIntroTime,16.37600512476638
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.954
Pond5Fish1_PondTime,8.917
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,382
Pond5Fish1_TimeLeft,742.924
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.964
Pond5Fish2_PondTime,16.311
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,394
Pond5Fish2_TimeLeft,735.53
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.099
Pond5Fish3_PondTime,24.148
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,406
Pond5Fish3_TimeLeft,727.693
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.077
Pond5Fish4_PondTime,32.543
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,418
Pond5Fish4_TimeLeft,719.298
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.229
Pond5Fish5_PondTime,41.603
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,430
Pond5Fish5_TimeLeft,710.238
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.946
Pond5Fish6_PondTime,51.737
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,442
Pond5Fish6_TimeLeft,700.104
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.835
Pond5Fish7_PondTime,62.707
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,454
Pond5Fish7_TimeLeft,689.134
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.413
Pond5Fish8_PondTime,75.113
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,466
Pond5Fish8_TimeLeft,676.728
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.047
Pond5Fish9_PondTime,89.487
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,478
Pond5Fish9_TimeLeft,662.354
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,0.939
Pond5Fish10_PondTime,106.867
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,490
Pond5Fish10_TimeLeft,644.974
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.958
Pond5Fish11_PondTime,129.261
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,502
Pond5Fish11_TimeLeft,622.58
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,24.548
PondTime,152.959
TimeLeft,598.38
PondOutcome,122
TotalOutcome,502
PondStart,PondStart
PondIntroTime,11.943789583165199
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.227
Pond11Fish1_PondTime,8.917
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,514
Pond11Fish1_TimeLeft,576.901
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.923
Pond11Fish2_PondTime,16.309
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,526
Pond11Fish2_TimeLeft,569.509
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.596
Pond11Fish3_PondTime,24.176
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,538
Pond11Fish3_TimeLeft,561.642
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,32.61
Pond11Fish4_PondOutcome,36
Pond11Fish4_TotalOutcome,538
Pond11Fish4_TimeLeft,553.208
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.777
Pond11Fish5_PondTime,41.76
Pond11Fish5_PondOutcome,48
Pond11Fish5_TotalOutcome,550
Pond11Fish5_TimeLeft,544.058
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.012
Pond11Fish6_PondTime,51.637
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,562
Pond11Fish6_TimeLeft,534.181
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.351
Pond11Fish7_PondTime,62.592
Pond11Fish7_PondOutcome,72
Pond11Fish7_TotalOutcome,574
Pond11Fish7_TimeLeft,523.226
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.931
Pond11Fish8_PondTime,74.956
Pond11Fish8_PondOutcome,84
Pond11Fish8_TotalOutcome,586
Pond11Fish8_TimeLeft,510.862
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.967
Pond11Fish9_PondTime,89.343
Pond11Fish9_PondOutcome,96
Pond11Fish9_TotalOutcome,598
Pond11Fish9_TimeLeft,496.475
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,1.074
Pond11Fish10_PondTime,106.715
Pond11Fish10_PondOutcome,108
Pond11Fish10_TotalOutcome,610
Pond11Fish10_TimeLeft,479.103
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,0.805
Pond11Fish11_PondTime,129.115
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,622
Pond11Fish11_TimeLeft,456.703
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,18.651
PondTime,146.744
TimeLeft,438.572
PondOutcome,120
TotalOutcome,622
PondStart,PondStart
PondIntroTime,19.50547518208623
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,gray
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.207
Pond9Fish1_PondTime,8.307
Pond9Fish1_PondOutcome,2
Pond9Fish1_TotalOutcome,624
Pond9Fish1_TimeLeft,410.139
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.052
Pond9Fish2_PondTime,14.997
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,636
Pond9Fish2_TimeLeft,403.449
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.588
Pond9Fish3_PondTime,22.014
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,648
Pond9Fish3_TimeLeft,396.432
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.334
Pond9Fish4_PondTime,29.379
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,660
Pond9Fish4_TimeLeft,389.067
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.687
Pond9Fish5_PondTime,37.221
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,672
Pond9Fish5_TimeLeft,381.225
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.016
Pond9Fish6_PondTime,45.579
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,684
Pond9Fish6_TimeLeft,372.867
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.193
Pond9Fish7_PondTime,54.608
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,696
Pond9Fish7_TimeLeft,363.838
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,0.991
Pond9Fish8_PondTime,64.5
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,708
Pond9Fish8_TimeLeft,353.946
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.212
Pond9Fish9_PondTime,75.438
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,720
Pond9Fish9_TimeLeft,343.008
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,1.047
Pond9Fish10_PondTime,87.846
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,732
Pond9Fish10_TimeLeft,330.6
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,1.057
Pond9Fish11_PondTime,102.243
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,744
Pond9Fish11_TimeLeft,316.203
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.647
PondTime,119.493
TimeLeft,298.45
PondOutcome,122
TotalOutcome,744
PondStart,PondStart
PondIntroTime,12.139954580925405
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.984
Pond12Fish1_PondTime,8.059
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,756
Pond12Fish1_TimeLeft,277.642
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.032
Pond12Fish2_PondTime,14.417
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,768
Pond12Fish2_TimeLeft,271.284
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.936
Pond12Fish3_PondTime,21.081
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,780
Pond12Fish3_TimeLeft,264.62
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.114
Pond12Fish4_PondTime,28.064
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,792
Pond12Fish4_TimeLeft,257.637
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.436
Pond12Fish5_PondTime,35.447
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,804
Pond12Fish5_TimeLeft,250.254
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.844
Pond12Fish6_PondTime,43.262
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,816
Pond12Fish6_TimeLeft,242.439
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.127
Pond12Fish7_PondTime,51.641
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,828
Pond12Fish7_TimeLeft,234.06
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.614
Pond12Fish8_PondTime,60.7
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,840
Pond12Fish8_TimeLeft,225.001
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,-1
Pond12Fish9_PondTime,70.668
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,840
Pond12Fish9_TimeLeft,215.033
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,gray
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.956
Pond12Fish10_PondTime,81.624
Pond12Fish10_PondOutcome,98
Pond12Fish10_TotalOutcome,842
Pond12Fish10_TimeLeft,204.077
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.175
Pond12Fish11_PondTime,93.995
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,854
Pond12Fish11_TimeLeft,191.706
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,1.328
Pond12Fish12_PondTime,108.394
Pond12Fish12_PondOutcome,122
Pond12Fish12_TotalOutcome,866
Pond12Fish12_TimeLeft,177.307
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,0.925
Pond12Fish13_PondTime,125.773
Pond12Fish13_PondOutcome,134
Pond12Fish13_TotalOutcome,878
Pond12Fish13_TimeLeft,159.928
Type,RD
FishN,15
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,15
Pond12Fish14_CatchTime,1.032
Pond12Fish14_PondTime,148.174
Pond12Fish14_PondOutcome,146
Pond12Fish14_TotalOutcome,890
Pond12Fish14_TimeLeft,137.527
Type,RD
FishN,15
Fish,15
Pond12Fish15_FishType,blue
Pond12Fish15_FishLatency,20
Pond12Fish15_CatchTime,1.151
Pond12Fish15_PondTime,180.555
Pond12Fish15_PondOutcome,158
Pond12Fish15_TotalOutcome,902
Pond12Fish15_TimeLeft,105.146
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,0.707
PondTime,180.611
TimeLeft,104.587
PondOutcome,158
TotalOutcome,902
PondStart,PondStart
PondIntroTime,17.466313000768423
Type,RD
FishN,12
Fish,1
