,5c3f206637382200016ad5a8
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.13
Pond11Fish2_PondTime,13.548
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1188.85
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,2.059
Pond11Fish3_PondTime,19.755
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1182.643
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.78
Pond11Fish4_PondTime,26.178
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1176.22
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.492
Pond11Fish5_PondTime,32.878
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,60
Pond11Fish5_TimeLeft,1169.52
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.199
Pond11Fish6_PondTime,39.89
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,72
Pond11Fish6_TimeLeft,1162.507
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.268
Pond11Fish7_PondTime,47.303
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,84
Pond11Fish7_TimeLeft,1155.095
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,0.82
Pond11Fish8_PondTime,55.168
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,96
Pond11Fish8_TimeLeft,1147.23
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,1.029
Pond11Fish9_PondTime,63.579
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,108
Pond11Fish9_TimeLeft,1138.819
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,1.136
Pond11Fish10_PondTime,72.643
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,120
Pond11Fish10_TimeLeft,1129.755
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,0.942
PondTime,72.92
TimeLeft,1128.974
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,13.953251200728118
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.256
Pond6Fish1_PondTime,9.315
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,132
Pond6Fish1_TimeLeft,1105.034
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.039
Pond6Fish2_PondTime,17.176
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,144
Pond6Fish2_TimeLeft,1097.173
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.81
Pond6Fish3_PondTime,25.569
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,156
Pond6Fish3_TimeLeft,1088.78
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.811
Pond6Fish4_PondTime,34.635
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,168
Pond6Fish4_TimeLeft,1079.714
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.307
Pond6Fish5_PondTime,44.562
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,180
Pond6Fish5_TimeLeft,1069.787
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.91
Pond6Fish6_PondTime,55.525
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,192
Pond6Fish6_TimeLeft,1058.824
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.383
Pond6Fish7_PondTime,67.935
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,204
Pond6Fish7_TimeLeft,1046.414
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,0.837
Pond6Fish8_PondTime,82.312
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,216
Pond6Fish8_TimeLeft,1032.037
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,1.206
Pond6Fish9_PondTime,99.704
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,228
Pond6Fish9_TimeLeft,1014.645
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,1.292
Pond6Fish10_PondTime,122.077
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,240
Pond6Fish10_TimeLeft,992.272
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.206
PondTime,122.827
TimeLeft,991.019
PondOutcome,120
TotalOutcome,240
PondStart,PondStart
PondIntroTime,18.67986453231424
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.952
Pond4Fish1_PondTime,8.32
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,252
Pond4Fish1_TimeLeft,963.314
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.209
Pond4Fish2_PondTime,14.999
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,264
Pond4Fish2_TimeLeft,956.635
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.125
Pond4Fish3_PondTime,22.012
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,276
Pond4Fish3_TimeLeft,949.622
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.959
Pond4Fish4_PondTime,29.409
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,288
Pond4Fish4_TimeLeft,942.225
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.869
Pond4Fish5_PondTime,37.262
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,300
Pond4Fish5_TimeLeft,934.372
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.213
Pond4Fish6_PondTime,45.662
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,312
Pond4Fish6_TimeLeft,925.972
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.093
Pond4Fish7_PondTime,54.758
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,324
Pond4Fish7_TimeLeft,916.876
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.334
Pond4Fish8_PondTime,64.646
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,336
Pond4Fish8_TimeLeft,906.988
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.085
Pond4Fish9_PondTime,75.641
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,348
Pond4Fish9_TimeLeft,895.993
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.811
Pond4Fish10_PondTime,88.069
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,360
Pond4Fish10_TimeLeft,883.565
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,0.862
Pond4Fish11_PondTime,102.457
Pond4Fish11_PondOutcome,132
Pond4Fish11_TotalOutcome,372
Pond4Fish11_TimeLeft,869.177
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,gray
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.224
Pond4Fish12_PondTime,119.838
Pond4Fish12_PondOutcome,134
Pond4Fish12_TotalOutcome,374
Pond4Fish12_TimeLeft,851.796
PondEnd_LastFish,12
FishN,16
Type,RD
GiveUpTime,15.101
PondTime,134.369
TimeLeft,836.761
PondOutcome,134
TotalOutcome,374
PondStart,PondStart
PondIntroTime,19.55135757336393
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.762
Pond7Fish1_PondTime,8.066
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,386
Pond7Fish1_TimeLeft,808.515
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.811
Pond7Fish2_PondTime,14.484
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,398
Pond7Fish2_TimeLeft,802.097
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.994
Pond7Fish3_PondTime,21.152
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,410
Pond7Fish3_TimeLeft,795.429
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.23
Pond7Fish4_PondTime,28.161
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,422
Pond7Fish4_TimeLeft,788.42
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.268
Pond7Fish5_PondTime,35.549
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,434
Pond7Fish5_TimeLeft,781.032
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.507
Pond7Fish6_PondTime,43.387
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,446
Pond7Fish6_TimeLeft,773.194
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.911
Pond7Fish7_PondTime,51.777
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,458
Pond7Fish7_TimeLeft,764.804
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.001
Pond7Fish8_PondTime,60.856
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,460
Pond7Fish8_TimeLeft,755.725
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.17
Pond7Fish9_PondTime,70.767
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,472
Pond7Fish9_TimeLeft,745.814
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.137
Pond7Fish10_PondTime,81.745
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,484
Pond7Fish10_TimeLeft,734.836
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.343
Pond7Fish11_PondTime,94.139
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,496
Pond7Fish11_TimeLeft,722.442
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.008
Pond7Fish12_PondTime,108.532
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,508
Pond7Fish12_TimeLeft,708.048
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,0.534
PondTime,125.709
TimeLeft,690.368
PondOutcome,134
TotalOutcome,508
PondStart,PondStart
PondIntroTime,18.918987710494548
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.29
Pond2Fish1_PondTime,9.347
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,510
Pond2Fish1_TimeLeft,661.474
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.434
Pond2Fish2_PondTime,17.209
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,522
Pond2Fish2_TimeLeft,653.612
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.156
Pond2Fish3_PondTime,25.621
Pond2Fish3_PondOutcome,16
Pond2Fish3_TotalOutcome,524
Pond2Fish3_TimeLeft,645.2
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.157
Pond2Fish4_PondTime,34.695
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,536
Pond2Fish4_TimeLeft,636.126
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.072
Pond2Fish5_PondTime,44.608
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,548
Pond2Fish5_TimeLeft,626.213
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.813
Pond2Fish6_PondTime,55.544
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,560
Pond2Fish6_TimeLeft,615.277
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.95
Pond2Fish7_PondTime,67.928
Pond2Fish7_PondOutcome,54
Pond2Fish7_TotalOutcome,562
Pond2Fish7_TimeLeft,602.892
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.95
Pond2Fish8_PondTime,82.312
Pond2Fish8_PondOutcome,66
Pond2Fish8_TotalOutcome,574
Pond2Fish8_TimeLeft,588.509
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.303
Pond2Fish9_PondTime,99.704
Pond2Fish9_PondOutcome,78
Pond2Fish9_TotalOutcome,586
Pond2Fish9_TimeLeft,571.117
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,1.072
Pond2Fish10_PondTime,122.088
Pond2Fish10_PondOutcome,90
Pond2Fish10_TotalOutcome,598
Pond2Fish10_TimeLeft,548.733
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,0.326
PondTime,153.951
TimeLeft,516.366
PondOutcome,90
TotalOutcome,598
PondStart,PondStart
PondIntroTime,17.85382048925385
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.173
Pond1Fish1_PondTime,9.726
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,610
Pond1Fish1_TimeLeft,488.156
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.124
Pond1Fish2_PondTime,18.087
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,622
Pond1Fish2_TimeLeft,479.795
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,gray
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.389
Pond1Fish3_PondTime,27.143
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,624
Pond1Fish3_TimeLeft,470.739
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.963
Pond1Fish4_PondTime,37.046
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,636
Pond1Fish4_TimeLeft,460.836
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.997
Pond1Fish5_PondTime,47.989
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,648
Pond1Fish5_TimeLeft,449.893
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,gray
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.258
Pond1Fish6_PondTime,60.352
Pond1Fish6_PondOutcome,52
Pond1Fish6_TotalOutcome,650
Pond1Fish6_TimeLeft,437.53
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.415
Pond1Fish7_PondTime,74.724
Pond1Fish7_PondOutcome,64
Pond1Fish7_TotalOutcome,662
Pond1Fish7_TimeLeft,423.158
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,gray
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.129
Pond1Fish8_PondTime,92.112
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,664
Pond1Fish8_TimeLeft,405.77
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.168
Pond1Fish9_PondTime,114.489
Pond1Fish9_PondOutcome,78
Pond1Fish9_TotalOutcome,676
Pond1Fish9_TimeLeft,383.393
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,0.462
PondTime,146.439
TimeLeft,350.937
PondOutcome,78
TotalOutcome,676
PondStart,PondStart
PondIntroTime,12.73583532543853
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.842
Pond8Fish1_PondTime,8.594
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,688
Pond8Fish1_TimeLeft,328.976
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.921
Pond8Fish2_PondTime,15.609
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,690
Pond8Fish2_TimeLeft,321.961
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.046
Pond8Fish3_PondTime,22.996
Pond8Fish3_PondOutcome,16
Pond8Fish3_TotalOutcome,692
Pond8Fish3_TimeLeft,314.574
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.2
Pond8Fish4_PondTime,30.826
Pond8Fish4_PondOutcome,28
Pond8Fish4_TotalOutcome,704
Pond8Fish4_TimeLeft,306.744
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.67
Pond8Fish5_PondTime,39.21
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,716
Pond8Fish5_TimeLeft,298.36
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.216
Pond8Fish6_PondTime,48.234
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,728
Pond8Fish6_TimeLeft,289.336
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.363
Pond8Fish7_PondTime,58.097
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,740
Pond8Fish7_TimeLeft,279.473
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.143
Pond8Fish8_PondTime,69.048
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,752
Pond8Fish8_TimeLeft,268.522
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.328
Pond8Fish9_PondTime,81.461
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,764
Pond8Fish9_TimeLeft,256.109
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.358
Pond8Fish10_PondTime,95.855
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,776
Pond8Fish10_TimeLeft,241.715
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.355
Pond8Fish11_PondTime,113.247
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,788
Pond8Fish11_TimeLeft,224.323
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.684
PondTime,113.5
TimeLeft,223.567
PondOutcome,112
TotalOutcome,788
PondStart,PondStart
PondIntroTime,11.457186252810061
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.037
Pond3Fish1_PondTime,7.604
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,800
Pond3Fish1_TimeLeft,203.878
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.422
Pond3Fish2_PondTime,13.496
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,812
Pond3Fish2_TimeLeft,197.986
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.06
Pond3Fish3_PondTime,19.623
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,824
Pond3Fish3_TimeLeft,191.859
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.085
Pond3Fish4_PondTime,25.995
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,836
Pond3Fish4_TimeLeft,185.487
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.055
Pond3Fish5_PondTime,32.67
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,848
Pond3Fish5_TimeLeft,178.812
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.124
Pond3Fish6_PondTime,39.681
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,860
Pond3Fish6_TimeLeft,171.801
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.009
Pond3Fish7_PondTime,47.077
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,872
Pond3Fish7_TimeLeft,164.405
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.108
Pond3Fish8_PondTime,54.925
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,884
Pond3Fish8_TimeLeft,156.557
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.172
Pond3Fish9_PondTime,63.339
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,896
Pond3Fish9_TimeLeft,148.143
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,gray
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.996
Pond3Fish10_PondTime,72.417
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,898
