,5d5d5ab72cdbc90001ea8ab8
Pond12Fish5_TotalOutcome,50
Pond12Fish5_TimeLeft,1163.166
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.984
Pond12Fish6_PondTime,48.306
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,62
Pond12Fish6_TimeLeft,1154.092
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.165
Pond12Fish7_PondTime,58.182
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,74
Pond12Fish7_TimeLeft,1144.216
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.371
Pond12Fish8_PondTime,69.13
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,76
Pond12Fish8_TimeLeft,1133.268
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.351
Pond12Fish9_PondTime,81.514
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,88
Pond12Fish9_TimeLeft,1120.884
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.018
Pond12Fish10_PondTime,95.89
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,100
Pond12Fish10_TimeLeft,1106.508
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.402
Pond12Fish11_PondTime,113.296
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,112
Pond12Fish11_TimeLeft,1089.102
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.393
Pond12Fish12_PondTime,135.678
Pond12Fish12_PondOutcome,124
Pond12Fish12_TotalOutcome,124
Pond12Fish12_TimeLeft,1066.72
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,1.146
Pond12Fish13_PondTime,168.042
Pond12Fish13_PondOutcome,136
Pond12Fish13_TotalOutcome,136
Pond12Fish13_TimeLeft,1034.356
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,26.447
PondTime,193.836
TimeLeft,1008.057
PondOutcome,136
TotalOutcome,136
PondStart,PondStart
PondIntroTime,10.693066788371652
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.991
Pond9Fish1_PondTime,8.951
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,148
Pond9Fish1_TimeLeft,987.756
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.176
Pond9Fish2_PondTime,16.334
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,160
Pond9Fish2_TimeLeft,980.373
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,24.213
Pond9Fish3_PondOutcome,24
Pond9Fish3_TotalOutcome,160
Pond9Fish3_TimeLeft,972.494
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.384
Pond9Fish4_PondTime,32.583
Pond9Fish4_PondOutcome,36
Pond9Fish4_TotalOutcome,172
Pond9Fish4_TimeLeft,964.124
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.855
Pond9Fish5_PondTime,41.798
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,184
Pond9Fish5_TimeLeft,954.909
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.262
Pond9Fish6_PondTime,51.681
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,196
Pond9Fish6_TimeLeft,945.026
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.384
Pond9Fish7_PondTime,62.649
Pond9Fish7_PondOutcome,72
Pond9Fish7_TotalOutcome,208
Pond9Fish7_TimeLeft,934.058
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.303
Pond9Fish8_PondTime,75.043
Pond9Fish8_PondOutcome,84
Pond9Fish8_TotalOutcome,220
Pond9Fish8_TimeLeft,921.664
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.09
Pond9Fish9_PondTime,89.461
Pond9Fish9_PondOutcome,96
Pond9Fish9_TotalOutcome,232
Pond9Fish9_TimeLeft,907.246
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.267
Pond9Fish10_PondTime,106.897
Pond9Fish10_PondOutcome,108
Pond9Fish10_TotalOutcome,244
Pond9Fish10_TimeLeft,889.81
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,15
Pond9Fish11_CatchTime,1.164
Pond9Fish11_PondTime,129.28
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,256
Pond9Fish11_TimeLeft,867.427
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,20
Pond9Fish12_CatchTime,-1
Pond9Fish12_PondTime,161.759
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,256
Pond9Fish12_TimeLeft,834.948
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,55.161
PondTime,183.819
TimeLeft,812.362
PondOutcome,120
TotalOutcome,256
PondStart,PondStart
PondIntroTime,15.120888194069266
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.346
Pond11Fish1_PondTime,9.759
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,268
Pond11Fish1_TimeLeft,786.816
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,gray
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.714
Pond11Fish2_PondTime,18.143
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,270
Pond11Fish2_TimeLeft,778.432
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.936
Pond11Fish3_PondTime,27.193
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,282
Pond11Fish3_TimeLeft,769.382
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.077
Pond11Fish4_PondTime,37.076
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,294
Pond11Fish4_TimeLeft,759.499
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.134
Pond11Fish5_PondTime,48.043
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,306
Pond11Fish5_TimeLeft,748.532
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,gray
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,-1
Pond11Fish6_PondTime,60.508
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,306
Pond11Fish6_TimeLeft,736.067
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.014
Pond11Fish7_PondTime,74.923
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,318
Pond11Fish7_TimeLeft,721.652
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.185
Pond11Fish8_PondTime,92.306
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,330
Pond11Fish8_TimeLeft,704.269
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,1.375
Pond11Fish9_PondTime,114.691
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,342
Pond11Fish9_TimeLeft,681.883
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,20
Pond11Fish10_CatchTime,-1
Pond11Fish10_PondTime,147.12
Pond11Fish10_PondOutcome,86
Pond11Fish10_TotalOutcome,342
Pond11Fish10_TimeLeft,649.455
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,62.122
PondTime,176.393
TimeLeft,619.679
PondOutcome,86
TotalOutcome,342
PondStart,PondStart
PondIntroTime,11.319606895558536
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.932
Pond3Fish1_PondTime,8.557
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,354
Pond3Fish1_TimeLeft,599.106
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,15.272
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,354
Pond3Fish2_TimeLeft,592.391
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.626
Pond3Fish3_PondTime,22.273
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,366
Pond3Fish3_TimeLeft,585.39
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,-1
Pond3Fish4_PondTime,29.72
Pond3Fish4_PondOutcome,24
Pond3Fish4_TotalOutcome,366
Pond3Fish4_TimeLeft,577.943
