,5697e499c37@4e
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.173
Pond3Fish6_PondTime,51.728
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,120
Pond3Fish6_TimeLeft,1066.688
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.355
Pond3Fish7_PondTime,62.715
Pond3Fish7_PondOutcome,72
Pond3Fish7_TotalOutcome,132
Pond3Fish7_TimeLeft,1055.701
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.623
Pond3Fish8_PondTime,75.141
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,134
Pond3Fish8_TimeLeft,1043.275
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,89.611
Pond3Fish9_PondOutcome,74
Pond3Fish9_TotalOutcome,134
Pond3Fish9_TimeLeft,1028.805
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.398
Pond3Fish10_PondTime,107.032
Pond3Fish10_PondOutcome,86
Pond3Fish10_TotalOutcome,146
Pond3Fish10_TimeLeft,1011.384
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,14.592
PondTime,121.226
TimeLeft,996.687
PondOutcome,86
TotalOutcome,146
PondStart,PondStart
PondIntroTime,19.806141194421798
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.323
Pond1Fish1_PondTime,9.773
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,158
Pond1Fish1_TimeLeft,966.396
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.158
Pond1Fish2_PondTime,18.211
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,170
Pond1Fish2_TimeLeft,957.958
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.251
Pond1Fish3_PondTime,27.293
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,182
Pond1Fish3_TimeLeft,948.876
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.136
Pond1Fish4_PondTime,37.207
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,194
Pond1Fish4_TimeLeft,938.962
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.042
Pond1Fish5_PondTime,48.176
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,206
Pond1Fish5_TimeLeft,927.993
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.405
Pond1Fish6_PondTime,60.571
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,218
Pond1Fish6_TimeLeft,915.598
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.167
Pond1Fish7_PondTime,74.987
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,230
Pond1Fish7_TimeLeft,901.182
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.494
Pond1Fish8_PondTime,92.427
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,242
Pond1Fish8_TimeLeft,883.742
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,19.463
PondTime,111.595
TimeLeft,864.07
PondOutcome,96
TotalOutcome,242
PondStart,PondStart
PondIntroTime,13.05047202622518
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.144
Pond12Fish1_PondTime,8.941
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,254
Pond12Fish1_TimeLeft,841.289
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.298
Pond12Fish2_PondTime,16.349
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,266
Pond12Fish2_TimeLeft,833.881
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.526
Pond12Fish3_PondTime,24.206
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,278
Pond12Fish3_TimeLeft,826.024
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.315
Pond12Fish4_PondTime,32.61
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,290
Pond12Fish4_TimeLeft,817.62
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.38
Pond12Fish5_PondTime,41.673
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,302
Pond12Fish5_TimeLeft,808.557
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.21
Pond12Fish6_PondTime,51.594
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,314
Pond12Fish6_TimeLeft,798.636
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.35
Pond12Fish7_PondTime,62.57
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,326
Pond12Fish7_TimeLeft,787.66
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.042
Pond12Fish8_PondTime,74.995
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,338
Pond12Fish8_TimeLeft,775.235
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.449
Pond12Fish9_PondTime,89.403
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,350
Pond12Fish9_TimeLeft,760.827
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.024
Pond12Fish10_PondTime,106.832
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,362
Pond12Fish10_TimeLeft,743.398
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,15
Pond12Fish11_CatchTime,1.36
Pond12Fish11_PondTime,129.265
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,374
Pond12Fish11_TimeLeft,720.965
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,2.995
PondTime,131.816
TimeLeft,717.911
PondOutcome,132
TotalOutcome,374
PondStart,PondStart
PondIntroTime,12.68421444343403
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.132
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,374
Pond7Fish1_TimeLeft,696.408
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,14.616
Pond7Fish2_PondOutcome,0
Pond7Fish2_TotalOutcome,374
Pond7Fish2_TimeLeft,689.924
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.276
Pond7Fish3_PondTime,21.324
Pond7Fish3_PondOutcome,12
Pond7Fish3_TotalOutcome,386
Pond7Fish3_TimeLeft,683.216
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.952
Pond7Fish4_PondTime,28.354
Pond7Fish4_PondOutcome,24
Pond7Fish4_TotalOutcome,398
Pond7Fish4_TimeLeft,676.186
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,35.813
Pond7Fish5_PondOutcome,24
Pond7Fish5_TotalOutcome,398
Pond7Fish5_TimeLeft,668.727
