,5998a6d5b5566b0001aa8472
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.975
Pond12Fish5_PondTime,35.365
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,332
Pond12Fish5_TimeLeft,892.039
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.736
Pond12Fish6_PondTime,43.181
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,344
Pond12Fish6_TimeLeft,884.223
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.892
Pond12Fish7_PondTime,51.543
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,356
Pond12Fish7_TimeLeft,875.861
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.727
Pond12Fish8_PondTime,60.573
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,368
Pond12Fish8_TimeLeft,866.831
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.055
Pond12Fish9_PondTime,70.428
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,380
Pond12Fish9_TimeLeft,856.976
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.667
Pond12Fish10_PondTime,81.353
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,392
Pond12Fish10_TimeLeft,846.051
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,0.873
PondTime,93.581
TimeLeft,833.321
PondOutcome,120
TotalOutcome,392
PondStart,PondStart
PondIntroTime,14.539661714807153
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.439
Pond3Fish1_PondTime,7.795
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,404
Pond3Fish1_TimeLeft,810.362
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.73
Pond3Fish2_PondTime,13.905
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,416
Pond3Fish2_TimeLeft,804.252
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.936
Pond3Fish3_PondTime,20.265
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,428
Pond3Fish3_TimeLeft,797.892
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.624
Pond3Fish4_PondTime,26.909
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,440
Pond3Fish4_TimeLeft,791.248
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.879
Pond3Fish5_PondTime,33.884
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,452
Pond3Fish5_TimeLeft,784.273
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.717
Pond3Fish6_PondTime,41.245
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,464
Pond3Fish6_TimeLeft,776.911
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.677
Pond3Fish7_PondTime,49.061
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,476
Pond3Fish7_TimeLeft,769.096
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.842
Pond3Fish8_PondTime,57.424
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,488
Pond3Fish8_TimeLeft,760.733
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.884
Pond3Fish9_PondTime,66.453
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,500
Pond3Fish9_TimeLeft,751.704
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.996
Pond3Fish10_PondTime,76.309
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,512
Pond3Fish10_TimeLeft,741.848
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.832
Pond3Fish11_PondTime,87.232
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,524
Pond3Fish11_TimeLeft,730.924
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.724
Pond3Fish12_PondTime,99.596
Pond3Fish12_PondOutcome,144
Pond3Fish12_TotalOutcome,536
Pond3Fish12_TimeLeft,718.561
PondEnd_LastFish,12
FishN,18
Type,RD
GiveUpTime,0.723
PondTime,113.715
TimeLeft,703.942
PondOutcome,144
TotalOutcome,536
PondStart,PondStart
PondIntroTime,16.788620995357633
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.945
Pond10Fish1_PondTime,9.731
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,548
Pond10Fish1_TimeLeft,676.814
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.023
Pond10Fish2_PondTime,18.092
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,560
Pond10Fish2_TimeLeft,668.453
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.88
Pond10Fish3_PondTime,27.121
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,572
Pond10Fish3_TimeLeft,659.424
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.72
Pond10Fish4_PondTime,36.978
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,584
Pond10Fish4_TimeLeft,649.567
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.853
Pond10Fish5_PondTime,47.902
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,596
Pond10Fish5_TimeLeft,638.643
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.888
Pond10Fish6_PondTime,60.264
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,608
Pond10Fish6_TimeLeft,626.28
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.732
Pond10Fish7_PondTime,74.63
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,620
Pond10Fish7_TimeLeft,611.914
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.087
Pond10Fish8_PondTime,91.995
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,632
Pond10Fish8_TimeLeft,594.55
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,0.983
Pond10Fish9_PondTime,114.362
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,644
Pond10Fish9_TimeLeft,572.183
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.008
PondTime,114.562
TimeLeft,571.482
PondOutcome,108
TotalOutcome,644
PondStart,PondStart
PondIntroTime,17.771340301260352
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.556
Pond7Fish1_PondTime,8.888
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,656
Pond7Fish1_TimeLeft,544.19
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.937
Pond7Fish2_PondTime,16.25
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,668
Pond7Fish2_TimeLeft,536.827
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.049
Pond7Fish3_PondTime,24.067
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,680
Pond7Fish3_TimeLeft,529.011
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.902
Pond7Fish4_PondTime,32.43
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,692
Pond7Fish4_TimeLeft,520.648
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.737
Pond7Fish5_PondTime,41.459
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,704
Pond7Fish5_TimeLeft,511.619
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.856
Pond7Fish6_PondTime,51.316
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,716
Pond7Fish6_TimeLeft,501.762
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,gray
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.048
Pond7Fish7_PondTime,62.251
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,718
Pond7Fish7_TimeLeft,490.827
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.371
Pond7Fish8_PondTime,74.616
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,730
Pond7Fish8_TimeLeft,478.462
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.894
Pond7Fish9_PondTime,88.979
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,742
Pond7Fish9_TimeLeft,464.099
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.225
Pond7Fish10_PondTime,106.345
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,754
Pond7Fish10_TimeLeft,446.733
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.663
PondTime,128.46
TimeLeft,424.117
PondOutcome,110
TotalOutcome,754
PondStart,PondStart
PondIntroTime,17.20545276766643
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.661
Pond9Fish1_PondTime,7.594
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,766
Pond9Fish1_TimeLeft,398.693
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.74
Pond9Fish2_PondTime,13.476
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,778
Pond9Fish2_TimeLeft,392.811
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.608
Pond9Fish3_PondTime,19.584
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,790
Pond9Fish3_TimeLeft,386.703
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.879
Pond9Fish4_PondTime,25.946
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,802
Pond9Fish4_TimeLeft,380.341
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.772
Pond9Fish5_PondTime,32.589
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,814
Pond9Fish5_TimeLeft,373.698
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.916
Pond9Fish6_PondTime,39.565
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,826
Pond9Fish6_TimeLeft,366.722
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.954
Pond9Fish7_PondTime,46.927
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,838
Pond9Fish7_TimeLeft,359.36
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.929
Pond9Fish8_PondTime,54.742
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,850
Pond9Fish8_TimeLeft,351.545
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.855
Pond9Fish9_PondTime,63.105
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,862
Pond9Fish9_TimeLeft,343.182
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.873
Pond9Fish10_PondTime,72.134
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,874
Pond9Fish10_TimeLeft,334.153
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.809
Pond9Fish11_PondTime,81.989
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,886
Pond9Fish11_TimeLeft,324.298
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.136
Pond9Fish12_PondTime,92.927
Pond9Fish12_PondOutcome,144
Pond9Fish12_TotalOutcome,898
Pond9Fish12_TimeLeft,313.36
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.733
Pond9Fish13_PondTime,105.291
Pond9Fish13_PondOutcome,156
Pond9Fish13_TotalOutcome,910
Pond9Fish13_TimeLeft,300.996
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.055
Pond9Fish14_PondTime,119.655
Pond9Fish14_PondOutcome,168
Pond9Fish14_TotalOutcome,922
Pond9Fish14_TimeLeft,286.632
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.83
PondTime,119.744
TimeLeft,286.042
PondOutcome,168
TotalOutcome,922
PondStart,PondStart
PondIntroTime,14.926978095900267
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.917
Pond5Fish1_PondTime,9.278
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,924
Pond5Fish1_TimeLeft,261.223
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.743
Pond5Fish2_PondTime,17.092
Pond5Fish2_PondOutcome,4
Pond5Fish2_TotalOutcome,926
Pond5Fish2_TimeLeft,253.409
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
