,5c615deeece81b0001be0a4b
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.222
Pond1Fish4_PondTime,30.855
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,180
Pond1Fish4_TimeLeft,1044.673
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.038
Pond1Fish5_PondTime,39.249
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,192
Pond1Fish5_TimeLeft,1036.279
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,48.395
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,192
Pond1Fish6_TimeLeft,1027.133
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.989
Pond1Fish7_PondTime,58.311
Pond1Fish7_PondOutcome,72
Pond1Fish7_TotalOutcome,204
Pond1Fish7_TimeLeft,1017.217
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.139
Pond1Fish8_PondTime,69.295
Pond1Fish8_PondOutcome,84
Pond1Fish8_TotalOutcome,216
Pond1Fish8_TimeLeft,1006.233
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.307
Pond1Fish9_PondTime,81.705
Pond1Fish9_PondOutcome,96
Pond1Fish9_TotalOutcome,228
Pond1Fish9_TimeLeft,993.823
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.108
Pond1Fish10_PondTime,96.095
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,240
Pond1Fish10_TimeLeft,979.433
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,2.568
PondTime,97.978
TimeLeft,977.048
PondOutcome,108
TotalOutcome,240
PondStart,PondStart
PondIntroTime,17.503258348442614
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.651
Pond4Fish1_PondTime,9.322
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,252
Pond4Fish1_TimeLeft,949.532
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.116
Pond4Fish2_PondTime,17.188
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,264
Pond4Fish2_TimeLeft,941.666
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.928
Pond4Fish3_PondTime,25.592
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,276
Pond4Fish3_TimeLeft,933.262
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.225
Pond4Fish4_PondTime,34.661
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,288
Pond4Fish4_TimeLeft,924.193
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.384
Pond4Fish5_PondTime,44.567
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,290
Pond4Fish5_TimeLeft,914.287
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.155
Pond4Fish6_PondTime,55.549
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,302
Pond4Fish6_TimeLeft,903.305
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.099
Pond4Fish7_PondTime,67.958
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,314
Pond4Fish7_TimeLeft,890.896
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,gray
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.451
Pond4Fish8_PondTime,82.361
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,316
Pond4Fish8_TimeLeft,876.493
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.479
Pond4Fish9_PondTime,99.767
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,328
Pond4Fish9_TimeLeft,859.087
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.158
Pond4Fish10_PondTime,122.183
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,340
Pond4Fish10_TimeLeft,836.671
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.05
PondTime,122.596
TimeLeft,835.755
PondOutcome,100
TotalOutcome,340
PondStart,PondStart
PondIntroTime,14.06762985046953
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,8.979
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,340
Pond3Fish1_TimeLeft,812.077
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.064
Pond3Fish2_PondTime,16.395
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,352
Pond3Fish2_TimeLeft,804.661
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.369
Pond3Fish3_PondTime,24.251
Pond3Fish3_PondOutcome,14
Pond3Fish3_TotalOutcome,354
Pond3Fish3_TimeLeft,796.805
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.428
Pond3Fish4_PondTime,32.657
Pond3Fish4_PondOutcome,26
Pond3Fish4_TotalOutcome,366
Pond3Fish4_TimeLeft,788.399
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.331
Pond3Fish5_PondTime,41.719
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,378
Pond3Fish5_TimeLeft,779.337
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.243
Pond3Fish6_PondTime,51.575
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,390
Pond3Fish6_TimeLeft,769.481
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.178
Pond3Fish7_PondTime,62.547
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,402
Pond3Fish7_TimeLeft,758.509
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.246
Pond3Fish8_PondTime,74.954
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,414
Pond3Fish8_TimeLeft,746.102
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,1.051
Pond3Fish9_PondTime,89.365
Pond3Fish9_PondOutcome,86
Pond3Fish9_TotalOutcome,426
Pond3Fish9_TimeLeft,731.691
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.19
Pond3Fish10_PondTime,106.766
Pond3Fish10_PondOutcome,98
Pond3Fish10_TotalOutcome,438
Pond3Fish10_TimeLeft,714.29
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,gray
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,1.461
Pond3Fish11_PondTime,129.186
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,440
Pond3Fish11_TimeLeft,691.87
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,1.182
PondTime,130.022
TimeLeft,690.531
PondOutcome,100
TotalOutcome,440
PondStart,PondStart
PondIntroTime,16.569835173431784
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.534
Pond12Fish1_PondTime,7.828
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,452
Pond12Fish1_TimeLeft,665.463
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.32
Pond12Fish2_PondTime,13.977
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,464
Pond12Fish2_TimeLeft,659.314
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.259
Pond12Fish3_PondTime,20.372
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,476
Pond12Fish3_TimeLeft,652.919
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.09
Pond12Fish4_PondTime,27.04
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,488
Pond12Fish4_TimeLeft,646.251
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.499
Pond12Fish5_PondTime,34.048
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,490
Pond12Fish5_TimeLeft,639.243
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.377
Pond12Fish6_PondTime,41.456
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,492
Pond12Fish6_TimeLeft,631.835
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.285
Pond12Fish7_PondTime,49.32
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,504
Pond12Fish7_TimeLeft,623.971
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.147
Pond12Fish8_PondTime,57.715
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,516
Pond12Fish8_TimeLeft,615.576
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.003
Pond12Fish9_PondTime,66.792
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,528
Pond12Fish9_TimeLeft,606.499
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.073
Pond12Fish10_PondTime,76.712
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,540
Pond12Fish10_TimeLeft,596.579
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.126
Pond12Fish11_PondTime,87.691
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,552
Pond12Fish11_TimeLeft,585.6
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,1.1
Pond12Fish12_PondTime,100.104
Pond12Fish12_PondOutcome,124
Pond12Fish12_TotalOutcome,564
Pond12Fish12_TimeLeft,573.187
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,1.218
Pond12Fish13_PondTime,114.501
Pond12Fish13_PondOutcome,136
Pond12Fish13_TotalOutcome,576
Pond12Fish13_TimeLeft,558.79
Type,RD
FishN,15
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,12
Pond12Fish14_CatchTime,1.15
Pond12Fish14_PondTime,131.903
Pond12Fish14_PondOutcome,148
Pond12Fish14_TotalOutcome,588
Pond12Fish14_TimeLeft,541.388
Type,RD
FishN,15
Fish,15
Pond12Fish15_FishType,blue
Pond12Fish15_FishLatency,15
Pond12Fish15_CatchTime,1.325
Pond12Fish15_PondTime,154.323
Pond12Fish15_PondOutcome,160
Pond12Fish15_TotalOutcome,600
Pond12Fish15_TimeLeft,518.968
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,0.857
PondTime,154.716
TimeLeft,518.071
PondOutcome,160
TotalOutcome,600
PondStart,PondStart
PondIntroTime,18.40137457707897
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.646
Pond2Fish1_PondTime,7.665
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,612
Pond2Fish1_TimeLeft,491.334
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.105
Pond2Fish2_PondTime,13.587
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,624
Pond2Fish2_TimeLeft,485.412
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.255
Pond2Fish3_PondTime,19.73
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,626
Pond2Fish3_TimeLeft,479.269
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.321
Pond2Fish4_PondTime,26.125
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,638
Pond2Fish4_TimeLeft,472.874
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.136
Pond2Fish5_PondTime,32.808
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,650
Pond2Fish5_TimeLeft,466.191
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.022
Pond2Fish6_PondTime,39.815
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,662
Pond2Fish6_TimeLeft,459.184
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.313
Pond2Fish7_PondTime,47.228
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,664
Pond2Fish7_TimeLeft,451.771
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.149
Pond2Fish8_PondTime,55.09
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,676
Pond2Fish8_TimeLeft,443.909
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.296
Pond2Fish9_PondTime,63.482
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,688
Pond2Fish9_TimeLeft,435.517
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.527
Pond2Fish10_PondTime,72.552
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,700
Pond2Fish10_TimeLeft,426.447
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.506
Pond2Fish11_PondTime,82.448
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,712
Pond2Fish11_TimeLeft,416.551
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.188
Pond2Fish12_PondTime,93.407
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,724
Pond2Fish12_TimeLeft,405.592
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.197
Pond2Fish13_PondTime,105.815
Pond2Fish13_PondOutcome,136
Pond2Fish13_TotalOutcome,736
Pond2Fish13_TimeLeft,393.184
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,3.309
PondTime,108.531
TimeLeft,389.966
PondOutcome,136
TotalOutcome,736
PondStart,PondStart
PondIntroTime,13.505022164899856
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.301
Pond5Fish1_PondTime,8.585
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,748
Pond5Fish1_TimeLeft,367.225
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.959
Pond5Fish2_PondTime,15.603
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,760
Pond5Fish2_TimeLeft,360.207
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.281
Pond5Fish3_PondTime,23.014
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,772
Pond5Fish3_TimeLeft,352.796
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.101
Pond5Fish4_PondTime,30.875
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,784
Pond5Fish4_TimeLeft,344.935
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.081
Pond5Fish5_PondTime,39.283
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,796
Pond5Fish5_TimeLeft,336.527
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.956
Pond5Fish6_PondTime,48.365
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,808
Pond5Fish6_TimeLeft,327.445
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.255
Pond5Fish7_PondTime,58.27
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,820
Pond5Fish7_TimeLeft,317.54
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.073
Pond5Fish8_PondTime,69.257
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,832
Pond5Fish8_TimeLeft,306.553
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.283
Pond5Fish9_PondTime,81.667
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,844
Pond5Fish9_TimeLeft,294.143
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.103
Pond5Fish10_PondTime,96.074
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,856
Pond5Fish10_TimeLeft,279.736
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.144
Pond5Fish11_PondTime,113.48
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,868
Pond5Fish11_TimeLeft,262.33
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,2.06
PondTime,114.889
TimeLeft,260.42
PondOutcome,132
TotalOutcome,868
PondStart,PondStart
PondIntroTime,16.561141218990088
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.485
Pond11Fish1_PondTime,9.784
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,880
Pond11Fish1_TimeLeft,233.415
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.234
Pond11Fish2_PondTime,18.195
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,892
Pond11Fish2_TimeLeft,225.004
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.457
Pond11Fish3_PondTime,27.251
Pond11Fish3_PondOutcome,36
