,5bbb89c80cb04c0001500a26
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.193
Pond7Fish11_PondTime,94.426
Pond7Fish11_PondOutcome,108
Pond7Fish11_TotalOutcome,108
Pond7Fish11_TimeLeft,1107.966
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.051
Pond7Fish12_PondTime,108.805
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,120
Pond7Fish12_TimeLeft,1093.589
Type,RD
FishN,18
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.309
Pond7Fish13_PondTime,126.202
Pond7Fish13_PondOutcome,132
Pond7Fish13_TotalOutcome,132
Pond7Fish13_TimeLeft,1076.191
Type,RD
FishN,18
Fish,14
Pond7Fish14_FishType,blue
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,1.297
Pond7Fish14_PondTime,148.598
Pond7Fish14_PondOutcome,144
Pond7Fish14_TotalOutcome,144
Pond7Fish14_TimeLeft,1053.796
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,3.877
PondTime,151.987
TimeLeft,1049.894
PondOutcome,144
TotalOutcome,144
PondStart,PondStart
PondIntroTime,18.32233242923394
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.89
Pond12Fish1_PondTime,8.312
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,156
Pond12Fish1_TimeLeft,1022.476
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.344
Pond12Fish2_PondTime,15.006
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,168
Pond12Fish2_TimeLeft,1015.783
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.897
Pond12Fish3_PondTime,22.031
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,180
Pond12Fish3_TimeLeft,1008.756
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.851
Pond12Fish4_PondTime,29.408
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,192
Pond12Fish4_TimeLeft,1001.38
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.326
Pond12Fish5_PondTime,37.263
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,204
Pond12Fish5_TimeLeft,993.526
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.929
Pond12Fish6_PondTime,45.671
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,216
Pond12Fish6_TimeLeft,985.118
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.017
Pond12Fish7_PondTime,54.736
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,228
Pond12Fish7_TimeLeft,976.053
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.214
Pond12Fish8_PondTime,64.617
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,240
Pond12Fish8_TimeLeft,966.172
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.895
Pond12Fish9_PondTime,75.55
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,252
Pond12Fish9_TimeLeft,955.238
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,gray
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.277
Pond12Fish10_PondTime,87.962
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,254
Pond12Fish10_TimeLeft,942.826
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.137
Pond12Fish11_PondTime,102.35
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,266
Pond12Fish11_TimeLeft,928.438
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.159
Pond12Fish12_PondTime,119.731
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,278
Pond12Fish12_TimeLeft,911.058
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,1.76
Pond12Fish13_PondTime,142.202
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,290
Pond12Fish13_TimeLeft,888.586
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,23.211
PondTime,165.311
TimeLeft,864.946
PondOutcome,146
TotalOutcome,290
PondStart,PondStart
PondIntroTime,13.583540788386017
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.174
Pond11Fish1_PondTime,7.843
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,302
Pond11Fish1_TimeLeft,842.817
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.654
Pond11Fish2_PondTime,13.977
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,314
Pond11Fish2_TimeLeft,836.683
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.037
Pond11Fish3_PondTime,20.377
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,326
Pond11Fish3_TimeLeft,830.283
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.142
Pond11Fish4_PondTime,27.04
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,338
Pond11Fish4_TimeLeft,823.619
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.121
Pond11Fish5_PondTime,34.034
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,350
Pond11Fish5_TimeLeft,816.626
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.097
Pond11Fish6_PondTime,41.416
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,362
Pond11Fish6_TimeLeft,809.244
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.818
Pond11Fish7_PondTime,49.249
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,374
Pond11Fish7_TimeLeft,801.41
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.329
Pond11Fish8_PondTime,57.63
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,386
Pond11Fish8_TimeLeft,793.029
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.847
Pond11Fish9_PondTime,66.678
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,398
Pond11Fish9_TimeLeft,783.981
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.905
Pond11Fish10_PondTime,76.555
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,410
Pond11Fish10_TimeLeft,774.105
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.145
Pond11Fish11_PondTime,87.501
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,422
Pond11Fish11_TimeLeft,763.159
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.242
Pond11Fish12_PondTime,99.91
Pond11Fish12_PondOutcome,144
Pond11Fish12_TotalOutcome,434
Pond11Fish12_TimeLeft,750.749
Type,RD
FishN,16
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.171
Pond11Fish13_PondTime,114.33
Pond11Fish13_PondOutcome,156
Pond11Fish13_TotalOutcome,446
Pond11Fish13_TimeLeft,736.329
Type,RD
FishN,16
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1.156
Pond11Fish14_PondTime,131.706
Pond11Fish14_PondOutcome,168
Pond11Fish14_TotalOutcome,458
Pond11Fish14_TimeLeft,718.953
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,2.67
PondTime,133.74
TimeLeft,716.398
PondOutcome,168
TotalOutcome,458
PondStart,PondStart
PondIntroTime,17.30168780311942
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,7.708
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,458
Pond8Fish1_TimeLeft,690.68
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,13.684
Pond8Fish2_PondOutcome,0
Pond8Fish2_TotalOutcome,458
Pond8Fish2_TimeLeft,684.704
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.531
Pond8Fish3_PondTime,19.815
Pond8Fish3_PondOutcome,12
Pond8Fish3_TotalOutcome,470
Pond8Fish3_TimeLeft,678.574
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.185
Pond8Fish4_PondTime,26.206
Pond8Fish4_PondOutcome,24
Pond8Fish4_TotalOutcome,482
Pond8Fish4_TimeLeft,672.183
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.133
Pond8Fish5_PondTime,32.847
Pond8Fish5_PondOutcome,36
Pond8Fish5_TotalOutcome,494
Pond8Fish5_TimeLeft,665.541
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.107
Pond8Fish6_PondTime,39.84
Pond8Fish6_PondOutcome,48
Pond8Fish6_TotalOutcome,506
Pond8Fish6_TimeLeft,658.549
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.023
Pond8Fish7_PondTime,47.214
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,518
Pond8Fish7_TimeLeft,651.175
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.051
Pond8Fish8_PondTime,55.068
Pond8Fish8_PondOutcome,72
Pond8Fish8_TotalOutcome,530
Pond8Fish8_TimeLeft,643.32
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.034
Pond8Fish9_PondTime,63.46
Pond8Fish9_PondOutcome,84
Pond8Fish9_TotalOutcome,542
Pond8Fish9_TimeLeft,634.929
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.948
Pond8Fish10_PondTime,72.518
Pond8Fish10_PondOutcome,96
Pond8Fish10_TotalOutcome,554
Pond8Fish10_TimeLeft,625.871
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.182
Pond8Fish11_PondTime,82.41
Pond8Fish11_PondOutcome,108
Pond8Fish11_TotalOutcome,566
Pond8Fish11_TimeLeft,615.979
Type,RD
FishN,12
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.081
Pond8Fish12_PondTime,93.372
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,578
Pond8Fish12_TimeLeft,605.016
Type,RD
FishN,12
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.243
Pond8Fish13_PondTime,105.783
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,590
Pond8Fish13_TimeLeft,592.606
Type,RD
FishN,12
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.12
Pond8Fish14_PondTime,120.178
Pond8Fish14_PondOutcome,144
Pond8Fish14_TotalOutcome,602
Pond8Fish14_TimeLeft,578.211
Type,RD
FishN,12
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,0.928
Pond8Fish15_PondTime,137.569
Pond8Fish15_PondOutcome,156
Pond8Fish15_TotalOutcome,614
Pond8Fish15_TimeLeft,560.819
Type,RD
FishN,12
Fish,16
Pond8Fish16_FishType,blue
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,1.121
Pond8Fish16_PondTime,159.972
Pond8Fish16_PondOutcome,168
Pond8Fish16_TotalOutcome,626
Pond8Fish16_TimeLeft,538.416
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,1.749
PondTime,161.046
TimeLeft,536.824
PondOutcome,168
TotalOutcome,626
PondStart,PondStart
PondIntroTime,18.782641266006976
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.209
Pond3Fish1_PondTime,7.839
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,638
Pond3Fish1_TimeLeft,509.54
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.923
Pond3Fish2_PondTime,13.968
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,650
Pond3Fish2_TimeLeft,503.412
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.094
Pond3Fish3_PondTime,20.345
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,662
Pond3Fish3_TimeLeft,497.036
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.783
Pond3Fish4_PondTime,27.005
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,674
Pond3Fish4_TimeLeft,490.376
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.941
Pond3Fish5_PondTime,34.004
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,686
Pond3Fish5_TimeLeft,483.377
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.962
Pond3Fish6_PondTime,41.383
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,698
Pond3Fish6_TimeLeft,475.998
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.272
Pond3Fish7_PondTime,49.214
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,710
Pond3Fish7_TimeLeft,468.166
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.982
Pond3Fish8_PondTime,57.596
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,722
Pond3Fish8_TimeLeft,459.785
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.81
Pond3Fish9_PondTime,66.64
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,734
Pond3Fish9_TimeLeft,450.74
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.996
Pond3Fish10_PondTime,76.519
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,746
Pond3Fish10_TimeLeft,440.86
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.977
Pond3Fish11_PondTime,87.468
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,758
Pond3Fish11_TimeLeft,429.913
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.915
Pond3Fish12_PondTime,99.864
Pond3Fish12_PondOutcome,144
Pond3Fish12_TotalOutcome,770
Pond3Fish12_TimeLeft,417.517
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,1.305
Pond3Fish13_PondTime,114.248
Pond3Fish13_PondOutcome,156
Pond3Fish13_TotalOutcome,782
Pond3Fish13_TimeLeft,403.133
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,0.828
Pond3Fish14_PondTime,131.621
Pond3Fish14_PondOutcome,168
Pond3Fish14_TotalOutcome,794
Pond3Fish14_TimeLeft,385.759
Type,RD
FishN,15
Fish,15
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,1.797
Pond3Fish15_PondTime,154.143
Pond3Fish15_PondOutcome,180
Pond3Fish15_TotalOutcome,806
Pond3Fish15_TimeLeft,363.238
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,1.731
PondTime,155.772
TimeLeft,361.099
PondOutcome,180
TotalOutcome,806
PondStart,PondStart
PondIntroTime,11.05336531298235
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.36
Pond2Fish1_PondTime,7.621
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,818
Pond2Fish1_TimeLeft,341.739
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.55
Pond2Fish2_PondTime,13.551
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,820
Pond2Fish2_TimeLeft,335.81
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.302
Pond2Fish3_PondTime,19.708
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,832
Pond2Fish3_TimeLeft,329.652
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.929
Pond2Fish4_PondTime,26.099
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,844
Pond2Fish4_TimeLeft,323.261
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.055
Pond2Fish5_PondTime,32.794
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,856
Pond2Fish5_TimeLeft,316.567
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.177
Pond2Fish6_PondTime,39.815
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,868
Pond2Fish6_TimeLeft,309.546
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.906
Pond2Fish7_PondTime,47.21
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,880
Pond2Fish7_TimeLeft,302.151
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.881
Pond2Fish8_PondTime,55.063
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,892
Pond2Fish8_TimeLeft,294.298
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.224
Pond2Fish9_PondTime,63.463
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,904
Pond2Fish9_TimeLeft,285.898
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.147
Pond2Fish10_PondTime,72.524
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,916
Pond2Fish10_TimeLeft,276.837
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.217
Pond2Fish11_PondTime,82.428
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,928
Pond2Fish11_TimeLeft,266.933
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.357
Pond2Fish12_PondTime,93.395
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,940
Pond2Fish12_TimeLeft,255.966
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.127
Pond2Fish13_PondTime,105.787
Pond2Fish13_PondOutcome,146
Pond2Fish13_TotalOutcome,952
Pond2Fish13_TimeLeft,243.574
Type,RD
FishN,17
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,10
