,563cdacbef3f15000eb928c5
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.091
Pond11Fish7_PondTime,74.877
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,180
Pond11Fish7_TimeLeft,1031.339
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,0.931
Pond11Fish8_PondTime,92.249
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,192
Pond11Fish8_TimeLeft,1013.967
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,7.399
PondTime,98.783
TimeLeft,1006.928
PondOutcome,96
TotalOutcome,192
PondStart,PondStart
PondIntroTime,10.372653242666274
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.238
Pond2Fish1_PondTime,9.752
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,204
Pond2Fish1_TimeLeft,986.17
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.197
Pond2Fish2_PondTime,18.115
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,216
Pond2Fish2_TimeLeft,977.807
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.178
Pond2Fish3_PondTime,27.149
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,228
Pond2Fish3_TimeLeft,968.773
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,37.071
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,228
Pond2Fish4_TimeLeft,958.851
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,gray
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.201
Pond2Fish5_PondTime,48.023
Pond2Fish5_PondOutcome,38
Pond2Fish5_TotalOutcome,230
Pond2Fish5_TimeLeft,947.899
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.99
Pond2Fish6_PondTime,60.384
Pond2Fish6_PondOutcome,50
Pond2Fish6_TotalOutcome,242
Pond2Fish6_TimeLeft,935.538
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.001
Pond2Fish7_PondTime,74.748
Pond2Fish7_PondOutcome,62
Pond2Fish7_TotalOutcome,254
Pond2Fish7_TimeLeft,921.174
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.029
Pond2Fish8_PondTime,92.114
Pond2Fish8_PondOutcome,74
Pond2Fish8_TotalOutcome,266
Pond2Fish8_TimeLeft,903.808
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.273
Pond2Fish9_PondTime,114.475
Pond2Fish9_PondOutcome,86
Pond2Fish9_TotalOutcome,278
Pond2Fish9_TimeLeft,881.447
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,0.96
PondTime,114.918
TimeLeft,880.502
PondOutcome,86
TotalOutcome,278
PondStart,PondStart
PondIntroTime,13.25681779300794
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.925
Pond6Fish1_PondTime,9.275
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,290
Pond6Fish1_TimeLeft,857.346
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.336
Pond6Fish2_PondTime,17.105
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,302
Pond6Fish2_TimeLeft,849.515
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.649
Pond6Fish3_PondTime,25.487
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,314
Pond6Fish3_TimeLeft,841.133
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.916
Pond6Fish4_PondTime,34.522
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,326
Pond6Fish4_TimeLeft,832.099
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.005
Pond6Fish5_PondTime,44.395
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,338
Pond6Fish5_TimeLeft,822.226
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,gray
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.952
Pond6Fish6_PondTime,55.337
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,340
Pond6Fish6_TimeLeft,811.284
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.939
Pond6Fish7_PondTime,67.708
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,352
Pond6Fish7_TimeLeft,798.913
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.192
Pond6Fish8_PondTime,82.071
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,354
Pond6Fish8_TimeLeft,784.55
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,1.259
PondTime,82.728
TimeLeft,783.388
PondOutcome,76
TotalOutcome,354
PondStart,PondStart
PondIntroTime,15.842081035953015
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.002
Pond7Fish1_PondTime,7.808
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,366
Pond7Fish1_TimeLeft,759.121
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,13.975
Pond7Fish2_PondOutcome,12
Pond7Fish2_TotalOutcome,366
Pond7Fish2_TimeLeft,752.954
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.816
Pond7Fish3_PondTime,20.491
Pond7Fish3_PondOutcome,24
Pond7Fish3_TotalOutcome,378
Pond7Fish3_TimeLeft,746.438
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.695
Pond7Fish4_PondTime,27.161
Pond7Fish4_PondOutcome,36
Pond7Fish4_TotalOutcome,390
Pond7Fish4_TimeLeft,739.768
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.896
Pond7Fish5_PondTime,34.158
Pond7Fish5_PondOutcome,48
Pond7Fish5_TotalOutcome,402
Pond7Fish5_TimeLeft,732.771
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,41.598
Pond7Fish6_PondOutcome,48
Pond7Fish6_TotalOutcome,402
Pond7Fish6_TimeLeft,725.331
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,gray
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.859
Pond7Fish7_PondTime,49.413
Pond7Fish7_PondOutcome,50
Pond7Fish7_TotalOutcome,404
Pond7Fish7_TimeLeft,717.516
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.031
Pond7Fish8_PondTime,57.796
Pond7Fish8_PondOutcome,62
Pond7Fish8_TotalOutcome,416
Pond7Fish8_TimeLeft,709.133
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.98
Pond7Fish9_PondTime,66.83
Pond7Fish9_PondOutcome,74
Pond7Fish9_TotalOutcome,428
Pond7Fish9_TimeLeft,700.098
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.861
Pond7Fish10_PondTime,76.719
Pond7Fish10_PondOutcome,86
Pond7Fish10_TotalOutcome,440
Pond7Fish10_TimeLeft,690.208
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.316
Pond7Fish11_PondTime,87.656
Pond7Fish11_PondOutcome,98
Pond7Fish11_TotalOutcome,452
Pond7Fish11_TimeLeft,679.273
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.782
Pond7Fish12_PondTime,100.028
Pond7Fish12_PondOutcome,110
Pond7Fish12_TotalOutcome,464
Pond7Fish12_TimeLeft,666.901
Type,RD
FishN,18
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.097
Pond7Fish13_PondTime,114.393
Pond7Fish13_PondOutcome,122
Pond7Fish13_TotalOutcome,476
Pond7Fish13_TimeLeft,652.535
Type,RD
FishN,18
Fish,14
Pond7Fish14_FishType,blue
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.152
Pond7Fish14_PondTime,131.77
Pond7Fish14_PondOutcome,134
Pond7Fish14_TotalOutcome,488
Pond7Fish14_TimeLeft,635.159
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,1.102
PondTime,132.228
TimeLeft,634.198
PondOutcome,134
TotalOutcome,488
PondStart,PondStart
PondIntroTime,18.512484850361943
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.779
Pond12Fish1_PondTime,8.566
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,500
Pond12Fish1_TimeLeft,606.504
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.937
Pond12Fish2_PondTime,15.541
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,512
Pond12Fish2_TimeLeft,599.529
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.873
Pond12Fish3_PondTime,22.925
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,524
Pond12Fish3_TimeLeft,592.144
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.054
Pond12Fish4_PondTime,30.754
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,536
Pond12Fish4_TimeLeft,584.316
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.025
Pond12Fish5_PondTime,39.12
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,548
Pond12Fish5_TimeLeft,575.95
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.928
Pond12Fish6_PondTime,48.159
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,560
Pond12Fish6_TimeLeft,566.911
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.701
Pond12Fish7_PondTime,58.027
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,572
Pond12Fish7_TimeLeft,557.043
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.806
Pond12Fish8_PondTime,68.968
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,584
Pond12Fish8_TimeLeft,546.102
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.908
Pond12Fish9_PondTime,81.346
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,596
Pond12Fish9_TimeLeft,533.724
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.87
Pond12Fish10_PondTime,95.705
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,608
Pond12Fish10_TimeLeft,519.365
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,1.103
PondTime,95.887
TimeLeft,518.679
PondOutcome,120
TotalOutcome,608
PondStart,PondStart
PondIntroTime,18.28759096795693
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.049
Pond3Fish1_PondTime,8.022
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,620
Pond3Fish1_TimeLeft,491.738
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.482
Pond3Fish2_PondTime,14.389
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,632
Pond3Fish2_TimeLeft,485.371
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.799
Pond3Fish3_PondTime,21.039
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,644
Pond3Fish3_TimeLeft,478.721
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.347
Pond3Fish4_PondTime,28.018
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,646
Pond3Fish4_TimeLeft,471.742
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.786
Pond3Fish5_PondTime,35.39
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,658
Pond3Fish5_TimeLeft,464.37
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.875
Pond3Fish6_PondTime,43.203
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,670
Pond3Fish6_TimeLeft,456.557
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.923
Pond3Fish7_PondTime,51.565
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,682
Pond3Fish7_TimeLeft,448.194
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.942
Pond3Fish8_PondTime,60.624
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,694
Pond3Fish8_TimeLeft,439.135
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.781
Pond3Fish9_PondTime,70.49
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,696
Pond3Fish9_TimeLeft,429.27
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,0.93
Pond3Fish10_PondTime,81.428
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,708
Pond3Fish10_TimeLeft,418.332
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,gray
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,-1
Pond3Fish11_PondTime,93.858
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,708
Pond3Fish11_TimeLeft,405.902
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,gray
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,0.834
Pond3Fish12_PondTime,108.229
Pond3Fish12_PondOutcome,102
Pond3Fish12_TotalOutcome,710
Pond3Fish12_TimeLeft,391.531
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,0.924
Pond3Fish13_PondTime,125.604
Pond3Fish13_PondOutcome,114
Pond3Fish13_TotalOutcome,722
Pond3Fish13_TimeLeft,374.156
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,15
Pond3Fish14_CatchTime,1.187
Pond3Fish14_PondTime,147.963
Pond3Fish14_PondOutcome,126
Pond3Fish14_TotalOutcome,734
Pond3Fish14_TimeLeft,351.797
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,1.268
PondTime,148.631
TimeLeft,350.625
PondOutcome,126
TotalOutcome,734
PondStart,PondStart
PondIntroTime,11.712744229007512
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.461
Pond8Fish1_PondTime,8.562
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,746
Pond8Fish1_TimeLeft,329.719
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.417
Pond8Fish2_PondTime,15.541
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,758
Pond8Fish2_TimeLeft,322.739
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.862
Pond8Fish3_PondTime,22.915
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,770
Pond8Fish3_TimeLeft,315.366
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,gray
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.362
Pond8Fish4_PondTime,30.741
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,772
Pond8Fish4_TimeLeft,307.54
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.897
Pond8Fish5_PondTime,39.125
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,784
Pond8Fish5_TimeLeft,299.156
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.026
Pond8Fish6_PondTime,48.164
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,786
Pond8Fish6_TimeLeft,290.117
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.073
Pond8Fish7_PondTime,58.03
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,798
Pond8Fish7_TimeLeft,280.251
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.094
Pond8Fish8_PondTime,68.967
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,810
Pond8Fish8_TimeLeft,269.313
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.063
Pond8Fish9_PondTime,81.326
Pond8Fish9_PondOutcome,78
Pond8Fish9_TotalOutcome,812
Pond8Fish9_TimeLeft,256.955
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.868
Pond8Fish10_PondTime,95.689
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,824
Pond8Fish10_TimeLeft,242.592
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.101
Pond8Fish11_PondTime,113.056
Pond8Fish11_PondOutcome,102
Pond8Fish11_TotalOutcome,836
Pond8Fish11_TimeLeft,225.225
Type,RD
FishN,12
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,15
Pond8Fish12_CatchTime,0.756
Pond8Fish12_PondTime,135.419
Pond8Fish12_PondOutcome,114
Pond8Fish12_TotalOutcome,848
Pond8Fish12_TimeLeft,202.862
Type,RD
FishN,12
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,20
Pond8Fish13_CatchTime,1.003
Pond8Fish13_PondTime,167.786
Pond8Fish13_PondOutcome,126
