,5ac48ded5cd1050001622c4a
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.789
Pond9Fish8_PondTime,68.947
Pond9Fish8_PondOutcome,76
Pond9Fish8_TotalOutcome,76
Pond9Fish8_TimeLeft,1133.45
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.804
Pond9Fish9_PondTime,81.316
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,88
Pond9Fish9_TimeLeft,1121.08
PondEnd_LastFish,9
FishN,15
Type,RD
GiveUpTime,12.017
PondTime,92.344
TimeLeft,1109.551
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,17.465759210754186
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.68
Pond5Fish1_PondTime,8.28
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,100
Pond5Fish1_TimeLeft,1083.162
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.88
Pond5Fish2_PondTime,14.933
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,112
Pond5Fish2_TimeLeft,1076.509
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.789
Pond5Fish3_PondTime,21.916
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,124
Pond5Fish3_TimeLeft,1069.526
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.702
Pond5Fish4_PondTime,29.286
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,136
Pond5Fish4_TimeLeft,1062.156
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.673
Pond5Fish5_PondTime,37.107
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,148
Pond5Fish5_TimeLeft,1054.334
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.757
Pond5Fish6_PondTime,45.475
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,150
Pond5Fish6_TimeLeft,1045.967
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.733
Pond5Fish7_PondTime,54.508
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,162
Pond5Fish7_TimeLeft,1036.934
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.512
Pond5Fish8_PondTime,64.379
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,174
Pond5Fish8_TimeLeft,1027.062
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,gray
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.862
Pond5Fish9_PondTime,75.322
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,176
Pond5Fish9_TimeLeft,1016.12
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.861
Pond5Fish10_PondTime,87.692
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,188
Pond5Fish10_TimeLeft,1003.75
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.921
Pond5Fish11_PondTime,102.058
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,200
Pond5Fish11_TimeLeft,989.384
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,10.184
PondTime,111.369
TimeLeft,979.571
PondOutcome,112
TotalOutcome,200
PondStart,PondStart
PondIntroTime,15.854099243879318
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.905
Pond6Fish1_PondTime,8.032
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,212
Pond6Fish1_TimeLeft,955.048
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.878
Pond6Fish2_PondTime,14.401
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,224
Pond6Fish2_TimeLeft,948.679
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.685
Pond6Fish3_PondTime,21.053
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,236
Pond6Fish3_TimeLeft,942.027
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.335
Pond6Fish4_PondTime,28.037
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,238
Pond6Fish4_TimeLeft,935.043
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.07
Pond6Fish5_PondTime,35.404
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,250
Pond6Fish5_TimeLeft,927.676
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,-1
Pond6Fish6_PondTime,43.281
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,250
Pond6Fish6_TimeLeft,919.798
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.781
Pond6Fish7_PondTime,51.651
Pond6Fish7_PondOutcome,62
Pond6Fish7_TotalOutcome,262
Pond6Fish7_TimeLeft,911.429
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.733
Pond6Fish8_PondTime,60.684
Pond6Fish8_PondOutcome,74
Pond6Fish8_TotalOutcome,274
Pond6Fish8_TimeLeft,902.396
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.766
Pond6Fish9_PondTime,70.553
Pond6Fish9_PondOutcome,86
Pond6Fish9_TotalOutcome,286
Pond6Fish9_TimeLeft,892.527
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.839
Pond6Fish10_PondTime,81.497
Pond6Fish10_PondOutcome,98
Pond6Fish10_TotalOutcome,298
Pond6Fish10_TimeLeft,881.583
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.814
Pond6Fish11_PondTime,93.866
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,310
Pond6Fish11_TimeLeft,869.214
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,-1
Pond6Fish12_PondTime,108.288
Pond6Fish12_PondOutcome,110
Pond6Fish12_TotalOutcome,310
Pond6Fish12_TimeLeft,854.792
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,29.57
PondTime,122.455
TimeLeft,840.124
PondOutcome,110
TotalOutcome,310
PondStart,PondStart
PondIntroTime,18.595995425712317
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.84
Pond2Fish1_PondTime,9.728
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,322
Pond2Fish1_TimeLeft,811.17
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.784
Pond2Fish2_PondTime,18.096
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,324
Pond2Fish2_TimeLeft,802.802
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.695
Pond2Fish3_PondTime,27.127
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,336
Pond2Fish3_TimeLeft,793.771
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.753
Pond2Fish4_PondTime,36.994
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,348
Pond2Fish4_TimeLeft,783.904
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.687
Pond2Fish5_PondTime,47.934
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,360
Pond2Fish5_TimeLeft,772.964
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.726
Pond2Fish6_PondTime,60.299
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,372
Pond2Fish6_TimeLeft,760.599
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.674
Pond2Fish7_PondTime,74.668
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,374
Pond2Fish7_TimeLeft,746.229
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,0.729
Pond2Fish8_PondTime,92.033
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,386
Pond2Fish8_TimeLeft,728.865
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,0.667
PondTime,114.27
TimeLeft,706.126
PondOutcome,76
TotalOutcome,386
PondStart,PondStart
PondIntroTime,10.110080151353031
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.801
Pond12Fish1_PondTime,8.028
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,398
Pond12Fish1_TimeLeft,687.358
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.717
Pond12Fish2_PondTime,14.395
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,410
Pond12Fish2_TimeLeft,680.991
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.714
Pond12Fish3_PondTime,21.05
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,422
Pond12Fish3_TimeLeft,674.336
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.744
Pond12Fish4_PondTime,28.035
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,424
Pond12Fish4_TimeLeft,667.35
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.763
Pond12Fish5_PondTime,35.402
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,436
Pond12Fish5_TimeLeft,659.984
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.748
Pond12Fish6_PondTime,43.226
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,448
Pond12Fish6_TimeLeft,652.16
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.594
Pond12Fish7_PondTime,51.598
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,460
Pond12Fish7_TimeLeft,643.788
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.762
Pond12Fish8_PondTime,60.63
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,472
Pond12Fish8_TimeLeft,634.756
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,gray
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,0.832
Pond12Fish9_PondTime,70.495
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,474
Pond12Fish9_TimeLeft,624.891
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.818
Pond12Fish10_PondTime,81.435
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,486
Pond12Fish10_TimeLeft,613.951
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,0.786
Pond12Fish11_PondTime,93.801
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,498
Pond12Fish11_TimeLeft,601.585
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,1.108
PondTime,93.893
TimeLeft,600.99
PondOutcome,112
TotalOutcome,498
PondStart,PondStart
PondIntroTime,18.050630250945687
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.799
Pond8Fish1_PondTime,8.561
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,510
Pond8Fish1_TimeLeft,573.744
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.767
Pond8Fish2_PondTime,15.543
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,522
Pond8Fish2_TimeLeft,566.763
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.795
Pond8Fish3_PondTime,22.908
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,534
Pond8Fish3_TimeLeft,559.398
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.885
Pond8Fish4_PondTime,30.727
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,546
Pond8Fish4_TimeLeft,551.578
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.737
Pond8Fish5_PondTime,39.092
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,558
Pond8Fish5_TimeLeft,543.214
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.823
Pond8Fish6_PondTime,48.124
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,570
Pond8Fish6_TimeLeft,534.182
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.747
Pond8Fish7_PondTime,57.993
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,582
Pond8Fish7_TimeLeft,524.312
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.788
Pond8Fish8_PondTime,68.929
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,594
Pond8Fish8_TimeLeft,513.377
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,0.854
Pond8Fish9_PondTime,81.295
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,606
Pond8Fish9_TimeLeft,501.011
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.834
Pond8Fish10_PondTime,95.66
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,618
Pond8Fish10_TimeLeft,486.646
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.991
PondTime,95.692
TimeLeft,486.112
PondOutcome,120
TotalOutcome,618
PondStart,PondStart
PondIntroTime,16.759040863253176
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.792
Pond7Fish1_PondTime,9.727
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,630
Pond7Fish1_TimeLeft,459.001
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.909
Pond7Fish2_PondTime,18.092
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,642
Pond7Fish2_TimeLeft,450.636
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.821
Pond7Fish3_PondTime,27.125
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,654
Pond7Fish3_TimeLeft,441.603
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.814
Pond7Fish4_PondTime,36.99
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,666
Pond7Fish4_TimeLeft,431.738
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.848
Pond7Fish5_PondTime,47.926
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,678
Pond7Fish5_TimeLeft,420.802
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.897
Pond7Fish6_PondTime,60.294
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,680
Pond7Fish6_TimeLeft,408.434
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.775
Pond7Fish7_PondTime,74.658
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,692
Pond7Fish7_TimeLeft,394.069
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.45
PondTime,91.6
TimeLeft,376.627
PondOutcome,74
TotalOutcome,692
PondStart,PondStart
PondIntroTime,15.37278288975358
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,0.874
Pond10Fish1_PondTime,7.612
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,704
Pond10Fish1_TimeLeft,353.022
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,0.878
Pond10Fish2_PondTime,13.509
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,716
Pond10Fish2_TimeLeft,347.125
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.784
Pond10Fish3_PondTime,19.628
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,728
Pond10Fish3_TimeLeft,341.006
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.813
Pond10Fish4_PondTime,25.992
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,740
Pond10Fish4_TimeLeft,334.642
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.702
Pond10Fish5_PondTime,32.644
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,752
Pond10Fish5_TimeLeft,327.99
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.681
Pond10Fish6_PondTime,39.624
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,764
Pond10Fish6_TimeLeft,321.01
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.717
Pond10Fish7_PondTime,46.99
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,776
Pond10Fish7_TimeLeft,313.644
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.798
Pond10Fish8_PondTime,54.81
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,788
Pond10Fish8_TimeLeft,305.824
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.689
Pond10Fish9_PondTime,63.177
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,800
Pond10Fish9_TimeLeft,297.456
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.818
Pond10Fish10_PondTime,72.208
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,812
Pond10Fish10_TimeLeft,288.426
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.789
Pond10Fish11_PondTime,82.078
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,824
Pond10Fish11_TimeLeft,278.555
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.754
Pond10Fish12_PondTime,93.016
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,836
Pond10Fish12_TimeLeft,267.618
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,0.707
Pond10Fish13_PondTime,105.38
Pond10Fish13_PondOutcome,156
Pond10Fish13_TotalOutcome,848
Pond10Fish13_TimeLeft,255.253
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,0.351
PondTime,119.271
TimeLeft,240.862
PondOutcome,156
TotalOutcome,848
PondStart,PondStart
PondIntroTime,13.316617349628359
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.978
Pond11Fish1_PondTime,9.735
Pond11Fish1_PondOutcome,2
Pond11Fish1_TotalOutcome,850
Pond11Fish1_TimeLeft,217.169
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.741
Pond11Fish2_PondTime,18.104
