,5806d62a030efb00019213d8
Pond3Fish4_TotalOutcome,580
Pond3Fish4_TimeLeft,629.216
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.244
Pond3Fish5_PondTime,32.792
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,592
Pond3Fish5_TimeLeft,622.537
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.099
Pond3Fish6_PondTime,39.817
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,604
Pond3Fish6_TimeLeft,615.512
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.255
Pond3Fish7_PondTime,47.242
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,616
Pond3Fish7_TimeLeft,608.087
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.35
Pond3Fish8_PondTime,55.104
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,628
Pond3Fish8_TimeLeft,600.225
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.214
Pond3Fish9_PondTime,63.543
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,640
Pond3Fish9_TimeLeft,591.786
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.959
Pond3Fish10_PondTime,72.596
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,652
Pond3Fish10_TimeLeft,582.733
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.277
Pond3Fish11_PondTime,82.468
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,664
Pond3Fish11_TimeLeft,572.86
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.47
Pond3Fish12_PondTime,93.459
Pond3Fish12_PondOutcome,144
Pond3Fish12_TotalOutcome,676
Pond3Fish12_TimeLeft,561.87
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,gray
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,-1
Pond3Fish13_PondTime,105.954
Pond3Fish13_PondOutcome,144
Pond3Fish13_TotalOutcome,676
Pond3Fish13_TimeLeft,549.375
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.222
Pond3Fish14_PondTime,120.352
Pond3Fish14_PondOutcome,156
Pond3Fish14_TotalOutcome,688
Pond3Fish14_TimeLeft,534.977
Type,RD
FishN,15
Fish,15
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,-1
Pond3Fish15_PondTime,137.775
Pond3Fish15_PondOutcome,156
Pond3Fish15_TotalOutcome,688
Pond3Fish15_TimeLeft,517.554
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,33.576
PondTime,153.346
TimeLeft,501.475
PondOutcome,156
TotalOutcome,688
PondStart,PondStart
PondIntroTime,10.040167851839215
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.47
Pond12Fish1_PondTime,7.627
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,700
Pond12Fish1_TimeLeft,483.174
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.408
Pond12Fish2_PondTime,13.547
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,712
Pond12Fish2_TimeLeft,477.254
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.395
Pond12Fish3_PondTime,19.676
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,724
Pond12Fish3_TimeLeft,471.125
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.085
Pond12Fish4_PondTime,26.069
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,736
Pond12Fish4_TimeLeft,464.732
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.147
Pond12Fish5_PondTime,32.794
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,748
Pond12Fish5_TimeLeft,458.007
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.49
Pond12Fish6_PondTime,39.787
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,750
Pond12Fish6_TimeLeft,451.014
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.112
Pond12Fish7_PondTime,47.221
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,762
Pond12Fish7_TimeLeft,443.58
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.42
Pond12Fish8_PondTime,55.068
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,774
Pond12Fish8_TimeLeft,435.732
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.055
Pond12Fish9_PondTime,63.487
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,786
Pond12Fish9_TimeLeft,427.314
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.445
Pond12Fish10_PondTime,72.613
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,798
Pond12Fish10_TimeLeft,418.188
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.466
Pond12Fish11_PondTime,82.64
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,810
Pond12Fish11_TimeLeft,408.161
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.17
Pond12Fish12_PondTime,93.674
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,822
Pond12Fish12_TimeLeft,397.126
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,1.517
Pond12Fish13_PondTime,106.048
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,834
Pond12Fish13_TimeLeft,384.753
Type,RD
FishN,15
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,1.446
Pond12Fish14_PondTime,120.463
Pond12Fish14_PondOutcome,158
Pond12Fish14_TotalOutcome,846
Pond12Fish14_TimeLeft,370.338
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,16.195
PondTime,136.297
TimeLeft,353.988
PondOutcome,158
TotalOutcome,846
PondStart,PondStart
PondIntroTime,19.39694974804297
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.305
Pond5Fish1_PondTime,8.102
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,858
Pond5Fish1_TimeLeft,325.833
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.248
Pond5Fish2_PondTime,14.507
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,870
Pond5Fish2_TimeLeft,319.428
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,gray
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.407
Pond5Fish3_PondTime,21.24
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,872
Pond5Fish3_TimeLeft,312.694
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.215
Pond5Fish4_PondTime,28.27
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,884
Pond5Fish4_TimeLeft,305.665
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.405
Pond5Fish5_PondTime,35.66
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,896
Pond5Fish5_TimeLeft,298.275
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,-1
Pond5Fish6_PondTime,43.575
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,896
Pond5Fish6_TimeLeft,290.359
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.252
Pond5Fish7_PondTime,51.971
Pond5Fish7_PondOutcome,62
Pond5Fish7_TotalOutcome,908
Pond5Fish7_TimeLeft,281.963
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.509
Pond5Fish8_PondTime,61.064
Pond5Fish8_PondOutcome,74
Pond5Fish8_TotalOutcome,920
Pond5Fish8_TimeLeft,272.871
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,71.068
Pond5Fish9_PondOutcome,74
Pond5Fish9_TotalOutcome,920
Pond5Fish9_TimeLeft,262.867
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,7.5
