,5d7011edab15300001c19eac
Pond3Fish2_TotalOutcome,121
Pond3Fish2_TimeLeft,1064.588
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,24.119
Pond3Fish3_PondOutcome,22
Pond3Fish3_TotalOutcome,121
Pond3Fish3_TimeLeft,1056.721
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.039
Pond3Fish4_PondTime,32.486
Pond3Fish4_PondOutcome,33
Pond3Fish4_TotalOutcome,132
Pond3Fish4_TimeLeft,1048.354
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,-1
Pond3Fish5_PondTime,41.582
Pond3Fish5_PondOutcome,33
Pond3Fish5_TotalOutcome,132
Pond3Fish5_TimeLeft,1039.258
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.6
Pond3Fish6_PondTime,51.451
Pond3Fish6_PondOutcome,44
Pond3Fish6_TotalOutcome,143
Pond3Fish6_TimeLeft,1029.389
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.748
Pond3Fish7_PondTime,62.383
Pond3Fish7_PondOutcome,55
Pond3Fish7_TotalOutcome,154
Pond3Fish7_TimeLeft,1018.457
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.956
Pond3Fish8_PondTime,74.752
Pond3Fish8_PondOutcome,66
Pond3Fish8_TotalOutcome,165
Pond3Fish8_TimeLeft,1006.088
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.749
Pond3Fish9_PondTime,89.122
Pond3Fish9_PondOutcome,77
Pond3Fish9_TotalOutcome,176
Pond3Fish9_TimeLeft,991.718
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,0.722
Pond3Fish10_PondTime,106.488
Pond3Fish10_PondOutcome,88
Pond3Fish10_TotalOutcome,187
Pond3Fish10_TimeLeft,974.352
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,1.03
Pond3Fish11_PondTime,128.852
Pond3Fish11_PondOutcome,99
Pond3Fish11_TotalOutcome,198
Pond3Fish11_TimeLeft,951.988
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,20
Pond3Fish12_CatchTime,1.093
Pond3Fish12_PondTime,161.219
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,209
Pond3Fish12_TimeLeft,919.621
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,34.495
PondTime,195.01
TimeLeft,885.324
PondOutcome,110
TotalOutcome,209
PondStart,PondStart
PondIntroTime,14.251187553163618
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.109
Pond6Fish1_PondTime,9.733
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,220
Pond6Fish1_TimeLeft,860.722
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.888
Pond6Fish2_PondTime,18.1
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,231
Pond6Fish2_TimeLeft,852.355
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.79
Pond6Fish3_PondTime,27.131
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,242
Pond6Fish3_TimeLeft,843.323
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.808
Pond6Fish4_PondTime,36.999
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,253
Pond6Fish4_TimeLeft,833.456
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.004
Pond6Fish5_PondTime,47.934
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,264
Pond6Fish5_TimeLeft,822.52
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.876
Pond6Fish6_PondTime,60.298
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,275
Pond6Fish6_TimeLeft,810.157
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.112
Pond6Fish7_PondTime,74.667
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,286
Pond6Fish7_TimeLeft,795.788
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,-1
Pond6Fish8_PondTime,92.099
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,286
Pond6Fish8_TimeLeft,778.356
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.451
Pond6Fish9_PondTime,114.466
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,297
Pond6Fish9_TimeLeft,755.989
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.159
Pond6Fish10_PondTime,146.836
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,308
Pond6Fish10_TimeLeft,723.619
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,2.718
PondTime,148.916
TimeLeft,721.037
PondOutcome,99
TotalOutcome,308
PondStart,PondStart
PondIntroTime,13.824325641617179
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.152
Pond8Fish1_PondTime,7.615
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,319
Pond8Fish1_TimeLeft,698.972
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,0.834
Pond8Fish2_PondTime,13.516
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,330
Pond8Fish2_TimeLeft,693.071
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.993
Pond8Fish3_PondTime,19.631
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,341
Pond8Fish3_TimeLeft,686.956
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.891
Pond8Fish4_PondTime,25.998
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,352
Pond8Fish4_TimeLeft,680.589
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.877
Pond8Fish5_PondTime,32.648
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,363
Pond8Fish5_TimeLeft,673.939
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.248
Pond8Fish6_PondTime,39.632
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,374
Pond8Fish6_TimeLeft,666.955
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.32
Pond8Fish7_PondTime,46.999
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,385
Pond8Fish7_TimeLeft,659.588
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.04
Pond8Fish8_PondTime,54.814
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,396
Pond8Fish8_TimeLeft,651.773
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.264
Pond8Fish9_PondTime,63.183
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,407
Pond8Fish9_TimeLeft,643.404
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.252
Pond8Fish10_PondTime,72.203
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,418
Pond8Fish10_TimeLeft,634.384
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.02
Pond8Fish11_PondTime,82.067
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,429
Pond8Fish11_TimeLeft,624.52
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.017
Pond8Fish12_PondTime,92.999
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,440
Pond8Fish12_TimeLeft,613.588
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.095
Pond8Fish13_PondTime,105.367
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,451
Pond8Fish13_TimeLeft,601.22
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,0.821
Pond8Fish14_PondTime,119.733
Pond8Fish14_PondOutcome,154
Pond8Fish14_TotalOutcome,462
Pond8Fish14_TimeLeft,586.854
Type,N
FishN,15
Fish,15
Pond8Fish15_FishType,green
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.298
Pond8Fish15_PondTime,137.098
Pond8Fish15_PondOutcome,165
Pond8Fish15_TotalOutcome,473
Pond8Fish15_TimeLeft,569.489
Type,N
FishN,15
Fish,16
Pond8Fish16_FishType,green
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,1.492
Pond8Fish16_PondTime,159.466
Pond8Fish16_PondOutcome,176
Pond8Fish16_TotalOutcome,484
Pond8Fish16_TimeLeft,547.121
Type,N
FishN,15
Fish,17
Pond8Fish17_FishType,green
Pond8Fish17_FishLatency,20
Pond8Fish17_CatchTime,1.012
Pond8Fish17_PondTime,191.833
Pond8Fish17_PondOutcome,187
Pond8Fish17_TotalOutcome,495
Pond8Fish17_TimeLeft,514.754
PondEnd_LastFish,17
FishN,19
Type,N
GiveUpTime,1.081
PondTime,192.127
TimeLeft,513.956
PondOutcome,187
TotalOutcome,495
PondStart,PondStart
PondIntroTime,12.348215172532946
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.836
Pond2Fish1_PondTime,8.884
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,506
Pond2Fish1_TimeLeft,492.104
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.883
Pond2Fish2_PondTime,16.252
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,517
Pond2Fish2_TimeLeft,484.737
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,24.134
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,517
Pond2Fish3_TimeLeft,476.855
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.005
Pond2Fish4_PondTime,32.501
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,528
Pond2Fish4_TimeLeft,468.488
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.439
Pond2Fish5_PondTime,41.535
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,539
Pond2Fish5_TimeLeft,459.453
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.169
Pond2Fish6_PondTime,51.4
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,550
Pond2Fish6_TimeLeft,449.589
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.981
Pond2Fish7_PondTime,62.333
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,561
Pond2Fish7_TimeLeft,438.656
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.029
Pond2Fish8_PondTime,74.687
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,572
Pond2Fish8_TimeLeft,426.302
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.005
Pond2Fish9_PondTime,89.05
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,583
Pond2Fish9_TimeLeft,411.939
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.281
Pond2Fish10_PondTime,106.419
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,594
Pond2Fish10_TimeLeft,394.57
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,15
Pond2Fish11_CatchTime,1.116
Pond2Fish11_PondTime,128.786
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,605
Pond2Fish11_TimeLeft,372.203
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,20
Pond2Fish12_CatchTime,1.233
Pond2Fish12_PondTime,161.152
Pond2Fish12_PondOutcome,121
Pond2Fish12_TotalOutcome,616
Pond2Fish12_TimeLeft,339.837
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,0.78
PondTime,161.38
TimeLeft,339.105
PondOutcome,121
TotalOutcome,616
PondStart,PondStart
PondIntroTime,13.680193340405822
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.007
Pond10Fish1_PondTime,8.018
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,627
Pond10Fish1_TimeLeft,316.771
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.79
Pond10Fish2_PondTime,14.385
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,638
Pond10Fish2_TimeLeft,310.404
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.819
Pond10Fish3_PondTime,21.036
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,649
Pond10Fish3_TimeLeft,303.753
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.808
Pond10Fish4_PondTime,28.017
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,660
Pond10Fish4_TimeLeft,296.772
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.967
Pond10Fish5_PondTime,35.384
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,671
Pond10Fish5_TimeLeft,289.405
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.835
Pond10Fish6_PondTime,43.203
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,682
Pond10Fish6_TimeLeft,281.586
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.08
Pond10Fish7_PondTime,51.569
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,693
Pond10Fish7_TimeLeft,273.22
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.951
Pond10Fish8_PondTime,60.601
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,704
Pond10Fish8_TimeLeft,264.188
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.658
Pond10Fish9_PondTime,70.468
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,715
Pond10Fish9_TimeLeft,254.321
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.337
Pond10Fish10_PondTime,81.401
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,726
Pond10Fish10_TimeLeft,243.388
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.922
Pond10Fish11_PondTime,93.768
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,737
Pond10Fish11_TimeLeft,231.021
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.093
Pond10Fish12_PondTime,108.134
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,748
Pond10Fish12_TimeLeft,216.655
Type,N
FishN,17
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,0.97
Pond10Fish13_PondTime,125.501
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,759
Pond10Fish13_TimeLeft,199.288
Type,N
FishN,17
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,1.197
Pond10Fish14_PondTime,147.869
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,770
Pond10Fish14_TimeLeft,176.92
Type,N
FishN,17
Fish,15
Pond10Fish15_FishType,green
Pond10Fish15_FishLatency,20
Pond10Fish15_CatchTime,1.253
Pond10Fish15_PondTime,180.233
Pond10Fish15_PondOutcome,165
Pond10Fish15_TotalOutcome,781
Pond10Fish15_TimeLeft,144.556
PondEnd_LastFish,15
FishN,17
Type,N
GiveUpTime,3.158
PondTime,182.857
TimeLeft,141.429
PondOutcome,165
TotalOutcome,781
PondStart,PondStart
PondIntroTime,17.555857554543763
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.966
Pond1Fish1_PondTime,9.733
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,792
Pond1Fish1_TimeLeft,113.522
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.801
Pond1Fish2_PondTime,18.1
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,803
Pond1Fish2_TimeLeft,105.155
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.385
Pond1Fish3_PondTime,27.135
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,814
Pond1Fish3_TimeLeft,96.12
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.029
Pond1Fish4_PondTime,37.001
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,825
Pond1Fish4_TimeLeft,86.254
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.857
Pond1Fish5_PondTime,47.937
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,836
Pond1Fish5_TimeLeft,75.318
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.816
Pond1Fish6_PondTime,60.302
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,847
Pond1Fish6_TimeLeft,62.953
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,0.979
Pond1Fish7_PondTime,74.668
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,858
Pond1Fish7_TimeLeft,48.587
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,0.997
Pond1Fish8_PondTime,92.035
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,869
Pond1Fish8_TimeLeft,31.22
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.096
Pond1Fish9_PondTime,114.401
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,880
Pond1Fish9_TimeLeft,8.854
