,5ca72110f7c8550016428640
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1134.745
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,0.96
Pond6Fish8_PondTime,82.019
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1120.38
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,0.914
Pond6Fish9_PondTime,99.375
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1103.024
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,1.67
Pond6Fish10_PondTime,121.741
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1080.658
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,23.27
PondTime,144.893
TimeLeft,1057.003
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,11.09285896178335
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,7.868
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,110
Pond3Fish1_TimeLeft,1037.4
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.501
Pond3Fish2_PondTime,13.985
Pond3Fish2_PondOutcome,11
Pond3Fish2_TotalOutcome,121
Pond3Fish2_TimeLeft,1031.283
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.6
Pond3Fish3_PondTime,20.349
Pond3Fish3_PondOutcome,22
Pond3Fish3_TotalOutcome,132
Pond3Fish3_TimeLeft,1024.919
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.762
Pond3Fish4_PondTime,26.994
Pond3Fish4_PondOutcome,33
Pond3Fish4_TotalOutcome,143
Pond3Fish4_TimeLeft,1018.274
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.971
Pond3Fish5_PondTime,33.969
Pond3Fish5_PondOutcome,44
Pond3Fish5_TotalOutcome,154
Pond3Fish5_TimeLeft,1011.299
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,41.392
Pond3Fish6_PondOutcome,44
Pond3Fish6_TotalOutcome,154
Pond3Fish6_TimeLeft,1003.876
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,-1
Pond3Fish7_PondTime,49.274
Pond3Fish7_PondOutcome,44
Pond3Fish7_TotalOutcome,154
Pond3Fish7_TimeLeft,995.994
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.73
Pond3Fish8_PondTime,57.641
Pond3Fish8_PondOutcome,55
Pond3Fish8_TotalOutcome,165
Pond3Fish8_TimeLeft,987.627
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,66.73
Pond3Fish9_PondOutcome,55
Pond3Fish9_TotalOutcome,165
Pond3Fish9_TimeLeft,978.538
PondEnd_LastFish,9
FishN,18
Type,N
GiveUpTime,11.513
PondTime,68.093
TimeLeft,976.673
PondOutcome,55
TotalOutcome,165
PondStart,PondStart
PondIntroTime,17.90587073424831
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.749
Pond9Fish1_PondTime,8.563
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,176
Pond9Fish1_TimeLeft,949.575
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.278
Pond9Fish2_PondTime,15.539
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,187
Pond9Fish2_TimeLeft,942.599
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.136
Pond9Fish3_PondTime,22.911
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,198
Pond9Fish3_TimeLeft,935.227
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.988
Pond9Fish4_PondTime,32.157
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,209
Pond9Fish4_TimeLeft,925.981
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.344
Pond9Fish5_PondTime,40.515
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,220
Pond9Fish5_TimeLeft,917.623
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.239
Pond9Fish6_PondTime,49.541
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,231
Pond9Fish6_TimeLeft,908.597
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.839
PondTime,49.831
TimeLeft,907.804
PondOutcome,66
TotalOutcome,231
PondStart,PondStart
PondIntroTime,10.692876710090786
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.937
Pond1Fish1_PondTime,8.91
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,242
Pond1Fish1_TimeLeft,887.555
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.222
Pond1Fish2_PondTime,16.268
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,253
Pond1Fish2_TimeLeft,880.197
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.408
Pond1Fish3_PondTime,24.084
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,264
Pond1Fish3_TimeLeft,872.381
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.185
Pond1Fish4_PondTime,32.449
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,275
Pond1Fish4_TimeLeft,864.016
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.141
Pond1Fish5_PondTime,41.474
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,286
Pond1Fish5_TimeLeft,854.991
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.258
Pond1Fish6_PondTime,51.344
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,297
Pond1Fish6_TimeLeft,845.121
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,2.293
PondTime,53.105
TimeLeft,842.857
PondOutcome,66
TotalOutcome,297
PondStart,PondStart
PondIntroTime,18.84613767499104
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.99
Pond11Fish1_PondTime,9.721
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,308
Pond11Fish1_TimeLeft,813.665
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,18.15
Pond11Fish2_PondOutcome,11
Pond11Fish2_TotalOutcome,308
Pond11Fish2_TimeLeft,805.237
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.954
Pond11Fish3_PondTime,27.176
Pond11Fish3_PondOutcome,22
Pond11Fish3_TotalOutcome,319
Pond11Fish3_TimeLeft,796.211
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,0.911
PondTime,27.243
TimeLeft,795.643
PondOutcome,22
TotalOutcome,319
PondStart,PondStart
PondIntroTime,10.042131685186177
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,0.657
Pond4Fish1_PondTime,7.803
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,330
Pond4Fish1_TimeLeft,777.168
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,13.985
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,330
Pond4Fish2_TimeLeft,770.986
