,5617e305d0807500111dfb81
Pond10Fish9_PondTime,76.429
Pond10Fish9_PondOutcome,77
Pond10Fish9_TotalOutcome,242
Pond10Fish9_TimeLeft,963.9
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,1.695
PondTime,77.691
TimeLeft,962.123
PondOutcome,77
TotalOutcome,242
PondStart,PondStart
PondIntroTime,13.489013451617211
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.141
Pond11Fish1_PondTime,7.644
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,253
Pond11Fish1_TimeLeft,940.343
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.131
Pond11Fish2_PondTime,13.575
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,264
Pond11Fish2_TimeLeft,934.412
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,1.156
Pond11Fish3_PondTime,19.731
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,275
Pond11Fish3_TimeLeft,928.256
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.295
Pond11Fish4_PondTime,26.105
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,286
Pond11Fish4_TimeLeft,921.882
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.308
Pond11Fish5_PondTime,32.778
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,297
Pond11Fish5_TimeLeft,915.208
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.517
Pond11Fish6_PondTime,39.787
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,308
Pond11Fish6_TimeLeft,908.2
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.458
Pond11Fish7_PondTime,47.172
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,319
Pond11Fish7_TimeLeft,900.815
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.317
Pond11Fish8_PondTime,55.025
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,330
Pond11Fish8_TimeLeft,892.962
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,0.969
PondTime,55.502
TimeLeft,891.982
PondOutcome,88
TotalOutcome,330
PondStart,PondStart
PondIntroTime,19.829693152569234
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.211
Pond3Fish1_PondTime,8.396
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,341
Pond3Fish1_TimeLeft,863.121
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.134
Pond3Fish2_PondTime,15.089
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,352
Pond3Fish2_TimeLeft,856.428
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.922
Pond3Fish3_PondTime,22.109
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,363
Pond3Fish3_TimeLeft,849.407
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.671
Pond3Fish4_PondTime,29.522
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,374
Pond3Fish4_TimeLeft,841.995
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.285
Pond3Fish5_PondTime,37.387
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,385
Pond3Fish5_TimeLeft,834.129
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.421
Pond3Fish6_PondTime,45.791
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,396
Pond3Fish6_TimeLeft,825.726
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.467
Pond3Fish7_PondTime,54.852
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,407
Pond3Fish7_TimeLeft,816.665
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.349
Pond3Fish8_PondTime,64.752
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,418
Pond3Fish8_TimeLeft,806.764
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.504
Pond3Fish9_PondTime,75.72
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,429
Pond3Fish9_TimeLeft,795.797
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.425
Pond3Fish10_PondTime,88.12
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,440
Pond3Fish10_TimeLeft,783.396
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,1.172
PondTime,88.907
TimeLeft,782.098
PondOutcome,110
TotalOutcome,440
PondStart,PondStart
PondIntroTime,19.49523841496557
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.186
Pond5Fish1_PondTime,8.079
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,451
Pond5Fish1_TimeLeft,753.864
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.068
Pond5Fish2_PondTime,14.463
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,462
Pond5Fish2_TimeLeft,747.48
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.251
Pond5Fish3_PondTime,21.16
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,473
Pond5Fish3_TimeLeft,740.783
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.752
Pond5Fish4_PondTime,28.214
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,484
Pond5Fish4_TimeLeft,733.729
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.888
Pond5Fish5_PondTime,35.622
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,495
Pond5Fish5_TimeLeft,726.321
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.423
Pond5Fish6_PondTime,43.487
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,506
Pond5Fish6_TimeLeft,718.456
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.916
Pond5Fish7_PondTime,51.898
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,517
Pond5Fish7_TimeLeft,710.045
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.467
Pond5Fish8_PondTime,60.974
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,528
Pond5Fish8_TimeLeft,700.969
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.483
Pond5Fish9_PondTime,70.861
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,539
Pond5Fish9_TimeLeft,691.081
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.509
Pond5Fish10_PondTime,81.822
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,550
Pond5Fish10_TimeLeft,680.12
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.542
Pond5Fish11_PondTime,94.209
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,561
Pond5Fish11_TimeLeft,667.734
Type,N
FishN,18
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.333
Pond5Fish12_PondTime,108.614
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,572
Pond5Fish12_TimeLeft,653.329
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,1.367
PondTime,109.511
TimeLeft,651.928
PondOutcome,132
TotalOutcome,572
PondStart,PondStart
PondIntroTime,14.753317858558148
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.332
Pond12Fish1_PondTime,9.327
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,583
Pond12Fish1_TimeLeft,627.204
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,17.23
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,583
Pond12Fish2_TimeLeft,619.301
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.202
Pond12Fish3_PondTime,25.649
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,594
Pond12Fish3_TimeLeft,610.882
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.236
Pond12Fish4_PondTime,34.698
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,605
Pond12Fish4_TimeLeft,601.833
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,2.535
PondTime,36.671
TimeLeft,599.355
PondOutcome,33
TotalOutcome,605
PondStart,PondStart
PondIntroTime,16.34901004843414
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.246
Pond8Fish1_PondTime,8.069
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,616
Pond8Fish1_TimeLeft,574.316
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.368
Pond8Fish2_PondTime,14.468
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,627
Pond8Fish2_TimeLeft,567.918
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.277
Pond8Fish3_PondTime,21.166
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,638
Pond8Fish3_TimeLeft,561.22
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,28.247
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,638
Pond8Fish4_TimeLeft,554.139
