,5a47fa82ee927b0001e1eaae
Pond11Fish3_TotalOutcome,154
Pond11Fish3_TimeLeft,1064.284
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.296
Pond11Fish4_PondTime,28.118
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,165
Pond11Fish4_TimeLeft,1057.276
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.388
Pond11Fish5_PondTime,35.545
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,176
Pond11Fish5_TimeLeft,1049.849
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.38
Pond11Fish6_PondTime,43.414
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,187
Pond11Fish6_TimeLeft,1041.98
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.124
Pond11Fish7_PondTime,51.817
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,198
Pond11Fish7_TimeLeft,1033.576
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.647
Pond11Fish8_PondTime,60.895
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,209
Pond11Fish8_TimeLeft,1024.499
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.526
Pond11Fish9_PondTime,70.769
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,220
Pond11Fish9_TimeLeft,1014.625
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,1.477
PondTime,71.975
TimeLeft,1012.916
PondOutcome,99
TotalOutcome,220
PondStart,PondStart
PondIntroTime,11.460967243183404
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.34
Pond3Fish1_PondTime,8.302
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,231
Pond3Fish1_TimeLeft,992.517
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.318
Pond3Fish2_PondTime,14.985
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,242
Pond3Fish2_TimeLeft,985.834
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.128
Pond3Fish3_PondTime,22.023
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,253
Pond3Fish3_TimeLeft,978.796
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.29
Pond3Fish4_PondTime,29.41
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,264
Pond3Fish4_TimeLeft,971.409
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.342
Pond3Fish5_PondTime,37.247
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,275
Pond3Fish5_TimeLeft,963.572
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.353
Pond3Fish6_PondTime,45.626
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,286
Pond3Fish6_TimeLeft,955.193
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.246
Pond3Fish7_PondTime,54.677
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,297
Pond3Fish7_TimeLeft,946.142
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.337
Pond3Fish8_PondTime,64.567
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,308
Pond3Fish8_TimeLeft,936.252
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,1.149
PondTime,65.254
TimeLeft,935.062
PondOutcome,88
TotalOutcome,308
PondStart,PondStart
PondIntroTime,14.492764081805944
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.098
Pond7Fish1_PondTime,8.065
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,319
Pond7Fish1_TimeLeft,911.846
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.956
Pond7Fish2_PondTime,14.472
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,330
Pond7Fish2_TimeLeft,905.439
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.079
Pond7Fish3_PondTime,21.159
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,341
Pond7Fish3_TimeLeft,898.752
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.281
Pond7Fish4_PondTime,28.187
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,352
Pond7Fish4_TimeLeft,891.724
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.338
Pond7Fish5_PondTime,35.584
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,363
Pond7Fish5_TimeLeft,884.327
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.274
Pond7Fish6_PondTime,43.407
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,374
Pond7Fish6_TimeLeft,876.504
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.158
Pond7Fish7_PondTime,51.785
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,385
Pond7Fish7_TimeLeft,868.126
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.241
Pond7Fish8_PondTime,60.839
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,396
Pond7Fish8_TimeLeft,859.072
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.316
Pond7Fish9_PondTime,70.721
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,407
Pond7Fish9_TimeLeft,849.19
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.943
Pond7Fish10_PondTime,81.955
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,418
Pond7Fish10_TimeLeft,837.956
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,1.251
PondTime,83.105
TimeLeft,836.302
PondOutcome,110
TotalOutcome,418
PondStart,PondStart
PondIntroTime,14.597534849308431
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.404
Pond8Fish1_PondTime,8.318
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,429
Pond8Fish1_TimeLeft,812.744
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.226
Pond8Fish2_PondTime,15.008
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,440
Pond8Fish2_TimeLeft,806.054
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.45
Pond8Fish3_PondTime,22.018
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,451
Pond8Fish3_TimeLeft,799.044
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.286
Pond8Fish4_PondTime,29.399
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,462
Pond8Fish4_TimeLeft,791.663
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.472
Pond8Fish5_PondTime,37.238
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,473
Pond8Fish5_TimeLeft,783.824
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.417
Pond8Fish6_PondTime,45.612
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,484
Pond8Fish6_TimeLeft,775.45
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,54.72
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,484
Pond8Fish7_TimeLeft,766.342
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.307
Pond8Fish8_PondTime,64.616
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,495
Pond8Fish8_TimeLeft,756.446
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.087
Pond8Fish9_PondTime,75.579
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,506
Pond8Fish9_TimeLeft,745.483
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,1.63
Pond8Fish10_PondTime,87.971
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,517
Pond8Fish10_TimeLeft,733.09
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,1.14
PondTime,88.944
TimeLeft,731.608
PondOutcome,99
TotalOutcome,517
PondStart,PondStart
PondIntroTime,18.43495253706351
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.062
Pond9Fish1_PondTime,7.628
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,528
Pond9Fish1_TimeLeft,704.916
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.436
Pond9Fish2_PondTime,13.561
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,539
Pond9Fish2_TimeLeft,698.984
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.247
Pond9Fish3_PondTime,19.669
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,550
Pond9Fish3_TimeLeft,692.875
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.372
Pond9Fish4_PondTime,26.058
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,561
Pond9Fish4_TimeLeft,686.487
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.956
Pond9Fish5_PondTime,32.743
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,572
Pond9Fish5_TimeLeft,679.802
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.353
Pond9Fish6_PondTime,39.736
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,583
Pond9Fish6_TimeLeft,672.809
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.481
Pond9Fish7_PondTime,47.1
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,594
Pond9Fish7_TimeLeft,665.445
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.258
Pond9Fish8_PondTime,54.939
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,605
Pond9Fish8_TimeLeft,657.606
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.58
Pond9Fish9_PondTime,63.323
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,616
Pond9Fish9_TimeLeft,649.222
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.049
Pond9Fish10_PondTime,72.367
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,627
Pond9Fish10_TimeLeft,640.178
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.957
Pond9Fish11_PondTime,82.268
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,638
Pond9Fish11_TimeLeft,630.277
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.246
Pond9Fish12_PondTime,93.243
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,649
Pond9Fish12_TimeLeft,619.302
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,1.068
PondTime,93.748
TimeLeft,618.294
PondOutcome,132
TotalOutcome,649
PondStart,PondStart
PondIntroTime,10.366635075770319
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.767
Pond6Fish1_PondTime,8.118
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,660
Pond6Fish1_TimeLeft,599.172
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.113
Pond6Fish2_PondTime,14.52
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,671
Pond6Fish2_TimeLeft,592.77
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.25
Pond6Fish3_PondTime,21.211
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,682
Pond6Fish3_TimeLeft,586.079
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.268
Pond6Fish4_PondTime,28.222
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,693
Pond6Fish4_TimeLeft,579.068
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.483
Pond6Fish5_PondTime,35.636
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,704
Pond6Fish5_TimeLeft,571.654
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.448
Pond6Fish6_PondTime,43.473
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,715
Pond6Fish6_TimeLeft,563.817
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.111
Pond6Fish7_PondTime,51.862
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,726
Pond6Fish7_TimeLeft,555.428
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.062
Pond6Fish8_PondTime,60.919
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,737
Pond6Fish8_TimeLeft,546.371
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.18
Pond6Fish9_PondTime,70.808
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,748
Pond6Fish9_TimeLeft,536.482
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.988
Pond6Fish10_PondTime,81.76
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,759
Pond6Fish10_TimeLeft,525.53
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,1.215
PondTime,82.16
TimeLeft,524.626
PondOutcome,110
TotalOutcome,759
PondStart,PondStart
PondIntroTime,18.749157490674406
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.455
Pond1Fish1_PondTime,9.292
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,770
Pond1Fish1_TimeLeft,495.937
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.328
Pond1Fish2_PondTime,17.134
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,781
Pond1Fish2_TimeLeft,488.096
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.743
Pond1Fish3_PondTime,25.569
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,792
Pond1Fish3_TimeLeft,479.661
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.267
Pond1Fish4_PondTime,34.625
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,803
Pond1Fish4_TimeLeft,470.605
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.281
Pond1Fish5_PondTime,44.529
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,814
Pond1Fish5_TimeLeft,460.701
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.474
Pond1Fish6_PondTime,55.471
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,825
Pond1Fish6_TimeLeft,449.759
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.549
Pond1Fish7_PondTime,67.85
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,836
Pond1Fish7_TimeLeft,437.38
PondEnd_LastFish,7
FishN,13
Type,N
GiveUpTime,1.393
PondTime,68.989
TimeLeft,435.737
PondOutcome,77
TotalOutcome,836
PondStart,PondStart
PondIntroTime,13.901584933046252
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.364
Pond2Fish1_PondTime,7.823
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,847
Pond2Fish1_TimeLeft,413.378
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.209
Pond2Fish2_PondTime,13.976
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,858
Pond2Fish2_TimeLeft,407.225
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.416
Pond2Fish3_PondTime,20.352
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,869
Pond2Fish3_TimeLeft,400.849
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.529
Pond2Fish4_PondTime,27.038
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,880
Pond2Fish4_TimeLeft,394.163
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.411
