,5c83b0408c0d0100175902f7
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1121.012
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.974
Pond6Fish11_PondTime,93.743
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,121
Pond6Fish11_TimeLeft,1108.656
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.501
Pond6Fish12_PondTime,108.103
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,132
Pond6Fish12_TimeLeft,1094.296
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.684
Pond6Fish13_PondTime,125.466
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,143
Pond6Fish13_TimeLeft,1076.933
PondEnd_LastFish,13
FishN,17
Type,N
GiveUpTime,0.882
PondTime,126.23
TimeLeft,1075.662
PondOutcome,143
TotalOutcome,143
PondStart,PondStart
PondIntroTime,10.513307137880474
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.233
Pond9Fish1_PondTime,9.73
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,154
Pond9Fish1_TimeLeft,1054.796
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.084
Pond9Fish2_PondTime,18.094
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,165
Pond9Fish2_TimeLeft,1046.432
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.284
Pond9Fish3_PondTime,27.127
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,176
Pond9Fish3_TimeLeft,1037.399
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.273
Pond9Fish4_PondTime,36.994
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,187
Pond9Fish4_TimeLeft,1027.532
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.12
Pond9Fish5_PondTime,47.932
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,198
Pond9Fish5_TimeLeft,1016.594
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.125
Pond9Fish6_PondTime,60.301
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,209
Pond9Fish6_TimeLeft,1004.225
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.214
Pond9Fish7_PondTime,74.662
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,220
Pond9Fish7_TimeLeft,989.864
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.186
Pond9Fish8_PondTime,92.025
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,231
Pond9Fish8_TimeLeft,972.501
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.327
Pond9Fish9_PondTime,114.381
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,242
Pond9Fish9_TimeLeft,950.145
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.233
Pond9Fish10_PondTime,146.738
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,253
Pond9Fish10_TimeLeft,917.788
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,47.962
PondTime,194.133
TimeLeft,869.889
PondOutcome,110
TotalOutcome,253
PondStart,PondStart
PondIntroTime,15.549850324168801
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.445
Pond10Fish1_PondTime,8.562
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,264
Pond10Fish1_TimeLeft,845.16
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,15.593
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,264
Pond10Fish2_TimeLeft,838.129
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.086
Pond10Fish3_PondTime,22.954
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,275
Pond10Fish3_TimeLeft,830.768
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.215
Pond10Fish4_PondTime,30.768
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,286
Pond10Fish4_TimeLeft,822.954
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.074
Pond10Fish5_PondTime,39.132
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,297
Pond10Fish5_TimeLeft,814.59
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.082
Pond10Fish6_PondTime,48.166
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,308
Pond10Fish6_TimeLeft,805.556
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.206
Pond10Fish7_PondTime,58.033
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,319
Pond10Fish7_TimeLeft,795.689
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.334
Pond10Fish8_PondTime,68.968
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,330
Pond10Fish8_TimeLeft,784.753
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.284
Pond10Fish9_PondTime,81.341
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,341
Pond10Fish9_TimeLeft,772.381
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.132
Pond10Fish10_PondTime,95.699
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,352
Pond10Fish10_TimeLeft,758.023
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.369
Pond10Fish11_PondTime,113.063
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,363
Pond10Fish11_TimeLeft,740.659
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,1.516
Pond10Fish12_PondTime,135.419
Pond10Fish12_PondOutcome,121
Pond10Fish12_TotalOutcome,374
Pond10Fish12_TimeLeft,718.303
Type,N
FishN,17
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,20
Pond10Fish13_CatchTime,1.511
Pond10Fish13_PondTime,167.775
Pond10Fish13_PondOutcome,132
Pond10Fish13_TotalOutcome,385
Pond10Fish13_TimeLeft,685.947
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,0.94
PondTime,168.433
TimeLeft,684.788
PondOutcome,132
TotalOutcome,385
PondStart,PondStart
PondIntroTime,18.504730847198516
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.979
Pond7Fish1_PondTime,8.316
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,396
Pond7Fish1_TimeLeft,657.343
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.094
Pond7Fish2_PondTime,14.674
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,407
Pond7Fish2_TimeLeft,650.985
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.193
Pond7Fish3_PondTime,21.32
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,418
Pond7Fish3_TimeLeft,644.339
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.349
Pond7Fish4_PondTime,28.297
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,429
Pond7Fish4_TimeLeft,637.362
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.082
Pond7Fish5_PondTime,35.662
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,440
Pond7Fish5_TimeLeft,629.997
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.932
Pond7Fish6_PondTime,43.474
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,451
Pond7Fish6_TimeLeft,622.185
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.153
Pond7Fish7_PondTime,51.84
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,462
Pond7Fish7_TimeLeft,613.819
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.079
Pond7Fish8_PondTime,60.873
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,473
Pond7Fish8_TimeLeft,604.786
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.228
Pond7Fish9_PondTime,70.738
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,484
Pond7Fish9_TimeLeft,594.921
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.108
Pond7Fish10_PondTime,81.675
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,495
Pond7Fish10_TimeLeft,583.984
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.169
Pond7Fish11_PondTime,94.031
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,506
Pond7Fish11_TimeLeft,571.628
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,-1
Pond7Fish12_PondTime,113.109
Pond7Fish12_PondOutcome,121
Pond7Fish12_TotalOutcome,506
Pond7Fish12_TimeLeft,552.55
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.439
Pond7Fish13_PondTime,132.265
Pond7Fish13_PondOutcome,132
Pond7Fish13_TotalOutcome,517
Pond7Fish13_TimeLeft,533.394
Type,N
FishN,15
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,1.355
Pond7Fish14_PondTime,154.621
Pond7Fish14_PondOutcome,143
Pond7Fish14_TotalOutcome,528
Pond7Fish14_TimeLeft,511.038
Type,N
FishN,15
Fish,15
Pond7Fish15_FishType,green
Pond7Fish15_FishLatency,20
Pond7Fish15_CatchTime,1.03
Pond7Fish15_PondTime,186.995
Pond7Fish15_PondOutcome,154
Pond7Fish15_TotalOutcome,539
Pond7Fish15_TimeLeft,478.664
PondEnd_LastFish,15
FishN,17
Type,N
GiveUpTime,60.859
PondTime,247.089
TimeLeft,418.064
PondOutcome,154
TotalOutcome,539
PondStart,PondStart
PondIntroTime,12.233865186572075
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.395
Pond1Fish1_PondTime,8.561
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,550
Pond1Fish1_TimeLeft,396.654
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.016
Pond1Fish2_PondTime,15.541
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,561
Pond1Fish2_TimeLeft,389.674
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.38
Pond1Fish3_PondTime,22.903
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,572
Pond1Fish3_TimeLeft,382.312
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.215
Pond1Fish4_PondTime,30.717
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,583
Pond1Fish4_TimeLeft,374.498
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.209
Pond1Fish5_PondTime,39.083
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,594
Pond1Fish5_TimeLeft,366.132
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.33
Pond1Fish6_PondTime,48.114
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,605
Pond1Fish6_TimeLeft,357.101
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.414
Pond1Fish7_PondTime,57.983
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,616
Pond1Fish7_TimeLeft,347.232
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.414
Pond1Fish8_PondTime,68.919
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,627
Pond1Fish8_TimeLeft,336.296
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,0.874
Pond1Fish9_PondTime,81.29
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,638
Pond1Fish9_TimeLeft,323.925
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.283
Pond1Fish10_PondTime,95.649
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,649
Pond1Fish10_TimeLeft,309.566
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.391
Pond1Fish11_PondTime,113.012
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,660
Pond1Fish11_TimeLeft,292.203
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,15
Pond1Fish12_CatchTime,1.139
Pond1Fish12_PondTime,135.368
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,671
Pond1Fish12_TimeLeft,269.847
Type,N
FishN,16
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,20
Pond1Fish13_CatchTime,1.135
Pond1Fish13_PondTime,167.726
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,682
Pond1Fish13_TimeLeft,237.489
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,1.866
PondTime,168.926
TimeLeft,235.784
PondOutcome,143
TotalOutcome,682
PondStart,PondStart
PondIntroTime,16.0633920901455
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.241
Pond3Fish1_PondTime,9.733
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,693
Pond3Fish1_TimeLeft,209.355
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.949
Pond3Fish2_PondTime,18.096
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,704
Pond3Fish2_TimeLeft,200.992
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.355
Pond3Fish3_PondTime,27.129
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,715
Pond3Fish3_TimeLeft,191.959
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.297
Pond3Fish4_PondTime,36.997
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,726
Pond3Fish4_TimeLeft,182.091
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.088
Pond3Fish5_PondTime,47.931
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,737
Pond3Fish5_TimeLeft,171.157
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.332
Pond3Fish6_PondTime,60.304
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,748
Pond3Fish6_TimeLeft,158.784
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.359
Pond3Fish7_PondTime,74.663
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,759
Pond3Fish7_TimeLeft,144.424
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.114
Pond3Fish8_PondTime,92.027
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,770
Pond3Fish8_TimeLeft,127.061
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,1.142
Pond3Fish9_PondTime,114.4
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,781
Pond3Fish9_TimeLeft,104.688
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,20
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,146.81
Pond3Fish10_PondOutcome,99
Pond3Fish10_TotalOutcome,781
Pond3Fish10_TimeLeft,72.278
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,42.879
PondTime,156.63
TimeLeft,61.952
PondOutcome,99
TotalOutcome,781
PondStart,PondStart
PondIntroTime,12.767442513722926
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.263
Pond5Fish1_PondTime,9.279
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,792
Pond5Fish1_TimeLeft,39.291
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.282
Pond5Fish2_PondTime,17.095
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,803
Pond5Fish2_TimeLeft,31.475
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.229
Pond5Fish3_PondTime,25.459
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,814
Pond5Fish3_TimeLeft,23.111
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.012
Pond5Fish4_PondTime,34.492
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,825
Pond5Fish4_TimeLeft,14.078
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.233
Pond5Fish5_PondTime,44.359
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,836
Pond5Fish5_TimeLeft,4.211
