,5d449145de2d3a00167077e9
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.125
Pond1Fish2_PondTime,17.098
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,132
Pond1Fish2_TimeLeft,1054.791
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.798
Pond1Fish3_PondTime,25.562
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,143
Pond1Fish3_TimeLeft,1046.327
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.621
Pond1Fish4_PondTime,34.599
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,154
Pond1Fish4_TimeLeft,1037.29
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,-1
Pond1Fish5_PondTime,44.531
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,154
Pond1Fish5_TimeLeft,1027.358
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,55.548
Pond1Fish6_PondOutcome,44
Pond1Fish6_TotalOutcome,154
Pond1Fish6_TimeLeft,1016.34
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,-1
Pond1Fish7_PondTime,67.981
Pond1Fish7_PondOutcome,44
Pond1Fish7_TotalOutcome,154
Pond1Fish7_TimeLeft,1003.907
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,-1
Pond1Fish8_PondTime,82.433
Pond1Fish8_PondOutcome,44
Pond1Fish8_TotalOutcome,154
Pond1Fish8_TimeLeft,989.455
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,99.916
Pond1Fish9_PondOutcome,44
Pond1Fish9_TotalOutcome,154
Pond1Fish9_TimeLeft,971.973
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,-1
Pond1Fish10_PondTime,122.408
Pond1Fish10_PondOutcome,44
Pond1Fish10_TotalOutcome,154
Pond1Fish10_TimeLeft,949.481
