,5e2093a7e10aa2000c631268
Pond8Fish1_CatchTime,0.874
Pond8Fish1_PondTime,9.739
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,77
Pond8Fish1_TimeLeft,1124.863
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.984
Pond8Fish2_PondTime,18.119
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,88
Pond8Fish2_TimeLeft,1116.483
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.836
Pond8Fish3_PondTime,27.152
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,99
Pond8Fish3_TimeLeft,1107.45
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.927
Pond8Fish4_PondTime,37.028
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,110
Pond8Fish4_TimeLeft,1097.574
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.788
Pond8Fish5_PondTime,47.983
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,121
Pond8Fish5_TimeLeft,1086.619
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.885
Pond8Fish6_PondTime,60.354
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,132
Pond8Fish6_TimeLeft,1074.248
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.249
Pond8Fish7_PondTime,74.725
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,143
Pond8Fish7_TimeLeft,1059.877
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.222
Pond8Fish8_PondTime,92.112
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,154
Pond8Fish8_TimeLeft,1042.49
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,3.046
PondTime,94.581
TimeLeft,1039.515
PondOutcome,88
TotalOutcome,154
PondStart,PondStart
PondIntroTime,17.60569023899734
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.096
Pond2Fish1_PondTime,8.564
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,165
Pond2Fish1_TimeLeft,1012.702
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.89
Pond2Fish2_PondTime,15.563
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,176
Pond2Fish2_TimeLeft,1005.703
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.133
Pond2Fish3_PondTime,22.933
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,187
Pond2Fish3_TimeLeft,998.333
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.038
Pond2Fish4_PondTime,30.767
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,198
Pond2Fish4_TimeLeft,990.499
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.006
Pond2Fish5_PondTime,39.13
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,209
Pond2Fish5_TimeLeft,982.136
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.086
Pond2Fish6_PondTime,48.172
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,220
Pond2Fish6_TimeLeft,973.094
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.093
Pond2Fish7_PondTime,58.047
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,231
Pond2Fish7_TimeLeft,963.219
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.085
Pond2Fish8_PondTime,69.002
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,242
Pond2Fish8_TimeLeft,952.264
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,1.545
Pond2Fish9_PondTime,81.384
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,253
Pond2Fish9_TimeLeft,939.882
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.066
Pond2Fish10_PondTime,95.772
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,264
Pond2Fish10_TimeLeft,925.494
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,-1
Pond2Fish11_PondTime,113.209
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,264
Pond2Fish11_TimeLeft,908.057
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,19.054
PondTime,114.089
TimeLeft,906.675
PondOutcome,110
TotalOutcome,264
PondStart,PondStart
PondIntroTime,17.9128832439892
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.178
Pond3Fish1_PondTime,8.902
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,275
Pond3Fish1_TimeLeft,879.238
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.035
Pond3Fish2_PondTime,16.282
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,286
Pond3Fish2_TimeLeft,871.858
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.969
Pond3Fish3_PondTime,24.104
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,297
Pond3Fish3_TimeLeft,864.036
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.687
Pond3Fish4_PondTime,32.485
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,308
Pond3Fish4_TimeLeft,855.655
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.098
Pond3Fish5_PondTime,41.522
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,319
Pond3Fish5_TimeLeft,846.618
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.104
Pond3Fish6_PondTime,51.399
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,330
Pond3Fish6_TimeLeft,836.741
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.051
Pond3Fish7_PondTime,62.333
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,341
Pond3Fish7_TimeLeft,825.807
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.037
Pond3Fish8_PondTime,74.711
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,352
Pond3Fish8_TimeLeft,813.429
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.911
Pond3Fish9_PondTime,89.086
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,363
Pond3Fish9_TimeLeft,799.054
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.189
Pond3Fish10_PondTime,106.465
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,374
Pond3Fish10_TimeLeft,781.675
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,0.654
PondTime,128.722
TimeLeft,758.916
PondOutcome,110
TotalOutcome,374
PondStart,PondStart
PondIntroTime,19.46058246307075
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.151
Pond9Fish1_PondTime,7.806
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,385
Pond9Fish1_TimeLeft,731.021
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.434
Pond9Fish2_PondTime,13.938
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,396
Pond9Fish2_TimeLeft,724.889
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.146
Pond9Fish3_PondTime,20.325
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,407
Pond9Fish3_TimeLeft,718.502
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.192
Pond9Fish4_PondTime,26.987
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,418
Pond9Fish4_TimeLeft,711.84
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.895
Pond9Fish5_PondTime,33.987
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,429
Pond9Fish5_TimeLeft,704.84
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.948
Pond9Fish6_PondTime,41.372
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,440
Pond9Fish6_TimeLeft,697.455
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.108
Pond9Fish7_PondTime,49.188
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,451
Pond9Fish7_TimeLeft,689.639
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.944
Pond9Fish8_PondTime,57.576
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,462
Pond9Fish8_TimeLeft,681.251
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.959
Pond9Fish9_PondTime,66.626
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,473
Pond9Fish9_TimeLeft,672.201
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.84
Pond9Fish10_PondTime,76.483
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,484
Pond9Fish10_TimeLeft,662.344
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,0.92
Pond9Fish11_PondTime,87.434
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,495
Pond9Fish11_TimeLeft,651.393
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,0.916
Pond9Fish12_PondTime,99.816
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,506
Pond9Fish12_TimeLeft,639.011
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,1.123
Pond9Fish13_PondTime,114.199
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,517
Pond9Fish13_TimeLeft,624.628
PondEnd_LastFish,13
FishN,18
Type,N
GiveUpTime,0.598
PondTime,131.324
TimeLeft,606.999
PondOutcome,143
TotalOutcome,517
PondStart,PondStart
PondIntroTime,10.286673149093986
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.943
Pond4Fish1_PondTime,7.625
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,528
Pond4Fish1_TimeLeft,588.461
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.156
Pond4Fish2_PondTime,13.535
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,539
Pond4Fish2_TimeLeft,582.552
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.985
Pond4Fish3_PondTime,19.656
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,550
Pond4Fish3_TimeLeft,576.431
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.997
Pond4Fish4_PondTime,26.04
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,561
Pond4Fish4_TimeLeft,570.047
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.954
Pond4Fish5_PondTime,32.696
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,572
Pond4Fish5_TimeLeft,563.391
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.276
Pond4Fish6_PondTime,39.68
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,583
Pond4Fish6_TimeLeft,556.407
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.021
Pond4Fish7_PondTime,47.054
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,594
Pond4Fish7_TimeLeft,549.033
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.05
Pond4Fish8_PondTime,54.869
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,605
Pond4Fish8_TimeLeft,541.218
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.717
Pond4Fish9_PondTime,63.263
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,616
Pond4Fish9_TimeLeft,532.824
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.86
Pond4Fish10_PondTime,72.295
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,627
Pond4Fish10_TimeLeft,523.791
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.934
Pond4Fish11_PondTime,82.178
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,638
Pond4Fish11_TimeLeft,513.909
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.066
Pond4Fish12_PondTime,93.131
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,649
Pond4Fish12_TimeLeft,502.956
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,0.829
Pond4Fish13_PondTime,105.511
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,660
Pond4Fish13_TimeLeft,490.576
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.044
Pond4Fish14_PondTime,119.896
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,671
Pond4Fish14_TimeLeft,476.191
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.756
PondTime,137.233
TimeLeft,458.352
PondOutcome,154
TotalOutcome,671
PondStart,PondStart
PondIntroTime,18.449022432323545
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.085
Pond1Fish1_PondTime,7.621
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,682
Pond1Fish1_TimeLeft,431.666
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.339
Pond1Fish2_PondTime,13.515
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,693
Pond1Fish2_TimeLeft,425.772
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.916
Pond1Fish3_PondTime,19.63
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,704
Pond1Fish3_TimeLeft,419.656
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.936
Pond1Fish4_PondTime,26.009
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,715
Pond1Fish4_TimeLeft,413.278
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.265
Pond1Fish5_PondTime,32.678
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,726
Pond1Fish5_TimeLeft,406.609
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.883
Pond1Fish6_PondTime,39.675
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,737
Pond1Fish6_TimeLeft,399.612
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.802
Pond1Fish7_PondTime,47.039
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,748
Pond1Fish7_TimeLeft,392.248
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.826
Pond1Fish8_PondTime,54.874
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,759
Pond1Fish8_TimeLeft,384.413
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.954
Pond1Fish9_PondTime,63.248
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,770
Pond1Fish9_TimeLeft,376.039
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.071
Pond1Fish10_PondTime,72.295
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,781
Pond1Fish10_TimeLeft,366.992
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.212
Pond1Fish11_PondTime,82.172
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,792
Pond1Fish11_TimeLeft,357.114
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.144
Pond1Fish12_PondTime,93.111
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,803
Pond1Fish12_TimeLeft,346.176
Type,N
FishN,16
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.907
Pond1Fish13_PondTime,105.489
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,814
Pond1Fish13_TimeLeft,333.798
Type,N
FishN,16
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,0.812
Pond1Fish14_PondTime,119.869
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,825
Pond1Fish14_TimeLeft,319.418
Type,N
FishN,16
Fish,15
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,12
Pond1Fish15_CatchTime,1.2
Pond1Fish15_PondTime,137.243
Pond1Fish15_PondOutcome,165
Pond1Fish15_TotalOutcome,836
Pond1Fish15_TimeLeft,302.044
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,0.612
PondTime,159.561
TimeLeft,279.224
PondOutcome,165
TotalOutcome,836
PondStart,PondStart
PondIntroTime,19.354276596568525
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.778
Pond5Fish1_PondTime,9.273
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,847
Pond5Fish1_TimeLeft,249.971
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.155
Pond5Fish2_PondTime,17.105
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,858
Pond5Fish2_TimeLeft,242.138
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.977
Pond5Fish3_PondTime,25.476
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,869
Pond5Fish3_TimeLeft,233.768
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.184
Pond5Fish4_PondTime,34.506
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,880
Pond5Fish4_TimeLeft,224.738
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.911
Pond5Fish5_PondTime,44.382
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,891
Pond5Fish5_TimeLeft,214.862
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.95
Pond5Fish6_PondTime,55.332
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,902
Pond5Fish6_TimeLeft,203.912
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.106
Pond5Fish7_PondTime,67.72
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,913
Pond5Fish7_TimeLeft,191.524
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.055
Pond5Fish8_PondTime,82.093
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,924
