,5c4330951b4ea30001cc52e9
Pond9Fish4_CatchTime,1.079
Pond9Fish4_PondTime,32.424
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1169.975
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.134
Pond9Fish5_PondTime,41.456
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1160.942
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.07
Pond9Fish6_PondTime,51.322
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1151.077
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.91
PondTime,51.514
TimeLeft,1150.382
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,12.810591887682676
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.859
Pond7Fish1_PondTime,7.799
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,77
Pond7Fish1_TimeLeft,1129.162
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.912
Pond7Fish2_PondTime,13.914
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,88
Pond7Fish2_TimeLeft,1123.047
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.554
Pond7Fish3_PondTime,20.279
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,99
Pond7Fish3_TimeLeft,1116.682
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.959
Pond7Fish4_PondTime,26.931
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,110
Pond7Fish4_TimeLeft,1110.03
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.93
Pond7Fish5_PondTime,33.912
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,121
Pond7Fish5_TimeLeft,1103.049
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.9
Pond7Fish6_PondTime,41.278
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,132
Pond7Fish6_TimeLeft,1095.682
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.861
Pond7Fish7_PondTime,49.092
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,143
Pond7Fish7_TimeLeft,1087.869
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.743
Pond7Fish8_PondTime,57.459
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,154
Pond7Fish8_TimeLeft,1079.502
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.119
Pond7Fish9_PondTime,66.489
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,165
Pond7Fish9_TimeLeft,1070.472
PondEnd_LastFish,9
FishN,18
Type,N
GiveUpTime,0.854
PondTime,66.676
TimeLeft,1069.782
PondOutcome,99
TotalOutcome,165
PondStart,PondStart
PondIntroTime,12.381315743550658
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.861
Pond11Fish1_PondTime,8.034
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,176
Pond11Fish1_TimeLeft,1048.738
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.167
Pond11Fish2_PondTime,14.397
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,187
Pond11Fish2_TimeLeft,1042.375
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.79
Pond11Fish3_PondTime,21.047
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,198
Pond11Fish3_TimeLeft,1035.725
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.135
Pond11Fish4_PondTime,28.029
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,209
Pond11Fish4_TimeLeft,1028.743
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.05
Pond11Fish5_PondTime,35.394
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,220
Pond11Fish5_TimeLeft,1021.378
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.106
Pond11Fish6_PondTime,43.21
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,231
Pond11Fish6_TimeLeft,1013.562
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.956
Pond11Fish7_PondTime,51.578
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,242
Pond11Fish7_TimeLeft,1005.194
PondEnd_LastFish,7
FishN,17
Type,N
GiveUpTime,0.395
PondTime,60.319
TimeLeft,995.951
PondOutcome,77
TotalOutcome,242
PondStart,PondStart
PondIntroTime,11.768932994455099
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.079
Pond1Fish1_PondTime,7.599
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,253
Pond1Fish1_TimeLeft,975.967
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.772
Pond1Fish2_PondTime,13.484
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,264
Pond1Fish2_TimeLeft,970.082
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1
Pond1Fish3_PondTime,19.6
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,275
Pond1Fish3_TimeLeft,963.966
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.202
Pond1Fish4_PondTime,25.965
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,286
Pond1Fish4_TimeLeft,957.601
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,2.025
Pond1Fish5_PondTime,32.679
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,297
Pond1Fish5_TimeLeft,950.887
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.848
Pond1Fish6_PondTime,39.663
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,308
Pond1Fish6_TimeLeft,943.903
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.018
Pond1Fish7_PondTime,47.028
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,319
Pond1Fish7_TimeLeft,936.538
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.907
Pond1Fish8_PondTime,54.845
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,330
Pond1Fish8_TimeLeft,928.721
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.021
Pond1Fish9_PondTime,63.209
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,341
Pond1Fish9_TimeLeft,920.357
PondEnd_LastFish,9
FishN,19
Type,N
GiveUpTime,0.602
PondTime,72.009
TimeLeft,911.055
PondOutcome,99
TotalOutcome,341
PondStart,PondStart
PondIntroTime,10.43519141850993
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.971
Pond8Fish1_PondTime,8.567
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,352
Pond8Fish1_TimeLeft,891.426
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.677
Pond8Fish2_PondTime,15.549
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,363
Pond8Fish2_TimeLeft,884.444
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,22.98
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,363
Pond8Fish3_TimeLeft,877.013
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,30.846
Pond8Fish4_PondOutcome,22
Pond8Fish4_TotalOutcome,363
Pond8Fish4_TimeLeft,869.147
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,-1
Pond8Fish5_PondTime,39.277
Pond8Fish5_PondOutcome,22
Pond8Fish5_TotalOutcome,363
Pond8Fish5_TimeLeft,860.716
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,48.377
Pond8Fish6_PondOutcome,22
Pond8Fish6_TotalOutcome,363
Pond8Fish6_TimeLeft,851.616
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,58.309
Pond8Fish7_PondOutcome,22
Pond8Fish7_TotalOutcome,363
Pond8Fish7_TimeLeft,841.684
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,-1
Pond8Fish8_PondTime,69.307
Pond8Fish8_PondOutcome,22
Pond8Fish8_TotalOutcome,363
Pond8Fish8_TimeLeft,830.686
