,5d8cebbaaba6a200176dd74d
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,0.757
Pond11Fish9_PondTime,81.365
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,209
Pond11Fish9_TimeLeft,998.768
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.089
Pond11Fish10_PondTime,95.74
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,220
Pond11Fish10_TimeLeft,984.393
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.085
Pond11Fish11_PondTime,113.117
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,231
Pond11Fish11_TimeLeft,967.016
Type,N
FishN,16
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,15
Pond11Fish12_CatchTime,1.16
Pond11Fish12_PondTime,135.481
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,242
Pond11Fish12_TimeLeft,944.651
PondEnd_LastFish,12
FishN,15
Type,N
GiveUpTime,0.692
PondTime,135.532
TimeLeft,944.096
PondOutcome,132
TotalOutcome,242
PondStart,PondStart
PondIntroTime,12.603512059431523
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.988
Pond4Fish1_PondTime,8.27
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,253
Pond4Fish1_TimeLeft,922.598
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.902
Pond4Fish2_PondTime,14.917
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,264
Pond4Fish2_TimeLeft,915.952
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.829
Pond4Fish3_PondTime,21.942
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,275
Pond4Fish3_TimeLeft,908.927
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.056
Pond4Fish4_PondTime,29.311
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,286
Pond4Fish4_TimeLeft,901.558
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.991
Pond4Fish5_PondTime,37.132
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,297
Pond4Fish5_TimeLeft,893.737
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.932
Pond4Fish6_PondTime,45.753
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,308
Pond4Fish6_TimeLeft,885.116
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.838
Pond4Fish7_PondTime,54.779
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,319
Pond4Fish7_TimeLeft,876.09
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.969
Pond4Fish8_PondTime,64.646
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,330
Pond4Fish8_TimeLeft,866.223
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.005
Pond4Fish9_PondTime,75.599
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,341
Pond4Fish9_TimeLeft,855.27
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.787
Pond4Fish10_PondTime,87.96
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,352
Pond4Fish10_TimeLeft,842.909
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,0.822
Pond4Fish11_PondTime,102.316
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,363
Pond4Fish11_TimeLeft,828.553
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,0.951
Pond4Fish12_PondTime,119.685
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,374
Pond4Fish12_TimeLeft,811.184
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,15
Pond4Fish13_CatchTime,1.042
Pond4Fish13_PondTime,142.081
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,385
Pond4Fish13_TimeLeft,788.787
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,20
Pond4Fish14_CatchTime,1.032
Pond4Fish14_PondTime,174.443
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,396
Pond4Fish14_TimeLeft,756.426
PondEnd_LastFish,14
FishN,16
Type,N
GiveUpTime,1.257
PondTime,174.931
TimeLeft,755.434
PondOutcome,154
TotalOutcome,396
PondStart,PondStart
PondIntroTime,14.11088890163228
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.837
Pond12Fish1_PondTime,8.296
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,407
Pond12Fish1_TimeLeft,732.405
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.121
Pond12Fish2_PondTime,14.958
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,418
Pond12Fish2_TimeLeft,725.743
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.973
Pond12Fish3_PondTime,21.941
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,429
Pond12Fish3_TimeLeft,718.76
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.907
Pond12Fish4_PondTime,29.312
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,440
Pond12Fish4_TimeLeft,711.389
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.843
Pond12Fish5_PondTime,37.139
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,451
Pond12Fish5_TimeLeft,703.562
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.795
Pond12Fish6_PondTime,45.502
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,462
Pond12Fish6_TimeLeft,695.199
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.733
Pond12Fish7_PondTime,54.526
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,473
Pond12Fish7_TimeLeft,686.175
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.719
Pond12Fish8_PondTime,64.413
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,484
Pond12Fish8_TimeLeft,676.288
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.982
Pond12Fish9_PondTime,75.348
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,495
Pond12Fish9_TimeLeft,665.352
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.769
Pond12Fish10_PondTime,87.721
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,506
Pond12Fish10_TimeLeft,652.98
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.284
Pond12Fish11_PondTime,102.086
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,517
Pond12Fish11_TimeLeft,638.615
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,0.876
Pond12Fish12_PondTime,119.485
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,528
Pond12Fish12_TimeLeft,621.216
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,0.64
PondTime,141.635
TimeLeft,598.56
PondOutcome,132
TotalOutcome,528
PondStart,PondStart
PondIntroTime,18.869114434346557
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.661
Pond7Fish1_PondTime,9.272
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,539
Pond7Fish1_TimeLeft,569.807
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.798
Pond7Fish2_PondTime,17.095
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,550
Pond7Fish2_TimeLeft,561.983
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.465
Pond7Fish3_PondTime,25.462
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,561
Pond7Fish3_TimeLeft,553.617
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.723
Pond7Fish4_PondTime,34.497
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,572
Pond7Fish4_TimeLeft,544.582
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.795
Pond7Fish5_PondTime,44.368
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,583
Pond7Fish5_TimeLeft,534.711
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.652
Pond7Fish6_PondTime,55.307
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,594
Pond7Fish6_TimeLeft,523.772
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,0.87
Pond7Fish7_PondTime,67.678
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,605
Pond7Fish7_TimeLeft,511.401
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,0.657
Pond7Fish8_PondTime,82.051
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,616
Pond7Fish8_TimeLeft,497.027
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,0.631
Pond7Fish9_PondTime,99.491
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,627
Pond7Fish9_TimeLeft,479.588
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.431
PondTime,121.335
TimeLeft,457.241
PondOutcome,99
TotalOutcome,627
PondStart,PondStart
PondIntroTime,13.830794633831829
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.84
Pond5Fish1_PondTime,8.284
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,638
Pond5Fish1_TimeLeft,434.5
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.044
Pond5Fish2_PondTime,14.931
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,649
Pond5Fish2_TimeLeft,427.852
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.869
Pond5Fish3_PondTime,21.907
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,660
Pond5Fish3_TimeLeft,420.877
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.849
Pond5Fish4_PondTime,29.279
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,671
Pond5Fish4_TimeLeft,413.505
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.748
Pond5Fish5_PondTime,37.101
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,682
Pond5Fish5_TimeLeft,405.682
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.679
Pond5Fish6_PondTime,45.471
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,693
Pond5Fish6_TimeLeft,397.312
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.351
Pond5Fish7_PondTime,54.54
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,704
Pond5Fish7_TimeLeft,388.244
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.219
Pond5Fish8_PondTime,64.411
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,715
Pond5Fish8_TimeLeft,378.373
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.832
Pond5Fish9_PondTime,75.355
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,726
Pond5Fish9_TimeLeft,367.429
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.995
Pond5Fish10_PondTime,87.722
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,737
Pond5Fish10_TimeLeft,355.062
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.471
PondTime,101.566
TimeLeft,340.714
PondOutcome,110
TotalOutcome,737
PondStart,PondStart
PondIntroTime,16.58703486667946
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.945
Pond3Fish1_PondTime,9.285
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,748
Pond3Fish1_TimeLeft,314.228
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.319
Pond3Fish2_PondTime,17.105
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,759
Pond3Fish2_TimeLeft,306.409
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.888
Pond3Fish3_PondTime,25.479
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,770
Pond3Fish3_TimeLeft,298.035
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.758
Pond3Fish4_PondTime,34.513
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,781
Pond3Fish4_TimeLeft,289.001
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.64
Pond3Fish5_PondTime,44.384
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,792
Pond3Fish5_TimeLeft,279.13
PondEnd_LastFish,5
FishN,13
Type,N
GiveUpTime,0.4
PondTime,54.756
TimeLeft,268.253
PondOutcome,55
TotalOutcome,792
PondStart,PondStart
PondIntroTime,19.089225253555924
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.728
Pond2Fish1_PondTime,9.736
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,803
Pond2Fish1_TimeLeft,238.795
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.679
Pond2Fish2_PondTime,18.107
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,814
Pond2Fish2_TimeLeft,230.424
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.755
Pond2Fish3_PondTime,27.133
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,825
Pond2Fish3_TimeLeft,221.397
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.839
Pond2Fish4_PondTime,37.001
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,836
Pond2Fish4_TimeLeft,211.53
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.618
Pond2Fish5_PondTime,47.936
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,847
Pond2Fish5_TimeLeft,200.594
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.83
PondTime,59.938
TimeLeft,188.087
PondOutcome,55
TotalOutcome,847
PondStart,PondStart
PondIntroTime,15.172618890646845
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.972
Pond6Fish1_PondTime,7.818
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,858
Pond6Fish1_TimeLeft,164.461
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.948
Pond6Fish2_PondTime,13.936
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,869
Pond6Fish2_TimeLeft,158.343
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.74
Pond6Fish3_PondTime,20.304
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,880
Pond6Fish3_TimeLeft,151.974
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.756
Pond6Fish4_PondTime,26.977
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,891
Pond6Fish4_TimeLeft,145.302
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.937
Pond6Fish5_PondTime,33.964
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,902
Pond6Fish5_TimeLeft,138.315
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.792
Pond6Fish6_PondTime,41.347
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,913
Pond6Fish6_TimeLeft,130.932
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.665
Pond6Fish7_PondTime,49.175
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,924
Pond6Fish7_TimeLeft,123.104
