,5dd637657b6a665c77c20512
Pond6Fish3_TimeLeft,1178.339
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.813
Pond6Fish4_PondTime,32.427
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1169.971
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.719
Pond6Fish5_PondTime,41.46
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1160.938
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.922
Pond6Fish6_PondTime,51.329
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1151.069
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,1.252
PondTime,51.711
TimeLeft,1150.183
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,10.767717501148582
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.93
Pond12Fish1_PondTime,9.736
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,77
Pond12Fish1_TimeLeft,1129.05
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.024
Pond12Fish2_PondTime,18.104
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,88
Pond12Fish2_TimeLeft,1120.681
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.605
Pond12Fish3_PondTime,27.136
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,99
Pond12Fish3_TimeLeft,1111.65
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,0.748
PondTime,36.65
TimeLeft,1101.632
PondOutcome,33
TotalOutcome,99
PondStart,PondStart
PondIntroTime,12.412061912473291
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.881
Pond9Fish1_PondTime,9.267
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,110
Pond9Fish1_TimeLeft,1079.314
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.362
Pond9Fish2_PondTime,17.086
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,121
Pond9Fish2_TimeLeft,1071.495
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.91
Pond9Fish3_PondTime,25.453
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,132
Pond9Fish3_TimeLeft,1063.128
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.103
Pond9Fish4_PondTime,34.487
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,143
Pond9Fish4_TimeLeft,1054.094
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.779
Pond9Fish5_PondTime,44.356
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,154
Pond9Fish5_TimeLeft,1044.225
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.396
Pond9Fish6_PondTime,55.287
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,165
Pond9Fish6_TimeLeft,1033.293
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.906
Pond9Fish7_PondTime,67.657
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,176
Pond9Fish7_TimeLeft,1020.924
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.402
Pond9Fish8_PondTime,82.023
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,187
Pond9Fish8_TimeLeft,1006.557
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,0.958
Pond9Fish9_PondTime,99.394
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,198
Pond9Fish9_TimeLeft,989.187
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.737
PondTime,121.528
TimeLeft,966.548
PondOutcome,99
TotalOutcome,198
PondStart,PondStart
PondIntroTime,10.045255739241838
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.707
Pond3Fish1_PondTime,7.743
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,209
Pond3Fish1_TimeLeft,947.351
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.979
Pond3Fish2_PondTime,13.643
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,220
Pond3Fish2_TimeLeft,941.451
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.971
Pond3Fish3_PondTime,19.76
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,231
Pond3Fish3_TimeLeft,935.333
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.912
Pond3Fish4_PondTime,26.126
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,242
Pond3Fish4_TimeLeft,928.968
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.721
Pond3Fish5_PondTime,32.778
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,253
Pond3Fish5_TimeLeft,922.316
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.025
Pond3Fish6_PondTime,39.761
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,264
Pond3Fish6_TimeLeft,915.333
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.879
Pond3Fish7_PondTime,47.128
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,275
Pond3Fish7_TimeLeft,907.966
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.863
Pond3Fish8_PondTime,54.945
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,286
Pond3Fish8_TimeLeft,900.149
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.205
Pond3Fish9_PondTime,63.314
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,297
Pond3Fish9_TimeLeft,891.78
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.968
Pond3Fish10_PondTime,72.348
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,308
Pond3Fish10_TimeLeft,882.746
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.74
Pond3Fish11_PondTime,82.216
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,319
Pond3Fish11_TimeLeft,872.878
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.97
Pond3Fish12_PondTime,93.15
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,330
Pond3Fish12_TimeLeft,861.944
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.661
PondTime,105.226
TimeLeft,849.365
PondOutcome,132
TotalOutcome,330
PondStart,PondStart
PondIntroTime,12.344052302651107
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.847
Pond5Fish1_PondTime,10.267
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,341
Pond5Fish1_TimeLeft,824.824
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.901
Pond5Fish2_PondTime,18.084
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,352
Pond5Fish2_TimeLeft,817.007
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.807
Pond5Fish3_PondTime,26.451
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,363
Pond5Fish3_TimeLeft,808.64
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.998
Pond5Fish4_PondTime,35.486
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,374
Pond5Fish4_TimeLeft,799.605
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.278
Pond5Fish5_PondTime,45.352
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,385
Pond5Fish5_TimeLeft,789.739
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.997
Pond5Fish6_PondTime,56.286
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,396
Pond5Fish6_TimeLeft,778.805
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.898
Pond5Fish7_PondTime,68.655
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,407
Pond5Fish7_TimeLeft,766.435
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.901
Pond5Fish8_PondTime,83.023
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,418
Pond5Fish8_TimeLeft,752.068
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,0.767
PondTime,100.239
TimeLeft,734.348
PondOutcome,88
TotalOutcome,418
PondStart,PondStart
PondIntroTime,16.432475610636175
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.962
Pond2Fish1_PondTime,8.034
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,429
Pond2Fish1_TimeLeft,709.248
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.386
Pond2Fish2_PondTime,14.402
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,440
Pond2Fish2_TimeLeft,702.88
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.897
Pond2Fish3_PondTime,21.052
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,451
Pond2Fish3_TimeLeft,696.23
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.945
Pond2Fish4_PondTime,28.035
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,462
Pond2Fish4_TimeLeft,689.247
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.004
Pond2Fish5_PondTime,35.404
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,473
Pond2Fish5_TimeLeft,681.878
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.969
Pond2Fish6_PondTime,43.22
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,484
Pond2Fish6_TimeLeft,674.062
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.689
Pond2Fish7_PondTime,51.588
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,495
Pond2Fish7_TimeLeft,665.694
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.778
Pond2Fish8_PondTime,60.622
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,506
Pond2Fish8_TimeLeft,656.66
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.985
Pond2Fish9_PondTime,70.49
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,517
Pond2Fish9_TimeLeft,646.792
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,0.728
PondTime,81.233
TimeLeft,635.544
PondOutcome,99
TotalOutcome,517
PondStart,PondStart
PondIntroTime,15.79218250932172
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.796
Pond10Fish1_PondTime,8.885
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,528
Pond10Fish1_TimeLeft,610.239
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.355
Pond10Fish2_PondTime,16.252
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,539
Pond10Fish2_TimeLeft,602.872
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.801
Pond10Fish3_PondTime,24.07
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,550
Pond10Fish3_TimeLeft,595.054
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.228
Pond10Fish4_PondTime,32.437
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,561
Pond10Fish4_TimeLeft,586.687
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.861
Pond10Fish5_PondTime,41.471
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,572
Pond10Fish5_TimeLeft,577.653
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.695
Pond10Fish6_PondTime,51.336
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,583
Pond10Fish6_TimeLeft,567.787
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.119
Pond10Fish7_PondTime,62.271
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,594
Pond10Fish7_TimeLeft,556.853
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.061
Pond10Fish8_PondTime,74.641
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,605
Pond10Fish8_TimeLeft,544.483
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.918
Pond10Fish9_PondTime,89.009
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,616
Pond10Fish9_TimeLeft,530.115
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.717
PondTime,106.274
TimeLeft,512.347
PondOutcome,99
TotalOutcome,616
PondStart,PondStart
PondIntroTime,13.567908052355051
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.789
Pond7Fish1_PondTime,8.02
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,627
Pond7Fish1_TimeLeft,490.129
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.024
Pond7Fish2_PondTime,14.388
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,638
Pond7Fish2_TimeLeft,483.761
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.845
Pond7Fish3_PondTime,21.038
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,649
Pond7Fish3_TimeLeft,477.111
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.471
Pond7Fish4_PondTime,28.02
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,660
Pond7Fish4_TimeLeft,470.128
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.21
Pond7Fish5_PondTime,35.389
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,671
Pond7Fish5_TimeLeft,462.76
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.916
Pond7Fish6_PondTime,43.206
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,682
Pond7Fish6_TimeLeft,454.943
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.711
Pond7Fish7_PondTime,51.574
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,693
Pond7Fish7_TimeLeft,446.575
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.144
Pond7Fish8_PondTime,60.608
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,704
Pond7Fish8_TimeLeft,437.541
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.961
Pond7Fish9_PondTime,70.476
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,715
Pond7Fish9_TimeLeft,427.673
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.813
Pond7Fish10_PondTime,81.409
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,726
Pond7Fish10_TimeLeft,416.74
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,-1
Pond7Fish11_PondTime,97.063
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,726
Pond7Fish11_TimeLeft,401.085
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.674
PondTime,113.151
TimeLeft,384.495
PondOutcome,110
TotalOutcome,726
PondStart,PondStart
PondIntroTime,16.695104190148413
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.388
Pond4Fish1_PondTime,7.804
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,737
Pond4Fish1_TimeLeft,353.083
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,0.95
Pond4Fish2_PondTime,13.919
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,748
Pond4Fish2_TimeLeft,346.968
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.212
Pond4Fish3_PondTime,20.287
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,759
Pond4Fish3_TimeLeft,340.6
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.769
Pond4Fish4_PondTime,26.938
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,770
Pond4Fish4_TimeLeft,333.949
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.927
Pond4Fish5_PondTime,33.922
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,781
Pond4Fish5_TimeLeft,326.965
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.995
Pond4Fish6_PondTime,41.29
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,792
Pond4Fish6_TimeLeft,319.597
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.965
Pond4Fish7_PondTime,49.107
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,803
Pond4Fish7_TimeLeft,311.78
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.091
Pond4Fish8_PondTime,57.474
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,814
Pond4Fish8_TimeLeft,303.413
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,0.863
Pond4Fish9_PondTime,66.508
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,825
Pond4Fish9_TimeLeft,294.379
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.218
Pond4Fish10_PondTime,76.376
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,836
Pond4Fish10_TimeLeft,284.511
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.954
Pond4Fish11_PondTime,87.311
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,847
Pond4Fish11_TimeLeft,273.576
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,0.779
PondTime,99.621
TimeLeft,260.763
PondOutcome,121
TotalOutcome,847
PondStart,PondStart
PondIntroTime,12.978170225396752
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,9.329
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,858
Pond8Fish1_TimeLeft,236.753
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.812
Pond8Fish2_PondTime,15.986
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,869
Pond8Fish2_TimeLeft,230.096
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.419
Pond8Fish3_PondTime,22.973
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,880
Pond8Fish3_TimeLeft,223.109
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.812
Pond8Fish4_PondTime,30.458
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,891
Pond8Fish4_TimeLeft,215.623
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.829
Pond8Fish5_PondTime,38.278
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,902
Pond8Fish5_TimeLeft,207.804
Type,N
FishN,15
