,5d7fceecf52428001cc38b63
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.779
Pond2Fish10_PondTime,76.379
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,693
Pond2Fish10_TimeLeft,427.43
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,2.953
PondTime,78.312
TimeLeft,424.994
PondOutcome,110
TotalOutcome,693
PondStart,PondStart
PondIntroTime,14.550408327486366
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.042
Pond12Fish1_PondTime,7.602
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,704
Pond12Fish1_TimeLeft,402.209
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.062
Pond12Fish2_PondTime,13.503
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,715
Pond12Fish2_TimeLeft,396.308
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.531
Pond12Fish3_PondTime,19.619
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,726
Pond12Fish3_TimeLeft,390.192
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.132
Pond12Fish4_PondTime,25.986
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,737
Pond12Fish4_TimeLeft,383.825
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.295
Pond12Fish5_PondTime,32.636
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,748
Pond12Fish5_TimeLeft,377.175
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.706
Pond12Fish6_PondTime,39.62
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,759
Pond12Fish6_TimeLeft,370.191
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.675
Pond12Fish7_PondTime,46.988
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,770
Pond12Fish7_TimeLeft,362.823
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.644
Pond12Fish8_PondTime,54.806
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,781
Pond12Fish8_TimeLeft,355.005
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.796
Pond12Fish9_PondTime,63.175
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,792
Pond12Fish9_TimeLeft,346.636
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.664
Pond12Fish10_PondTime,72.206
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,803
Pond12Fish10_TimeLeft,337.605
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,2.524
PondTime,73.595
TimeLeft,335.712
PondOutcome,110
TotalOutcome,803
PondStart,PondStart
PondIntroTime,18.90413777437061
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.739
Pond3Fish1_PondTime,8.017
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,814
Pond3Fish1_TimeLeft,308.169
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.943
Pond3Fish2_PondTime,14.386
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,825
Pond3Fish2_TimeLeft,301.8
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.908
Pond3Fish3_PondTime,21.037
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,836
Pond3Fish3_TimeLeft,295.149
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.854
Pond3Fish4_PondTime,28.02
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,847
Pond3Fish4_TimeLeft,288.166
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.073
Pond3Fish5_PondTime,35.389
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,858
Pond3Fish5_TimeLeft,280.797
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.737
Pond3Fish6_PondTime,43.205
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,869
Pond3Fish6_TimeLeft,272.98
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.003
Pond3Fish7_PondTime,51.573
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,880
Pond3Fish7_TimeLeft,264.613
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.919
Pond3Fish8_PondTime,60.606
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,891
Pond3Fish8_TimeLeft,255.58
Type,N
FishN,18
