,5ac399bce734400001da2257
Pond12Fish2_CatchTime,0.861
Pond12Fish2_PondTime,14.949
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,231
Pond12Fish2_TimeLeft,973.141
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.165
Pond12Fish3_PondTime,21.921
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,242
Pond12Fish3_TimeLeft,966.168
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.996
Pond12Fish4_PondTime,29.282
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,253
Pond12Fish4_TimeLeft,958.808
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.107
Pond12Fish5_PondTime,37.091
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,264
Pond12Fish5_TimeLeft,950.999
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.32
Pond12Fish6_PondTime,45.452
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,275
Pond12Fish6_TimeLeft,942.638
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.979
Pond12Fish7_PondTime,54.479
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,286
Pond12Fish7_TimeLeft,933.611
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.176
Pond12Fish8_PondTime,64.339
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,297
Pond12Fish8_TimeLeft,923.751
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.875
Pond12Fish9_PondTime,75.268
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,308
Pond12Fish9_TimeLeft,912.821
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.996
Pond12Fish10_PondTime,87.634
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,319
Pond12Fish10_TimeLeft,900.456
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.089
Pond12Fish11_PondTime,102.004
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,330
Pond12Fish11_TimeLeft,886.086
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.617
PondTime,102.919
TimeLeft,884.667
PondOutcome,121
TotalOutcome,330
PondStart,PondStart
PondIntroTime,15.670393239706755
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.086
Pond4Fish1_PondTime,9.723
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,341
Pond4Fish1_TimeLeft,858.64
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.258
Pond4Fish2_PondTime,18.082
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,352
Pond4Fish2_TimeLeft,850.281
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.332
Pond4Fish3_PondTime,27.109
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,363
Pond4Fish3_TimeLeft,841.254
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.887
Pond4Fish4_PondTime,36.971
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,374
Pond4Fish4_TimeLeft,831.392
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.275
Pond4Fish5_PondTime,47.902
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,385
Pond4Fish5_TimeLeft,820.461
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.164
Pond4Fish6_PondTime,60.266
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,396
Pond4Fish6_TimeLeft,808.097
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,0.926
Pond4Fish7_PondTime,74.633
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,407
Pond4Fish7_TimeLeft,793.73
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.082
Pond4Fish8_PondTime,92.006
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,418
Pond4Fish8_TimeLeft,776.357
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.27
Pond4Fish9_PondTime,114.363
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,429
Pond4Fish9_TimeLeft,754
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.957
PondTime,114.789
TimeLeft,753.072
PondOutcome,99
TotalOutcome,429
PondStart,PondStart
PondIntroTime,16.252635836135596
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.072
Pond1Fish1_PondTime,8.898
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,440
Pond1Fish1_TimeLeft,727.282
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.744
Pond1Fish2_PondTime,16.308
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,451
Pond1Fish2_TimeLeft,719.873
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,24.183
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,451
Pond1Fish3_TimeLeft,711.998
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,32.593
Pond1Fish4_PondOutcome,22
Pond1Fish4_TotalOutcome,451
Pond1Fish4_TimeLeft,703.588
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.992
Pond1Fish5_PondTime,41.62
Pond1Fish5_PondOutcome,33
Pond1Fish5_TotalOutcome,462
Pond1Fish5_TimeLeft,694.561
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.957
Pond1Fish6_PondTime,51.481
Pond1Fish6_PondOutcome,44
Pond1Fish6_TotalOutcome,473
Pond1Fish6_TimeLeft,684.7
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,2.007
Pond1Fish7_PondTime,62.477
Pond1Fish7_PondOutcome,55
Pond1Fish7_TotalOutcome,484
Pond1Fish7_TimeLeft,673.704
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,1.509
Pond1Fish8_PondTime,74.841
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,495
Pond1Fish8_TimeLeft,661.339
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.282
Pond1Fish9_PondTime,89.208
Pond1Fish9_PondOutcome,77
Pond1Fish9_TotalOutcome,506
Pond1Fish9_TimeLeft,646.972
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.072
Pond1Fish10_PondTime,106.582
Pond1Fish10_PondOutcome,88
Pond1Fish10_TotalOutcome,517
Pond1Fish10_TimeLeft,629.599
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.128
Pond1Fish11_PondTime,128.955
Pond1Fish11_PondOutcome,99
Pond1Fish11_TotalOutcome,528
Pond1Fish11_TimeLeft,607.226
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,20
Pond1Fish12_CatchTime,1.84
Pond1Fish12_PondTime,161.481
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,539
Pond1Fish12_TimeLeft,574.7
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,1.065
PondTime,162.444
TimeLeft,573.234
PondOutcome,110
TotalOutcome,539
PondStart,PondStart
PondIntroTime,16.32519855396822
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.577
Pond2Fish1_PondTime,8.038
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,550
Pond2Fish1_TimeLeft,548.255
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.62
Pond2Fish2_PondTime,14.393
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,561
Pond2Fish2_TimeLeft,541.9
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.056
Pond2Fish3_PondTime,21.039
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,572
Pond2Fish3_TimeLeft,535.254
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.035
Pond2Fish4_PondTime,28.013
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,583
Pond2Fish4_TimeLeft,528.28
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.834
Pond2Fish5_PondTime,35.522
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,594
Pond2Fish5_TimeLeft,520.771
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.004
Pond2Fish6_PondTime,43.345
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,605
Pond2Fish6_TimeLeft,512.948
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.085
Pond2Fish7_PondTime,51.711
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,616
Pond2Fish7_TimeLeft,504.582
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.934
Pond2Fish8_PondTime,60.735
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,627
Pond2Fish8_TimeLeft,495.558
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.079
Pond2Fish9_PondTime,70.596
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,638
Pond2Fish9_TimeLeft,485.697
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.467
Pond2Fish10_PondTime,81.526
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,649
Pond2Fish10_TimeLeft,474.767
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.993
Pond2Fish11_PondTime,93.89
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,660
Pond2Fish11_TimeLeft,462.403
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,1.298
PondTime,94.388
TimeLeft,461.401
PondOutcome,121
TotalOutcome,660
PondStart,PondStart
PondIntroTime,11.909687863662839
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.788
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,660
Pond5Fish1_TimeLeft,439.056
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.092
Pond5Fish2_PondTime,18.164
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,671
Pond5Fish2_TimeLeft,430.681
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.067
Pond5Fish3_PondTime,27.189
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,682
Pond5Fish3_TimeLeft,421.656
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.939
Pond5Fish4_PondTime,37.055
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,693
Pond5Fish4_TimeLeft,411.79
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.304
Pond5Fish5_PondTime,47.984
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,704
Pond5Fish5_TimeLeft,400.861
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.411
Pond5Fish6_PondTime,60.348
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,715
Pond5Fish6_TimeLeft,388.497
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.864
Pond5Fish7_PondTime,74.714
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,726
Pond5Fish7_TimeLeft,374.131
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.212
Pond5Fish8_PondTime,92.082
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,737
Pond5Fish8_TimeLeft,356.763
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.146
Pond5Fish9_PondTime,114.446
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,748
Pond5Fish9_TimeLeft,334.399
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.963
PondTime,114.758
TimeLeft,333.584
PondOutcome,88
TotalOutcome,748
PondStart,PondStart
PondIntroTime,12.51429709373042
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.359
Pond6Fish1_PondTime,8.573
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,759
Pond6Fish1_TimeLeft,311.873
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.131
Pond6Fish2_PondTime,15.547
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,770
Pond6Fish2_TimeLeft,304.899
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.121
Pond6Fish3_PondTime,22.92
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,781
Pond6Fish3_TimeLeft,297.526
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.564
Pond6Fish4_PondTime,30.733
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,792
Pond6Fish4_TimeLeft,289.713
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.96
Pond6Fish5_PondTime,39.092
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,803
Pond6Fish5_TimeLeft,281.354
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.225
Pond6Fish6_PondTime,48.117
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,814
Pond6Fish6_TimeLeft,272.329
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.031
Pond6Fish7_PondTime,57.982
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,825
Pond6Fish7_TimeLeft,262.464
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.146
Pond6Fish8_PondTime,68.91
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,836
Pond6Fish8_TimeLeft,251.536
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.314
Pond6Fish9_PondTime,81.276
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,847
Pond6Fish9_TimeLeft,239.17
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.105
Pond6Fish10_PondTime,95.642
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,858
Pond6Fish10_TimeLeft,224.804
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.364
Pond6Fish11_PondTime,113.014
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,869
Pond6Fish11_TimeLeft,207.432
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,1.259
Pond6Fish12_PondTime,135.372
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,880
Pond6Fish12_TimeLeft,185.074
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,20
Pond6Fish13_CatchTime,1.206
Pond6Fish13_PondTime,167.745
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,891
Pond6Fish13_TimeLeft,152.701
PondEnd_LastFish,13
FishN,15
