,5ba32826061141000107e6b6
Pond12Fish2_TimeLeft,1082.183
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.15
Pond12Fish3_PondTime,24.106
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,121
Pond12Fish3_TimeLeft,1074.352
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.977
Pond12Fish4_PondTime,32.473
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,132
Pond12Fish4_TimeLeft,1065.985
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.279
Pond12Fish5_PondTime,41.505
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,143
Pond12Fish5_TimeLeft,1056.953
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.924
Pond12Fish6_PondTime,51.382
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,154
Pond12Fish6_TimeLeft,1047.076
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.311
Pond12Fish7_PondTime,62.329
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,165
Pond12Fish7_TimeLeft,1036.129
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.854
Pond12Fish8_PondTime,74.7
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,176
Pond12Fish8_TimeLeft,1023.758
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.975
Pond12Fish9_PondTime,89.077
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,187
Pond12Fish9_TimeLeft,1009.381
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.873
PondTime,89.13
TimeLeft,1008.825
PondOutcome,99
TotalOutcome,187
PondStart,PondStart
PondIntroTime,11.522958541754633
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.023
Pond5Fish1_PondTime,9.286
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,198
Pond5Fish1_TimeLeft,987.395
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.983
Pond5Fish2_PondTime,17.103
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,209
Pond5Fish2_TimeLeft,979.578
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.357
Pond5Fish3_PondTime,25.473
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,220
Pond5Fish3_TimeLeft,971.208
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.132
Pond5Fish4_PondTime,34.511
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,231
Pond5Fish4_TimeLeft,962.17
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,44.439
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,231
Pond5Fish5_TimeLeft,952.242
PondEnd_LastFish,5
FishN,13
Type,N
GiveUpTime,13.093
PondTime,46.93
TimeLeft,949.247
PondOutcome,44
TotalOutcome,231
PondStart,PondStart
PondIntroTime,16.451968867331743
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.015
Pond2Fish1_PondTime,7.618
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,242
Pond2Fish1_TimeLeft,924.558
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.039
Pond2Fish2_PondTime,13.529
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,253
Pond2Fish2_TimeLeft,918.647
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.059
Pond2Fish3_PondTime,19.663
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,264
Pond2Fish3_TimeLeft,912.513
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.995
Pond2Fish4_PondTime,26.049
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,275
Pond2Fish4_TimeLeft,906.127
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.856
Pond2Fish5_PondTime,32.709
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,286
Pond2Fish5_TimeLeft,899.467
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.192
Pond2Fish6_PondTime,39.691
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,297
Pond2Fish6_TimeLeft,892.485
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.942
Pond2Fish7_PondTime,47.061
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,308
Pond2Fish7_TimeLeft,885.115
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.185
Pond2Fish8_PondTime,54.887
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,319
Pond2Fish8_TimeLeft,877.289
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,-1
Pond2Fish9_PondTime,63.326
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,319
Pond2Fish9_TimeLeft,868.85
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.675
Pond2Fish10_PondTime,72.366
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,330
Pond2Fish10_TimeLeft,859.809
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.756
Pond2Fish11_PondTime,82.25
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,341
Pond2Fish11_TimeLeft,849.926
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,0.558
PondTime,92.937
TimeLeft,838.733
PondOutcome,110
TotalOutcome,341
PondStart,PondStart
PondIntroTime,17.58804057724774
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.835
Pond1Fish1_PondTime,8.571
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,352
Pond1Fish1_TimeLeft,811.956
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.902
Pond1Fish2_PondTime,15.557
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,363
Pond1Fish2_TimeLeft,804.97
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.39
Pond1Fish3_PondTime,22.942
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,374
Pond1Fish3_TimeLeft,797.585
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.031
Pond1Fish4_PondTime,30.777
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,385
Pond1Fish4_TimeLeft,789.75
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.673
Pond1Fish5_PondTime,39.153
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,396
Pond1Fish5_TimeLeft,781.374
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.459
Pond1Fish6_PondTime,48.194
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,407
Pond1Fish6_TimeLeft,772.333
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.646
PondTime,57.965
TimeLeft,762.056
PondOutcome,66
TotalOutcome,407
PondStart,PondStart
PondIntroTime,19.752310295589268
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.142
Pond4Fish1_PondTime,8.902
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,418
Pond4Fish1_TimeLeft,732.754
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.216
Pond4Fish2_PondTime,16.27
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,429
Pond4Fish2_TimeLeft,725.386
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.147
Pond4Fish3_PondTime,24.113
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,440
Pond4Fish3_TimeLeft,717.543
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.922
Pond4Fish4_PondTime,32.495
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,451
Pond4Fish4_TimeLeft,709.158
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.77
Pond4Fish5_PondTime,41.642
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,462
Pond4Fish5_TimeLeft,700.014
PondEnd_LastFish,5
FishN,14
Type,N
GiveUpTime,1.077
PondTime,42.616
TimeLeft,698.535
PondOutcome,55
TotalOutcome,462
PondStart,PondStart
PondIntroTime,10.459059784188867
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.07
Pond11Fish1_PondTime,8.292
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,473
Pond11Fish1_TimeLeft,679.173
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.989
Pond11Fish2_PondTime,15.252
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,484
Pond11Fish2_TimeLeft,672.213
PondEnd_LastFish,2
FishN,16
Type,N
GiveUpTime,0.963
PondTime,16.113
TimeLeft,670.846
PondOutcome,22
TotalOutcome,484
PondStart,PondStart
PondIntroTime,12.798659671097994
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.991
Pond9Fish1_PondTime,8.903
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,495
Pond9Fish1_TimeLeft,648.511
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.045
Pond9Fish2_PondTime,16.274
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,506
Pond9Fish2_TimeLeft,641.14
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.853
Pond9Fish3_PondTime,24.102
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,517
Pond9Fish3_TimeLeft,633.312
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.105
Pond9Fish4_PondTime,32.474
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,528
Pond9Fish4_TimeLeft,624.94
PondEnd_LastFish,4
FishN,14
Type,N
GiveUpTime,1.177
PondTime,32.962
TimeLeft,623.948
PondOutcome,44
TotalOutcome,528
PondStart,PondStart
PondIntroTime,11.731122622732073
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.736
Pond8Fish1_PondTime,7.628
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,539
Pond8Fish1_TimeLeft,603.965
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.039
Pond8Fish2_PondTime,13.544
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,550
Pond8Fish2_TimeLeft,598.049
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.291
Pond8Fish3_PondTime,19.674
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,561
Pond8Fish3_TimeLeft,591.919
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.927
Pond8Fish4_PondTime,26.059
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,572
Pond8Fish4_TimeLeft,585.534
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.12
Pond8Fish5_PondTime,32.708
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,583
Pond8Fish5_TimeLeft,578.885
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.139
Pond8Fish6_PondTime,39.69
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,594
Pond8Fish6_TimeLeft,571.903
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.82
PondTime,39.858
TimeLeft,571.232
PondOutcome,66
TotalOutcome,594
PondStart,PondStart
PondIntroTime,19.54754028003663
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.424
Pond3Fish1_PondTime,9.74
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,605
Pond3Fish1_TimeLeft,541.33
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.992
Pond3Fish2_PondTime,18.111
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,616
Pond3Fish2_TimeLeft,532.959
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.869
Pond3Fish3_PondTime,27.152
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,627
Pond3Fish3_TimeLeft,523.918
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.475
Pond3Fish4_PondTime,37.016
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,638
Pond3Fish4_TimeLeft,514.054
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.889
Pond3Fish5_PondTime,47.96
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,649
Pond3Fish5_TimeLeft,503.11
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.29
Pond3Fish6_PondTime,60.338
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,660
Pond3Fish6_TimeLeft,490.732
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.872
PondTime,60.708
TimeLeft,489.858
PondOutcome,66
TotalOutcome,660
PondStart,PondStart
PondIntroTime,18.0224899481982
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.772
Pond1Fish1_PondTime,8.293
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,671
Pond1Fish1_TimeLeft,462.922
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.86
Pond1Fish2_PondTime,14.958
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,682
Pond1Fish2_TimeLeft,456.257
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.238
Pond1Fish3_PondTime,21.959
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,693
Pond1Fish3_TimeLeft,449.256
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.123
Pond1Fish4_PondTime,29.339
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,704
Pond1Fish4_TimeLeft,441.876
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.721
Pond1Fish5_PondTime,37.175
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,715
Pond1Fish5_TimeLeft,434.04
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.062
Pond1Fish6_PondTime,45.544
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,726
Pond1Fish6_TimeLeft,425.671
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.454
Pond1Fish7_PondTime,54.594
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,737
Pond1Fish7_TimeLeft,416.621
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.189
Pond1Fish8_PondTime,64.458
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,748
Pond1Fish8_TimeLeft,406.757
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.062
Pond1Fish9_PondTime,75.392
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,759
Pond1Fish9_TimeLeft,395.823
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.797
Pond1Fish10_PondTime,87.763
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,770
Pond1Fish10_TimeLeft,383.452
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.064
Pond1Fish11_PondTime,102.127
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,781
Pond1Fish11_TimeLeft,369.088
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,0.917
PondTime,102.308
TimeLeft,368.399
PondOutcome,121
TotalOutcome,781
PondStart,PondStart
PondIntroTime,13.395568248815835
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.069
Pond5Fish1_PondTime,8.903
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,792
Pond5Fish1_TimeLeft,345.484
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.5
Pond5Fish2_PondTime,16.27
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,803
Pond5Fish2_TimeLeft,338.117
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.964
Pond5Fish3_PondTime,24.094
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,814
Pond5Fish3_TimeLeft,330.293
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.03
Pond5Fish4_PondTime,32.462
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,825
Pond5Fish4_TimeLeft,321.925
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.087
Pond5Fish5_PondTime,41.511
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,836
Pond5Fish5_TimeLeft,312.876
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.322
Pond5Fish6_PondTime,51.393
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,847
Pond5Fish6_TimeLeft,302.994
Type,N
FishN,18
Fish,7
