,5d920a36cfd466001758b44d
Pond2Fish5_TotalOutcome,55
Pond2Fish5_TimeLeft,1168.414
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.339
Pond2Fish6_PondTime,41.349
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,66
Pond2Fish6_TimeLeft,1161.044
PondEnd_LastFish,6
FishN,18
Type,N
GiveUpTime,6.751
PondTime,47.642
TimeLeft,1154.248
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,15.088141588494182
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.262
Pond10Fish1_PondTime,7.827
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,77
Pond10Fish1_TimeLeft,1130.687
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.227
Pond10Fish2_PondTime,13.952
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,88
Pond10Fish2_TimeLeft,1124.561
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.09
Pond10Fish3_PondTime,20.32
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,99
Pond10Fish3_TimeLeft,1118.194
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.305
Pond10Fish4_PondTime,26.971
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,110
Pond10Fish4_TimeLeft,1111.543
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.164
Pond10Fish5_PondTime,33.955
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,121
Pond10Fish5_TimeLeft,1104.559
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.079
Pond10Fish6_PondTime,41.323
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,132
Pond10Fish6_TimeLeft,1097.191
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.09
Pond10Fish7_PondTime,49.149
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,143
Pond10Fish7_TimeLeft,1089.365
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.166
Pond10Fish8_PondTime,57.619
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,154
Pond10Fish8_TimeLeft,1080.895
PondEnd_LastFish,8
FishN,18
Type,N
GiveUpTime,0.65
PondTime,66.342
TimeLeft,1071.67
PondOutcome,88
TotalOutcome,154
PondStart,PondStart
PondIntroTime,19.174664330203086
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.08
Pond3Fish1_PondTime,7.617
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,165
Pond3Fish1_TimeLeft,1044.236
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.266
Pond3Fish2_PondTime,13.505
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,176
Pond3Fish2_TimeLeft,1038.348
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.846
Pond3Fish3_PondTime,19.629
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,187
Pond3Fish3_TimeLeft,1032.224
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.243
Pond3Fish4_PondTime,26.006
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,198
Pond3Fish4_TimeLeft,1025.847
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.114
Pond3Fish5_PondTime,32.654
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,209
Pond3Fish5_TimeLeft,1019.199
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.188
Pond3Fish6_PondTime,39.648
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,220
Pond3Fish6_TimeLeft,1012.205
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.295
Pond3Fish7_PondTime,47.023
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,231
Pond3Fish7_TimeLeft,1004.83
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.119
Pond3Fish8_PondTime,54.858
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,242
Pond3Fish8_TimeLeft,996.995
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.995
Pond3Fish9_PondTime,63.234
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,253
Pond3Fish9_TimeLeft,988.619
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.137
Pond3Fish10_PondTime,72.285
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,264
Pond3Fish10_TimeLeft,979.568
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.686
PondTime,82.029
TimeLeft,969.321
PondOutcome,110
TotalOutcome,264
PondStart,PondStart
PondIntroTime,10.547599552664906
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.212
Pond9Fish1_PondTime,9.74
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,275
Pond9Fish1_TimeLeft,948.402
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.278
Pond9Fish2_PondTime,18.106
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,286
Pond9Fish2_TimeLeft,940.036
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.178
Pond9Fish3_PondTime,27.145
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,297
Pond9Fish3_TimeLeft,930.997
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.918
Pond9Fish4_PondTime,37.015
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,308
Pond9Fish4_TimeLeft,921.127
PondEnd_LastFish,4
FishN,12
Type,N
GiveUpTime,0.548
PondTime,47.671
TimeLeft,909.963
PondOutcome,44
TotalOutcome,308
PondStart,PondStart
PondIntroTime,19.165763359051198
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.08
Pond8Fish1_PondTime,7.622
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,319
Pond8Fish1_TimeLeft,882.56
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,0.968
Pond8Fish2_PondTime,13.529
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,330
Pond8Fish2_TimeLeft,876.653
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.655
Pond8Fish3_PondTime,19.652
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,341
Pond8Fish3_TimeLeft,870.53
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.104
Pond8Fish4_PondTime,26.024
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,352
Pond8Fish4_TimeLeft,864.158
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.131
Pond8Fish5_PondTime,32.691
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,363
Pond8Fish5_TimeLeft,857.491
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.033
Pond8Fish6_PondTime,39.672
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,374
Pond8Fish6_TimeLeft,850.51
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.825
Pond8Fish7_PondTime,47.178
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,385
Pond8Fish7_TimeLeft,843.004
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.67
Pond8Fish8_PondTime,55.01
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,396
Pond8Fish8_TimeLeft,835.172
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.172
Pond8Fish9_PondTime,63.382
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,407
Pond8Fish9_TimeLeft,826.8
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,-1
Pond8Fish10_PondTime,72.461
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,407
Pond8Fish10_TimeLeft,817.721
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.253
Pond8Fish11_PondTime,82.327
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,418
Pond8Fish11_TimeLeft,807.855
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.089
Pond8Fish12_PondTime,93.27
Pond8Fish12_PondOutcome,121
Pond8Fish12_TotalOutcome,429
Pond8Fish12_TimeLeft,796.912
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.498
Pond8Fish13_PondTime,105.636
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,440
Pond8Fish13_TimeLeft,784.546
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.088
Pond8Fish14_PondTime,120.02
Pond8Fish14_PondOutcome,143
Pond8Fish14_TotalOutcome,451
Pond8Fish14_TimeLeft,770.162
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.548
PondTime,137.049
TimeLeft,752.627
PondOutcome,143
TotalOutcome,451
PondStart,PondStart
PondIntroTime,15.929305930621922
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.185
Pond6Fish1_PondTime,8.286
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,462
Pond6Fish1_TimeLeft,727.793
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.039
Pond6Fish2_PondTime,14.943
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,473
Pond6Fish2_TimeLeft,721.136
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.279
Pond6Fish3_PondTime,21.936
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,484
Pond6Fish3_TimeLeft,714.143
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.931
Pond6Fish4_PondTime,29.308
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,495
Pond6Fish4_TimeLeft,706.771
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.296
Pond6Fish5_PondTime,37.146
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,506
Pond6Fish5_TimeLeft,698.933
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.947
Pond6Fish6_PondTime,45.511
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,517
Pond6Fish6_TimeLeft,690.568
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.298
Pond6Fish7_PondTime,54.542
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,528
Pond6Fish7_TimeLeft,681.537
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.509
Pond6Fish8_PondTime,64.42
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,539
Pond6Fish8_TimeLeft,671.659
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.309
Pond6Fish9_PondTime,75.364
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,550
Pond6Fish9_TimeLeft,660.715
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.169
Pond6Fish10_PondTime,87.755
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,561
Pond6Fish10_TimeLeft,648.324
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,12.822
PondTime,99.951
TimeLeft,635.623
PondOutcome,110
TotalOutcome,561
PondStart,PondStart
PondIntroTime,17.196256183087826
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,19.468
PondTime,3.469
TimeLeft,613.842
PondOutcome,0
TotalOutcome,561
PondStart,PondStart
PondIntroTime,18.55114433914423
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.121
Pond12Fish1_PondTime,8.905
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,572
Pond12Fish1_TimeLeft,585.773
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.847
Pond12Fish2_PondTime,16.28
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,583
Pond12Fish2_TimeLeft,578.398
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.335
Pond12Fish3_PondTime,24.105
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,594
Pond12Fish3_TimeLeft,570.573
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.157
Pond12Fish4_PondTime,32.475
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,605
Pond12Fish4_TimeLeft,562.203
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.482
Pond12Fish5_PondTime,41.507
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,616
Pond12Fish5_TimeLeft,553.171
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.249
Pond12Fish6_PondTime,51.38
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,627
Pond12Fish6_TimeLeft,543.298
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.011
Pond12Fish7_PondTime,62.337
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,638
Pond12Fish7_TimeLeft,532.341
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.157
Pond12Fish8_PondTime,74.712
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,649
Pond12Fish8_TimeLeft,519.966
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.806
PondTime,74.884
TimeLeft,519.287
PondOutcome,88
TotalOutcome,649
PondStart,PondStart
PondIntroTime,19.687245949171484
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.199
Pond4Fish1_PondTime,7.618
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,660
Pond4Fish1_TimeLeft,491.363
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.203
Pond4Fish2_PondTime,13.529
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,671
Pond4Fish2_TimeLeft,485.452
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.312
Pond4Fish3_PondTime,19.663
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,682
Pond4Fish3_TimeLeft,479.318
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.184
Pond4Fish4_PondTime,26.044
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,693
Pond4Fish4_TimeLeft,472.937
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.412
Pond4Fish5_PondTime,32.698
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,704
Pond4Fish5_TimeLeft,466.283
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.241
Pond4Fish6_PondTime,39.681
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,715
Pond4Fish6_TimeLeft,459.3
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.088
Pond4Fish7_PondTime,47.051
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,726
Pond4Fish7_TimeLeft,451.93
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.9
Pond4Fish8_PondTime,54.876
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,737
Pond4Fish8_TimeLeft,444.105
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.087
Pond4Fish9_PondTime,63.247
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,748
Pond4Fish9_TimeLeft,435.734
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.918
Pond4Fish10_PondTime,72.287
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,759
Pond4Fish10_TimeLeft,426.694
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.54
Pond4Fish11_PondTime,82.152
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,770
Pond4Fish11_TimeLeft,416.829
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.859
Pond4Fish12_PondTime,93.263
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,781
Pond4Fish12_TimeLeft,405.717
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.21
Pond4Fish13_PondTime,105.633
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,792
Pond4Fish13_TimeLeft,393.348
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.277
Pond4Fish14_PondTime,120.007
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,803
Pond4Fish14_TimeLeft,378.974
Type,N
FishN,19
Fish,15
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.43
Pond4Fish15_PondTime,137.379
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,814
Pond4Fish15_TimeLeft,361.602
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,2.733
PondTime,139.734
TimeLeft,358.744
PondOutcome,165
TotalOutcome,814
PondStart,PondStart
PondIntroTime,15.871726383920759
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.853
Pond11Fish1_PondTime,9.738
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,825
Pond11Fish1_TimeLeft,332.505
PondEnd_LastFish,1
FishN,12
Type,N
GiveUpTime,4.976
PondTime,13.776
TimeLeft,327.962
PondOutcome,11
TotalOutcome,825
PondStart,PondStart
PondIntroTime,12.781553666573018
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.971
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,825
Pond5Fish1_TimeLeft,305.599
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.009
Pond5Fish2_PondTime,16.36
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,836
Pond5Fish2_TimeLeft,298.21
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.22
Pond5Fish3_PondTime,24.192
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,847
Pond5Fish3_TimeLeft,290.378
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.036
Pond5Fish4_PondTime,32.557
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,858
Pond5Fish4_TimeLeft,282.012
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.106
Pond5Fish5_PondTime,41.591
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,869
Pond5Fish5_TimeLeft,272.979
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.413
Pond5Fish6_PondTime,51.462
Pond5Fish6_PondOutcome,55
