,5dcd0b8541ba729640a82b0e
Pond5Fish12_TotalOutcome,498
Pond5Fish12_TimeLeft,705.074
PondEnd_LastFish,12
FishN,16
Type,RD
GiveUpTime,21.174
PondTime,139.921
TimeLeft,684.166
PondOutcome,134
TotalOutcome,498
PondStart,PondStart
PondIntroTime,12.118797067087144
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.096
Pond7Fish1_PondTime,9.73
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,508
Pond7Fish1_TimeLeft,661.661
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.558
Pond7Fish2_PondTime,18.098
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,518
Pond7Fish2_TimeLeft,653.293
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.228
Pond7Fish3_PondTime,27.15
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,528
Pond7Fish3_TimeLeft,644.241
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.11
Pond7Fish4_PondTime,37.018
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,538
Pond7Fish4_TimeLeft,634.372
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.866
Pond7Fish5_PondTime,47.97
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,548
Pond7Fish5_TimeLeft,623.421
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.92
Pond7Fish6_PondTime,60.353
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,558
Pond7Fish6_TimeLeft,611.038
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.377
Pond7Fish7_PondTime,74.737
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,568
Pond7Fish7_TimeLeft,596.654
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,0.945
Pond7Fish8_PondTime,92.104
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,578
Pond7Fish8_TimeLeft,579.287
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.134
Pond7Fish9_PondTime,114.467
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,588
Pond7Fish9_TimeLeft,556.924
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,20
Pond7Fish10_CatchTime,1.097
Pond7Fish10_PondTime,146.859
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,598
Pond7Fish10_TimeLeft,524.532
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.977
PondTime,147.135
TimeLeft,523.754
PondOutcome,100
TotalOutcome,598
PondStart,PondStart
PondIntroTime,12.787563800811768
Type,N
FishN,16
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,0.822
Pond2Fish1_PondTime,8.575
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,609
Pond2Fish1_TimeLeft,501.746
Type,N
FishN,16
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,15.639
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,609
Pond2Fish2_TimeLeft,494.682
Type,N
FishN,16
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.925
Pond2Fish3_PondTime,23.007
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,620
Pond2Fish3_TimeLeft,487.314
Type,N
FishN,16
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.672
Pond2Fish4_PondTime,30.827
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,631
Pond2Fish4_TimeLeft,479.494
Type,N
FishN,16
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.019
Pond2Fish5_PondTime,39.208
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,642
Pond2Fish5_TimeLeft,471.112
Type,N
FishN,16
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,0.746
Pond2Fish6_PondTime,48.242
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,653
Pond2Fish6_TimeLeft,462.079
Type,N
FishN,16
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.756
Pond2Fish7_PondTime,58.129
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,664
Pond2Fish7_TimeLeft,452.192
Type,N
FishN,16
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.596
Pond2Fish8_PondTime,69.08
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,675
Pond2Fish8_TimeLeft,441.241
Type,N
FishN,16
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.74
Pond2Fish9_PondTime,81.461
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,686
Pond2Fish9_TimeLeft,428.86
Type,N
FishN,16
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,0.704
Pond2Fish10_PondTime,95.83
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,697
Pond2Fish10_TimeLeft,414.491
Type,N
FishN,16
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,1.109
Pond2Fish11_PondTime,113.191
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,708
Pond2Fish11_TimeLeft,397.13
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,0.764
PondTime,113.278
TimeLeft,396.54
PondOutcome,110
TotalOutcome,708
PondStart,PondStart
PondIntroTime,15.886875307187438
Type,N
FishN,14
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.867
Pond4Fish1_PondTime,9.278
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,719
Pond4Fish1_TimeLeft,370.72
Type,N
FishN,14
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.885
Pond4Fish2_PondTime,17.11
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,730
Pond4Fish2_TimeLeft,362.888
Type,N
FishN,14
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.964
Pond4Fish3_PondTime,25.495
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,741
Pond4Fish3_TimeLeft,354.503
Type,N
FishN,14
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.087
Pond4Fish4_PondTime,34.53
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,752
Pond4Fish4_TimeLeft,345.467
Type,N
FishN,14
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.836
Pond4Fish5_PondTime,44.397
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,763
Pond4Fish5_TimeLeft,335.601
Type,N
FishN,14
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.742
Pond4Fish6_PondTime,55.33
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,774
Pond4Fish6_TimeLeft,324.668
Type,N
FishN,14
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.848
Pond4Fish7_PondTime,67.697
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,785
Pond4Fish7_TimeLeft,312.301
Type,N
FishN,14
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.001
Pond4Fish8_PondTime,82.066
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,796
Pond4Fish8_TimeLeft,297.932
Type,N
FishN,14
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,0.774
Pond4Fish9_PondTime,99.45
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,807
Pond4Fish9_TimeLeft,280.548
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.482
PondTime,121.467
TimeLeft,258.029
PondOutcome,99
TotalOutcome,807
PondStart,PondStart
PondIntroTime,11.467394237406552
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.893
Pond3Fish1_PondTime,7.798
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,818
Pond3Fish1_TimeLeft,238.1
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.268
Pond3Fish2_PondTime,13.919
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,829
Pond3Fish2_TimeLeft,231.979
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.946
Pond3Fish3_PondTime,20.291
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,840
Pond3Fish3_TimeLeft,225.607
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.995
Pond3Fish4_PondTime,26.937
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,851
Pond3Fish4_TimeLeft,218.961
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.917
Pond3Fish5_PondTime,33.921
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,862
Pond3Fish5_TimeLeft,211.977
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.859
Pond3Fish6_PondTime,41.291
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,873
Pond3Fish6_TimeLeft,204.607
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.907
Pond3Fish7_PondTime,49.121
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,884
Pond3Fish7_TimeLeft,196.777
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.892
Pond3Fish8_PondTime,57.489
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,895
Pond3Fish8_TimeLeft,188.409
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.555
Pond3Fish9_PondTime,66.539
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,906
Pond3Fish9_TimeLeft,179.359
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
