,Martin
Pond7Fish2_CatchTime,0.795
Pond7Fish2_PondTime,26.901
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,118
Pond7Fish2_TimeLeft,1094.059
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.851
Pond7Fish3_PondTime,33.544
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,128
Pond7Fish3_TimeLeft,1087.416
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.681
Pond7Fish4_PondTime,40.525
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,138
Pond7Fish4_TimeLeft,1080.434
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.718
Pond7Fish5_PondTime,47.891
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,148
Pond7Fish5_TimeLeft,1073.069
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.721
Pond7Fish6_PondTime,55.707
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,158
Pond7Fish6_TimeLeft,1065.253
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.79
Pond7Fish7_PondTime,64.072
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,168
Pond7Fish7_TimeLeft,1056.888
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.756
Pond7Fish8_PondTime,73.104
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,178
Pond7Fish8_TimeLeft,1047.856
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.19
Pond7Fish9_PondTime,82.975
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,188
Pond7Fish9_TimeLeft,1037.984
Pond7_Type,RT
Pond7Fish10_FishType,golden
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.706
Pond7Fish10_PondTime,93.902
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,208
Pond7Fish10_TimeLeft,1027.058
Pond7_Type,RT
Pond7Fish11_FishType,golden
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.81
Pond7Fish11_PondTime,106.266
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,228
Pond7Fish11_TimeLeft,1014.694
Pond7_Type,RT
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,0.807
Pond7Fish12_PondTime,120.628
Pond7Fish12_PondOutcome,140
Pond7Fish12_TotalOutcome,238
Pond7Fish12_TimeLeft,1000.332
Pond7_GiveUpTime,0.49
Pond7_PondTime,137.98
Pond7_PondOutcome,140
Pond7_TotalOutcome,238
Pond7_TimeLeft,982.98
Pond5IntroTime,16.67434779694304
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.562
Pond5Fish1_PondTime,26.191
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,248
Pond5Fish1_TimeLeft,956.789
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.63
Pond5Fish2_PondTime,33.561
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,258
Pond5Fish2_TimeLeft,949.419
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.832
Pond5Fish3_PondTime,41.373
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,268
Pond5Fish3_TimeLeft,941.607
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.961
Pond5Fish4_PondTime,49.737
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,278
Pond5Fish4_TimeLeft,933.243
Pond5_Type,RT
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.725
Pond5Fish5_PondTime,58.773
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,298
Pond5Fish5_TimeLeft,924.207
Pond5_Type,RT
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.754
Pond5Fish6_PondTime,68.636
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,318
Pond5Fish6_TimeLeft,914.344
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.466
Pond5Fish7_PondTime,79.567
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,328
Pond5Fish7_TimeLeft,903.413
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.777
Pond5Fish8_PondTime,91.931
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,338
Pond5Fish8_TimeLeft,891.049
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.832
Pond5Fish9_PondTime,106.294
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,348
Pond5Fish9_TimeLeft,876.686
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.58
Pond5Fish10_PondTime,123.658
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,358
Pond5Fish10_TimeLeft,859.322
Pond5_Type,RT
Pond5Fish11_FishType,golden
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.771
Pond5Fish11_PondTime,146.023
Pond5Fish11_PondOutcome,140
Pond5Fish11_TotalOutcome,378
Pond5Fish11_TimeLeft,836.957
Pond5_GiveUpTime,27.101
Pond5_PondTime,172.503
Pond5_PondOutcome,140
Pond5_TotalOutcome,378
Pond5_TimeLeft,810.477
Pond3IntroTime,18.451131121255457
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.063
Pond3Fish1_PondTime,28.361
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,388
Pond3Fish1_TimeLeft,782.116
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.962
Pond3Fish2_PondTime,36.173
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,398
Pond3Fish2_TimeLeft,774.304
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.836
Pond3Fish3_PondTime,44.54
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,408
Pond3Fish3_TimeLeft,765.937
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.936
Pond3Fish4_PondTime,53.571
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,418
Pond3Fish4_TimeLeft,756.906
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.215
Pond3Fish5_PondTime,63.435
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,428
Pond3Fish5_TimeLeft,747.042
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.27
Pond3Fish6_PondTime,74.367
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,438
Pond3Fish6_TimeLeft,736.11
Pond3_Type,RT
Pond3Fish7_FishType,golden
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.067
Pond3Fish7_PondTime,86.732
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,458
Pond3Fish7_TimeLeft,723.745
Pond3_Type,RT
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.782
Pond3Fish8_PondTime,101.095
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,468
Pond3Fish8_TimeLeft,709.382
Pond3_GiveUpTime,0.729
Pond3_PondTime,118.675
Pond3_PondOutcome,90
Pond3_TotalOutcome,468
Pond3_TimeLeft,691.802
Pond4IntroTime,11.271812173072249
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.86
Pond4Fish1_PondTime,20.782
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,480
Pond4Fish1_TimeLeft,671.02
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.899
Pond4Fish2_PondTime,28.147
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,492
Pond4Fish2_TimeLeft,663.655
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.903
Pond4Fish3_PondTime,35.962
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,504
Pond4Fish3_TimeLeft,655.84
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.935
Pond4Fish4_PondTime,44.327
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,516
Pond4Fish4_TimeLeft,647.475
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.259
Pond4Fish5_PondTime,53.359
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,528
Pond4Fish5_TimeLeft,638.443
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.771
Pond4Fish6_PondTime,63.223
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,540
Pond4Fish6_TimeLeft,628.579
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.823
Pond4Fish7_PondTime,74.155
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,552
Pond4Fish7_TimeLeft,617.647
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,0.757
Pond4Fish8_PondTime,86.519
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,564
Pond4Fish8_TimeLeft,605.283
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,0.943
Pond4Fish9_PondTime,100.883
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,576
Pond4Fish9_TimeLeft,590.919
Pond4_Type,RD
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,0.733
Pond4Fish10_PondTime,118.247
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,588
Pond4Fish10_TimeLeft,573.555
Pond4_GiveUpTime,19.968
Pond4_PondTime,137.563
Pond4_PondOutcome,120
Pond4_TotalOutcome,588
Pond4_TimeLeft,554.239
Pond2IntroTime,10.446430831216276
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.975
Pond2Fish1_PondTime,19.364
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,600
Pond2Fish1_TimeLeft,534.875
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.977
Pond2Fish2_PondTime,26.013
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,612
Pond2Fish2_TimeLeft,528.226
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.663
Pond2Fish3_PondTime,32.993
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,624
Pond2Fish3_TimeLeft,521.246
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.228
Pond2Fish4_PondTime,40.357
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,636
Pond2Fish4_TimeLeft,513.882
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.7
Pond2Fish5_PondTime,48.192
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,648
Pond2Fish5_TimeLeft,506.046
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.411
Pond2Fish6_PondTime,56.556
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,660
Pond2Fish6_TimeLeft,497.683
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,-1
Pond2Fish7_PondTime,65.654
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,660
Pond2Fish7_TimeLeft,488.585
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.566
Pond2Fish8_PondTime,75.518
Pond2Fish8_PondOutcome,84
Pond2Fish8_TotalOutcome,672
Pond2Fish8_TimeLeft,478.721
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.737
Pond2Fish9_PondTime,86.451
Pond2Fish9_PondOutcome,96
Pond2Fish9_TotalOutcome,684
Pond2Fish9_TimeLeft,467.788
Pond2_Type,RD
Pond2Fish10_FishType,gray
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.321
Pond2Fish10_PondTime,98.815
Pond2Fish10_PondOutcome,98
Pond2Fish10_TotalOutcome,686
Pond2Fish10_TimeLeft,455.424
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,0.84
Pond2Fish11_PondTime,113.179
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,698
Pond2Fish11_TimeLeft,441.06
Pond2_Type,RD
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,0.773
Pond2Fish12_PondTime,133.098
Pond2Fish12_PondOutcome,122
Pond2Fish12_TotalOutcome,710
Pond2Fish12_TimeLeft,421.141
Pond2_Type,RD
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,0.797
Pond2Fish13_PondTime,157.244
Pond2Fish13_PondOutcome,134
Pond2Fish13_TotalOutcome,722
Pond2Fish13_TimeLeft,396.995
Pond2_Type,RD
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,20
Pond2Fish14_CatchTime,0.999
Pond2Fish14_PondTime,191.416
Pond2Fish14_PondOutcome,146
Pond2Fish14_TotalOutcome,734
Pond2Fish14_TimeLeft,362.823
Pond2_GiveUpTime,2.585
Pond2_PondTime,193.605
Pond2_PondOutcome,146
Pond2_TotalOutcome,734
Pond2_TimeLeft,360.633
Pond11IntroTime,18.686775560490787
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,27.653
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,734
Pond11Fish1_TimeLeft,332.98
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.688
Pond11Fish2_PondTime,34.303
Pond11Fish2_PondOutcome,10
Pond11Fish2_TotalOutcome,744
Pond11Fish2_TimeLeft,326.33
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.762
Pond11Fish3_PondTime,41.286
Pond11Fish3_PondOutcome,20
Pond11Fish3_TotalOutcome,754
Pond11Fish3_TimeLeft,319.347
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.761
Pond11Fish4_PondTime,48.65
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,764
Pond11Fish4_TimeLeft,311.983
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.774
Pond11Fish5_PondTime,56.465
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,774
Pond11Fish5_TimeLeft,304.168
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.448
Pond11Fish6_PondTime,64.831
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,784
Pond11Fish6_TimeLeft,295.802
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.704
Pond11Fish7_PondTime,73.863
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,794
Pond11Fish7_TimeLeft,286.77
Pond11_Type,RT
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.871
Pond11Fish8_PondTime,83.728
Pond11Fish8_PondOutcome,70
Pond11Fish8_TotalOutcome,804
Pond11Fish8_TimeLeft,276.905
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.873
Pond11Fish9_PondTime,94.659
Pond11Fish9_PondOutcome,80
Pond11Fish9_TotalOutcome,814
Pond11Fish9_TimeLeft,265.974
Pond11_Type,RT
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.767
Pond11Fish10_PondTime,107.023
Pond11Fish10_PondOutcome,90
Pond11Fish10_TotalOutcome,824
Pond11Fish10_TimeLeft,253.61
Pond11_Type,RT
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,0.651
Pond11Fish11_PondTime,121.388
Pond11Fish11_PondOutcome,100
Pond11Fish11_TotalOutcome,834
Pond11Fish11_TimeLeft,239.244
Pond11_Type,RT
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.538
Pond11Fish12_PondTime,138.753
Pond11Fish12_PondOutcome,110
Pond11Fish12_TotalOutcome,844
Pond11Fish12_TimeLeft,221.88
Pond11_Type,RT
Pond11Fish13_FishType,golden
Pond11Fish13_FishLatency,15
Pond11Fish13_CatchTime,0.664
Pond11Fish13_PondTime,161.115
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,864
Pond11Fish13_TimeLeft,199.518
Pond11_GiveUpTime,31.581
Pond11_PondTime,191.959
Pond11_PondOutcome,130
Pond11_TotalOutcome,864
Pond11_TimeLeft,168.674
Pond8IntroTime,19.186137239448726
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.947
Pond8Fish1_PondTime,29.095
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,876
Pond8Fish1_TimeLeft,139.579
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.168
Pond8Fish2_PondTime,36.912
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,888
Pond8Fish2_TimeLeft,131.762
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.675
Pond8Fish3_PondTime,45.28
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,900
Pond8Fish3_TimeLeft,123.393
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.738
Pond8Fish4_PondTime,54.307
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,912
Pond8Fish4_TimeLeft,114.367
Pond8_Type,RD
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.767
Pond8Fish5_PondTime,64.173
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,924
Pond8Fish5_TimeLeft,104.501
Pond8_Type,RD
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.936
Pond8Fish6_PondTime,75.107
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,936
Pond8Fish6_TimeLeft,93.567
Pond8_Type,RD
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.721
Pond8Fish7_PondTime,87.468
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,948
Pond8Fish7_TimeLeft,81.206
Pond8_Type,RD
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.955
Pond8Fish8_PondTime,101.833
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,960
Pond8Fish8_TimeLeft,66.841
Pond8_Type,RD
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,0.917
Pond8Fish9_PondTime,119.199
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,972
Pond8Fish9_TimeLeft,49.474
Pond8_Type,RD
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.884
Pond8Fish10_PondTime,141.558
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,984
Pond8Fish10_TimeLeft,27.115
