,5cd00327e2b4370017255ecc
Pond12Fish8_TotalOutcome,198
Pond12Fish8_TimeLeft,997.666
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.191
Pond12Fish9_PondTime,99.409
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,209
Pond12Fish9_TimeLeft,985.275
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.334
Pond12Fish10_PondTime,113.785
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,220
Pond12Fish10_TimeLeft,970.899
Pond12_GiveUpTime,15.94
Pond12_PondTime,129.664
Pond12_PondOutcome,110
Pond12_TotalOutcome,220
Pond12_TimeLeft,955.02
Pond8IntroTime,19.381946611683816
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.915
Pond8Fish1_PondTime,28.913
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,231
Pond8Fish1_TimeLeft,926.107
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.082
Pond8Fish2_PondTime,36.296
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,242
Pond8Fish2_TimeLeft,918.724
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.93
Pond8Fish3_PondTime,44.143
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,253
Pond8Fish3_TimeLeft,910.877
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.954
Pond8Fish4_PondTime,52.541
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,264
Pond8Fish4_TimeLeft,902.479
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.722
Pond8Fish5_PondTime,61.607
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,275
Pond8Fish5_TimeLeft,893.413
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.619
Pond8Fish6_PondTime,71.503
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,286
Pond8Fish6_TimeLeft,883.517
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.883
Pond8Fish7_PondTime,82.459
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,297
Pond8Fish7_TimeLeft,872.561
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.753
Pond8Fish8_PondTime,94.832
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,308
Pond8Fish8_TimeLeft,860.188
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.853
Pond8Fish9_PondTime,109.229
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,319
Pond8Fish9_TimeLeft,845.791
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,0.667
Pond8Fish10_PondTime,126.611
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,330
Pond8Fish10_TimeLeft,828.409
Pond8_GiveUpTime,1.67
Pond8_PondTime,127.536
Pond8_PondOutcome,110
Pond8_TotalOutcome,330
Pond8_TimeLeft,827.484
Pond10IntroTime,11.467645722441375
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.804
Pond10Fish1_PondTime,20.115
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,341
Pond10Fish1_TimeLeft,807.369
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.085
Pond10Fish2_PondTime,26.483
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,352
Pond10Fish2_TimeLeft,801.001
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.836
Pond10Fish3_PondTime,33.132
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,363
Pond10Fish3_TimeLeft,794.352
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.78
Pond10Fish4_PondTime,40.117
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,374
Pond10Fish4_TimeLeft,787.367
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.814
Pond10Fish5_PondTime,47.483
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,385
Pond10Fish5_TimeLeft,780.001
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.005
Pond10Fish6_PondTime,55.302
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,396
Pond10Fish6_TimeLeft,772.182
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.913
Pond10Fish7_PondTime,63.666
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,407
Pond10Fish7_TimeLeft,763.818
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.945
Pond10Fish8_PondTime,72.702
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,418
Pond10Fish8_TimeLeft,754.782
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.06
Pond10Fish9_PondTime,82.567
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,429
Pond10Fish9_TimeLeft,744.917
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.814
Pond10Fish10_PondTime,93.501
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,440
Pond10Fish10_TimeLeft,733.983
Pond10_Type,N
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.729
Pond10Fish11_PondTime,105.869
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,451
Pond10Fish11_TimeLeft,721.615
Pond10_Type,N
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.086
Pond10Fish12_PondTime,120.236
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,462
Pond10Fish12_TimeLeft,707.248
Pond10_Type,N
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.061
Pond10Fish13_PondTime,137.605
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,473
Pond10Fish13_TimeLeft,689.879
Pond10_GiveUpTime,20.333
Pond10_PondTime,157.603
Pond10_PondOutcome,143
Pond10_TotalOutcome,473
Pond10_TimeLeft,669.881
Pond9IntroTime,14.034958742558956
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.687
Pond9Fish1_PondTime,22.67
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,484
Pond9Fish1_TimeLeft,647.211
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,29.086
Pond9Fish2_PondOutcome,11
Pond9Fish2_TotalOutcome,484
Pond9Fish2_TimeLeft,640.795
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,35.803
Pond9Fish3_PondOutcome,11
Pond9Fish3_TotalOutcome,484
Pond9Fish3_TimeLeft,634.078
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,42.837
Pond9Fish4_PondOutcome,11
Pond9Fish4_TotalOutcome,484
Pond9Fish4_TimeLeft,627.044
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,-1
Pond9Fish5_PondTime,50.254
Pond9Fish5_PondOutcome,11
Pond9Fish5_TotalOutcome,484
Pond9Fish5_TimeLeft,619.627
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,58.121
Pond9Fish6_PondOutcome,11
Pond9Fish6_TotalOutcome,484
Pond9Fish6_TimeLeft,611.76
