,5da4cb7d6ce8030012c6526d
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.855
Pond11Fish1_PondTime,23.218
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,286
Pond11Fish1_TimeLeft,698.926
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.004
Pond11Fish2_PondTime,31.606
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,297
Pond11Fish2_TimeLeft,690.538
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.015
Pond11Fish3_PondTime,40.675
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,308
Pond11Fish3_TimeLeft,681.47
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.943
Pond11Fish4_PondTime,50.566
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,319
Pond11Fish4_TimeLeft,671.579
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.09
Pond11Fish5_PondTime,61.519
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,330
Pond11Fish5_TimeLeft,660.626
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.093
Pond11Fish6_PondTime,73.894
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,341
Pond11Fish6_TimeLeft,648.25
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.01
Pond11Fish7_PondTime,88.278
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,352
Pond11Fish7_TimeLeft,633.867
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.064
Pond11Fish8_PondTime,105.699
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,363
Pond11Fish8_TimeLeft,616.445
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,2.028
Pond11Fish9_PondTime,128.129
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,374
Pond11Fish9_TimeLeft,594.016
Pond11_GiveUpTime,13.195
Pond11_PondTime,141.625
Pond11_PondOutcome,99
Pond11_TotalOutcome,374
Pond11_TimeLeft,580.52
Pond2IntroTime,12.356516716536134
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,20.865
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,374
Pond2Fish1_TimeLeft,559.655
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.487
Pond2Fish2_PondTime,27.027
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,385
Pond2Fish2_TimeLeft,553.493
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.784
Pond2Fish3_PondTime,33.499
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,396
Pond2Fish3_TimeLeft,547.021
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.513
Pond2Fish4_PondTime,40.193
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,407
Pond2Fish4_TimeLeft,540.326
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,47.266
Pond2Fish5_PondOutcome,33
Pond2Fish5_TotalOutcome,407
Pond2Fish5_TimeLeft,533.254
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.522
Pond2Fish6_PondTime,54.639
Pond2Fish6_PondOutcome,44
Pond2Fish6_TotalOutcome,418
Pond2Fish6_TimeLeft,525.88
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.251
Pond2Fish7_PondTime,62.49
Pond2Fish7_PondOutcome,55
Pond2Fish7_TotalOutcome,429
Pond2Fish7_TimeLeft,518.029
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.031
Pond2Fish8_PondTime,70.87
Pond2Fish8_PondOutcome,66
Pond2Fish8_TotalOutcome,440
Pond2Fish8_TimeLeft,509.649
Pond2_Type,N
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.091
Pond2Fish9_PondTime,79.94
Pond2Fish9_PondOutcome,77
Pond2Fish9_TotalOutcome,451
Pond2Fish9_TimeLeft,500.58
Pond2_Type,N
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.067
Pond2Fish10_PondTime,89.819
Pond2Fish10_PondOutcome,88
Pond2Fish10_TotalOutcome,462
Pond2Fish10_TimeLeft,490.701
Pond2_Type,N
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.043
Pond2Fish11_PondTime,100.781
Pond2Fish11_PondOutcome,99
Pond2Fish11_TotalOutcome,473
Pond2Fish11_TimeLeft,479.738
Pond2_Type,N
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.172
Pond2Fish12_PondTime,113.183
Pond2Fish12_PondOutcome,110
Pond2Fish12_TotalOutcome,484
Pond2Fish12_TimeLeft,467.337
Pond2_Type,N
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.11
Pond2Fish13_PondTime,127.59
Pond2Fish13_PondOutcome,121
Pond2Fish13_TotalOutcome,495
Pond2Fish13_TimeLeft,452.93
Pond2_Type,N
Pond2Fish14_FishType,green
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.277
Pond2Fish14_PondTime,145.001
Pond2Fish14_PondOutcome,132
Pond2Fish14_TotalOutcome,506
Pond2Fish14_TimeLeft,435.519
Pond2_Type,N
Pond2Fish15_FishType,green
Pond2Fish15_FishLatency,15
Pond2Fish15_CatchTime,1.602
Pond2Fish15_PondTime,167.386
Pond2Fish15_PondOutcome,143
Pond2Fish15_TotalOutcome,517
Pond2Fish15_TimeLeft,413.134
Pond2_Type,N
Pond2Fish16_FishType,green
Pond2Fish16_FishLatency,20
Pond2Fish16_CatchTime,1.811
Pond2Fish16_PondTime,199.869
Pond2Fish16_PondOutcome,154
Pond2Fish16_TotalOutcome,528
Pond2Fish16_TimeLeft,380.65
Pond2_GiveUpTime,33.573
Pond2_PondTime,233.741
Pond2_PondOutcome,154
Pond2_TotalOutcome,528
Pond2_TimeLeft,346.779
Pond3IntroTime,18.4174909372814
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.221
Pond3Fish1_PondTime,28.784
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,539
Pond3Fish1_TimeLeft,317.994
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.406
Pond3Fish2_PondTime,37.188
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,550
Pond3Fish2_TimeLeft,309.591
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.514
Pond3Fish3_PondTime,46.252
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,561
Pond3Fish3_TimeLeft,300.527
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.206
Pond3Fish4_PondTime,56.129
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,572
Pond3Fish4_TimeLeft,290.65
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.2
Pond3Fish5_PondTime,67.098
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,583
Pond3Fish5_TimeLeft,279.68
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.08
Pond3Fish6_PondTime,79.513
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,594
Pond3Fish6_TimeLeft,267.264
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.287
Pond3Fish7_PondTime,93.893
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,605
Pond3Fish7_TimeLeft,252.886
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.682
Pond3Fish8_PondTime,111.281
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,616
Pond3Fish8_TimeLeft,235.498
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,1.062
Pond3Fish9_PondTime,133.664
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,627
Pond3Fish9_TimeLeft,213.115
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,20
Pond3Fish10_CatchTime,1.496
Pond3Fish10_PondTime,166.066
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,638
Pond3Fish10_TimeLeft,180.713
Pond3_GiveUpTime,43.821
Pond3_PondTime,209.978
Pond3_PondOutcome,110
Pond3_TotalOutcome,638
Pond3_TimeLeft,136.801
Pond4IntroTime,11.463397343177348
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.526
Pond4Fish1_PondTime,21.382
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,650
Pond4Fish1_TimeLeft,115.419
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.074
Pond4Fish2_PondTime,29.208
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,662
Pond4Fish2_TimeLeft,107.592
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.971
Pond4Fish3_PondTime,37.603
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,674
Pond4Fish3_TimeLeft,99.197
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.03
Pond4Fish4_PondTime,46.664
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,686
Pond4Fish4_TimeLeft,90.137
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.199
Pond4Fish5_PondTime,56.547
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,698
Pond4Fish5_TimeLeft,80.254
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.174
Pond4Fish6_PondTime,67.51
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,710
Pond4Fish6_TimeLeft,69.291
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.114
Pond4Fish7_PondTime,79.908
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,722
Pond4Fish7_TimeLeft,56.892
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.106
Pond4Fish8_PondTime,94.293
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,734
Pond4Fish8_TimeLeft,42.508
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.014
Pond4Fish9_PondTime,111.701
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,746
Pond4Fish9_TimeLeft,25.1
Pond4_Type,RD
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.537
Pond4Fish10_PondTime,134.076
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,758
Pond4Fish10_TimeLeft,2.722
