,5d11eb5bd369970001c416af
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,104
Pond9Fish2_TimeLeft,1045.524
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.965
Pond9Fish3_PondTime,27.205
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,115
Pond9Fish3_TimeLeft,1036.465
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.833
Pond9Fish4_PondTime,37.102
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,126
Pond9Fish4_TimeLeft,1026.568
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.671
Pond9Fish5_PondTime,48.06
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,137
Pond9Fish5_TimeLeft,1015.609
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.761
PondTime,60.283
TimeLeft,1002.872
PondOutcome,55
TotalOutcome,137
PondStart,PondStart
PondIntroTime,12.590232221409678
Type,RT
FishN,14
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.015
Pond10Fish1_PondTime,8.9
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,147
Pond10Fish1_TimeLeft,980.708
Type,RT
FishN,14
Fish,2
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.939
Pond10Fish2_PondTime,16.258
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,167
Pond10Fish2_TimeLeft,973.35
Type,RT
FishN,14
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.139
Pond10Fish3_PondTime,24.084
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,177
Pond10Fish3_TimeLeft,965.523
Type,RT
FishN,14
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.562
Pond10Fish4_PondTime,32.475
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,187
Pond10Fish4_TimeLeft,957.133
Type,RT
FishN,14
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.085
Pond10Fish5_PondTime,41.547
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,197
Pond10Fish5_TimeLeft,948.061
Type,RT
FishN,14
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,-1
Pond10Fish6_PondTime,51.49
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,197
Pond10Fish6_TimeLeft,938.118
Type,RT
FishN,14
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.137
Pond10Fish7_PondTime,62.437
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,207
Pond10Fish7_TimeLeft,927.171
Type,RT
FishN,14
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.045
Pond10Fish8_PondTime,74.803
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,217
Pond10Fish8_TimeLeft,914.805
Type,RT
FishN,14
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.009
Pond10Fish9_PondTime,89.161
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,227
Pond10Fish9_TimeLeft,900.447
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.563
PondTime,106.344
TimeLeft,882.755
PondOutcome,90
TotalOutcome,227
PondStart,PondStart
PondIntroTime,10.487970816902816
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.062
Pond11Fish1_PondTime,8.903
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,238
Pond11Fish1_TimeLeft,862.446
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.008
Pond11Fish2_PondTime,16.324
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,249
Pond11Fish2_TimeLeft,855.025
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.913
Pond11Fish3_PondTime,24.146
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,260
Pond11Fish3_TimeLeft,847.203
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.978
Pond11Fish4_PondTime,32.505
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,271
Pond11Fish4_TimeLeft,838.844
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.045
Pond11Fish5_PondTime,41.533
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,282
Pond11Fish5_TimeLeft,829.815
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.14
Pond11Fish6_PondTime,51.413
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,293
Pond11Fish6_TimeLeft,819.936
Type,N
FishN,15
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.315
Pond11Fish7_PondTime,62.359
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,304
Pond11Fish7_TimeLeft,808.99
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,2.107
PondTime,63.99
TimeLeft,806.831
PondOutcome,77
TotalOutcome,304
PondStart,PondStart
PondIntroTime,17.478179913014174
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.124
Pond3Fish1_PondTime,8.041
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,315
Pond3Fish1_TimeLeft,780.66
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.286
Pond3Fish2_PondTime,14.453
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,326
Pond3Fish2_TimeLeft,774.247
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.896
Pond3Fish3_PondTime,21.121
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,337
Pond3Fish3_TimeLeft,767.58
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.135
Pond3Fish4_PondTime,28.096
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,348
Pond3Fish4_TimeLeft,760.605
PondEnd_LastFish,4
FishN,17
Type,N
GiveUpTime,0.716
PondTime,35.425
TimeLeft,752.763
PondOutcome,44
TotalOutcome,348
PondStart,PondStart
PondIntroTime,16.376232740003616
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.127
Pond2Fish1_PondTime,9.441
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,350
Pond2Fish1_TimeLeft,726.042
PondEnd_LastFish,1
FishN,13
Type,RD
GiveUpTime,1.054
PondTime,9.804
TimeLeft,725.167
PondOutcome,2
TotalOutcome,350
PondStart,PondStart
PondIntroTime,10.353878440801054
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.889
Pond7Fish1_PondTime,10.552
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,361
Pond7Fish1_TimeLeft,701.433
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.039
Pond7Fish2_PondTime,18.948
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,372
Pond7Fish2_TimeLeft,693.037
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,2.008
Pond7Fish3_PondTime,28.047
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,383
Pond7Fish3_TimeLeft,683.938
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.157
Pond7Fish4_PondTime,37.963
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,394
Pond7Fish4_TimeLeft,674.022
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.21
Pond7Fish5_PondTime,48.942
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,405
Pond7Fish5_TimeLeft,663.043
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.822
Pond7Fish6_PondTime,61.32
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,416
Pond7Fish6_TimeLeft,650.665
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.901
Pond7Fish7_PondTime,75.696
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,427
Pond7Fish7_TimeLeft,636.289
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.34
Pond7Fish8_PondTime,93.074
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,438
Pond7Fish8_TimeLeft,618.91
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,0.77
PondTime,93.387
TimeLeft,618.095
PondOutcome,88
TotalOutcome,438
PondStart,PondStart
PondIntroTime,11.15430410252884
Type,RT
FishN,18
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.035
Pond1Fish1_PondTime,8.737
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,448
Pond1Fish1_TimeLeft,594.059
Type,RT
FishN,18
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.124
Pond1Fish2_PondTime,15.127
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,458
Pond1Fish2_TimeLeft,587.669
Type,RT
FishN,18
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.8
Pond1Fish3_PondTime,21.797
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,468
Pond1Fish3_TimeLeft,580.999
Type,RT
FishN,18
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.852
Pond1Fish4_PondTime,28.83
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,488
Pond1Fish4_TimeLeft,573.965
Type,RT
FishN,18
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.632
Pond1Fish5_PondTime,36.271
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,498
Pond1Fish5_TimeLeft,566.525
Type,RT
FishN,18
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.948
Pond1Fish6_PondTime,44.117
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,508
Pond1Fish6_TimeLeft,558.679
Type,RT
FishN,18
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.942
Pond1Fish7_PondTime,52.487
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,518
Pond1Fish7_TimeLeft,550.309
Type,RT
FishN,18
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.019
Pond1Fish8_PondTime,61.555
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,528
Pond1Fish8_TimeLeft,541.241
Type,RT
FishN,18
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.099
Pond1Fish9_PondTime,71.427
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,538
Pond1Fish9_TimeLeft,531.369
Type,RT
FishN,18
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.031
Pond1Fish10_PondTime,84.774
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,548
Pond1Fish10_TimeLeft,518.021
Type,RT
FishN,18
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,1.394
Pond1Fish11_PondTime,99.014
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,558
Pond1Fish11_TimeLeft,503.782
Type,RT
FishN,18
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,0.82
Pond1Fish12_PondTime,113.961
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,568
Pond1Fish12_TimeLeft,488.835
Type,RT
FishN,18
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,1.852
Pond1Fish13_PondTime,131.502
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,578
Pond1Fish13_TimeLeft,471.293
Type,RT
FishN,18
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,15
Pond1Fish14_CatchTime,1.568
Pond1Fish14_PondTime,153.903
Pond1Fish14_PondOutcome,150
Pond1Fish14_TotalOutcome,588
Pond1Fish14_TimeLeft,448.893
Type,RT
FishN,18
Fish,15
Pond1Fish15_FishType,purple
Pond1Fish15_FishLatency,20
Pond1Fish15_CatchTime,-1
Pond1Fish15_PondTime,186.356
Pond1Fish15_PondOutcome,150
Pond1Fish15_TotalOutcome,588
Pond1Fish15_TimeLeft,416.44
Type,RT
FishN,18
Fish,16
Pond1Fish16_FishType,purple
Pond1Fish16_FishLatency,30
Pond1Fish16_CatchTime,1.833
Pond1Fish16_PondTime,248.88
Pond1Fish16_PondOutcome,160
Pond1Fish16_TotalOutcome,598
Pond1Fish16_TimeLeft,353.916
Type,RT
FishN,18
Fish,17
Pond1Fish17_FishType,purple
Pond1Fish17_FishLatency,60
Pond1Fish17_CatchTime,1.505
Pond1Fish17_PondTime,251.247
Pond1Fish17_PondOutcome,170
Pond1Fish17_TotalOutcome,608
Pond1Fish17_TimeLeft,351.548
PondEnd_LastFish,17
FishN,17
Type,RT
GiveUpTime,1.667
PondTime,252.619
TimeLeft,349.672
PondOutcome,170
TotalOutcome,608
PondStart,PondStart
PondIntroTime,14.335772315971553
Type,RD
FishN,18
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.106
Pond8Fish1_PondTime,8.68
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,620
Pond8Fish1_TimeLeft,325.95
Type,RD
FishN,18
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.051
Pond8Fish2_PondTime,15.681
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,632
Pond8Fish2_TimeLeft,318.948
Type,RD
FishN,18
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.059
Pond8Fish3_PondTime,23.046
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,644
Pond8Fish3_TimeLeft,311.584
Type,RD
FishN,18
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.858
Pond8Fish4_PondTime,30.895
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,656
Pond8Fish4_TimeLeft,303.735
Type,RD
FishN,18
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.162
Pond8Fish5_PondTime,39.267
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,668
Pond8Fish5_TimeLeft,295.363
Type,RD
FishN,18
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.14
Pond8Fish6_PondTime,48.338
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,680
Pond8Fish6_TimeLeft,286.292
Type,RD
FishN,18
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,58.302
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,680
Pond8Fish7_TimeLeft,276.328
Type,RD
FishN,18
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.264
Pond8Fish8_PondTime,69.281
Pond8Fish8_PondOutcome,84
Pond8Fish8_TotalOutcome,692
Pond8Fish8_TimeLeft,265.348
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.034
Pond8Fish9_PondTime,81.663
Pond8Fish9_PondOutcome,96
Pond8Fish9_TotalOutcome,704
Pond8Fish9_TimeLeft,252.967
Type,RD
FishN,18
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.044
Pond8Fish10_PondTime,96.045
Pond8Fish10_PondOutcome,108
Pond8Fish10_TotalOutcome,716
Pond8Fish10_TimeLeft,238.585
Type,RD
FishN,18
Fish,11
Pond8Fish11_FishType,gray
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,-1
Pond8Fish11_PondTime,113.479
Pond8Fish11_PondOutcome,108
Pond8Fish11_TotalOutcome,716
Pond8Fish11_TimeLeft,221.151
Type,RD
FishN,18
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,15
Pond8Fish12_CatchTime,1.641
Pond8Fish12_PondTime,135.95
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,728
Pond8Fish12_TimeLeft,198.68
Type,RD
FishN,18
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,20
Pond8Fish13_CatchTime,1.144
Pond8Fish13_PondTime,168.322
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,740
Pond8Fish13_TimeLeft,166.307
Type,RD
FishN,18
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,30
Pond8Fish14_CatchTime,1.092
Pond8Fish14_PondTime,230.71
Pond8Fish14_PondOutcome,144
Pond8Fish14_TotalOutcome,752
Pond8Fish14_TimeLeft,103.92
Type,RD
FishN,18
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,60
Pond8Fish15_CatchTime,1.076
Pond8Fish15_PondTime,233.097
Pond8Fish15_PondOutcome,156
Pond8Fish15_TotalOutcome,764
Pond8Fish15_TimeLeft,101.533
