,5c04e3a04e1b7b00016ad9a3
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,144
Pond6Fish12_TimeLeft,1094.057
Type,RD
FishN,15
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.401
Pond6Fish13_PondTime,125.717
Pond6Fish13_PondOutcome,156
Pond6Fish13_TotalOutcome,156
Pond6Fish13_TimeLeft,1076.679
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.256
PondTime,126.583
TimeLeft,1075.311
PondOutcome,156
TotalOutcome,156
PondStart,PondStart
PondIntroTime,12.553672846406698
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,0.91
Pond4Fish1_PondTime,7.808
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,176
Pond4Fish1_TimeLeft,1054.324
Type,RT
FishN,19
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.058
Pond4Fish2_PondTime,13.94
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,186
Pond4Fish2_TimeLeft,1048.192
Type,RT
FishN,19
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,0.729
Pond4Fish3_PondTime,20.341
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,196
Pond4Fish3_TimeLeft,1041.791
Type,RT
FishN,19
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.935
Pond4Fish4_PondTime,26.999
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,206
Pond4Fish4_TimeLeft,1035.133
Type,RT
FishN,19
Fish,5
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.784
Pond4Fish5_PondTime,33.992
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,226
Pond4Fish5_TimeLeft,1028.139
Type,RT
FishN,19
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.023
Pond4Fish6_PondTime,41.366
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,236
Pond4Fish6_TimeLeft,1020.766
Type,RT
FishN,19
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.733
Pond4Fish7_PondTime,49.201
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,246
Pond4Fish7_TimeLeft,1012.931
Type,RT
FishN,19
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.742
Pond4Fish8_PondTime,57.585
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,256
Pond4Fish8_TimeLeft,1004.547
Type,RT
FishN,19
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.171
Pond4Fish9_PondTime,66.634
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,266
Pond4Fish9_TimeLeft,995.498
Type,RT
FishN,19
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,0.76
Pond4Fish10_PondTime,76.525
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,276
Pond4Fish10_TimeLeft,985.607
Type,RT
FishN,19
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,1.035
Pond4Fish11_PondTime,87.491
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,286
Pond4Fish11_TimeLeft,974.641
Type,RT
FishN,19
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.154
Pond4Fish12_PondTime,99.878
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,296
Pond4Fish12_TimeLeft,962.254
Type,RT
FishN,19
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,0.899
Pond4Fish13_PondTime,114.267
Pond4Fish13_PondOutcome,150
Pond4Fish13_TotalOutcome,306
Pond4Fish13_TimeLeft,947.865
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,1.308
PondTime,114.671
TimeLeft,946.952
PondOutcome,150
TotalOutcome,306
PondStart,PondStart
PondIntroTime,12.71889931987971
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.76
Pond3Fish1_PondTime,7.9
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,317
Pond3Fish1_TimeLeft,925.717
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.968
Pond3Fish2_PondTime,14.019
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,328
Pond3Fish2_TimeLeft,919.598
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.145
Pond3Fish3_PondTime,20.395
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,339
Pond3Fish3_TimeLeft,913.222
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.815
Pond3Fish4_PondTime,27.06
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,350
Pond3Fish4_TimeLeft,906.557
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.008
Pond3Fish5_PondTime,34.033
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,361
Pond3Fish5_TimeLeft,899.584
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.049
Pond3Fish6_PondTime,41.409
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,372
Pond3Fish6_TimeLeft,892.208
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.968
Pond3Fish7_PondTime,49.256
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,383
Pond3Fish7_TimeLeft,884.361
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.031
Pond3Fish8_PondTime,57.659
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,394
Pond3Fish8_TimeLeft,875.958
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.363
Pond3Fish9_PondTime,66.742
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,405
Pond3Fish9_TimeLeft,866.875
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.01
Pond3Fish10_PondTime,76.626
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,416
Pond3Fish10_TimeLeft,856.991
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.25
Pond3Fish11_PondTime,87.592
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,427
Pond3Fish11_TimeLeft,846.025
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.738
Pond3Fish12_PondTime,100.032
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,438
Pond3Fish12_TimeLeft,833.585
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,1.112
PondTime,101.043
TimeLeft,832.072
PondOutcome,132
TotalOutcome,438
PondStart,PondStart
PondIntroTime,18.76322119962424
Type,RT
FishN,14
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.517
Pond10Fish1_PondTime,8.559
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,448
Pond10Fish1_TimeLeft,804.141
Type,RT
FishN,14
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.351
Pond10Fish2_PondTime,15.559
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,458
Pond10Fish2_TimeLeft,797.141
Type,RT
FishN,14
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.133
Pond10Fish3_PondTime,22.959
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,478
Pond10Fish3_TimeLeft,789.741
Type,RT
FishN,14
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.852
Pond10Fish4_PondTime,30.809
Pond10Fish4_PondOutcome,60
Pond10Fish4_TotalOutcome,498
Pond10Fish4_TimeLeft,781.891
Type,RT
FishN,14
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.717
Pond10Fish5_PondTime,39.232
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,508
Pond10Fish5_TimeLeft,773.468
Type,RT
FishN,14
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.116
Pond10Fish6_PondTime,48.264
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,518
Pond10Fish6_TimeLeft,764.436
Type,RT
FishN,14
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.039
Pond10Fish7_PondTime,58.174
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,528
Pond10Fish7_TimeLeft,754.526
Type,RT
FishN,14
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.174
Pond10Fish8_PondTime,69.12
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,538
Pond10Fish8_TimeLeft,743.58
Type,RT
FishN,14
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,0.631
Pond10Fish9_PondTime,81.486
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,548
Pond10Fish9_TimeLeft,731.214
Type,RT
FishN,14
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.946
Pond10Fish10_PondTime,95.849
Pond10Fish10_PondOutcome,130
Pond10Fish10_TotalOutcome,568
Pond10Fish10_TimeLeft,716.851
Type,RT
FishN,14
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,0.787
Pond10Fish11_PondTime,113.216
Pond10Fish11_PondOutcome,140
Pond10Fish11_TotalOutcome,578
Pond10Fish11_TimeLeft,699.484
Type,RT
FishN,14
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,1.092
Pond10Fish12_PondTime,135.593
Pond10Fish12_PondOutcome,150
Pond10Fish12_TotalOutcome,588
Pond10Fish12_TimeLeft,677.107
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,22.557
PondTime,157.438
TimeLeft,654.76
PondOutcome,150
TotalOutcome,588
PondStart,PondStart
PondIntroTime,19.45607845671475
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.754
Pond5Fish1_PondTime,7.802
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,598
Pond5Fish1_TimeLeft,626.882
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.998
Pond5Fish2_PondTime,13.941
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,608
Pond5Fish2_TimeLeft,620.743
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.519
Pond5Fish3_PondTime,20.317
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,618
Pond5Fish3_TimeLeft,614.367
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.22
Pond5Fish4_PondTime,26.984
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,628
Pond5Fish4_TimeLeft,607.7
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.719
Pond5Fish5_PondTime,33.999
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,638
Pond5Fish5_TimeLeft,600.685
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.203
Pond5Fish6_PondTime,41.384
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,658
Pond5Fish6_TimeLeft,593.3
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.1
Pond5Fish7_PondTime,49.216
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,668
Pond5Fish7_TimeLeft,585.468
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.959
Pond5Fish8_PondTime,57.581
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,678
Pond5Fish8_TimeLeft,577.103
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.507
Pond5Fish9_PondTime,66.617
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,688
Pond5Fish9_TimeLeft,568.067
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.247
Pond5Fish10_PondTime,76.486
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,698
Pond5Fish10_TimeLeft,558.198
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.459
Pond5Fish11_PondTime,87.417
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,708
Pond5Fish11_TimeLeft,547.267
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.108
Pond5Fish12_PondTime,99.784
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,718
Pond5Fish12_TimeLeft,534.9
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,-1
Pond5Fish13_PondTime,114.216
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,718
Pond5Fish13_TimeLeft,520.468
Type,RT
FishN,12
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.3
Pond5Fish14_PondTime,131.601
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,728
Pond5Fish14_TimeLeft,503.083
Type,RT
FishN,12
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,15
Pond5Fish15_CatchTime,1.589
Pond5Fish15_PondTime,153.967
Pond5Fish15_PondOutcome,150
Pond5Fish15_TotalOutcome,738
Pond5Fish15_TimeLeft,480.717
PondEnd_LastFish,15
FishN,18
Type,RT
GiveUpTime,0.818
PondTime,154.583
TimeLeft,479.599
PondOutcome,150
TotalOutcome,738
PondStart,PondStart
PondIntroTime,12.71375515498221
Type,RD
FishN,18
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.901
Pond8Fish1_PondTime,8.153
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,750
Pond8Fish1_TimeLeft,458.098
Type,RD
FishN,18
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.296
Pond8Fish2_PondTime,14.067
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,762
Pond8Fish2_TimeLeft,452.184
Type,RD
FishN,18
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.163
Pond8Fish3_PondTime,20.193
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,774
Pond8Fish3_TimeLeft,446.058
Type,RD
FishN,18
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.755
Pond8Fish4_PondTime,26.564
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,786
Pond8Fish4_TimeLeft,439.687
Type,RD
FishN,18
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.793
Pond8Fish5_PondTime,33.219
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,798
Pond8Fish5_TimeLeft,433.032
Type,RD
FishN,18
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.099
Pond8Fish6_PondTime,40.201
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,800
Pond8Fish6_TimeLeft,426.05
Type,RD
FishN,18
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.051
Pond8Fish7_PondTime,47.584
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,812
Pond8Fish7_TimeLeft,418.667
Type,RD
FishN,18
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.986
Pond8Fish8_PondTime,55.418
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,824
Pond8Fish8_TimeLeft,410.833
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.058
Pond8Fish9_PondTime,63.786
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,836
Pond8Fish9_TimeLeft,402.465
Type,RD
FishN,18
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.241
Pond8Fish10_PondTime,72.818
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,848
Pond8Fish10_TimeLeft,393.433
Type,RD
FishN,18
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,0.972
Pond8Fish11_PondTime,82.685
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,860
Pond8Fish11_TimeLeft,383.566
Type,RD
FishN,18
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,0.968
Pond8Fish12_PondTime,93.619
Pond8Fish12_PondOutcome,134
Pond8Fish12_TotalOutcome,872
Pond8Fish12_TimeLeft,372.632
Type,RD
FishN,18
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,-1
Pond8Fish13_PondTime,106.053
Pond8Fish13_PondOutcome,134
Pond8Fish13_TotalOutcome,872
Pond8Fish13_TimeLeft,360.198
Type,RD
FishN,18
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.174
Pond8Fish14_PondTime,120.462
Pond8Fish14_PondOutcome,146
Pond8Fish14_TotalOutcome,884
Pond8Fish14_TimeLeft,345.789
Type,RD
FishN,18
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.078
Pond8Fish15_PondTime,137.82
Pond8Fish15_PondOutcome,158
Pond8Fish15_TotalOutcome,896
Pond8Fish15_TimeLeft,328.431
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,1.9
PondTime,138.998
TimeLeft,326.751
PondOutcome,158
TotalOutcome,896
PondStart,PondStart
PondIntroTime,10.555748140905052
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.346
Pond1Fish1_PondTime,9.732
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,907
Pond1Fish1_TimeLeft,305.85
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.075
Pond1Fish2_PondTime,18.098
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,918
Pond1Fish2_TimeLeft,297.484
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.095
Pond1Fish3_PondTime,27.15
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,929
Pond1Fish3_TimeLeft,288.432
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.086
Pond1Fish4_PondTime,37.016
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,940
Pond1Fish4_TimeLeft,278.566
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.093
