,5e221ddf262a5b4f6368bb0e
Pond9Fish6_TotalOutcome,85
Pond9Fish6_TimeLeft,1117.168
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.731
Pond9Fish7_PondTime,49.367
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,96
Pond9Fish7_TimeLeft,1109.309
PondEnd_LastFish,7
FishN,18
Type,N
GiveUpTime,1.265
PondTime,50.53
TimeLeft,1107.643
PondOutcome,66
TotalOutcome,96
PondStart,PondStart
PondIntroTime,14.844165691174567
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.619
Pond4Fish1_PondTime,8.896
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,106
Pond4Fish1_TimeLeft,1083.263
Type,RT
FishN,19
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.323
Pond4Fish2_PondTime,16.269
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,116
Pond4Fish2_TimeLeft,1075.89
PondEnd_LastFish,2
FishN,14
Type,RT
GiveUpTime,1.418
PondTime,17.212
TimeLeft,1074.444
PondOutcome,20
TotalOutcome,116
PondStart,PondStart
PondIntroTime,11.768919264432043
Type,RT
FishN,18
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.316
Pond8Fish1_PondTime,9.285
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,126
Pond8Fish1_TimeLeft,1052.761
Type,RT
FishN,18
Fish,2
Pond8Fish2_FishType,golden
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.48
Pond8Fish2_PondTime,17.099
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,146
Pond8Fish2_TimeLeft,1044.947
Type,RT
FishN,18
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.353
Pond8Fish3_PondTime,25.477
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,156
Pond8Fish3_TimeLeft,1036.569
Type,RT
FishN,18
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.442
Pond8Fish4_PondTime,34.502
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,166
Pond8Fish4_TimeLeft,1027.544
Type,RT
FishN,18
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.508
Pond8Fish5_PondTime,44.372
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,176
Pond8Fish5_TimeLeft,1017.674
Type,RT
FishN,18
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.204
Pond8Fish6_PondTime,55.315
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,186
Pond8Fish6_TimeLeft,1006.73
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,1.456
PondTime,56.191
TimeLeft,1005.35
PondOutcome,70
TotalOutcome,186
PondStart,PondStart
PondIntroTime,11.666738947387785
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.612
Pond5Fish1_PondTime,9.269
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,197
Pond5Fish1_TimeLeft,983.77
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.692
Pond5Fish2_PondTime,17.079
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,208
Pond5Fish2_TimeLeft,975.96
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.496
Pond5Fish3_PondTime,25.44
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,219
Pond5Fish3_TimeLeft,967.599
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.355
Pond5Fish4_PondTime,34.464
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,230
Pond5Fish4_TimeLeft,958.575
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.74
Pond5Fish5_PondTime,44.4
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,241
Pond5Fish5_TimeLeft,948.639
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.332
Pond5Fish6_PondTime,55.348
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,252
Pond5Fish6_TimeLeft,937.691
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,1.226
PondTime,56.106
TimeLeft,936.429
PondOutcome,66
TotalOutcome,252
PondStart,PondStart
PondIntroTime,18.02180411759764
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.196
Pond7Fish1_PondTime,7.805
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,262
Pond7Fish1_TimeLeft,909.99
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.416
Pond7Fish2_PondTime,13.936
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,272
Pond7Fish2_TimeLeft,903.859
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.159
Pond7Fish3_PondTime,20.311
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,292
Pond7Fish3_TimeLeft,897.483
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.053
Pond7Fish4_PondTime,26.957
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,302
Pond7Fish4_TimeLeft,890.838
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.901
Pond7Fish5_PondTime,33.948
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,312
Pond7Fish5_TimeLeft,883.847
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.013
Pond7Fish6_PondTime,41.316
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,322
Pond7Fish6_TimeLeft,876.479
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.446
Pond7Fish7_PondTime,49.143
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,332
Pond7Fish7_TimeLeft,868.651
PondEnd_LastFish,7
FishN,18
Type,RT
GiveUpTime,1.087
PondTime,49.877
TimeLeft,867.415
PondOutcome,80
TotalOutcome,332
PondStart,PondStart
PondIntroTime,10.169076377060264
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.137
Pond1Fish1_PondTime,8.292
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,343
Pond1Fish1_TimeLeft,848.325
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.333
Pond1Fish2_PondTime,14.935
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,354
Pond1Fish2_TimeLeft,841.682
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.917
Pond1Fish3_PondTime,21.914
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,365
Pond1Fish3_TimeLeft,834.703
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.612
Pond1Fish4_PondTime,29.291
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,376
Pond1Fish4_TimeLeft,827.326
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.058
Pond1Fish5_PondTime,37.123
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,387
Pond1Fish5_TimeLeft,819.494
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.521
Pond1Fish6_PondTime,45.483
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,398
Pond1Fish6_TimeLeft,811.134
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,0.917
PondTime,46.124
TimeLeft,809.989
PondOutcome,66
TotalOutcome,398
PondStart,PondStart
PondIntroTime,11.25581887550652
Type,N
FishN,18
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.117
Pond2Fish1_PondTime,7.605
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,409
Pond2Fish1_TimeLeft,790.487
Type,N
FishN,18
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.172
Pond2Fish2_PondTime,13.504
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,420
Pond2Fish2_TimeLeft,784.588
Type,N
FishN,18
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.292
Pond2Fish3_PondTime,19.61
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,431
Pond2Fish3_TimeLeft,778.482
Type,N
FishN,18
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.204
Pond2Fish4_PondTime,25.981
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,442
Pond2Fish4_TimeLeft,772.111
Type,N
FishN,18
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.375
Pond2Fish5_PondTime,32.644
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,453
Pond2Fish5_TimeLeft,765.448
Type,N
FishN,18
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,0.963
Pond2Fish6_PondTime,39.622
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,464
Pond2Fish6_TimeLeft,758.47
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.949
PondTime,39.733
TimeLeft,757.856
PondOutcome,66
TotalOutcome,464
PondStart,PondStart
PondIntroTime,14.07576666912064
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.15
Pond11Fish1_PondTime,8.901
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,475
Pond11Fish1_TimeLeft,734.258
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.805
Pond11Fish2_PondTime,16.398
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,486
Pond11Fish2_TimeLeft,726.761
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.3
Pond11Fish3_PondTime,24.227
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,497
Pond11Fish3_TimeLeft,718.932
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.246
Pond11Fish4_PondTime,32.592
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,508
Pond11Fish4_TimeLeft,710.567
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.42
Pond11Fish5_PondTime,41.616
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,519
Pond11Fish5_TimeLeft,701.543
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.443
Pond11Fish6_PondTime,51.477
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,530
Pond11Fish6_TimeLeft,691.682
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.893
PondTime,52.016
TimeLeft,690.641
PondOutcome,66
TotalOutcome,530
PondStart,PondStart
PondIntroTime,19.870118896942586
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.049
Pond3Fish1_PondTime,8.902
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,542
Pond3Fish1_TimeLeft,661.243
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.235
Pond3Fish2_PondTime,16.273
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,554
Pond3Fish2_TimeLeft,653.872
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.108
Pond3Fish3_PondTime,24.095
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,566
Pond3Fish3_TimeLeft,646.05
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.265
Pond3Fish4_PondTime,32.46
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,578
Pond3Fish4_TimeLeft,637.685
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,2.008
Pond3Fish5_PondTime,41.545
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,590
Pond3Fish5_TimeLeft,628.6
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.091
Pond3Fish6_PondTime,51.413
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,602
Pond3Fish6_TimeLeft,618.732
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.092
Pond3Fish7_PondTime,62.341
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,614
Pond3Fish7_TimeLeft,607.803
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.312
Pond3Fish8_PondTime,74.719
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,616
Pond3Fish8_TimeLeft,595.425
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,3.448
PondTime,77.69
TimeLeft,591.953
PondOutcome,86
TotalOutcome,616
PondStart,PondStart
PondIntroTime,15.972777137067169
Type,RD
FishN,18
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.301
Pond12Fish1_PondTime,8.894
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,628
Pond12Fish1_TimeLeft,566.445
Type,RD
FishN,18
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.254
Pond12Fish2_PondTime,16.263
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,640
Pond12Fish2_TimeLeft,559.076
Type,RD
FishN,18
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.971
Pond12Fish3_PondTime,24.077
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,652
Pond12Fish3_TimeLeft,551.262
Type,RD
FishN,18
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.167
Pond12Fish4_PondTime,32.437
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,664
Pond12Fish4_TimeLeft,542.902
Type,RD
FishN,18
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.999
Pond12Fish5_PondTime,41.468
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,676
Pond12Fish5_TimeLeft,533.871
PondEnd_LastFish,5
FishN,14
Type,RD
GiveUpTime,0.722
PondTime,51.217
TimeLeft,523.619
PondOutcome,60
TotalOutcome,676
PondStart,PondStart
PondIntroTime,11.613817776087672
Type,N
FishN,15
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.449
Pond6Fish1_PondTime,8.889
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,687
Pond6Fish1_TimeLeft,502.489
Type,N
FishN,15
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.916
Pond6Fish2_PondTime,16.473
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,698
Pond6Fish2_TimeLeft,494.905
Type,N
FishN,15
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.101
Pond6Fish3_PondTime,24.294
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,709
Pond6Fish3_TimeLeft,487.084
Type,N
FishN,15
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.431
Pond6Fish4_PondTime,32.662
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,720
Pond6Fish4_TimeLeft,478.716
Type,N
FishN,15
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.189
Pond6Fish5_PondTime,41.69
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,731
Pond6Fish5_TimeLeft,469.688
Type,N
FishN,15
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.102
Pond6Fish6_PondTime,51.554
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,742
Pond6Fish6_TimeLeft,459.824
Type,N
FishN,15
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.347
Pond6Fish7_PondTime,62.499
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,753
Pond6Fish7_TimeLeft,448.879
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,0.772
PondTime,62.829
TimeLeft,448.044
PondOutcome,77
TotalOutcome,753
PondStart,PondStart
PondIntroTime,13.905616856645793
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.301
Pond9Fish1_PondTime,8.267
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,763
Pond9Fish1_TimeLeft,425.256
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.266
Pond9Fish2_PondTime,14.918
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,783
Pond9Fish2_TimeLeft,418.605
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.075
Pond9Fish3_PondTime,21.909
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,793
Pond9Fish3_TimeLeft,411.614
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.064
Pond9Fish4_PondTime,29.278
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,803
Pond9Fish4_TimeLeft,404.245
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.451
Pond9Fish5_PondTime,37.1
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,813
Pond9Fish5_TimeLeft,396.423
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.962
Pond9Fish6_PondTime,45.48
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,823
Pond9Fish6_TimeLeft,388.043
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.312
Pond9Fish7_PondTime,54.522
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,833
Pond9Fish7_TimeLeft,379.001
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,0.952
PondTime,55.009
TimeLeft,378.01
PondOutcome,80
TotalOutcome,833
PondStart,PondStart
PondIntroTime,19.767863154411316
Type,RT
FishN,18
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.225
Pond12Fish1_PondTime,7.814
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,843
Pond12Fish1_TimeLeft,349.788
Type,RT
FishN,18
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.609
Pond12Fish2_PondTime,13.92
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,853
Pond12Fish2_TimeLeft,343.682
Type,RT
FishN,18
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.359
