,5ccc3dd7a758ba00133c0763
Pond4Fish1_TotalOutcome,131
Pond4Fish1_TimeLeft,1056.641
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.85
Pond4Fish2_PondTime,13.668
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,142
Pond4Fish2_TimeLeft,1050.574
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.902
Pond4Fish3_PondTime,19.787
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,153
Pond4Fish3_TimeLeft,1044.455
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.964
Pond4Fish4_PondTime,26.151
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,164
Pond4Fish4_TimeLeft,1038.091
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.074
Pond4Fish5_PondTime,32.802
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,175
Pond4Fish5_TimeLeft,1031.44
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.003
Pond4Fish6_PondTime,39.784
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,186
Pond4Fish6_TimeLeft,1024.458
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.14
Pond4Fish7_PondTime,47.152
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,197
Pond4Fish7_TimeLeft,1017.09
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.769
Pond4Fish8_PondTime,54.97
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,208
Pond4Fish8_TimeLeft,1009.272
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.885
Pond4Fish9_PondTime,63.338
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,219
Pond4Fish9_TimeLeft,1000.904
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.876
Pond4Fish10_PondTime,72.371
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,230
Pond4Fish10_TimeLeft,991.871
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.9
Pond4Fish11_PondTime,82.238
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,241
Pond4Fish11_TimeLeft,982.004
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.855
Pond4Fish12_PondTime,93.172
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,252
Pond4Fish12_TimeLeft,971.07
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.114
Pond4Fish13_PondTime,105.538
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,263
Pond4Fish13_TimeLeft,958.703
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,0.852
Pond4Fish14_PondTime,119.906
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,274
Pond4Fish14_TimeLeft,944.336
Type,N
FishN,19
Fish,15
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.095
Pond4Fish15_PondTime,137.276
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,285
Pond4Fish15_TimeLeft,926.966
Type,N
FishN,19
Fish,16
Pond4Fish16_FishType,green
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.227
Pond4Fish16_PondTime,159.643
Pond4Fish16_PondOutcome,176
Pond4Fish16_TotalOutcome,296
Pond4Fish16_TimeLeft,904.599
Type,N
FishN,19
Fish,17
Pond4Fish17_FishType,green
Pond4Fish17_FishLatency,20
Pond4Fish17_CatchTime,0.801
Pond4Fish17_PondTime,192.011
Pond4Fish17_PondOutcome,187
Pond4Fish17_TotalOutcome,307
Pond4Fish17_TimeLeft,872.231
PondEnd_LastFish,17
FishN,19
Type,N
GiveUpTime,40.103
PondTime,231.129
TimeLeft,832.611
PondOutcome,187
TotalOutcome,307
PondStart,PondStart
PondIntroTime,17.224921321030706
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.922
Pond1Fish1_PondTime,9.737
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,318
Pond1Fish1_TimeLeft,805.025
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.941
Pond1Fish2_PondTime,18.103
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,329
Pond1Fish2_TimeLeft,796.659
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.04
Pond1Fish3_PondTime,27.137
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,340
Pond1Fish3_TimeLeft,787.625
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.85
Pond1Fish4_PondTime,37.003
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,351
Pond1Fish4_TimeLeft,777.759
PondEnd_LastFish,4
FishN,12
Type,N
GiveUpTime,0.788
PondTime,47.874
TimeLeft,766.385
PondOutcome,44
TotalOutcome,351
PondStart,PondStart
PondIntroTime,15.680418845731765
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.79
Pond12Fish1_PondTime,8.901
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,362
Pond12Fish1_TimeLeft,741.19
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.923
Pond12Fish2_PondTime,16.268
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,373
Pond12Fish2_TimeLeft,733.823
Type,N
FishN,18
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.836
Pond12Fish3_PondTime,24.086
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,384
Pond12Fish3_TimeLeft,726.005
Type,N
FishN,18
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.268
Pond12Fish4_PondTime,32.455
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,395
Pond12Fish4_TimeLeft,717.636
Type,N
FishN,18
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.301
Pond12Fish5_PondTime,41.487
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,406
Pond12Fish5_TimeLeft,708.604
Type,N
FishN,18
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.19
Pond12Fish6_PondTime,51.356
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,417
Pond12Fish6_TimeLeft,698.735
Type,N
FishN,18
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.868
Pond12Fish7_PondTime,62.473
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,428
Pond12Fish7_TimeLeft,687.618
Type,N
FishN,18
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.076
Pond12Fish8_PondTime,74.839
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,439
Pond12Fish8_TimeLeft,675.252
Type,N
FishN,18
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.279
Pond12Fish9_PondTime,89.207
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,450
Pond12Fish9_TimeLeft,660.884
Type,N
FishN,18
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.31
Pond12Fish10_PondTime,106.575
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,461
Pond12Fish10_TimeLeft,643.516
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,13.566
PondTime,119.656
TimeLeft,629.931
PondOutcome,110
TotalOutcome,461
PondStart,PondStart
PondIntroTime,11.420910896267742
Type,RT
FishN,18
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.821
Pond8Fish1_PondTime,8.401
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,471
Pond8Fish1_TimeLeft,609.481
Type,RT
FishN,18
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.93
Pond8Fish2_PondTime,15.053
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,481
Pond8Fish2_TimeLeft,602.829
Type,RT
FishN,18
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.83
Pond8Fish3_PondTime,22.036
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,491
Pond8Fish3_TimeLeft,595.846
Type,RT
FishN,18
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.404
Pond8Fish4_PondTime,29.404
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,501
Pond8Fish4_TimeLeft,588.478
Type,RT
FishN,18
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.675
Pond8Fish5_PondTime,37.22
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,511
Pond8Fish5_TimeLeft,580.662
Type,RT
FishN,18
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,45.652
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,511
Pond8Fish6_TimeLeft,572.23
Type,RT
FishN,18
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.263
Pond8Fish7_PondTime,54.687
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,521
Pond8Fish7_TimeLeft,563.194
Type,RT
FishN,18
Fish,8
Pond8Fish8_FishType,golden
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.05
Pond8Fish8_PondTime,64.555
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,541
Pond8Fish8_TimeLeft,553.326
Type,RT
FishN,18
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,75.555
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,541
Pond8Fish9_TimeLeft,542.327
Type,RT
FishN,18
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,1.182
Pond8Fish10_PondTime,87.923
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,551
Pond8Fish10_TimeLeft,529.959
Type,RT
FishN,18
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,-1
Pond8Fish11_PondTime,102.357
Pond8Fish11_PondOutcome,90
Pond8Fish11_TotalOutcome,551
Pond8Fish11_TimeLeft,515.525
Type,RT
FishN,18
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,0.771
Pond8Fish12_PondTime,119.726
Pond8Fish12_PondOutcome,100
Pond8Fish12_TotalOutcome,561
Pond8Fish12_TimeLeft,498.156
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,11.902
PondTime,130.609
TimeLeft,486.771
PondOutcome,100
TotalOutcome,561
PondStart,PondStart
PondIntroTime,16.67094328906387
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.884
Pond9Fish1_PondTime,8.553
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,581
Pond9Fish1_TimeLeft,460.92
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.357
Pond9Fish2_PondTime,15.536
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,591
Pond9Fish2_TimeLeft,453.937
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.959
Pond9Fish3_PondTime,22.903
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,601
Pond9Fish3_TimeLeft,446.57
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.058
Pond9Fish4_PondTime,30.721
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,611
Pond9Fish4_TimeLeft,438.751
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.181
Pond9Fish5_PondTime,39.088
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,621
Pond9Fish5_TimeLeft,430.385
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,48.169
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,621
Pond9Fish6_TimeLeft,421.304
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.775
Pond9Fish7_PondTime,58.038
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,631
Pond9Fish7_TimeLeft,411.435
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,1.538
PondTime,58.557
TimeLeft,410.415
PondOutcome,70
TotalOutcome,631
PondStart,PondStart
PondIntroTime,13.373684724792838
Type,RD
FishN,14
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,8.068
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,631
Pond10Fish1_TimeLeft,388.351
Type,RD
FishN,14
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.226
Pond10Fish2_PondTime,14.436
Pond10Fish2_PondOutcome,12
Pond10Fish2_TotalOutcome,643
Pond10Fish2_TimeLeft,381.983
Type,RD
FishN,14
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.806
Pond10Fish3_PondTime,21.086
Pond10Fish3_PondOutcome,14
Pond10Fish3_TotalOutcome,645
Pond10Fish3_TimeLeft,375.333
Type,RD
FishN,14
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.789
Pond10Fish4_PondTime,28.071
Pond10Fish4_PondOutcome,26
Pond10Fish4_TotalOutcome,657
Pond10Fish4_TimeLeft,368.348
Type,RD
FishN,14
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.545
Pond10Fish5_PondTime,35.436
Pond10Fish5_PondOutcome,38
Pond10Fish5_TotalOutcome,669
Pond10Fish5_TimeLeft,360.983
Type,RD
FishN,14
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.823
Pond10Fish6_PondTime,43.255
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,681
Pond10Fish6_TimeLeft,353.164
Type,RD
FishN,14
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.771
Pond10Fish7_PondTime,51.62
Pond10Fish7_PondOutcome,62
Pond10Fish7_TotalOutcome,693
Pond10Fish7_TimeLeft,344.799
Type,RD
FishN,14
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.887
Pond10Fish8_PondTime,60.655
Pond10Fish8_PondOutcome,74
Pond10Fish8_TotalOutcome,705
Pond10Fish8_TimeLeft,335.764
Type,RD
FishN,14
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.904
Pond10Fish9_PondTime,70.523
Pond10Fish9_PondOutcome,86
Pond10Fish9_TotalOutcome,717
Pond10Fish9_TimeLeft,325.896
Type,RD
FishN,14
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.825
Pond10Fish10_PondTime,81.457
Pond10Fish10_PondOutcome,98
Pond10Fish10_TotalOutcome,729
Pond10Fish10_TimeLeft,314.962
Type,RD
FishN,14
Fish,11
Pond10Fish11_FishType,gray
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.097
Pond10Fish11_PondTime,93.824
Pond10Fish11_PondOutcome,100
Pond10Fish11_TotalOutcome,731
Pond10Fish11_TimeLeft,302.595
Type,RD
FishN,14
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,0.911
Pond10Fish12_PondTime,108.191
Pond10Fish12_PondOutcome,112
Pond10Fish12_TotalOutcome,743
Pond10Fish12_TimeLeft,288.228
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,0.657
PondTime,125.215
TimeLeft,270.702
PondOutcome,112
TotalOutcome,743
PondStart,PondStart
PondIntroTime,13.835156462155282
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.629
Pond7Fish1_PondTime,8.268
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,763
Pond7Fish1_TimeLeft,247.975
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.702
Pond7Fish2_PondTime,14.919
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,773
Pond7Fish2_TimeLeft,241.323
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.883
Pond7Fish3_PondTime,21.904
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,783
Pond7Fish3_TimeLeft,234.339
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.888
Pond7Fish4_PondTime,29.271
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,793
Pond7Fish4_TimeLeft,226.972
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.742
Pond7Fish5_PondTime,37.088
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,803
Pond7Fish5_TimeLeft,219.155
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.891
Pond7Fish6_PondTime,45.455
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,813
Pond7Fish6_TimeLeft,210.788
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.965
Pond7Fish7_PondTime,54.488
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,823
Pond7Fish7_TimeLeft,201.755
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,golden
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.88
Pond7Fish8_PondTime,64.358
Pond7Fish8_PondOutcome,100
Pond7Fish8_TotalOutcome,843
Pond7Fish8_TimeLeft,191.885
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.946
Pond7Fish9_PondTime,75.291
Pond7Fish9_PondOutcome,110
Pond7Fish9_TotalOutcome,853
Pond7Fish9_TimeLeft,180.952
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.914
Pond7Fish10_PondTime,87.657
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,863
Pond7Fish10_TimeLeft,168.586
Type,RT
FishN,12
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.826
Pond7Fish11_PondTime,102.025
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,873
Pond7Fish11_TimeLeft,154.218
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,0.985
PondTime,102.04
TimeLeft,153.7
PondOutcome,130
TotalOutcome,873
PondStart,PondStart
PondIntroTime,13.136853051837534
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.3333333333333335
