,5dd9d2b6144b519668cabfc7
Pond12Fish8_TimeLeft,1120.231
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.535
Pond12Fish9_PondTime,99.564
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,90
Pond12Fish9_TimeLeft,1102.834
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,0.626
Pond12Fish10_PondTime,121.967
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,100
Pond12Fish10_TimeLeft,1080.431
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,2.469
PondTime,123.268
TimeLeft,1078.627
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,11.792754402849823
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.887
Pond5Fish1_PondTime,9.273
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,111
Pond5Fish1_TimeLeft,1056.939
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.077
Pond5Fish2_PondTime,17.114
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,122
Pond5Fish2_TimeLeft,1049.098
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.126
Pond5Fish3_PondTime,25.514
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,133
Pond5Fish3_TimeLeft,1040.698
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.883
Pond5Fish4_PondTime,34.581
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,144
Pond5Fish4_TimeLeft,1031.631
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.896
Pond5Fish5_PondTime,44.463
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,155
Pond5Fish5_TimeLeft,1021.749
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.889
Pond5Fish6_PondTime,55.432
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,166
Pond5Fish6_TimeLeft,1010.78
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.049
Pond5Fish7_PondTime,67.831
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,177
Pond5Fish7_TimeLeft,998.381
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.065
Pond5Fish8_PondTime,82.231
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,188
Pond5Fish8_TimeLeft,983.981
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.081
Pond5Fish9_PondTime,99.63
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,199
Pond5Fish9_TimeLeft,966.582
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,0.953
Pond5Fish10_PondTime,122.03
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,210
Pond5Fish10_TimeLeft,944.182
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,1.518
PondTime,122.713
TimeLeft,942.995
PondOutcome,110
TotalOutcome,210
PondStart,PondStart
PondIntroTime,16.09513028524816
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.047
Pond11Fish1_PondTime,8.916
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,220
Pond11Fish1_TimeLeft,917.366
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.985
Pond11Fish2_PondTime,16.317
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,230
Pond11Fish2_TimeLeft,909.965
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.933
Pond11Fish3_PondTime,24.17
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,240
Pond11Fish3_TimeLeft,902.112
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.71
Pond11Fish4_PondTime,32.566
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,250
Pond11Fish4_TimeLeft,893.716
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.723
Pond11Fish5_PondTime,41.633
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,260
Pond11Fish5_TimeLeft,884.649
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.906
Pond11Fish6_PondTime,51.498
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,270
Pond11Fish6_TimeLeft,874.784
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.226
Pond11Fish7_PondTime,62.467
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,290
Pond11Fish7_TimeLeft,863.815
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.138
Pond11Fish8_PondTime,74.869
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,300
Pond11Fish8_TimeLeft,851.413
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.102
Pond11Fish9_PondTime,89.261
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,310
Pond11Fish9_TimeLeft,837.021
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,golden
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,0.939
Pond11Fish10_PondTime,106.648
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,330
Pond11Fish10_TimeLeft,819.634
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,1.131
Pond11Fish11_PondTime,129.049
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,340
Pond11Fish11_TimeLeft,797.232
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,20
Pond11Fish12_CatchTime,1.418
Pond11Fish12_PondTime,161.45
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,350
Pond11Fish12_TimeLeft,764.832
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,2.18
PondTime,163.245
TimeLeft,762.533
PondOutcome,140
TotalOutcome,350
PondStart,PondStart
PondIntroTime,13.174750450998545
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.146
Pond8Fish1_PondTime,8.933
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,360
Pond8Fish1_TimeLeft,739.798
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.802
Pond8Fish2_PondTime,16.33
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,370
Pond8Fish2_TimeLeft,732.401
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.248
Pond8Fish3_PondTime,24.164
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,380
Pond8Fish3_TimeLeft,724.567
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.125
Pond8Fish4_PondTime,32.528
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,390
Pond8Fish4_TimeLeft,716.203
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.535
Pond8Fish5_PondTime,41.58
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,400
Pond8Fish5_TimeLeft,707.151
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,golden
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.844
Pond8Fish6_PondTime,51.465
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,420
Pond8Fish6_TimeLeft,697.266
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.195
Pond8Fish7_PondTime,62.426
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,430
Pond8Fish7_TimeLeft,686.305
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.109
Pond8Fish8_PondTime,74.83
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,440
Pond8Fish8_TimeLeft,673.9
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.19
Pond8Fish9_PondTime,89.23
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,450
Pond8Fish9_TimeLeft,659.501
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.102
Pond8Fish10_PondTime,106.632
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,460
Pond8Fish10_TimeLeft,642.099
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.141
Pond8Fish11_PondTime,129.031
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,470
Pond8Fish11_TimeLeft,619.7
Type,RT
FishN,17
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,20
Pond8Fish12_CatchTime,1.284
Pond8Fish12_PondTime,161.431
Pond8Fish12_PondOutcome,130
Pond8Fish12_TotalOutcome,480
Pond8Fish12_TimeLeft,587.3
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,0.74
PondTime,161.653
TimeLeft,586.575
PondOutcome,130
TotalOutcome,480
PondStart,PondStart
PondIntroTime,16.072584739886224
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.023
Pond2Fish1_PondTime,8.934
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,490
Pond2Fish1_TimeLeft,560.951
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.109
Pond2Fish2_PondTime,16.327
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,500
Pond2Fish2_TimeLeft,553.558
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.997
Pond2Fish3_PondTime,24.184
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,510
Pond2Fish3_TimeLeft,545.701
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.943
Pond2Fish4_PondTime,32.566
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,520
Pond2Fish4_TimeLeft,537.319
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.788
Pond2Fish5_PondTime,41.633
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,530
Pond2Fish5_TimeLeft,528.252
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.047
Pond2Fish6_PondTime,51.535
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,540
Pond2Fish6_TimeLeft,518.35
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.017
Pond2Fish7_PondTime,62.499
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,550
Pond2Fish7_TimeLeft,507.386
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.872
Pond2Fish8_PondTime,74.901
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,560
Pond2Fish8_TimeLeft,494.984
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,0.986
Pond2Fish9_PondTime,89.299
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,570
Pond2Fish9_TimeLeft,480.586
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,0.928
Pond2Fish10_PondTime,106.7
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,580
Pond2Fish10_TimeLeft,463.185
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,15
Pond2Fish11_CatchTime,1.147
Pond2Fish11_PondTime,129.081
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,590
Pond2Fish11_TimeLeft,440.804
PondEnd_LastFish,11
FishN,12
Type,RT
GiveUpTime,1.144
PondTime,129.574
TimeLeft,439.808
PondOutcome,110
TotalOutcome,590
PondStart,PondStart
PondIntroTime,15.095112035050988
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.985
Pond1Fish1_PondTime,8.285
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,602
Pond1Fish1_TimeLeft,415.8
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.004
Pond1Fish2_PondTime,14.968
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,614
Pond1Fish2_TimeLeft,409.117
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.933
Pond1Fish3_PondTime,21.984
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,626
Pond1Fish3_TimeLeft,402.101
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.886
Pond1Fish4_PondTime,29.383
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,638
Pond1Fish4_TimeLeft,394.701
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.803
Pond1Fish5_PondTime,37.232
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,650
Pond1Fish5_TimeLeft,386.852
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.924
Pond1Fish6_PondTime,45.632
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,662
Pond1Fish6_TimeLeft,378.453
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.86
Pond1Fish7_PondTime,54.681
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,674
Pond1Fish7_TimeLeft,369.404
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.861
Pond1Fish8_PondTime,64.583
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,686
Pond1Fish8_TimeLeft,359.502
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.047
Pond1Fish9_PondTime,75.548
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,688
Pond1Fish9_TimeLeft,348.537
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.846
Pond1Fish10_PondTime,87.948
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,700
Pond1Fish10_TimeLeft,336.137
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.176
Pond1Fish11_PondTime,102.348
Pond1Fish11_PondOutcome,122
Pond1Fish11_TotalOutcome,712
Pond1Fish11_TimeLeft,321.737
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,12
Pond1Fish12_CatchTime,1.033
Pond1Fish12_PondTime,119.746
Pond1Fish12_PondOutcome,134
Pond1Fish12_TotalOutcome,724
Pond1Fish12_TimeLeft,304.339
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,15
Pond1Fish13_CatchTime,0.918
Pond1Fish13_PondTime,142.149
Pond1Fish13_PondOutcome,146
Pond1Fish13_TotalOutcome,736
Pond1Fish13_TimeLeft,281.936
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,20
Pond1Fish14_CatchTime,0.919
Pond1Fish14_PondTime,174.55
Pond1Fish14_PondOutcome,158
Pond1Fish14_TotalOutcome,748
Pond1Fish14_TimeLeft,249.535
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.997
PondTime,174.677
TimeLeft,248.906
PondOutcome,158
TotalOutcome,748
PondStart,PondStart
PondIntroTime,15.133784681092948
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.042
Pond10Fish1_PondTime,7.83
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,760
Pond10Fish1_TimeLeft,225.324
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.176
Pond10Fish2_PondTime,13.966
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,772
Pond10Fish2_TimeLeft,219.188
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.866
Pond10Fish3_PondTime,20.35
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,784
Pond10Fish3_TimeLeft,212.804
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.218
Pond10Fish4_PondTime,27.013
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,796
Pond10Fish4_TimeLeft,206.141
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.87
Pond10Fish5_PondTime,34.017
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,808
Pond10Fish5_TimeLeft,199.137
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.898
Pond10Fish6_PondTime,41.413
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,820
Pond10Fish6_TimeLeft,191.741
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,gray
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.029
Pond10Fish7_PondTime,49.25
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,822
Pond10Fish7_TimeLeft,183.904
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,0.813
Pond10Fish8_PondTime,57.65
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,834
Pond10Fish8_TimeLeft,175.504
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,1.002
Pond10Fish9_PondTime,66.716
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,846
Pond10Fish9_TimeLeft,166.438
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.007
Pond10Fish10_PondTime,76.616
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,858
Pond10Fish10_TimeLeft,156.538
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,0.853
Pond10Fish11_PondTime,87.577
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,870
Pond10Fish11_TimeLeft,145.577
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.952
Pond10Fish12_PondTime,99.983
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,882
Pond10Fish12_TimeLeft,133.171
Type,RD
FishN,19
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,10
Pond10Fish13_CatchTime,0.928
Pond10Fish13_PondTime,114.385
Pond10Fish13_PondOutcome,146
Pond10Fish13_TotalOutcome,894
Pond10Fish13_TimeLeft,118.769
Type,RD
FishN,19
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,12
Pond10Fish14_CatchTime,1.013
Pond10Fish14_PondTime,131.778
Pond10Fish14_PondOutcome,158
Pond10Fish14_TotalOutcome,906
Pond10Fish14_TimeLeft,101.376
Type,RD
FishN,19
Fish,15
Pond10Fish15_FishType,gray
Pond10Fish15_FishLatency,15
Pond10Fish15_CatchTime,1.14
Pond10Fish15_PondTime,154.161
Pond10Fish15_PondOutcome,160
Pond10Fish15_TotalOutcome,908
Pond10Fish15_TimeLeft,78.993
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,0.732
PondTime,154.233
TimeLeft,78.419
PondOutcome,160
TotalOutcome,908
PondStart,PondStart
PondIntroTime,19.655932078603655
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
