,5de743d4efe1476cacd0365c
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.969
Pond6Fish8_PondTime,64.582
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,190
Pond6Fish8_TimeLeft,1028.759
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.039
Pond6Fish9_PondTime,75.514
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,200
Pond6Fish9_TimeLeft,1017.827
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,0.82
Pond6Fish10_PondTime,87.877
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,210
Pond6Fish10_TimeLeft,1005.464
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,0.725
Pond6Fish11_PondTime,102.24
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,220
Pond6Fish11_TimeLeft,991.101
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,12
Pond6Fish12_CatchTime,1.044
Pond6Fish12_PondTime,120.505
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,230
Pond6Fish12_TimeLeft,972.836
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.595
PondTime,144.156
TimeLeft,948.683
PondOutcome,130
TotalOutcome,230
PondStart,PondStart
PondIntroTime,14.957494456321001
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.075
Pond3Fish1_PondTime,10.356
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,242
Pond3Fish1_TimeLeft,921.471
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.206
Pond3Fish2_PondTime,16.715
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,254
Pond3Fish2_TimeLeft,915.112
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.68
Pond3Fish3_PondTime,23.363
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,266
Pond3Fish3_TimeLeft,908.464
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.654
Pond3Fish4_PondTime,30.335
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,278
Pond3Fish4_TimeLeft,901.492
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.697
Pond3Fish5_PondTime,37.697
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,290
Pond3Fish5_TimeLeft,894.13
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.018
Pond3Fish6_PondTime,45.51
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,292
Pond3Fish6_TimeLeft,886.317
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.032
Pond3Fish7_PondTime,53.871
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,304
Pond3Fish7_TimeLeft,877.956
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.661
Pond3Fish8_PondTime,62.893
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,316
Pond3Fish8_TimeLeft,868.933
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.956
Pond3Fish9_PondTime,72.75
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,328
Pond3Fish9_TimeLeft,859.077
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,0.727
Pond3Fish10_PondTime,83.681
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,340
Pond3Fish10_TimeLeft,848.146
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,0.721
Pond3Fish11_PondTime,96.038
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,352
Pond3Fish11_TimeLeft,835.789
Type,RD
FishN,19
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,0.732
Pond3Fish12_PondTime,110.401
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,364
Pond3Fish12_TimeLeft,821.426
Type,RD
FishN,19
Fish,13
Pond3Fish13_FishType,gray
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,0.87
Pond3Fish13_PondTime,127.757
Pond3Fish13_PondOutcome,136
Pond3Fish13_TotalOutcome,366
Pond3Fish13_TimeLeft,804.07
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,0.594
PondTime,149.733
TimeLeft,781.592
PondOutcome,136
TotalOutcome,366
PondStart,PondStart
PondIntroTime,10.156533161643893
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.64
Pond5Fish1_PondTime,10.248
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,377
Pond5Fish1_TimeLeft,758.577
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.562
Pond5Fish2_PondTime,18.061
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,388
Pond5Fish2_TimeLeft,750.764
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.945
Pond5Fish3_PondTime,26.416
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,399
Pond5Fish3_TimeLeft,742.409
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.175
Pond5Fish4_PondTime,35.438
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,410
Pond5Fish4_TimeLeft,733.387
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.74
Pond5Fish5_PondTime,46.99
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,421
Pond5Fish5_TimeLeft,721.835
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.253
Pond5Fish6_PondTime,59.719
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,432
Pond5Fish6_TimeLeft,709.106
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.825
Pond5Fish7_PondTime,72.075
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,443
Pond5Fish7_TimeLeft,696.75
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.011
Pond5Fish8_PondTime,86.433
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,454
Pond5Fish8_TimeLeft,682.392
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.766
Pond5Fish9_PondTime,103.788
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,465
Pond5Fish9_TimeLeft,665.037
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.485
PondTime,125.731
TimeLeft,642.591
PondOutcome,99
TotalOutcome,465
PondStart,PondStart
PondIntroTime,13.390831321012229
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.712
Pond1Fish1_PondTime,7.601
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,477
Pond1Fish1_TimeLeft,620.982
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.315
Pond1Fish2_PondTime,13.492
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,489
Pond1Fish2_TimeLeft,615.091
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.759
Pond1Fish3_PondTime,19.601
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,501
Pond1Fish3_TimeLeft,608.982
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.775
Pond1Fish4_PondTime,25.957
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,513
Pond1Fish4_TimeLeft,602.626
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.796
Pond1Fish5_PondTime,32.598
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,515
Pond1Fish5_TimeLeft,595.985
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.817
Pond1Fish6_PondTime,39.571
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,527
Pond1Fish6_TimeLeft,589.012
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.661
Pond1Fish7_PondTime,46.927
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,539
Pond1Fish7_TimeLeft,581.656
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.637
Pond1Fish8_PondTime,54.739
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,551
Pond1Fish8_TimeLeft,573.844
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.005
Pond1Fish9_PondTime,63.096
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,563
Pond1Fish9_TimeLeft,565.487
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,gray
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.873
Pond1Fish10_PondTime,72.117
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,565
Pond1Fish10_TimeLeft,556.466
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.93
Pond1Fish11_PondTime,81.972
Pond1Fish11_PondOutcome,112
Pond1Fish11_TotalOutcome,577
Pond1Fish11_TimeLeft,546.611
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.086
Pond1Fish12_PondTime,92.905
Pond1Fish12_PondOutcome,114
Pond1Fish12_TotalOutcome,579
Pond1Fish12_TimeLeft,535.678
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,1.016
Pond1Fish13_PondTime,105.261
Pond1Fish13_PondOutcome,126
Pond1Fish13_TotalOutcome,591
Pond1Fish13_TimeLeft,523.322
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,1.029
Pond1Fish14_PondTime,119.623
Pond1Fish14_PondOutcome,138
Pond1Fish14_TotalOutcome,603
Pond1Fish14_TimeLeft,508.96
Type,RD
FishN,19
Fish,15
Pond1Fish15_FishType,blue
Pond1Fish15_FishLatency,12
Pond1Fish15_CatchTime,1.024
Pond1Fish15_PondTime,136.979
Pond1Fish15_PondOutcome,150
Pond1Fish15_TotalOutcome,615
Pond1Fish15_TimeLeft,491.604
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,0.432
PondTime,158.688
TimeLeft,469.394
PondOutcome,150
TotalOutcome,615
PondStart,PondStart
PondIntroTime,16.570935582276434
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.786
Pond9Fish1_PondTime,8.753
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,625
Pond9Fish1_TimeLeft,442.048
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.787
Pond9Fish2_PondTime,14.859
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,635
Pond9Fish2_TimeLeft,435.942
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.768
Pond9Fish3_PondTime,21.214
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,645
Pond9Fish3_TimeLeft,429.587
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.052
Pond9Fish4_PondTime,27.853
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,655
Pond9Fish4_TimeLeft,422.948
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.763
Pond9Fish5_PondTime,34.828
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,665
Pond9Fish5_TimeLeft,415.973
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.697
Pond9Fish6_PondTime,42.189
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,685
Pond9Fish6_TimeLeft,408.612
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.73
Pond9Fish7_PondTime,50.003
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,695
Pond9Fish7_TimeLeft,400.798
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.996
Pond9Fish8_PondTime,58.363
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,705
Pond9Fish8_TimeLeft,392.437
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.829
Pond9Fish9_PondTime,67.385
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,715
Pond9Fish9_TimeLeft,383.415
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.79
Pond9Fish10_PondTime,77.241
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,725
Pond9Fish10_TimeLeft,373.56
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,0.836
Pond9Fish11_PondTime,88.174
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,735
Pond9Fish11_TimeLeft,362.627
Type,RT
FishN,16
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,0.797
Pond9Fish12_PondTime,100.537
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,745
Pond9Fish12_TimeLeft,350.264
Type,RT
FishN,16
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,0.997
Pond9Fish13_PondTime,114.892
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,755
Pond9Fish13_TimeLeft,335.909
Type,RT
FishN,16
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,12
Pond9Fish14_CatchTime,0.895
Pond9Fish14_PondTime,132.248
Pond9Fish14_PondOutcome,150
Pond9Fish14_TotalOutcome,765
Pond9Fish14_TimeLeft,318.553
Type,RT
FishN,16
Fish,15
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,15
Pond9Fish15_CatchTime,0.81
Pond9Fish15_PondTime,154.605
Pond9Fish15_PondOutcome,160
Pond9Fish15_TotalOutcome,775
Pond9Fish15_TimeLeft,296.196
Type,RT
FishN,16
Fish,16
Pond9Fish16_FishType,purple
Pond9Fish16_FishLatency,20
Pond9Fish16_CatchTime,1.016
Pond9Fish16_PondTime,186.963
Pond9Fish16_PondOutcome,170
Pond9Fish16_TotalOutcome,785
Pond9Fish16_TimeLeft,263.838
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,0.645
PondTime,249.044
TimeLeft,201.256
PondOutcome,170
TotalOutcome,785
PondStart,PondStart
PondIntroTime,17.59284756379202
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.092
Pond4Fish1_PondTime,8.018
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,796
Pond4Fish1_TimeLeft,175.032
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.904
Pond4Fish2_PondTime,14.373
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,807
Pond4Fish2_TimeLeft,168.677
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.953
Pond4Fish3_PondTime,21.019
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,818
Pond4Fish3_TimeLeft,162.031
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.976
Pond4Fish4_PondTime,27.992
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,829
Pond4Fish4_TimeLeft,155.058
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.018
Pond4Fish5_PondTime,35.354
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,840
Pond4Fish5_TimeLeft,147.696
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.267
Pond4Fish6_PondTime,43.167
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,851
Pond4Fish6_TimeLeft,139.883
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.7
Pond4Fish7_PondTime,51.522
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,862
Pond4Fish7_TimeLeft,131.528
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.894
Pond4Fish8_PondTime,60.544
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,873
Pond4Fish8_TimeLeft,122.506
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.188
Pond4Fish9_PondTime,70.4
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,884
Pond4Fish9_TimeLeft,112.65
Type,N
FishN,16
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.912
Pond4Fish10_PondTime,81.333
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,895
Pond4Fish10_TimeLeft,101.717
Type,N
FishN,16
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.071
Pond4Fish11_PondTime,93.688
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,906
Pond4Fish11_TimeLeft,89.362
Type,N
FishN,16
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.911
Pond4Fish12_PondTime,108.044
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,917
Pond4Fish12_TimeLeft,75.006
Type,N
