,5dfc82a1265c80974dd24384
Pond10Fish7_TimeLeft,909.493
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.179
Pond10Fish8_PondTime,60.946
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,268
Pond10Fish8_TimeLeft,900.435
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.32
Pond10Fish9_PondTime,70.816
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,278
Pond10Fish9_TimeLeft,890.565
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.168
Pond10Fish10_PondTime,81.751
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,298
Pond10Fish10_TimeLeft,879.63
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.453
Pond10Fish11_PondTime,94.152
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,308
Pond10Fish11_TimeLeft,867.229
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,golden
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.202
Pond10Fish12_PondTime,108.539
Pond10Fish12_PondOutcome,140
Pond10Fish12_TotalOutcome,328
Pond10Fish12_TimeLeft,852.842
Type,RT
FishN,19
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.298
Pond10Fish13_PondTime,125.936
Pond10Fish13_PondOutcome,150
Pond10Fish13_TotalOutcome,338
Pond10Fish13_TimeLeft,835.445
Type,RT
FishN,19
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,1.461
Pond10Fish14_PondTime,148.325
Pond10Fish14_PondOutcome,160
Pond10Fish14_TotalOutcome,348
Pond10Fish14_TimeLeft,813.056
Type,RT
FishN,19
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,20
Pond10Fish15_CatchTime,1.495
Pond10Fish15_PondTime,180.735
Pond10Fish15_PondOutcome,170
Pond10Fish15_TotalOutcome,358
Pond10Fish15_TimeLeft,780.646
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,0.845
PondTime,181.279
TimeLeft,779.597
PondOutcome,170
TotalOutcome,358
PondStart,PondStart
PondIntroTime,14.581393231637776
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.538
Pond7Fish1_PondTime,7.817
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,369
Pond7Fish1_TimeLeft,756.589
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.62
Pond7Fish2_PondTime,13.939
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,380
Pond7Fish2_TimeLeft,750.467
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.202
Pond7Fish3_PondTime,20.324
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,391
Pond7Fish3_TimeLeft,744.082
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.116
Pond7Fish4_PondTime,26.993
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,402
Pond7Fish4_TimeLeft,737.413
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.547
Pond7Fish5_PondTime,33.979
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,413
Pond7Fish5_TimeLeft,730.427
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.393
Pond7Fish6_PondTime,41.348
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,424
Pond7Fish6_TimeLeft,723.058
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.267
Pond7Fish7_PondTime,49.181
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,435
Pond7Fish7_TimeLeft,715.224
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.218
Pond7Fish8_PondTime,57.573
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,446
Pond7Fish8_TimeLeft,706.833
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.413
Pond7Fish9_PondTime,66.625
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,457
Pond7Fish9_TimeLeft,697.781
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.365
Pond7Fish10_PondTime,76.511
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,468
Pond7Fish10_TimeLeft,687.895
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.385
Pond7Fish11_PondTime,87.483
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,479
Pond7Fish11_TimeLeft,676.922
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,1.545
Pond7Fish12_PondTime,99.853
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,490
Pond7Fish12_TimeLeft,664.553
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.343
Pond7Fish13_PondTime,114.241
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,501
Pond7Fish13_TimeLeft,650.165
Type,N
FishN,15
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.295
Pond7Fish14_PondTime,131.617
Pond7Fish14_PondOutcome,154
Pond7Fish14_TotalOutcome,512
Pond7Fish14_TimeLeft,632.789
PondEnd_LastFish,14
FishN,15
Type,N
GiveUpTime,0.923
PondTime,132.038
TimeLeft,631.865
PondOutcome,154
TotalOutcome,512
PondStart,PondStart
PondIntroTime,15.563469587359577
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.127
Pond5Fish1_PondTime,7.802
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,524
Pond5Fish1_TimeLeft,607.831
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.51
Pond5Fish2_PondTime,13.971
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,526
Pond5Fish2_TimeLeft,601.662
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.037
Pond5Fish3_PondTime,20.356
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,538
Pond5Fish3_TimeLeft,595.277
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.123
Pond5Fish4_PondTime,27.029
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,550
Pond5Fish4_TimeLeft,588.604
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.068
Pond5Fish5_PondTime,34.03
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,562
Pond5Fish5_TimeLeft,581.603
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.21
Pond5Fish6_PondTime,41.434
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,574
Pond5Fish6_TimeLeft,574.199
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.235
Pond5Fish7_PondTime,49.304
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,586
Pond5Fish7_TimeLeft,566.329
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.123
Pond5Fish8_PondTime,57.69
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,598
Pond5Fish8_TimeLeft,557.943
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.301
Pond5Fish9_PondTime,66.776
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,610
Pond5Fish9_TimeLeft,548.857
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.117
Pond5Fish10_PondTime,76.657
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,622
Pond5Fish10_TimeLeft,538.975
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.091
Pond5Fish11_PondTime,87.615
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,634
Pond5Fish11_TimeLeft,528.018
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.254
Pond5Fish12_PondTime,100.004
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,646
Pond5Fish12_TimeLeft,515.629
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.114
Pond5Fish13_PondTime,114.394
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,658
Pond5Fish13_TimeLeft,501.239
Type,RD
FishN,12
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.305
Pond5Fish14_PondTime,131.785
Pond5Fish14_PondOutcome,158
Pond5Fish14_TotalOutcome,670
Pond5Fish14_TimeLeft,483.848
PondEnd_LastFish,14
FishN,12
Type,RD
GiveUpTime,1.183
PondTime,132.482
TimeLeft,482.647
PondOutcome,158
TotalOutcome,670
PondStart,PondStart
PondIntroTime,19.124310438055545
