,5d495ad410bee7001bd0f4ee
Pond3Fish2_TotalOutcome,22
Pond3Fish2_TimeLeft,1188.427
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.249
Pond3Fish3_PondTime,20.352
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,33
Pond3Fish3_TimeLeft,1182.046
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.455
Pond3Fish4_PondTime,27.017
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,44
Pond3Fish4_TimeLeft,1175.381
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.208
Pond3Fish5_PondTime,34.001
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,55
Pond3Fish5_TimeLeft,1168.397
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.365
Pond3Fish6_PondTime,41.368
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,66
Pond3Fish6_TimeLeft,1161.03
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.166
Pond3Fish7_PondTime,49.184
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,77
Pond3Fish7_TimeLeft,1153.214
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.552
Pond3Fish8_PondTime,57.566
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,88
Pond3Fish8_TimeLeft,1144.832
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.656
Pond3Fish9_PondTime,66.617
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,99
Pond3Fish9_TimeLeft,1135.781
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.394
Pond3Fish10_PondTime,76.483
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,110
Pond3Fish10_TimeLeft,1125.915
Type,N
FishN,19
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.349
Pond3Fish11_PondTime,87.431
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,121
Pond3Fish11_TimeLeft,1114.967
Type,N
FishN,19
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.401
Pond3Fish12_PondTime,99.79
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,132
Pond3Fish12_TimeLeft,1102.608
Type,N
FishN,19
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,1.538
Pond3Fish13_PondTime,114.159
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,143
Pond3Fish13_TimeLeft,1088.238
Type,N
FishN,19
Fish,14
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,1.101
Pond3Fish14_PondTime,131.523
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,154
Pond3Fish14_TimeLeft,1070.875
Type,N
FishN,19
Fish,15
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,0.779
Pond3Fish15_PondTime,153.905
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,165
Pond3Fish15_TimeLeft,1048.493
Type,N
FishN,19
Fish,16
Pond3Fish16_FishType,green
Pond3Fish16_FishLatency,20
Pond3Fish16_CatchTime,1.556
Pond3Fish16_PondTime,186.269
Pond3Fish16_PondOutcome,176
Pond3Fish16_TotalOutcome,176
Pond3Fish16_TimeLeft,1016.129
PondEnd_LastFish,16
FishN,19
Type,N
GiveUpTime,1.746
PondTime,187.778
TimeLeft,1014.116
PondOutcome,176
TotalOutcome,176
PondStart,PondStart
PondIntroTime,10.97426138119772
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,golden
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.238
Pond10Fish1_PondTime,9.285
Pond10Fish1_PondOutcome,20
Pond10Fish1_TotalOutcome,196
Pond10Fish1_TimeLeft,993.245
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.168
Pond10Fish2_PondTime,17.098
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,206
Pond10Fish2_TimeLeft,985.432
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.624
Pond10Fish3_PondTime,25.483
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,216
Pond10Fish3_TimeLeft,977.047
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.301
Pond10Fish4_PondTime,34.512
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,226
Pond10Fish4_TimeLeft,968.018
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.067
Pond10Fish5_PondTime,44.384
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,236
Pond10Fish5_TimeLeft,958.145
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.639
Pond10Fish6_PondTime,55.328
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,246
Pond10Fish6_TimeLeft,947.202
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.637
Pond10Fish7_PondTime,67.691
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,256
Pond10Fish7_TimeLeft,934.839
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.105
Pond10Fish8_PondTime,82.083
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,266
Pond10Fish8_TimeLeft,920.447
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.159
Pond10Fish9_PondTime,99.455
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,286
Pond10Fish9_TimeLeft,903.075
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,16.497
PondTime,115.315
TimeLeft,886.712
PondOutcome,110
TotalOutcome,286
PondStart,PondStart
PondIntroTime,13.389894242864102
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.079
Pond8Fish1_PondTime,7.616
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,296
Pond8Fish1_TimeLeft,865.097
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.373
Pond8Fish2_PondTime,13.534
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,306
Pond8Fish2_TimeLeft,859.179
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.508
Pond8Fish3_PondTime,19.648
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,316
Pond8Fish3_TimeLeft,853.065
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.17
Pond8Fish4_PondTime,26.014
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,326
Pond8Fish4_TimeLeft,846.699
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.244
Pond8Fish5_PondTime,32.663
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,336
Pond8Fish5_TimeLeft,840.05
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.049
Pond8Fish6_PondTime,39.646
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,346
Pond8Fish6_TimeLeft,833.066
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.375
Pond8Fish7_PondTime,47.012
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,356
Pond8Fish7_TimeLeft,825.701
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.44
Pond8Fish8_PondTime,54.844
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,366
Pond8Fish8_TimeLeft,817.869
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,golden
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.251
Pond8Fish9_PondTime,63.209
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,386
Pond8Fish9_TimeLeft,809.504
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.301
Pond8Fish10_PondTime,72.265
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,406
Pond8Fish10_TimeLeft,800.448
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.16
Pond8Fish11_PondTime,82.123
Pond8Fish11_PondOutcome,130
Pond8Fish11_TotalOutcome,416
Pond8Fish11_TimeLeft,790.59
Type,RT
FishN,17
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.411
Pond8Fish12_PondTime,93.054
Pond8Fish12_PondOutcome,140
Pond8Fish12_TotalOutcome,426
Pond8Fish12_TimeLeft,779.659
Type,RT
FishN,17
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.425
Pond8Fish13_PondTime,105.421
Pond8Fish13_PondOutcome,150
Pond8Fish13_TotalOutcome,436
Pond8Fish13_TimeLeft,767.292
Type,RT
FishN,17
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.553
Pond8Fish14_PondTime,119.787
Pond8Fish14_PondOutcome,160
Pond8Fish14_TotalOutcome,446
Pond8Fish14_TimeLeft,752.926
Type,RT
FishN,17
Fish,15
Pond8Fish15_FishType,purple
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.252
Pond8Fish15_PondTime,137.151
Pond8Fish15_PondOutcome,170
Pond8Fish15_TotalOutcome,456
Pond8Fish15_TimeLeft,735.562
Type,RT
FishN,17
Fish,16
Pond8Fish16_FishType,purple
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,1.135
Pond8Fish16_PondTime,159.531
Pond8Fish16_PondOutcome,180
Pond8Fish16_TotalOutcome,466
Pond8Fish16_TimeLeft,713.182
PondEnd_LastFish,16
FishN,17
Type,RT
GiveUpTime,0.872
PondTime,159.752
TimeLeft,712.458
PondOutcome,180
TotalOutcome,466
PondStart,PondStart
PondIntroTime,15.457665952853858
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.374
Pond11Fish1_PondTime,8.566
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,477
Pond11Fish1_TimeLeft,687.816
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.304
Pond11Fish2_PondTime,15.549
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,488
Pond11Fish2_TimeLeft,680.833
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.272
Pond11Fish3_PondTime,22.914
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,499
Pond11Fish3_TimeLeft,673.468
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.429
Pond11Fish4_PondTime,30.744
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,510
Pond11Fish4_TimeLeft,665.638
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.109
Pond11Fish5_PondTime,39.134
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,521
Pond11Fish5_TimeLeft,657.248
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.142
Pond11Fish6_PondTime,48.16
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,532
Pond11Fish6_TimeLeft,648.221
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.267
Pond11Fish7_PondTime,58.043
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,543
Pond11Fish7_TimeLeft,638.338
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.122
Pond11Fish8_PondTime,68.991
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,554
Pond11Fish8_TimeLeft,627.391
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,-1
Pond11Fish9_PondTime,81.422
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,554
Pond11Fish9_TimeLeft,614.96
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.343
Pond11Fish10_PondTime,95.788
Pond11Fish10_PondOutcome,99
Pond11Fish10_TotalOutcome,565
Pond11Fish10_TimeLeft,600.594
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.251
PondTime,96.587
TimeLeft,599.293
PondOutcome,99
TotalOutcome,565
PondStart,PondStart
PondIntroTime,17.3995346063748
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.191
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,576
Pond9Fish1_TimeLeft,572.696
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.59
Pond9Fish2_PondTime,15.549
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,587
Pond9Fish2_TimeLeft,565.713
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.505
Pond9Fish3_PondTime,22.916
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,598
Pond9Fish3_TimeLeft,558.346
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.121
Pond9Fish4_PondTime,30.728
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,609
Pond9Fish4_TimeLeft,550.534
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.587
Pond9Fish5_PondTime,39.096
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,620
Pond9Fish5_TimeLeft,542.165
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.336
Pond9Fish6_PondTime,48.131
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,631
Pond9Fish6_TimeLeft,533.131
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.59
Pond9Fish7_PondTime,58.015
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,642
Pond9Fish7_TimeLeft,523.247
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.553
Pond9Fish8_PondTime,68.96
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,653
Pond9Fish8_TimeLeft,512.302
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.199
Pond9Fish9_PondTime,81.342
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,664
Pond9Fish9_TimeLeft,499.92
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.49
Pond9Fish10_PondTime,95.705
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,675
Pond9Fish10_TimeLeft,485.557
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.404
Pond9Fish11_PondTime,113.07
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,686
Pond9Fish11_TimeLeft,468.192
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.331
PondTime,114.017
TimeLeft,466.743
PondOutcome,121
TotalOutcome,686
PondStart,PondStart
PondIntroTime,14.451625756919384
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.646
Pond4Fish1_PondTime,9.733
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,696
Pond4Fish1_TimeLeft,441.928
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.429
Pond4Fish2_PondTime,18.115
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,706
Pond4Fish2_TimeLeft,433.546
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.775
Pond4Fish3_PondTime,27.23
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,716
Pond4Fish3_TimeLeft,424.431
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.553
Pond4Fish4_PondTime,37.112
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,726
Pond4Fish4_TimeLeft,414.548
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.35
Pond4Fish5_PondTime,48.046
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,736
Pond4Fish5_TimeLeft,403.615
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.237
Pond4Fish6_PondTime,60.413
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,756
Pond4Fish6_TimeLeft,391.248
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.326
Pond4Fish7_PondTime,74.777
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,766
Pond4Fish7_TimeLeft,376.884
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.588
Pond4Fish8_PondTime,92.172
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,776
Pond4Fish8_TimeLeft,359.488
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.205
Pond4Fish9_PondTime,114.579
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,786
Pond4Fish9_TimeLeft,337.082
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,20
Pond4Fish10_CatchTime,-1
Pond4Fish10_PondTime,147
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,786
Pond4Fish10_TimeLeft,304.661
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,77.049
PondTime,191.035
TimeLeft,260.118
PondOutcome,100
TotalOutcome,786
PondStart,PondStart
PondIntroTime,13.293350513558835
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.523
Pond6Fish1_PondTime,8.94
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,797
Pond6Fish1_TimeLeft,237.275
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.227
Pond6Fish2_PondTime,16.335
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,808
Pond6Fish2_TimeLeft,229.88
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.138
Pond6Fish3_PondTime,24.172
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,819
Pond6Fish3_TimeLeft,222.043
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.222
Pond6Fish4_PondTime,32.546
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,830
Pond6Fish4_TimeLeft,213.669
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.489
Pond6Fish5_PondTime,41.578
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,841
Pond6Fish5_TimeLeft,204.637
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.433
Pond6Fish6_PondTime,51.458
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,852
Pond6Fish6_TimeLeft,194.757
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.301
Pond6Fish7_PondTime,62.41
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,863
Pond6Fish7_TimeLeft,183.805
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.476
Pond6Fish8_PondTime,74.8
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,874
Pond6Fish8_TimeLeft,171.415
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.56
Pond6Fish9_PondTime,89.214
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,885
Pond6Fish9_TimeLeft,157.001
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.767
Pond6Fish10_PondTime,106.638
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,896
Pond6Fish10_TimeLeft,139.577
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.973
PondTime,107.51
TimeLeft,138.196
PondOutcome,110
TotalOutcome,896
PondStart,PondStart
PondIntroTime,18.113550452981144
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.818
Pond5Fish1_PondTime,8.103
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,908
Pond5Fish1_TimeLeft,111.36
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.39
Pond5Fish2_PondTime,14.538
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,920
Pond5Fish2_TimeLeft,104.926
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.519
Pond5Fish3_PondTime,21.207
