,5bef1fe8165b120001bb671e
Pond9Fish5_TotalOutcome,828
Pond9Fish5_TimeLeft,222.428
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.61
Pond9Fish6_PondTime,60.301
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,840
Pond9Fish6_TimeLeft,210.062
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.727
Pond9Fish7_PondTime,74.667
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,852
Pond9Fish7_TimeLeft,195.696
PondEnd_LastFish,7
FishN,16
Type,RD
GiveUpTime,0.752
PondTime,91.885
TimeLeft,177.977
PondOutcome,84
TotalOutcome,852
PondStart,PondStart
PondIntroTime,12.049508874770254
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.69
Pond6Fish1_PondTime,8.884
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,862
Pond6Fish1_TimeLeft,156.43
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.583
Pond6Fish2_PondTime,16.252
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,872
Pond6Fish2_TimeLeft,149.062
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.822
Pond6Fish3_PondTime,24.068
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,882
Pond6Fish3_TimeLeft,141.246
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.578
Pond6Fish4_PondTime,32.435
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,892
Pond6Fish4_TimeLeft,132.879
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.768
Pond6Fish5_PondTime,41.468
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,902
Pond6Fish5_TimeLeft,123.846
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
