,5dfde35aecb3eaa9b7c0db0f
TimeLeft,1126.095
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,12.26407800335437
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.379
Pond4Fish1_PondTime,8.592
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,101
Pond4Fish1_TimeLeft,1104.606
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.278
Pond4Fish2_PondTime,15.575
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,112
Pond4Fish2_TimeLeft,1097.622
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.66
Pond4Fish3_PondTime,22.948
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,123
Pond4Fish3_TimeLeft,1090.25
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.135
Pond4Fish4_PondTime,30.791
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,134
Pond4Fish4_TimeLeft,1082.407
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.375
Pond4Fish5_PondTime,39.172
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,145
Pond4Fish5_TimeLeft,1074.026
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.188
Pond4Fish6_PondTime,48.224
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,156
Pond4Fish6_TimeLeft,1064.974
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,58.138
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,156
Pond4Fish7_TimeLeft,1055.06
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.324
Pond4Fish8_PondTime,69.077
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,167
Pond4Fish8_TimeLeft,1044.121
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,10.264
PondTime,78.872
TimeLeft,1033.817
PondOutcome,77
TotalOutcome,167
PondStart,PondStart
PondIntroTime,13.444100928027183
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.422
Pond8Fish1_PondTime,9.292
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,177
Pond8Fish1_TimeLeft,1010.428
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.358
Pond8Fish2_PondTime,17.107
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,187
Pond8Fish2_TimeLeft,1002.613
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.115
Pond8Fish3_PondTime,25.485
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,197
Pond8Fish3_TimeLeft,994.235
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.347
Pond8Fish4_PondTime,34.532
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,207
Pond8Fish4_TimeLeft,985.187
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,golden
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.564
Pond8Fish5_PondTime,44.401
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,227
Pond8Fish5_TimeLeft,975.318
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,golden
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.024
Pond8Fish6_PondTime,55.353
Pond8Fish6_PondOutcome,80
Pond8Fish6_TotalOutcome,247
Pond8Fish6_TimeLeft,964.367
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.111
Pond8Fish7_PondTime,67.729
Pond8Fish7_PondOutcome,90
Pond8Fish7_TotalOutcome,257
Pond8Fish7_TimeLeft,951.991
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.167
Pond8Fish8_PondTime,82.096
Pond8Fish8_PondOutcome,100
Pond8Fish8_TotalOutcome,267
Pond8Fish8_TimeLeft,937.624
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.189
Pond8Fish9_PondTime,99.477
Pond8Fish9_PondOutcome,110
Pond8Fish9_TotalOutcome,277
Pond8Fish9_TimeLeft,920.243
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.47
Pond8Fish10_PondTime,121.876
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,287
Pond8Fish10_TimeLeft,897.844
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,3.364
PondTime,124.903
TimeLeft,894.305
PondOutcome,120
TotalOutcome,287
PondStart,PondStart
PondIntroTime,12.208240062464029
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.105
Pond3Fish1_PondTime,7.822
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,297
Pond3Fish1_TimeLeft,873.618
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.437
Pond3Fish2_PondTime,13.95
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,307
Pond3Fish2_TimeLeft,867.49
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.1
Pond3Fish3_PondTime,20.36
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,317
Pond3Fish3_TimeLeft,861.081
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.185
Pond3Fish4_PondTime,27.033
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,327
Pond3Fish4_TimeLeft,854.408
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.999
Pond3Fish5_PondTime,34.328
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,337
Pond3Fish5_TimeLeft,847.113
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.195
Pond3Fish6_PondTime,41.698
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,347
Pond3Fish6_TimeLeft,839.742
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,-1
Pond3Fish7_PondTime,49.597
Pond3Fish7_PondOutcome,60
Pond3Fish7_TotalOutcome,347
Pond3Fish7_TimeLeft,831.844
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.569
Pond3Fish8_PondTime,57.978
Pond3Fish8_PondOutcome,70
Pond3Fish8_TotalOutcome,357
Pond3Fish8_TimeLeft,823.463
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.121
Pond3Fish9_PondTime,67.029
Pond3Fish9_PondOutcome,80
Pond3Fish9_TotalOutcome,367
Pond3Fish9_TimeLeft,814.411
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,76.956
Pond3Fish10_PondOutcome,80
Pond3Fish10_TotalOutcome,367
Pond3Fish10_TimeLeft,804.485
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.174
Pond3Fish11_PondTime,87.901
Pond3Fish11_PondOutcome,90
Pond3Fish11_TotalOutcome,377
Pond3Fish11_TimeLeft,793.539
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,golden
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.097
Pond3Fish12_PondTime,100.284
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,397
Pond3Fish12_TimeLeft,781.157
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,0.967
Pond3Fish13_PondTime,114.672
Pond3Fish13_PondOutcome,120
Pond3Fish13_TotalOutcome,407
Pond3Fish13_TimeLeft,766.769
Type,RT
FishN,19
Fish,14
Pond3Fish14_FishType,golden
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,1.215
Pond3Fish14_PondTime,132.061
Pond3Fish14_PondOutcome,140
Pond3Fish14_TotalOutcome,427
Pond3Fish14_TimeLeft,749.38
Type,RT
FishN,19
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,1.235
Pond3Fish15_PondTime,154.433
Pond3Fish15_PondOutcome,150
Pond3Fish15_TotalOutcome,437
Pond3Fish15_TimeLeft,727.008
Type,RT
FishN,19
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,20
Pond3Fish16_CatchTime,1.1
Pond3Fish16_PondTime,186.8
Pond3Fish16_PondOutcome,160
Pond3Fish16_TotalOutcome,447
Pond3Fish16_TimeLeft,694.641
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,1.038
PondTime,187.141
TimeLeft,693.793
PondOutcome,160
TotalOutcome,447
PondStart,PondStart
PondIntroTime,18.1294104619883
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.308
Pond2Fish1_PondTime,9.29
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,458
Pond2Fish1_TimeLeft,665.704
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.194
Pond2Fish2_PondTime,17.131
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,469
Pond2Fish2_TimeLeft,657.863
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.234
Pond2Fish3_PondTime,25.513
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,480
Pond2Fish3_TimeLeft,649.482
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.115
Pond2Fish4_PondTime,34.568
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,491
Pond2Fish4_TimeLeft,640.427
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.704
Pond2Fish5_PondTime,44.446
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,502
Pond2Fish5_TimeLeft,630.548
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.567
Pond2Fish6_PondTime,55.4
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,513
Pond2Fish6_TimeLeft,619.594
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.187
Pond2Fish7_PondTime,67.792
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,524
Pond2Fish7_TimeLeft,607.203
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.626
Pond2Fish8_PondTime,82.18
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,535
Pond2Fish8_TimeLeft,592.815
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.344
Pond2Fish9_PondTime,99.566
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,546
Pond2Fish9_TimeLeft,575.429
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,1.228
Pond2Fish10_PondTime,121.934
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,557
Pond2Fish10_TimeLeft,553.06
Type,N
FishN,12
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,20
Pond2Fish11_CatchTime,1.021
Pond2Fish11_PondTime,154.314
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,568
Pond2Fish11_TimeLeft,520.681
Type,N
FishN,12
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,30
Pond2Fish12_CatchTime,1.39
Pond2Fish12_PondTime,216.702
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,579
Pond2Fish12_TimeLeft,458.293
Type,N
FishN,12
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,60
Pond2Fish13_CatchTime,1.763
Pond2Fish13_PondTime,219.162
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,590
Pond2Fish13_TimeLeft,455.833
PondEnd_LastFish,13
FishN,12
Type,N
GiveUpTime,3.388
PondTime,222.448
TimeLeft,452.033
PondOutcome,143
TotalOutcome,590
PondStart,PondStart
PondIntroTime,17.004311948549002
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.407
Pond9Fish1_PondTime,8.92
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,602
Pond9Fish1_TimeLeft,425.473
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.253
Pond9Fish2_PondTime,16.296
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,614
Pond9Fish2_TimeLeft,418.097
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.473
Pond9Fish3_PondTime,24.128
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,626
Pond9Fish3_TimeLeft,410.265
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.572
Pond9Fish4_PondTime,32.512
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,638
Pond9Fish4_TimeLeft,401.881
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.321
Pond9Fish5_PondTime,41.554
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,650
Pond9Fish5_TimeLeft,392.839
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.022
Pond9Fish6_PondTime,51.44
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,662
Pond9Fish6_TimeLeft,382.953
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.106
Pond9Fish7_PondTime,62.391
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,674
Pond9Fish7_TimeLeft,372.002
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.084
Pond9Fish8_PondTime,74.775
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,686
Pond9Fish8_TimeLeft,359.618
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.115
Pond9Fish9_PondTime,89.162
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,698
Pond9Fish9_TimeLeft,345.23
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.071
Pond9Fish10_PondTime,106.542
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,710
Pond9Fish10_TimeLeft,327.849
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,15
Pond9Fish11_CatchTime,1.092
Pond9Fish11_PondTime,128.927
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,722
Pond9Fish11_TimeLeft,305.466
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,3.025
PondTime,131.244
TimeLeft,302.642
PondOutcome,132
TotalOutcome,722
PondStart,PondStart
PondIntroTime,14.67574788723141
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.082
Pond1Fish1_PondTime,7.811
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,734
Pond1Fish1_TimeLeft,279.501
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.969
Pond1Fish2_PondTime,14.202
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,746
Pond1Fish2_TimeLeft,273.11
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.153
Pond1Fish3_PondTime,20.574
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,758
Pond1Fish3_TimeLeft,266.737
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.501
Pond1Fish4_PondTime,27.241
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,770
Pond1Fish4_TimeLeft,260.071
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.013
Pond1Fish5_PondTime,34.218
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,782
Pond1Fish5_TimeLeft,253.094
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,41.665
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,782
Pond1Fish6_TimeLeft,245.647
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.222
Pond1Fish7_PondTime,49.498
Pond1Fish7_PondOutcome,72
Pond1Fish7_TotalOutcome,794
Pond1Fish7_TimeLeft,237.813
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,-1
Pond1Fish8_PondTime,57.928
Pond1Fish8_PondOutcome,72
Pond1Fish8_TotalOutcome,794
Pond1Fish8_TimeLeft,229.384
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.14
Pond1Fish9_PondTime,66.973
Pond1Fish9_PondOutcome,84
Pond1Fish9_TotalOutcome,806
Pond1Fish9_TimeLeft,220.339
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,gray
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.165
Pond1Fish10_PondTime,76.841
Pond1Fish10_PondOutcome,86
Pond1Fish10_TotalOutcome,808
Pond1Fish10_TimeLeft,210.471
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.417
Pond1Fish11_PondTime,87.792
Pond1Fish11_PondOutcome,98
Pond1Fish11_TotalOutcome,820
Pond1Fish11_TimeLeft,199.52
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.594
Pond1Fish12_PondTime,100.181
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,832
Pond1Fish12_TimeLeft,187.131
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,2.148
PondTime,102.14
TimeLeft,184.66
PondOutcome,110
TotalOutcome,832
PondStart,PondStart
PondIntroTime,11.185875702649355
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.769
Pond10Fish1_PondTime,9.002
Pond10Fish1_PondOutcome,2
Pond10Fish1_TotalOutcome,834
Pond10Fish1_TimeLeft,163.821
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.295
Pond10Fish2_PondTime,16.378
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,846
Pond10Fish2_TimeLeft,156.446
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.503
Pond10Fish3_PondTime,24.225
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,858
Pond10Fish3_TimeLeft,148.599
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.276
Pond10Fish4_PondTime,32.609
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,870
Pond10Fish4_TimeLeft,140.215
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.298
Pond10Fish5_PondTime,41.654
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,882
Pond10Fish5_TimeLeft,131.169
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.27
Pond10Fish6_PondTime,51.533
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,894
Pond10Fish6_TimeLeft,121.29
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.239
Pond10Fish7_PondTime,62.484
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,906
Pond10Fish7_TimeLeft,110.34
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
