,5dfe25455a3425ac4ba1a1a3
Pond5Fish5_CatchTime,0.964
Pond5Fish5_PondTime,45.364
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,116
Pond5Fish5_TimeLeft,1058.703
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.367
PondTime,45.892
TimeLeft,1057.65
PondOutcome,50
TotalOutcome,116
PondStart,PondStart
PondIntroTime,18.302572276443243
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.152
Pond7Fish1_PondTime,7.625
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,128
Pond7Fish1_TimeLeft,1030.947
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.739
Pond7Fish2_PondTime,13.866
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,140
Pond7Fish2_TimeLeft,1024.706
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.374
Pond7Fish3_PondTime,20.011
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,152
Pond7Fish3_TimeLeft,1018.561
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.508
Pond7Fish4_PondTime,26.397
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,164
Pond7Fish4_TimeLeft,1012.175
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.131
Pond7Fish5_PondTime,33.377
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,176
Pond7Fish5_TimeLeft,1005.195
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,40.48
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,176
Pond7Fish6_TimeLeft,998.092
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.991
Pond7Fish7_PondTime,48.203
Pond7Fish7_PondOutcome,72
Pond7Fish7_TotalOutcome,188
Pond7Fish7_TimeLeft,990.369
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.381
Pond7Fish8_PondTime,56.38
Pond7Fish8_PondOutcome,84
Pond7Fish8_TotalOutcome,200
Pond7Fish8_TimeLeft,982.192
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.366
Pond7Fish9_PondTime,64.765
Pond7Fish9_PondOutcome,96
Pond7Fish9_TotalOutcome,212
Pond7Fish9_TimeLeft,973.807
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.271
Pond7Fish10_PondTime,73.805
Pond7Fish10_PondOutcome,108
Pond7Fish10_TotalOutcome,224
Pond7Fish10_TimeLeft,964.767
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.425
Pond7Fish11_PondTime,83.696
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,236
Pond7Fish11_TimeLeft,954.876
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.548
Pond7Fish12_PondTime,94.683
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,248
Pond7Fish12_TimeLeft,943.889
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.66
Pond7Fish13_PondTime,107.125
Pond7Fish13_PondOutcome,144
Pond7Fish13_TotalOutcome,260
Pond7Fish13_TimeLeft,931.447
Type,RD
FishN,15
Fish,14
Pond7Fish14_FishType,blue
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,1.942
Pond7Fish14_PondTime,121.742
Pond7Fish14_PondOutcome,156
Pond7Fish14_TotalOutcome,272
Pond7Fish14_TimeLeft,916.83
Type,RD
FishN,15
Fish,15
Pond7Fish15_FishType,blue
Pond7Fish15_FishLatency,12
Pond7Fish15_CatchTime,0.98
Pond7Fish15_PondTime,139.491
Pond7Fish15_PondOutcome,168
Pond7Fish15_TotalOutcome,284
Pond7Fish15_TimeLeft,899.081
Type,RD
FishN,15
Fish,16
Pond7Fish16_FishType,gray
Pond7Fish16_FishLatency,15
Pond7Fish16_CatchTime,1.732
Pond7Fish16_PondTime,161.929
Pond7Fish16_PondOutcome,170
Pond7Fish16_TotalOutcome,286
Pond7Fish16_TimeLeft,876.643
Type,RD
FishN,15
Fish,17
Pond7Fish17_FishType,blue
Pond7Fish17_FishLatency,20
Pond7Fish17_CatchTime,1.992
Pond7Fish17_PondTime,194.593
Pond7Fish17_PondOutcome,182
Pond7Fish17_TotalOutcome,298
Pond7Fish17_TimeLeft,843.979
Type,RD
FishN,15
Fish,18
Pond7Fish18_FishType,blue
Pond7Fish18_FishLatency,30
Pond7Fish18_CatchTime,1.95
Pond7Fish18_PondTime,257.22
Pond7Fish18_PondOutcome,194
Pond7Fish18_TotalOutcome,310
Pond7Fish18_TimeLeft,781.352
Type,RD
FishN,15
Fish,19
Pond7Fish19_FishType,blue
Pond7Fish19_FishLatency,60
Pond7Fish19_CatchTime,1.302
Pond7Fish19_PondTime,259.696
Pond7Fish19_PondOutcome,206
Pond7Fish19_TotalOutcome,322
Pond7Fish19_TimeLeft,778.871
PondEnd_LastFish,19
FishN,15
Type,RD
GiveUpTime,17.44
PondTime,276.646
TimeLeft,761.417
PondOutcome,206
TotalOutcome,322
PondStart,PondStart
PondIntroTime,11.00273933261633
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.173
Pond8Fish1_PondTime,8.433
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,334
Pond8Fish1_TimeLeft,740.449
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,2.014
Pond8Fish2_PondTime,14.86
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,346
Pond8Fish2_TimeLeft,734.022
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.635
Pond8Fish3_PondTime,21.933
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,358
Pond8Fish3_TimeLeft,726.949
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.623
Pond8Fish4_PondTime,28.945
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,370
Pond8Fish4_TimeLeft,719.934
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.494
Pond8Fish5_PondTime,36.352
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,382
Pond8Fish5_TimeLeft,712.53
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,2.003
Pond8Fish6_PondTime,44.494
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,394
Pond8Fish6_TimeLeft,704.388
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,52.935
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,394
Pond8Fish7_TimeLeft,695.947
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,2.048
Pond8Fish8_PondTime,62.032
Pond8Fish8_PondOutcome,84
Pond8Fish8_TotalOutcome,406
Pond8Fish8_TimeLeft,686.85
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.412
Pond8Fish9_PondTime,71.917
Pond8Fish9_PondOutcome,96
Pond8Fish9_TotalOutcome,418
Pond8Fish9_TimeLeft,676.965
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,2.076
Pond8Fish10_PondTime,83.25
Pond8Fish10_PondOutcome,108
Pond8Fish10_TotalOutcome,430
Pond8Fish10_TimeLeft,665.632
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,8.571428571428571
Pond8Fish11_CatchTime,1.649
Pond8Fish11_PondTime,95.789
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,442
Pond8Fish11_TimeLeft,653.093
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,10
Pond8Fish12_CatchTime,1.428
Pond8Fish12_PondTime,110.172
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,454
Pond8Fish12_TimeLeft,638.71
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,16.32
PondTime,126.126
TimeLeft,622.239
PondOutcome,132
TotalOutcome,454
PondStart,PondStart
PondIntroTime,19.572759000584483
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.138
Pond2Fish1_PondTime,8.918
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,465
Pond2Fish1_TimeLeft,593.058
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.579
Pond2Fish2_PondTime,16.142
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,476
Pond2Fish2_TimeLeft,585.834
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.921
Pond2Fish3_PondTime,23.349
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,487
Pond2Fish3_TimeLeft,578.627
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.497
Pond2Fish4_PondTime,30.788
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,498
Pond2Fish4_TimeLeft,571.188
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.104
Pond2Fish5_PondTime,39.222
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,509
Pond2Fish5_TimeLeft,562.753
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.797
Pond2Fish6_PondTime,47.713
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,520
Pond2Fish6_TimeLeft,554.263
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.847
Pond2Fish7_PondTime,56.899
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,531
Pond2Fish7_TimeLeft,545.077
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.783
Pond2Fish8_PondTime,66.899
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,542
Pond2Fish8_TimeLeft,535.077
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,1.676
PondTime,68.472
TimeLeft,532.994
PondOutcome,88
TotalOutcome,542
PondStart,PondStart
PondIntroTime,17.67466701567173
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.438
Pond9Fish1_PondTime,8.736
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,552
Pond9Fish1_TimeLeft,505.906
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,14.91
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,552
Pond9Fish2_TimeLeft,499.732
