,5ba3f8c30f4cba000157ea20
Pond6Fish3_PondTime,27.135
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,243
Pond6Fish3_TimeLeft,936.937
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.699
Pond6Fish4_PondTime,37
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,254
Pond6Fish4_TimeLeft,927.072
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.896
Pond6Fish5_PondTime,47.933
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,265
Pond6Fish5_TimeLeft,916.138
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.743
Pond6Fish6_PondTime,60.301
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,276
Pond6Fish6_TimeLeft,903.771
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.763
Pond6Fish7_PondTime,74.668
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,287
Pond6Fish7_TimeLeft,889.404
PondEnd_LastFish,7
FishN,19
Type,N
GiveUpTime,16.281
PondTime,89.913
TimeLeft,873.656
PondOutcome,77
TotalOutcome,287
PondStart,PondStart
PondIntroTime,11.88784998608753
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.781
Pond8Fish1_PondTime,8.885
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,297
Pond8Fish1_TimeLeft,852.27
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,golden
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.68
Pond8Fish2_PondTime,16.252
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,317
Pond8Fish2_TimeLeft,844.903
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.764
Pond8Fish3_PondTime,24.068
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,327
Pond8Fish3_TimeLeft,837.087
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.531
Pond8Fish4_PondTime,32.434
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,337
Pond8Fish4_TimeLeft,828.721
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.561
Pond8Fish5_PondTime,41.469
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,347
Pond8Fish5_TimeLeft,819.686
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.737
Pond8Fish6_PondTime,51.334
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,357
Pond8Fish6_TimeLeft,809.821
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.661
Pond8Fish7_PondTime,62.268
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,367
Pond8Fish7_TimeLeft,798.887
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.504
Pond8Fish8_PondTime,74.635
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,377
Pond8Fish8_TimeLeft,786.52
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.825
Pond8Fish9_PondTime,89.002
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,387
Pond8Fish9_TimeLeft,772.153
PondEnd_LastFish,9
FishN,17
Type,RT
GiveUpTime,0.281
PondTime,105.648
TimeLeft,755.004
PondOutcome,100
TotalOutcome,387
PondStart,PondStart
PondIntroTime,15.00791888218373
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.743
Pond12Fish1_PondTime,8.884
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,397
Pond12Fish1_TimeLeft,730.487
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.742
Pond12Fish2_PondTime,16.251
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,407
Pond12Fish2_TimeLeft,723.12
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.8
Pond12Fish3_PondTime,24.068
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,417
Pond12Fish3_TimeLeft,715.303
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.537
Pond12Fish4_PondTime,32.433
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,427
Pond12Fish4_TimeLeft,706.938
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.632
Pond12Fish5_PondTime,41.466
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,437
Pond12Fish5_TimeLeft,697.905
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.094
Pond12Fish6_PondTime,51.334
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,447
Pond12Fish6_TimeLeft,688.037
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.652
Pond12Fish7_PondTime,62.267
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,457
Pond12Fish7_TimeLeft,677.104
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.917
Pond12Fish8_PondTime,74.635
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,467
Pond12Fish8_TimeLeft,664.736
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.294
Pond12Fish9_PondTime,89.002
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,477
Pond12Fish9_TimeLeft,650.369
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.566
PondTime,105.815
TimeLeft,633.053
PondOutcome,90
TotalOutcome,477
PondStart,PondStart
PondIntroTime,19.845897750928998
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.758
Pond7Fish1_PondTime,9.733
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,488
Pond7Fish1_TimeLeft,602.853
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.706
Pond7Fish2_PondTime,18.099
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,499
Pond7Fish2_TimeLeft,594.487
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.627
Pond7Fish3_PondTime,27.133
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,510
Pond7Fish3_TimeLeft,585.453
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.758
Pond7Fish4_PondTime,36.999
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,521
Pond7Fish4_TimeLeft,575.587
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.738
Pond7Fish5_PondTime,47.933
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,532
Pond7Fish5_TimeLeft,564.653
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.711
Pond7Fish6_PondTime,60.299
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,543
Pond7Fish6_TimeLeft,552.287
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.209
PondTime,73.756
TimeLeft,538.327
PondOutcome,66
TotalOutcome,543
PondStart,PondStart
PondIntroTime,16.38717655558139
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.867
Pond9Fish1_PondTime,7.6
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,553
Pond9Fish1_TimeLeft,513.719
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.373
Pond9Fish2_PondTime,13.499
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,563
Pond9Fish2_TimeLeft,507.82
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.919
Pond9Fish3_PondTime,19.617
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,573
Pond9Fish3_TimeLeft,501.702
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.73
Pond9Fish4_PondTime,25.984
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,583
Pond9Fish4_TimeLeft,495.335
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.569
Pond9Fish5_PondTime,32.634
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,593
Pond9Fish5_TimeLeft,488.685
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.596
Pond9Fish6_PondTime,39.617
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,603
Pond9Fish6_TimeLeft,481.702
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.767
Pond9Fish7_PondTime,46.984
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,613
Pond9Fish7_TimeLeft,474.335
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.54
Pond9Fish8_PondTime,54.8
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,623
Pond9Fish8_TimeLeft,466.519
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.608
Pond9Fish9_PondTime,63.167
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,633
Pond9Fish9_TimeLeft,458.152
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.8
Pond9Fish10_PondTime,72.2
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,643
Pond9Fish10_TimeLeft,449.119
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,0.504
PondTime,81.686
TimeLeft,439.131
PondOutcome,100
TotalOutcome,643
PondStart,PondStart
PondIntroTime,15.525603939313442
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.744
Pond10Fish1_PondTime,8.885
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,655
Pond10Fish1_TimeLeft,414.1
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.716
Pond10Fish2_PondTime,16.252
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,667
Pond10Fish2_TimeLeft,406.734
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.617
Pond10Fish3_PondTime,24.067
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,679
Pond10Fish3_TimeLeft,398.919
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,gray
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.664
Pond10Fish4_PondTime,32.435
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,681
Pond10Fish4_TimeLeft,390.551
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.841
Pond10Fish5_PondTime,41.466
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,683
Pond10Fish5_TimeLeft,381.52
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,gray
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.502
Pond10Fish6_PondTime,51.334
Pond10Fish6_PondOutcome,42
Pond10Fish6_TotalOutcome,685
Pond10Fish6_TimeLeft,371.652
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.765
Pond10Fish7_PondTime,62.265
Pond10Fish7_PondOutcome,54
Pond10Fish7_TotalOutcome,697
Pond10Fish7_TimeLeft,360.721
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.442
PondTime,74.075
TimeLeft,348.408
PondOutcome,54
TotalOutcome,697
PondStart,PondStart
PondIntroTime,18.089112667366862
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.033
Pond1Fish1_PondTime,8.033
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,708
Pond1Fish1_TimeLeft,321.669
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.843
Pond1Fish2_PondTime,14.401
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,719
Pond1Fish2_TimeLeft,315.301
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.972
Pond1Fish3_PondTime,21.05
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,730
Pond1Fish3_TimeLeft,308.652
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.616
Pond1Fish4_PondTime,28.034
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,741
Pond1Fish4_TimeLeft,301.668
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.958
Pond1Fish5_PondTime,35.402
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,752
Pond1Fish5_TimeLeft,294.3
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.935
Pond1Fish6_PondTime,43.217
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,763
Pond1Fish6_TimeLeft,286.485
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.517
Pond1Fish7_PondTime,51.584
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,774
Pond1Fish7_TimeLeft,278.118
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,0.511
Pond1Fish8_PondTime,60.617
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,785
Pond1Fish8_TimeLeft,269.085
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.602
Pond1Fish9_PondTime,70.482
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,796
Pond1Fish9_TimeLeft,259.22
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.713
Pond1Fish10_PondTime,81.416
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,807
Pond1Fish10_TimeLeft,248.286
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.679
Pond1Fish11_PondTime,93.783
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,818
Pond1Fish11_TimeLeft,235.919
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,0.687
Pond1Fish12_PondTime,108.15
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,829
Pond1Fish12_TimeLeft,221.552
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.376
PondTime,124.907
TimeLeft,204.293
PondOutcome,132
TotalOutcome,829
PondStart,PondStart
PondIntroTime,10.370680624619126
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.89
Pond11Fish1_PondTime,8.268
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,839
Pond11Fish1_TimeLeft,185.018
Type,RT
