,5d7d252ed929720001b5b712
Pond10Fish10_TotalOutcome,284
Pond10Fish10_TimeLeft,734.261
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.013
Pond10Fish11_PondTime,95.367
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,296
Pond10Fish11_TimeLeft,721.756
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.255
Pond10Fish12_PondTime,109.737
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,308
Pond10Fish12_TimeLeft,707.386
Type,RD
FishN,19
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.287
Pond10Fish13_PondTime,127.126
Pond10Fish13_PondOutcome,156
Pond10Fish13_TotalOutcome,320
Pond10Fish13_TimeLeft,689.997
Type,RD
FishN,19
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,0.856
Pond10Fish14_PondTime,149.647
Pond10Fish14_PondOutcome,168
Pond10Fish14_TotalOutcome,332
Pond10Fish14_TimeLeft,667.476
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,31.543
PondTime,180.245
TimeLeft,636.373
PondOutcome,168
TotalOutcome,332
PondStart,PondStart
PondIntroTime,16.27988993190229
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,7.938
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,332
Pond4Fish1_TimeLeft,611.529
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.106
Pond4Fish2_PondTime,14.067
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,343
Pond4Fish2_TimeLeft,605.4
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.012
Pond4Fish3_PondTime,20.504
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,354
Pond4Fish3_TimeLeft,598.963
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,1.078
Pond4Fish4_PondTime,27.232
Pond4Fish4_PondOutcome,33
Pond4Fish4_TotalOutcome,365
Pond4Fish4_TimeLeft,592.235
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.268
Pond4Fish5_PondTime,34.232
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,376
Pond4Fish5_TimeLeft,585.235
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.223
Pond4Fish6_PondTime,41.606
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,387
Pond4Fish6_TimeLeft,577.861
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,1.865
PondTime,42.889
TimeLeft,576.073
PondOutcome,55
TotalOutcome,387
PondStart,PondStart
PondIntroTime,10.42158069787547
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.179
Pond9Fish1_PondTime,8.688
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,399
Pond9Fish1_TimeLeft,556.33
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.783
Pond9Fish2_PondTime,15.758
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,411
Pond9Fish2_TimeLeft,549.261
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.003
Pond9Fish3_PondTime,23.156
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,423
Pond9Fish3_TimeLeft,541.863
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.253
Pond9Fish4_PondTime,31.102
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,435
Pond9Fish4_TimeLeft,533.917
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.921
Pond9Fish5_PondTime,39.592
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,447
Pond9Fish5_TimeLeft,525.426
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.052
Pond9Fish6_PondTime,48.732
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,459
Pond9Fish6_TimeLeft,516.287
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.056
Pond9Fish7_PondTime,58.721
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,471
Pond9Fish7_TimeLeft,506.298
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.969
Pond9Fish8_PondTime,69.771
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,483
Pond9Fish8_TimeLeft,495.248
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.828
Pond9Fish9_PondTime,82.398
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,495
Pond9Fish9_TimeLeft,482.621
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.063
Pond9Fish10_PondTime,96.829
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,507
Pond9Fish10_TimeLeft,468.19
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,gray
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.079
Pond9Fish11_PondTime,114.321
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,509
Pond9Fish11_TimeLeft,450.698
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,21.216
PondTime,134.813
TimeLeft,429.701
PondOutcome,122
TotalOutcome,509
PondStart,PondStart
PondIntroTime,17.443297731224447
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.224
Pond5Fish1_PondTime,9.815
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,521
Pond5Fish1_TimeLeft,401.79
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.282
Pond5Fish2_PondTime,18.202
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,533
Pond5Fish2_TimeLeft,393.403
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.105
Pond5Fish3_PondTime,27.368
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,545
Pond5Fish3_TimeLeft,384.237
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.094
Pond5Fish4_PondTime,37.374
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,557
Pond5Fish4_TimeLeft,374.23
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.355
Pond5Fish5_PondTime,48.405
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,569
Pond5Fish5_TimeLeft,363.2
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.166
Pond5Fish6_PondTime,60.901
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,581
Pond5Fish6_TimeLeft,350.704
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.212
Pond5Fish7_PondTime,75.275
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,593
Pond5Fish7_TimeLeft,336.33
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,gray
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.585
Pond5Fish8_PondTime,92.731
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,595
Pond5Fish8_TimeLeft,318.874
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.199
Pond5Fish9_PondTime,115.226
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,607
Pond5Fish9_TimeLeft,296.379
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,13.897
PondTime,128.523
TimeLeft,282.577
PondOutcome,98
TotalOutcome,607
PondStart,PondStart
PondIntroTime,17.618587622419
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.465
Pond12Fish1_PondTime,8.574
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,619
Pond12Fish1_TimeLeft,255.541
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.7
Pond12Fish2_PondTime,15.699
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,631
Pond12Fish2_TimeLeft,248.415
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.314
Pond12Fish3_PondTime,23.128
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,643
Pond12Fish3_TimeLeft,240.987
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.546
Pond12Fish4_PondTime,31.063
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,655
Pond12Fish4_TimeLeft,233.051
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,-1
Pond12Fish5_PondTime,39.498
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,655
Pond12Fish5_TimeLeft,224.617
