,5c86d30937a7290017e5e1c6
Pond7Fish3_TimeLeft,1113.67
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.119
Pond7Fish4_PondTime,28.417
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,94
Pond7Fish4_TimeLeft,1106.588
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.763
Pond7Fish5_PondTime,35.921
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,105
Pond7Fish5_TimeLeft,1099.085
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.313
Pond7Fish6_PondTime,43.799
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,116
Pond7Fish6_TimeLeft,1091.207
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.152
Pond7Fish7_PondTime,52.222
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,127
Pond7Fish7_TimeLeft,1082.784
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.209
Pond7Fish8_PondTime,61.344
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,138
Pond7Fish8_TimeLeft,1073.662
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.141
Pond7Fish9_PondTime,71.276
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,149
Pond7Fish9_TimeLeft,1063.73
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,0.894
PondTime,71.523
TimeLeft,1062.973
PondOutcome,99
TotalOutcome,149
PondStart,PondStart
PondIntroTime,11.613778474275023
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.112
Pond8Fish1_PondTime,7.907
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,161
Pond8Fish1_TimeLeft,1042.798
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.079
Pond8Fish2_PondTime,14.106
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,173
Pond8Fish2_TimeLeft,1036.599
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,0.921
Pond8Fish3_PondTime,20.582
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,185
Pond8Fish3_TimeLeft,1030.123
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.076
Pond8Fish4_PondTime,27.322
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,197
Pond8Fish4_TimeLeft,1023.382
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,0.844
Pond8Fish5_PondTime,34.371
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,209
Pond8Fish5_TimeLeft,1016.334
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.145
Pond8Fish6_PondTime,41.82
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,221
Pond8Fish6_TimeLeft,1008.885
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.89
Pond8Fish7_PondTime,49.72
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,233
Pond8Fish7_TimeLeft,1000.984
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.093
Pond8Fish8_PondTime,58.16
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,245
Pond8Fish8_TimeLeft,992.545
PondEnd_LastFish,8
FishN,17
Type,RD
GiveUpTime,1.158
PondTime,58.608
TimeLeft,991.587
PondOutcome,96
TotalOutcome,245
PondStart,PondStart
PondIntroTime,12.779606059193611
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.326
Pond10Fish1_PondTime,9.009
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,257
Pond10Fish1_TimeLeft,969.15
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.917
Pond10Fish2_PondTime,16.458
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,269
Pond10Fish2_TimeLeft,961.701
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.321
Pond10Fish3_PondTime,24.38
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,271
Pond10Fish3_TimeLeft,953.779
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.294
Pond10Fish4_PondTime,32.815
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,283
Pond10Fish4_TimeLeft,945.344
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.019
Pond10Fish5_PondTime,41.94
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,285
Pond10Fish5_TimeLeft,936.219
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.34
Pond10Fish6_PondTime,51.92
Pond10Fish6_PondOutcome,52
Pond10Fish6_TotalOutcome,297
Pond10Fish6_TimeLeft,926.239
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.202
Pond10Fish7_PondTime,62.962
Pond10Fish7_PondOutcome,64
Pond10Fish7_TotalOutcome,309
Pond10Fish7_TimeLeft,915.197
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.763
PondTime,63.127
TimeLeft,914.526
PondOutcome,64
TotalOutcome,309
PondStart,PondStart
PondIntroTime,13.524118456989527
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.191
Pond12Fish1_PondTime,7.905
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,320
Pond12Fish1_TimeLeft,892.421
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.162
Pond12Fish2_PondTime,14.114
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,331
Pond12Fish2_TimeLeft,886.212
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.901
Pond12Fish3_PondTime,20.584
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,342
Pond12Fish3_TimeLeft,879.742
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.939
Pond12Fish4_PondTime,27.356
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,353
Pond12Fish4_TimeLeft,872.97
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.007
Pond12Fish5_PondTime,34.4
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,364
Pond12Fish5_TimeLeft,865.926
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.468
Pond12Fish6_PondTime,41.848
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,375
Pond12Fish6_TimeLeft,858.478
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1
Pond12Fish7_PondTime,49.778
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,386
Pond12Fish7_TimeLeft,850.548
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.937
Pond12Fish8_PondTime,58.262
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,397
Pond12Fish8_TimeLeft,842.063
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.29
Pond12Fish9_PondTime,67.375
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,408
Pond12Fish9_TimeLeft,832.951
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.192
Pond12Fish10_PondTime,77.295
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,419
Pond12Fish10_TimeLeft,823.031
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,0.91
PondTime,77.586
TimeLeft,822.225
PondOutcome,110
TotalOutcome,419
PondStart,PondStart
PondIntroTime,10.696432653348893
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.199
Pond3Fish1_PondTime,7.961
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,429
Pond3Fish1_TimeLeft,802.887
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.956
Pond3Fish2_PondTime,14.134
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,439
Pond3Fish2_TimeLeft,796.713
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.793
Pond3Fish3_PondTime,20.579
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,449
Pond3Fish3_TimeLeft,790.269
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.006
Pond3Fish4_PondTime,27.326
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,459
Pond3Fish4_TimeLeft,783.522
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.199
Pond3Fish5_PondTime,34.391
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,469
Pond3Fish5_TimeLeft,776.457
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.144
Pond3Fish6_PondTime,41.873
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,479
Pond3Fish6_TimeLeft,768.975
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.113
Pond3Fish7_PondTime,49.824
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,489
Pond3Fish7_TimeLeft,761.024
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.077
Pond3Fish8_PondTime,58.276
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,499
Pond3Fish8_TimeLeft,752.572
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.149
Pond3Fish9_PondTime,67.395
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,509
Pond3Fish9_TimeLeft,743.453
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.355
Pond3Fish10_PondTime,77.318
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,519
Pond3Fish10_TimeLeft,733.53
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,0.917
PondTime,77.792
TimeLeft,732.55
PondOutcome,100
TotalOutcome,519
PondStart,PondStart
PondIntroTime,11.237718630582094
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.282
Pond6Fish1_PondTime,9.823
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,531
Pond6Fish1_TimeLeft,710.833
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.957
Pond6Fish2_PondTime,18.296
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,543
Pond6Fish2_TimeLeft,702.36
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.252
Pond6Fish3_PondTime,27.401
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,555
Pond6Fish3_TimeLeft,693.255
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.305
Pond6Fish4_PondTime,37.366
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,567
Pond6Fish4_TimeLeft,683.289
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.276
Pond6Fish5_PondTime,48.393
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,579
Pond6Fish5_TimeLeft,672.263
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.187
Pond6Fish6_PondTime,60.834
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,591
Pond6Fish6_TimeLeft,659.821
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.384
Pond6Fish7_PondTime,75.266
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,603
Pond6Fish7_TimeLeft,645.39
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.828
PondTime,75.681
TimeLeft,644.467
PondOutcome,84
TotalOutcome,603
PondStart,PondStart
PondIntroTime,18.449620152823627
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.147
Pond4Fish1_PondTime,8.665
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,615
Pond4Fish1_TimeLeft,616.666
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.139
Pond4Fish2_PondTime,15.739
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,627
Pond4Fish2_TimeLeft,609.592
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.141
Pond4Fish3_PondTime,23.203
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,639
Pond4Fish3_TimeLeft,602.128
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.004
Pond4Fish4_PondTime,31.101
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,651
Pond4Fish4_TimeLeft,594.23
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.745
Pond4Fish5_PondTime,39.549
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,663
Pond4Fish5_TimeLeft,585.782
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.928
Pond4Fish6_PondTime,48.669
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,675
Pond4Fish6_TimeLeft,576.662
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.14
Pond4Fish7_PondTime,58.626
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,687
Pond4Fish7_TimeLeft,566.705
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.066
Pond4Fish8_PondTime,69.649
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,699
Pond4Fish8_TimeLeft,555.682
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,0.96
Pond4Fish9_PondTime,82.105
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,711
Pond4Fish9_TimeLeft,543.226
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.088
Pond4Fish10_PondTime,96.556
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,723
Pond4Fish10_TimeLeft,528.774
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.734
PondTime,96.576
TimeLeft,528.248
PondOutcome,120
TotalOutcome,723
PondStart,PondStart
PondIntroTime,17.982881155330688
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.626
Pond9Fish1_PondTime,8.11
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,734
Pond9Fish1_TimeLeft,501.501
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.833
Pond9Fish2_PondTime,14.555
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,745
Pond9Fish2_TimeLeft,495.056
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.224
Pond9Fish3_PondTime,21.286
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,756
Pond9Fish3_TimeLeft,488.325
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.216
Pond9Fish4_PondTime,28.334
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,767
Pond9Fish4_TimeLeft,481.277
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.141
Pond9Fish5_PondTime,35.776
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,778
Pond9Fish5_TimeLeft,473.835
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.145
Pond9Fish6_PondTime,43.664
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,789
Pond9Fish6_TimeLeft,465.947
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.949
Pond9Fish7_PondTime,52.088
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,800
Pond9Fish7_TimeLeft,457.523
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,-1
Pond9Fish8_PondTime,61.251
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,800
Pond9Fish8_TimeLeft,448.359
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.123
Pond9Fish9_PondTime,71.209
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,811
Pond9Fish9_TimeLeft,438.402
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.151
Pond9Fish10_PondTime,82.233
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,822
Pond9Fish10_TimeLeft,427.376
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.494
Pond9Fish11_PondTime,94.67
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,833
Pond9Fish11_TimeLeft,414.94
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.157
PondTime,95.524
TimeLeft,413.58
PondOutcome,110
TotalOutcome,833
PondStart,PondStart
PondIntroTime,19.552927676122636
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.179
Pond11Fish1_PondTime,8.366
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,843
Pond11Fish1_TimeLeft,384.978
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.271
Pond11Fish2_PondTime,15.105
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,853
Pond11Fish2_TimeLeft,378.239
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.591
Pond11Fish3_PondTime,22.168
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,863
Pond11Fish3_TimeLeft,371.176
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.883
Pond11Fish4_PondTime,29.635
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,883
Pond11Fish4_TimeLeft,363.709
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.157
Pond11Fish5_PondTime,37.518
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,893
