,568096c0c5767f00121cca3f
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.881
Pond11Fish5_PondTime,37.147
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,50
Pond11Fish5_TimeLeft,1165.252
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.002
Pond11Fish6_PondTime,45.522
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,60
Pond11Fish6_TimeLeft,1156.877
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.771
Pond11Fish7_PondTime,54.56
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,70
Pond11Fish7_TimeLeft,1147.839
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.768
Pond11Fish8_PondTime,64.431
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,80
Pond11Fish8_TimeLeft,1137.968
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.881
Pond11Fish9_PondTime,75.369
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,90
Pond11Fish9_TimeLeft,1127.03
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.765
PondTime,87.482
TimeLeft,1114.414
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,19.45473383879289
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.906
Pond9Fish1_PondTime,9.737
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,100
Pond9Fish1_TimeLeft,1084.599
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.961
Pond9Fish2_PondTime,18.11
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,120
Pond9Fish2_TimeLeft,1076.226
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.835
Pond9Fish3_PondTime,27.149
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,130
Pond9Fish3_TimeLeft,1067.187
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.762
Pond9Fish4_PondTime,37.036
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,140
Pond9Fish4_TimeLeft,1057.3
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.135
Pond9Fish5_PondTime,47.98
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,150
Pond9Fish5_TimeLeft,1046.356
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.131
Pond9Fish6_PondTime,60.365
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,160
Pond9Fish6_TimeLeft,1033.971
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.887
Pond9Fish7_PondTime,74.737
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,170
Pond9Fish7_TimeLeft,1019.599
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.753
Pond9Fish8_PondTime,92.186
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,180
Pond9Fish8_TimeLeft,1002.15
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,0.908
PondTime,92.992
TimeLeft,1000.841
PondOutcome,90
TotalOutcome,180
PondStart,PondStart
PondIntroTime,15.073399485554546
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.047
Pond2Fish1_PondTime,7.822
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,192
Pond2Fish1_TimeLeft,977.318
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.003
Pond2Fish2_PondTime,13.951
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,204
Pond2Fish2_TimeLeft,971.189
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.059
Pond2Fish3_PondTime,20.323
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,216
Pond2Fish3_TimeLeft,964.817
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.884
Pond2Fish4_PondTime,26.995
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,228
Pond2Fish4_TimeLeft,958.145
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.096
Pond2Fish5_PondTime,33.994
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,240
Pond2Fish5_TimeLeft,951.146
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.959
Pond2Fish6_PondTime,41.372
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,252
Pond2Fish6_TimeLeft,943.768
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,0.899
Pond2Fish7_PondTime,49.208
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,264
Pond2Fish7_TimeLeft,935.932
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.904
Pond2Fish8_PondTime,57.595
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,276
Pond2Fish8_TimeLeft,927.545
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.818
Pond2Fish9_PondTime,66.648
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,288
Pond2Fish9_TimeLeft,918.492
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.027
Pond2Fish10_PondTime,76.537
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,300
Pond2Fish10_TimeLeft,908.603
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.091
Pond2Fish11_PondTime,87.484
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,312
Pond2Fish11_TimeLeft,897.656
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,0.705
Pond2Fish12_PondTime,99.862
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,324
Pond2Fish12_TimeLeft,885.278
PondEnd_LastFish,12
FishN,12
Type,RD
GiveUpTime,0.552
PondTime,113.775
TimeLeft,870.863
PondOutcome,144
TotalOutcome,324
PondStart,PondStart
PondIntroTime,11.612349525094032
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.822
Pond3Fish1_PondTime,8.916
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,326
Pond3Fish1_TimeLeft,849.707
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.793
Pond3Fish2_PondTime,16.296
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,338
Pond3Fish2_TimeLeft,842.327
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.901
Pond3Fish3_PondTime,24.125
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,350
Pond3Fish3_TimeLeft,834.498
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.694
Pond3Fish4_PondTime,32.493
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,362
Pond3Fish4_TimeLeft,826.13
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.595
Pond3Fish5_PondTime,41.538
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,374
Pond3Fish5_TimeLeft,817.085
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.647
Pond3Fish6_PondTime,51.428
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,386
Pond3Fish6_TimeLeft,807.195
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.712
Pond3Fish7_PondTime,62.387
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,398
Pond3Fish7_TimeLeft,796.236
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.037
Pond3Fish8_PondTime,74.759
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,410
Pond3Fish8_TimeLeft,783.864
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,0.555
PondTime,88.79
TimeLeft,769.331
PondOutcome,86
TotalOutcome,410
PondStart,PondStart
PondIntroTime,12.18013535020873
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.786
Pond6Fish1_PondTime,9.287
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,422
Pond6Fish1_TimeLeft,747.235
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.642
Pond6Fish2_PondTime,17.118
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,434
Pond6Fish2_TimeLeft,739.404
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.535
Pond6Fish3_PondTime,25.508
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,446
Pond6Fish3_TimeLeft,731.014
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.784
Pond6Fish4_PondTime,34.547
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,458
Pond6Fish4_TimeLeft,721.975
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.877
Pond6Fish5_PondTime,44.432
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,470
Pond6Fish5_TimeLeft,712.09
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.673
Pond6Fish6_PondTime,55.368
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,482
Pond6Fish6_TimeLeft,701.154
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.765
Pond6Fish7_PondTime,67.736
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,494
Pond6Fish7_TimeLeft,688.786
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.449
PondTime,81.428
TimeLeft,674.591
PondOutcome,84
TotalOutcome,494
PondStart,PondStart
PondIntroTime,10.475035367999226
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.881
Pond10Fish1_PondTime,8.903
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,504
Pond10Fish1_TimeLeft,654.581
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.945
Pond10Fish2_PondTime,16.287
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,514
Pond10Fish2_TimeLeft,647.197
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.983
Pond10Fish3_PondTime,24.117
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,524
Pond10Fish3_TimeLeft,639.367
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.672
Pond10Fish4_PondTime,32.488
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,534
Pond10Fish4_TimeLeft,630.996
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.826
Pond10Fish5_PondTime,41.523
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,544
Pond10Fish5_TimeLeft,621.96
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.345
Pond10Fish6_PondTime,51.411
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,554
Pond10Fish6_TimeLeft,612.073
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.07
Pond10Fish7_PondTime,62.36
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,564
Pond10Fish7_TimeLeft,601.124
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.515
Pond10Fish8_PondTime,74.719
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,574
Pond10Fish8_TimeLeft,588.765
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.986
Pond10Fish9_PondTime,89.078
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,584
Pond10Fish9_TimeLeft,574.406
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,0.445
PondTime,106.014
TimeLeft,556.967
PondOutcome,90
TotalOutcome,584
PondStart,PondStart
PondIntroTime,18.44257118180394
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.922
Pond7Fish1_PondTime,8.915
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,594
Pond7Fish1_TimeLeft,529.001
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.956
Pond7Fish2_PondTime,16.3
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,604
Pond7Fish2_TimeLeft,521.616
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.818
Pond7Fish3_PondTime,24.129
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,614
Pond7Fish3_TimeLeft,513.787
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.834
Pond7Fish4_PondTime,32.504
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,624
Pond7Fish4_TimeLeft,505.412
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.68
Pond7Fish5_PondTime,41.542
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,634
Pond7Fish5_TimeLeft,496.374
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.851
Pond7Fish6_PondTime,51.426
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,644
Pond7Fish6_TimeLeft,486.49
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.974
Pond7Fish7_PondTime,62.373
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,654
Pond7Fish7_TimeLeft,475.543
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.87
Pond7Fish8_PondTime,74.756
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,664
Pond7Fish8_TimeLeft,463.16
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.196
Pond7Fish9_PondTime,89.136
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,674
Pond7Fish9_TimeLeft,448.78
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,golden
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,0.752
Pond7Fish10_PondTime,106.5
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,694
Pond7Fish10_TimeLeft,431.416
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.393
PondTime,128.374
TimeLeft,409.04
PondOutcome,110
TotalOutcome,694
PondStart,PondStart
PondIntroTime,14.204271212220192
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.272
Pond4Fish1_PondTime,8.899
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,704
Pond4Fish1_TimeLeft,385.304
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.789
Pond4Fish2_PondTime,16.278
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,714
Pond4Fish2_TimeLeft,377.925
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.836
Pond4Fish3_PondTime,24.106
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,724
Pond4Fish3_TimeLeft,370.097
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.723
Pond4Fish4_PondTime,32.477
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,734
Pond4Fish4_TimeLeft,361.726
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.037
Pond4Fish5_PondTime,41.529
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,744
Pond4Fish5_TimeLeft,352.674
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.697
Pond4Fish6_PondTime,51.403
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,754
Pond4Fish6_TimeLeft,342.8
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.827
Pond4Fish7_PondTime,62.484
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,764
Pond4Fish7_TimeLeft,331.719
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.166
Pond4Fish8_PondTime,74.863
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,774
Pond4Fish8_TimeLeft,319.34
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,0.911
Pond4Fish9_PondTime,89.237
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,784
Pond4Fish9_TimeLeft,304.966
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.552
PondTime,106.049
TimeLeft,287.651
PondOutcome,90
TotalOutcome,784
PondStart,PondStart
PondIntroTime,15.55596019839868
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.328
Pond5Fish1_PondTime,9.746
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,794
Pond5Fish1_TimeLeft,261.727
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.63
Pond5Fish2_PondTime,18.12
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,804
Pond5Fish2_TimeLeft,253.353
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,golden
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.698
Pond5Fish3_PondTime,27.171
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,824
Pond5Fish3_TimeLeft,244.302
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.042
Pond5Fish4_PondTime,37.053
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,834
Pond5Fish4_TimeLeft,234.42
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.28
Pond5Fish5_PondTime,47.993
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,844
Pond5Fish5_TimeLeft,223.48
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.993
Pond5Fish6_PondTime,60.379
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,854
Pond5Fish6_TimeLeft,211.094
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.4
Pond5Fish7_PondTime,74.752
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,864
Pond5Fish7_TimeLeft,196.72
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,0.98
Pond5Fish8_PondTime,92.134
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,874
Pond5Fish8_TimeLeft,179.339
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.609
PondTime,114.089
TimeLeft,156.882
PondOutcome,90
TotalOutcome,874
PondStart,PondStart
PondIntroTime,18.704242079984397
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.788
Pond1Fish1_PondTime,9.296
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,886
Pond1Fish1_TimeLeft,128.271
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.736
Pond1Fish2_PondTime,17.116
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,898
Pond1Fish2_TimeLeft,120.451
