,5bdd41fe18f1b9000173f12a
Pond11Fish3_PondTime,22.919
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,40
Pond11Fish3_TimeLeft,1179.48
PondEnd_LastFish,3
FishN,14
Type,RT
GiveUpTime,0.837
PondTime,30.664
TimeLeft,1171.232
PondOutcome,40
TotalOutcome,40
PondStart,PondStart
PondIntroTime,18.973137657158077
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.969
Pond8Fish1_PondTime,7.614
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,51
Pond8Fish1_TimeLeft,1144.015
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,0.987
Pond8Fish2_PondTime,13.509
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,62
Pond8Fish2_TimeLeft,1138.12
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.73
Pond8Fish3_PondTime,19.618
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,73
Pond8Fish3_TimeLeft,1132.011
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.858
Pond8Fish4_PondTime,25.979
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,84
Pond8Fish4_TimeLeft,1125.65
PondEnd_LastFish,4
FishN,17
Type,N
GiveUpTime,0.618
PondTime,32.47
TimeLeft,1118.657
PondOutcome,44
TotalOutcome,84
PondStart,PondStart
PondIntroTime,18.879064498469234
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.783
Pond6Fish1_PondTime,8.026
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,94
Pond6Fish1_TimeLeft,1091.107
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.888
Pond6Fish2_PondTime,14.392
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,104
Pond6Fish2_TimeLeft,1084.741
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.859
Pond6Fish3_PondTime,21.05
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,114
Pond6Fish3_TimeLeft,1078.083
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.748
Pond6Fish4_PondTime,28.026
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,124
Pond6Fish4_TimeLeft,1071.107
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.172
Pond6Fish5_PondTime,35.385
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,134
Pond6Fish5_TimeLeft,1063.748
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,-1
Pond6Fish6_PondTime,43.271
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,134
Pond6Fish6_TimeLeft,1055.862
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.853
PondTime,51.549
TimeLeft,1047.081
PondOutcome,50
TotalOutcome,134
PondStart,PondStart
PondIntroTime,13.724619692657143
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.632
Pond1Fish1_PondTime,9.289
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,145
Pond1Fish1_TimeLeft,1023.447
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.881
Pond1Fish2_PondTime,17.303
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,156
Pond1Fish2_TimeLeft,1015.433
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.066
Pond1Fish3_PondTime,25.663
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,167
Pond1Fish3_TimeLeft,1007.073
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.92
Pond1Fish4_PondTime,34.686
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,178
Pond1Fish4_TimeLeft,998.05
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.721
Pond1Fish5_PondTime,44.556
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,189
Pond1Fish5_TimeLeft,988.18
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.342
Pond1Fish6_PondTime,55.494
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,200
Pond1Fish6_TimeLeft,977.242
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.449
PondTime,67.493
TimeLeft,964.739
PondOutcome,66
TotalOutcome,200
PondStart,PondStart
PondIntroTime,12.668833071365952
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.063
Pond4Fish1_PondTime,7.802
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,211
Pond4Fish1_TimeLeft,943.648
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,0.933
Pond4Fish2_PondTime,13.918
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,222
Pond4Fish2_TimeLeft,937.531
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1
Pond4Fish3_PondTime,20.282
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,233
Pond4Fish3_TimeLeft,931.167
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,1.062
Pond4Fish4_PondTime,26.923
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,244
Pond4Fish4_TimeLeft,924.527
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.102
Pond4Fish5_PondTime,33.897
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,255
Pond4Fish5_TimeLeft,917.553
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.993
Pond4Fish6_PondTime,41.254
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,266
Pond4Fish6_TimeLeft,910.196
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.815
Pond4Fish7_PondTime,49.085
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,277
Pond4Fish7_TimeLeft,902.365
PondEnd_LastFish,7
FishN,16
Type,N
GiveUpTime,1.435
PondTime,49.535
TimeLeft,901.411
PondOutcome,77
TotalOutcome,277
PondStart,PondStart
PondIntroTime,10.177553475368768
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.703
Pond3Fish1_PondTime,9.28
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,297
Pond3Fish1_TimeLeft,881.333
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.939
Pond3Fish2_PondTime,17.098
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,307
Pond3Fish2_TimeLeft,873.516
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.778
Pond3Fish3_PondTime,25.458
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,317
Pond3Fish3_TimeLeft,865.156
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.778
Pond3Fish4_PondTime,34.482
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,327
Pond3Fish4_TimeLeft,856.132
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.746
Pond3Fish5_PondTime,44.353
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,337
Pond3Fish5_TimeLeft,846.261
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.005
Pond3Fish6_PondTime,55.298
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,347
Pond3Fish6_TimeLeft,835.316
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.677
Pond3Fish7_PondTime,67.664
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,357
Pond3Fish7_TimeLeft,822.95
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,0.649
PondTime,81.695
TimeLeft,808.416
PondOutcome,80
TotalOutcome,357
PondStart,PondStart
PondIntroTime,15.973362054210156
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.837
Pond5Fish1_PondTime,8.276
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,367
Pond5Fish1_TimeLeft,783.528
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.985
Pond5Fish2_PondTime,14.925
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,377
Pond5Fish2_TimeLeft,776.879
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.754
Pond5Fish3_PondTime,21.908
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,387
Pond5Fish3_TimeLeft,769.896
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.163
Pond5Fish4_PondTime,29.28
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,397
Pond5Fish4_TimeLeft,762.524
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.028
Pond5Fish5_PondTime,37.106
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,407
Pond5Fish5_TimeLeft,754.698
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,-1
Pond5Fish6_PondTime,45.521
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,407
Pond5Fish6_TimeLeft,746.283
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.807
Pond5Fish7_PondTime,54.557
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,417
Pond5Fish7_TimeLeft,737.247
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.943
Pond5Fish8_PondTime,64.427
Pond5Fish8_PondOutcome,70
Pond5Fish8_TotalOutcome,427
Pond5Fish8_TimeLeft,727.377
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.984
Pond5Fish9_PondTime,75.362
Pond5Fish9_PondOutcome,80
Pond5Fish9_TotalOutcome,437
Pond5Fish9_TimeLeft,716.442
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.77
Pond5Fish10_PondTime,87.739
Pond5Fish10_PondOutcome,90
Pond5Fish10_TotalOutcome,447
Pond5Fish10_TimeLeft,704.065
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.146
Pond5Fish11_PondTime,102.097
Pond5Fish11_PondOutcome,100
Pond5Fish11_TotalOutcome,457
Pond5Fish11_TimeLeft,689.707
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,golden
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.067
Pond5Fish12_PondTime,119.468
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,477
Pond5Fish12_TimeLeft,672.336
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,0.804
Pond5Fish13_PondTime,141.833
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,487
Pond5Fish13_TimeLeft,649.97
PondEnd_LastFish,13
FishN,12
Type,RT
GiveUpTime,22.134
PondTime,162.982
TimeLeft,628.318
PondOutcome,130
TotalOutcome,487
PondStart,PondStart
PondIntroTime,12.210318220313638
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.114
Pond12Fish1_PondTime,8.557
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,499
Pond12Fish1_TimeLeft,606.922
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.439
Pond12Fish2_PondTime,15.531
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,511
Pond12Fish2_TimeLeft,599.948
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.155
Pond12Fish3_PondTime,22.911
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,523
Pond12Fish3_TimeLeft,592.568
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.967
Pond12Fish4_PondTime,30.748
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,525
Pond12Fish4_TimeLeft,584.73
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.674
Pond12Fish5_PondTime,39.118
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,527
Pond12Fish5_TimeLeft,576.361
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.456
Pond12Fish6_PondTime,48.153
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,539
Pond12Fish6_TimeLeft,567.326
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.256
Pond12Fish7_PondTime,58.016
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,551
Pond12Fish7_TimeLeft,557.463
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.052
Pond12Fish8_PondTime,68.944
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,563
Pond12Fish8_TimeLeft,546.535
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.692
Pond12Fish9_PondTime,81.332
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,575
Pond12Fish9_TimeLeft,534.147
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.748
PondTime,95.442
TimeLeft,519.535
PondOutcome,88
TotalOutcome,575
PondStart,PondStart
PondIntroTime,11.009073914028704
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.106
Pond2Fish1_PondTime,8.029
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,585
Pond2Fish1_TimeLeft,499.882
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.99
Pond2Fish2_PondTime,14.39
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,595
Pond2Fish2_TimeLeft,493.521
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.965
Pond2Fish3_PondTime,21.03
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,605
Pond2Fish3_TimeLeft,486.881
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.234
Pond2Fish4_PondTime,28.009
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,615
Pond2Fish4_TimeLeft,479.901
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.939
Pond2Fish5_PondTime,35.379
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,625
Pond2Fish5_TimeLeft,472.532
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,golden
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.051
Pond2Fish6_PondTime,43.197
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,645
Pond2Fish6_TimeLeft,464.714
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.604
Pond2Fish7_PondTime,51.564
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,655
Pond2Fish7_TimeLeft,456.347
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.552
Pond2Fish8_PondTime,60.591
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,665
Pond2Fish8_TimeLeft,447.32
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.852
Pond2Fish9_PondTime,70.449
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,675
Pond2Fish9_TimeLeft,437.461
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.108
Pond2Fish10_PondTime,81.394
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,685
Pond2Fish10_TimeLeft,426.517
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,1.211
Pond2Fish11_PondTime,93.758
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,695
Pond2Fish11_TimeLeft,414.153
PondEnd_LastFish,11
FishN,12
Type,RT
GiveUpTime,0.681
PondTime,107.929
TimeLeft,399.48
PondOutcome,120
TotalOutcome,695
PondStart,PondStart
PondIntroTime,19.436676853802055
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,2.045
Pond9Fish1_PondTime,8.329
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,707
Pond9Fish1_TimeLeft,371.102
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,0.953
Pond9Fish2_PondTime,14.971
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,719
Pond9Fish2_TimeLeft,364.46
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.992
Pond9Fish3_PondTime,21.947
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,731
Pond9Fish3_TimeLeft,357.484
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.147
Pond9Fish4_PondTime,29.31
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,743
Pond9Fish4_TimeLeft,350.12
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.201
Pond9Fish5_PondTime,37.119
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,755
Pond9Fish5_TimeLeft,342.311
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.018
Pond9Fish6_PondTime,45.488
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,767
Pond9Fish6_TimeLeft,333.943
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.044
Pond9Fish7_PondTime,54.519
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,779
Pond9Fish7_TimeLeft,324.912
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,-1
Pond9Fish8_PondTime,64.432
Pond9Fish8_PondOutcome,84
Pond9Fish8_TotalOutcome,779
Pond9Fish8_TimeLeft,314.999
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.559
Pond9Fish9_PondTime,75.381
Pond9Fish9_PondOutcome,96
Pond9Fish9_TotalOutcome,791
Pond9Fish9_TimeLeft,304.05
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,1.286
Pond9Fish10_PondTime,87.747
Pond9Fish10_PondOutcome,108
Pond9Fish10_TotalOutcome,803
Pond9Fish10_TimeLeft,291.684
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,1.223
Pond9Fish11_PondTime,102.106
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,815
Pond9Fish11_TimeLeft,277.325
Type,RD
FishN,16
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,12
Pond9Fish12_CatchTime,1.335
Pond9Fish12_PondTime,119.463
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,827
Pond9Fish12_TimeLeft,259.968
Type,RD
FishN,16
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,15
Pond9Fish13_CatchTime,1.05
Pond9Fish13_PondTime,141.833
Pond9Fish13_PondOutcome,144
Pond9Fish13_TotalOutcome,839
Pond9Fish13_TimeLeft,237.598
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,29.472
PondTime,170.554
TimeLeft,208.374
PondOutcome,144
TotalOutcome,839
PondStart,PondStart
PondIntroTime,12.946285570506006
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.688
Pond7Fish1_PondTime,9.278
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,851
Pond7Fish1_TimeLeft,185.512
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.001
Pond7Fish2_PondTime,17.109
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,863
Pond7Fish2_TimeLeft,177.681
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
