,5c6ead0566817100014bfec1
Pond5Fish7_CatchTime,0.892
Pond5Fish7_PondTime,74.655
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,257
Pond5Fish7_TimeLeft,928.629
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.119
Pond5Fish8_PondTime,92.013
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,268
Pond5Fish8_TimeLeft,911.271
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,1.006
PondTime,92.35
TimeLeft,910.431
PondOutcome,88
TotalOutcome,268
PondStart,PondStart
PondIntroTime,18.31419963389635
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.054
Pond4Fish1_PondTime,9.277
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,278
Pond4Fish1_TimeLeft,882.224
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.045
Pond4Fish2_PondTime,17.095
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,288
Pond4Fish2_TimeLeft,874.406
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.03
Pond4Fish3_PondTime,25.461
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,308
Pond4Fish3_TimeLeft,866.04
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.063
Pond4Fish4_PondTime,34.493
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,318
Pond4Fish4_TimeLeft,857.008
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.045
Pond4Fish5_PondTime,44.359
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,338
Pond4Fish5_TimeLeft,847.142
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.736
Pond4Fish6_PondTime,55.292
Pond4Fish6_PondOutcome,90
Pond4Fish6_TotalOutcome,358
Pond4Fish6_TimeLeft,836.209
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.003
Pond4Fish7_PondTime,67.663
Pond4Fish7_PondOutcome,100
Pond4Fish7_TotalOutcome,368
Pond4Fish7_TimeLeft,823.838
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.94
Pond4Fish8_PondTime,82.025
Pond4Fish8_PondOutcome,110
Pond4Fish8_TotalOutcome,378
Pond4Fish8_TimeLeft,809.476
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.142
Pond4Fish9_PondTime,99.39
Pond4Fish9_PondOutcome,120
Pond4Fish9_TotalOutcome,388
Pond4Fish9_TimeLeft,792.111
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.024
Pond4Fish10_PondTime,121.755
Pond4Fish10_PondOutcome,130
Pond4Fish10_TotalOutcome,398
Pond4Fish10_TimeLeft,769.746
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,1.107
PondTime,122.095
TimeLeft,768.904
PondOutcome,130
TotalOutcome,398
PondStart,PondStart
PondIntroTime,17.80204087495804
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,0.935
Pond2Fish1_PondTime,8.56
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,409
Pond2Fish1_TimeLeft,741.898
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.361
Pond2Fish2_PondTime,15.527
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,420
Pond2Fish2_TimeLeft,734.931
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,22.96
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,420
Pond2Fish3_TimeLeft,727.498
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.895
Pond2Fish4_PondTime,30.775
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,431
Pond2Fish4_TimeLeft,719.683
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.193
Pond2Fish5_PondTime,39.143
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,442
Pond2Fish5_TimeLeft,711.315
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,0.935
Pond2Fish6_PondTime,48.176
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,453
Pond2Fish6_TimeLeft,702.282
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.937
Pond2Fish7_PondTime,58.04
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,464
Pond2Fish7_TimeLeft,692.418
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.32
Pond2Fish8_PondTime,68.976
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,475
Pond2Fish8_TimeLeft,681.482
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.946
Pond2Fish9_PondTime,81.342
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,486
Pond2Fish9_TimeLeft,669.116
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.27
Pond2Fish10_PondTime,95.707
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,497
Pond2Fish10_TimeLeft,654.751
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,0.685
PondTime,112.858
TimeLeft,637.099
PondOutcome,99
TotalOutcome,497
PondStart,PondStart
PondIntroTime,17.645168758463115
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.952
Pond1Fish1_PondTime,7.605
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,509
Pond1Fish1_TimeLeft,611.217
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.125
Pond1Fish2_PondTime,13.502
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,521
Pond1Fish2_TimeLeft,605.32
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.855
Pond1Fish3_PondTime,19.619
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,533
Pond1Fish3_TimeLeft,599.203
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.738
Pond1Fish4_PondTime,25.984
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,545
Pond1Fish4_TimeLeft,592.838
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.996
Pond1Fish5_PondTime,32.623
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,557
Pond1Fish5_TimeLeft,586.199
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.97
Pond1Fish6_PondTime,41.282
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,569
Pond1Fish6_TimeLeft,577.539
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.001
Pond1Fish7_PondTime,48.651
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,581
Pond1Fish7_TimeLeft,570.171
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.208
Pond1Fish8_PondTime,56.467
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,593
Pond1Fish8_TimeLeft,562.355
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.154
Pond1Fish9_PondTime,64.834
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,605
Pond1Fish9_TimeLeft,553.988
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.096
Pond1Fish10_PondTime,73.869
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,617
Pond1Fish10_TimeLeft,544.953
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,0.871
PondTime,74.038
TimeLeft,544.281
PondOutcome,120
TotalOutcome,617
PondStart,PondStart
PondIntroTime,14.797631741967052
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.805
Pond12Fish1_PondTime,7.602
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,629
Pond12Fish1_TimeLeft,521.255
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.899
Pond12Fish2_PondTime,13.483
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,641
Pond12Fish2_TimeLeft,515.374
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.91
Pond12Fish3_PondTime,19.601
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,653
Pond12Fish3_TimeLeft,509.256
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.015
Pond12Fish4_PondTime,25.968
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,665
Pond12Fish4_TimeLeft,502.889
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.767
Pond12Fish5_PondTime,32.617
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,677
Pond12Fish5_TimeLeft,496.24
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.807
Pond12Fish6_PondTime,39.6
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,689
Pond12Fish6_TimeLeft,489.257
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.984
Pond12Fish7_PondTime,46.966
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,701
Pond12Fish7_TimeLeft,481.891
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.92
Pond12Fish8_PondTime,54.783
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,713
Pond12Fish8_TimeLeft,474.074
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.001
Pond12Fish9_PondTime,63.149
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,725
Pond12Fish9_TimeLeft,465.708
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.765
PondTime,72.113
TimeLeft,456.241
PondOutcome,108
TotalOutcome,725
PondStart,PondStart
PondIntroTime,13.732916465960443
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.05
Pond7Fish1_PondTime,7.794
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,735
Pond7Fish1_TimeLeft,434.093
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.174
Pond7Fish2_PondTime,13.909
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,745
Pond7Fish2_TimeLeft,427.978
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.072
Pond7Fish3_PondTime,20.278
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,755
Pond7Fish3_TimeLeft,421.609
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.836
Pond7Fish4_PondTime,26.93
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,765
Pond7Fish4_TimeLeft,414.957
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.126
Pond7Fish5_PondTime,33.911
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,775
Pond7Fish5_TimeLeft,407.976
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.039
Pond7Fish6_PondTime,41.285
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,785
Pond7Fish6_TimeLeft,400.602
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.047
Pond7Fish7_PondTime,49.109
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,795
Pond7Fish7_TimeLeft,392.778
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.852
Pond7Fish8_PondTime,57.48
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,805
Pond7Fish8_TimeLeft,384.407
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.952
Pond7Fish9_PondTime,66.508
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,815
Pond7Fish9_TimeLeft,375.379
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.965
Pond7Fish10_PondTime,76.374
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,825
Pond7Fish10_TimeLeft,365.513
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.057
Pond7Fish11_PondTime,87.306
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,835
Pond7Fish11_TimeLeft,354.581
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,0.748
PondTime,99.654
TimeLeft,341.731
PondOutcome,110
TotalOutcome,835
PondStart,PondStart
PondIntroTime,16.67051029857248
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.229
Pond6Fish1_PondTime,8.562
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,846
Pond6Fish1_TimeLeft,315.866
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.246
Pond6Fish2_PondTime,15.546
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,857
Pond6Fish2_TimeLeft,308.882
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.821
Pond6Fish3_PondTime,22.916
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,868
Pond6Fish3_TimeLeft,301.512
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.271
Pond6Fish4_PondTime,30.729
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,879
Pond6Fish4_TimeLeft,293.699
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.012
Pond6Fish5_PondTime,39.094
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,890
Pond6Fish5_TimeLeft,285.334
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.023
Pond6Fish6_PondTime,48.115
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,901
Pond6Fish6_TimeLeft,276.313
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.998
Pond6Fish7_PondTime,57.98
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,912
Pond6Fish7_TimeLeft,266.448
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.074
Pond6Fish8_PondTime,68.91
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,923
Pond6Fish8_TimeLeft,255.518
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.001
Pond6Fish9_PondTime,81.262
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,934
