,5d45d84d1a2c130015ebc6ee
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.069
Pond6Fish3_PondTime,25.467
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,140
Pond6Fish3_TimeLeft,1073.517
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.081
Pond6Fish4_PondTime,34.499
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,150
Pond6Fish4_TimeLeft,1064.485
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.891
Pond6Fish5_PondTime,44.364
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,160
Pond6Fish5_TimeLeft,1054.62
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.348
Pond6Fish6_PondTime,55.314
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,170
Pond6Fish6_TimeLeft,1043.67
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.903
Pond6Fish7_PondTime,67.678
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,180
Pond6Fish7_TimeLeft,1031.306
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.172
Pond6Fish8_PondTime,82.046
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,190
Pond6Fish8_TimeLeft,1016.938
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,1.629
Pond6Fish9_PondTime,99.426
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,210
Pond6Fish9_TimeLeft,999.558
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,1.139
Pond6Fish10_PondTime,121.81
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,220
Pond6Fish10_TimeLeft,977.173
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,24.772
PondTime,145.928
TimeLeft,952.55
PondOutcome,110
TotalOutcome,220
PondStart,PondStart
PondIntroTime,18.98980210768059
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.237
Pond1Fish1_PondTime,8.912
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,231
Pond1Fish1_TimeLeft,924.029
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.677
Pond1Fish2_PondTime,16.278
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,242
Pond1Fish2_TimeLeft,916.663
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.945
Pond1Fish3_PondTime,24.096
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,253
Pond1Fish3_TimeLeft,908.845
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.858
Pond1Fish4_PondTime,32.462
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,264
Pond1Fish4_TimeLeft,900.479
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.357
Pond1Fish5_PondTime,41.496
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,275
Pond1Fish5_TimeLeft,891.445
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.92
Pond1Fish6_PondTime,51.363
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,286
Pond1Fish6_TimeLeft,881.577
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.889
Pond1Fish7_PondTime,62.294
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,297
Pond1Fish7_TimeLeft,870.646
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.786
Pond1Fish8_PondTime,74.674
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,308
Pond1Fish8_TimeLeft,858.267
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.87
Pond1Fish9_PondTime,89.042
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,319
Pond1Fish9_TimeLeft,843.899
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.064
Pond1Fish10_PondTime,106.408
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,330
Pond1Fish10_TimeLeft,826.533
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,0.907
Pond1Fish11_PondTime,128.788
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,341
Pond1Fish11_TimeLeft,804.153
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,2.251
PondTime,130.152
TimeLeft,802.284
PondOutcome,121
TotalOutcome,341
PondStart,PondStart
PondIntroTime,18.197076108772308
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.378
Pond9Fish1_PondTime,7.602
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,353
Pond9Fish1_TimeLeft,775.851
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.159
Pond9Fish2_PondTime,13.5
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,365
Pond9Fish2_TimeLeft,769.952
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.825
Pond9Fish3_PondTime,19.618
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,377
Pond9Fish3_TimeLeft,763.835
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.771
Pond9Fish4_PondTime,25.999
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,389
Pond9Fish4_TimeLeft,757.454
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.136
Pond9Fish5_PondTime,32.668
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,401
Pond9Fish5_TimeLeft,750.785
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.056
Pond9Fish6_PondTime,39.659
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,413
Pond9Fish6_TimeLeft,743.794
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.887
Pond9Fish7_PondTime,47.066
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,425
Pond9Fish7_TimeLeft,736.387
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.14
Pond9Fish8_PondTime,54.88
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,437
Pond9Fish8_TimeLeft,728.573
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,gray
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.068
Pond9Fish9_PondTime,63.283
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,439
Pond9Fish9_TimeLeft,720.17
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,gray
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,-1
Pond9Fish10_PondTime,72.395
Pond9Fish10_PondOutcome,98
Pond9Fish10_TotalOutcome,439
Pond9Fish10_TimeLeft,711.058
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.061
Pond9Fish11_PondTime,82.264
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,451
Pond9Fish11_TimeLeft,701.189
Type,RD
FishN,16
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.023
Pond9Fish12_PondTime,93.197
Pond9Fish12_PondOutcome,122
Pond9Fish12_TotalOutcome,463
Pond9Fish12_TimeLeft,690.255
Type,RD
FishN,16
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.863
Pond9Fish13_PondTime,105.574
Pond9Fish13_PondOutcome,134
Pond9Fish13_TotalOutcome,475
Pond9Fish13_TimeLeft,677.879
Type,RD
FishN,16
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.781
Pond9Fish14_PondTime,119.944
Pond9Fish14_PondOutcome,146
Pond9Fish14_TotalOutcome,487
Pond9Fish14_TimeLeft,663.509
Type,RD
FishN,16
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,0.894
Pond9Fish15_PondTime,137.31
Pond9Fish15_PondOutcome,158
Pond9Fish15_TotalOutcome,499
Pond9Fish15_TimeLeft,646.143
PondEnd_LastFish,15
FishN,16
Type,RD
GiveUpTime,0.892
PondTime,159.596
TimeLeft,623.353
PondOutcome,158
TotalOutcome,499
PondStart,PondStart
PondIntroTime,13.341536275111139
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.611
Pond11Fish1_PondTime,8.901
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,511
Pond11Fish1_TimeLeft,600.496
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.364
Pond11Fish2_PondTime,16.267
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,523
Pond11Fish2_TimeLeft,593.13
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.811
Pond11Fish3_PondTime,24.083
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,535
Pond11Fish3_TimeLeft,585.314
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.584
Pond11Fish4_PondTime,32.452
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,547
Pond11Fish4_TimeLeft,576.945
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.853
Pond11Fish5_PondTime,41.484
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,559
Pond11Fish5_TimeLeft,567.913
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.825
Pond11Fish6_PondTime,51.362
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,571
Pond11Fish6_TimeLeft,558.035
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.298
Pond11Fish7_PondTime,62.3
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,583
Pond11Fish7_TimeLeft,547.096
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,gray
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.892
Pond11Fish8_PondTime,74.663
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,585
Pond11Fish8_TimeLeft,534.734
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,gray
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.887
Pond11Fish9_PondTime,89.04
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,587
Pond11Fish9_TimeLeft,520.357
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,1.262
PondTime,89.389
TimeLeft,519.505
PondOutcome,88
TotalOutcome,587
PondStart,PondStart
PondIntroTime,10.946530848741531
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.245
Pond3Fish1_PondTime,7.631
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,597
Pond3Fish1_TimeLeft,500.321
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.816
Pond3Fish2_PondTime,13.532
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,617
Pond3Fish2_TimeLeft,494.42
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.692
Pond3Fish3_PondTime,19.647
Pond3Fish3_PondOutcome,50
Pond3Fish3_TotalOutcome,637
Pond3Fish3_TimeLeft,488.305
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.783
Pond3Fish4_PondTime,26.016
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,647
Pond3Fish4_TimeLeft,481.936
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.821
Pond3Fish5_PondTime,32.682
Pond3Fish5_PondOutcome,70
Pond3Fish5_TotalOutcome,657
Pond3Fish5_TimeLeft,475.27
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.807
Pond3Fish6_PondTime,39.664
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,667
Pond3Fish6_TimeLeft,468.288
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.818
Pond3Fish7_PondTime,47.064
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,677
Pond3Fish7_TimeLeft,460.888
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.856
Pond3Fish8_PondTime,54.898
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,687
Pond3Fish8_TimeLeft,453.054
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.963
Pond3Fish9_PondTime,63.295
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,697
Pond3Fish9_TimeLeft,444.657
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.042
Pond3Fish10_PondTime,72.361
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,707
Pond3Fish10_TimeLeft,435.591
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.165
Pond3Fish11_PondTime,82.226
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,717
Pond3Fish11_TimeLeft,425.726
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.015
Pond3Fish12_PondTime,93.161
Pond3Fish12_PondOutcome,140
Pond3Fish12_TotalOutcome,727
Pond3Fish12_TimeLeft,414.791
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.863
Pond3Fish13_PondTime,105.545
Pond3Fish13_PondOutcome,150
Pond3Fish13_TotalOutcome,737
Pond3Fish13_TimeLeft,402.407
Type,RT
FishN,19
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.165
Pond3Fish14_PondTime,119.91
Pond3Fish14_PondOutcome,160
Pond3Fish14_TotalOutcome,747
Pond3Fish14_TimeLeft,388.041
Type,RT
FishN,19
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,-1
Pond3Fish15_PondTime,137.354
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,747
Pond3Fish15_TimeLeft,370.598
Type,RT
FishN,19
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.1
Pond3Fish16_PondTime,159.726
Pond3Fish16_PondOutcome,170
Pond3Fish16_TotalOutcome,757
Pond3Fish16_TimeLeft,348.226
Type,RT
FishN,19
Fish,17
Pond3Fish17_FishType,purple
Pond3Fish17_FishLatency,20
Pond3Fish17_CatchTime,1.378
Pond3Fish17_PondTime,192.105
Pond3Fish17_PondOutcome,180
Pond3Fish17_TotalOutcome,767
Pond3Fish17_TimeLeft,315.847
PondEnd_LastFish,17
FishN,19
Type,RT
GiveUpTime,26.26
PondTime,217.944
TimeLeft,289.504
PondOutcome,180
TotalOutcome,767
PondStart,PondStart
PondIntroTime,16.435503808315843
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.826
Pond4Fish1_PondTime,8.031
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,787
Pond4Fish1_TimeLeft,264.417
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.934
Pond4Fish2_PondTime,14.412
Pond4Fish2_PondOutcome,40
Pond4Fish2_TotalOutcome,807
Pond4Fish2_TimeLeft,258.036
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.881
Pond4Fish3_PondTime,21.062
Pond4Fish3_PondOutcome,50
Pond4Fish3_TotalOutcome,817
Pond4Fish3_TimeLeft,251.386
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.72
Pond4Fish4_PondTime,28.045
Pond4Fish4_PondOutcome,60
Pond4Fish4_TotalOutcome,827
Pond4Fish4_TimeLeft,244.403
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.871
Pond4Fish5_PondTime,35.412
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,837
Pond4Fish5_TimeLeft,237.036
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.741
Pond4Fish6_PondTime,43.23
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,847
Pond4Fish6_TimeLeft,229.217
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.763
Pond4Fish7_PondTime,51.596
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,857
Pond4Fish7_TimeLeft,220.852
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.285
Pond4Fish8_PondTime,60.628
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,867
Pond4Fish8_TimeLeft,211.82
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,golden
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.234
Pond4Fish9_PondTime,70.51
Pond4Fish9_PondOutcome,120
Pond4Fish9_TotalOutcome,887
Pond4Fish9_TimeLeft,201.938
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.801
Pond4Fish10_PondTime,81.444
Pond4Fish10_PondOutcome,130
Pond4Fish10_TotalOutcome,897
Pond4Fish10_TimeLeft,191.004
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.842
Pond4Fish11_PondTime,93.811
Pond4Fish11_PondOutcome,140
Pond4Fish11_TotalOutcome,907
Pond4Fish11_TimeLeft,178.637
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.983
