,5c636850bad3560001c2749e
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.646
Pond6Fish5_PondTime,44.534
Pond6Fish5_PondOutcome,38
Pond6Fish5_TotalOutcome,286
Pond6Fish5_TimeLeft,897.66
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.024
Pond6Fish6_PondTime,55.466
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,298
Pond6Fish6_TimeLeft,886.727
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,gray
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.933
Pond6Fish7_PondTime,67.834
Pond6Fish7_PondOutcome,52
Pond6Fish7_TotalOutcome,300
Pond6Fish7_TimeLeft,874.36
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,11.859
PondTime,78.839
TimeLeft,862.853
PondOutcome,52
TotalOutcome,300
PondStart,PondStart
PondIntroTime,12.089757130015641
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.925
Pond5Fish1_PondTime,9.734
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,311
Pond5Fish1_TimeLeft,840.412
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.786
Pond5Fish2_PondTime,18.101
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,322
Pond5Fish2_TimeLeft,832.045
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.687
Pond5Fish3_PondTime,27.133
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,333
Pond5Fish3_TimeLeft,823.013
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.904
Pond5Fish4_PondTime,37.001
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,344
Pond5Fish4_TimeLeft,813.145
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.694
Pond5Fish5_PondTime,47.937
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,355
Pond5Fish5_TimeLeft,802.209
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.944
Pond5Fish6_PondTime,60.301
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,366
Pond5Fish6_TimeLeft,789.845
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.867
Pond5Fish7_PondTime,74.668
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,377
Pond5Fish7_TimeLeft,775.478
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.947
PondTime,92.027
TimeLeft,757.616
PondOutcome,77
TotalOutcome,377
PondStart,PondStart
PondIntroTime,15.213603710290045
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.908
Pond8Fish1_PondTime,8.885
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,388
Pond8Fish1_TimeLeft,732.914
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.943
Pond8Fish2_PondTime,16.25
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,399
Pond8Fish2_TimeLeft,725.548
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.912
Pond8Fish3_PondTime,24.068
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,410
Pond8Fish3_TimeLeft,717.731
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.796
Pond8Fish4_PondTime,32.434
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,421
Pond8Fish4_TimeLeft,709.365
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.973
Pond8Fish5_PondTime,41.466
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,432
Pond8Fish5_TimeLeft,700.333
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.965
Pond8Fish6_PondTime,51.333
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,443
Pond8Fish6_TimeLeft,690.466
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.935
Pond8Fish7_PondTime,62.266
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,454
Pond8Fish7_TimeLeft,679.533
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.1
Pond8Fish8_PondTime,74.632
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,465
Pond8Fish8_TimeLeft,667.167
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.888
Pond8Fish9_PondTime,89
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,476
Pond8Fish9_TimeLeft,652.799
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,13.503
PondTime,101.599
TimeLeft,639.698
PondOutcome,99
TotalOutcome,476
PondStart,PondStart
PondIntroTime,10.312099438160658
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.8
Pond4Fish1_PondTime,8.901
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,487
Pond4Fish1_TimeLeft,619.866
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.948
Pond4Fish2_PondTime,16.264
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,498
Pond4Fish2_TimeLeft,612.503
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.934
Pond4Fish3_PondTime,24.097
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,509
Pond4Fish3_TimeLeft,604.67
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.898
Pond4Fish4_PondTime,32.464
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,520
Pond4Fish4_TimeLeft,596.303
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.131
Pond4Fish5_PondTime,41.497
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,531
Pond4Fish5_TimeLeft,587.27
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.135
Pond4Fish6_PondTime,51.363
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,542
Pond4Fish6_TimeLeft,577.404
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.9
Pond4Fish7_PondTime,62.297
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,553
Pond4Fish7_TimeLeft,566.47
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.154
Pond4Fish8_PondTime,74.663
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,564
Pond4Fish8_TimeLeft,554.104
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.035
Pond4Fish9_PondTime,89.03
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,575
Pond4Fish9_TimeLeft,539.737
Type,N
FishN,16
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.085
Pond4Fish10_PondTime,106.396
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,586
Pond4Fish10_TimeLeft,522.371
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.972
PondTime,106.667
TimeLeft,521.599
PondOutcome,110
TotalOutcome,586
PondStart,PondStart
PondIntroTime,19.971182274166495
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.635
Pond12Fish1_PondTime,9.734
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,597
Pond12Fish1_TimeLeft,491.272
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.118
Pond12Fish2_PondTime,18.102
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,608
Pond12Fish2_TimeLeft,482.904
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1
Pond12Fish3_PondTime,27.133
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,619
Pond12Fish3_TimeLeft,473.873
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.727
Pond12Fish4_PondTime,37.002
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,630
Pond12Fish4_TimeLeft,464.004
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.902
Pond12Fish5_PondTime,47.934
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,641
Pond12Fish5_TimeLeft,453.072
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.026
Pond12Fish6_PondTime,60.302
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,652
Pond12Fish6_TimeLeft,440.704
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.84
Pond12Fish7_PondTime,74.666
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,663
Pond12Fish7_TimeLeft,426.34
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.531
Pond12Fish8_PondTime,92.032
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,674
Pond12Fish8_TimeLeft,408.974
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,1.029
Pond12Fish9_PondTime,114.397
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,685
Pond12Fish9_TimeLeft,386.609
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,20
Pond12Fish10_CatchTime,1.089
Pond12Fish10_PondTime,146.764
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,696
Pond12Fish10_TimeLeft,354.242
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,23.751
PondTime,169.812
TimeLeft,330.691
PondOutcome,110
TotalOutcome,696
PondStart,PondStart
PondIntroTime,19.783009118400514
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,8.348
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,696
Pond2Fish1_TimeLeft,301.928
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.798
Pond2Fish2_PondTime,14.999
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,706
Pond2Fish2_TimeLeft,295.278
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,22.032
Pond2Fish3_PondOutcome,10
Pond2Fish3_TotalOutcome,706
Pond2Fish3_TimeLeft,288.245
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.897
Pond2Fish4_PondTime,29.399
Pond2Fish4_PondOutcome,20
Pond2Fish4_TotalOutcome,716
Pond2Fish4_TimeLeft,280.878
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.805
Pond2Fish5_PondTime,37.216
Pond2Fish5_PondOutcome,30
Pond2Fish5_TotalOutcome,726
Pond2Fish5_TimeLeft,273.061
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.604
Pond2Fish6_PondTime,45.583
Pond2Fish6_PondOutcome,40
Pond2Fish6_TotalOutcome,736
Pond2Fish6_TimeLeft,264.694
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,golden
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.79
Pond2Fish7_PondTime,54.615
Pond2Fish7_PondOutcome,60
Pond2Fish7_TotalOutcome,756
Pond2Fish7_TimeLeft,255.662
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,golden
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.875
Pond2Fish8_PondTime,64.483
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,776
Pond2Fish8_TimeLeft,245.794
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.928
Pond2Fish9_PondTime,75.415
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,786
Pond2Fish9_TimeLeft,234.862
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.992
Pond2Fish10_PondTime,87.781
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,796
Pond2Fish10_TimeLeft,222.496
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.294
Pond2Fish11_PondTime,102.147
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,806
Pond2Fish11_TimeLeft,208.13
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,0.949
Pond2Fish12_PondTime,119.513
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,816
Pond2Fish12_TimeLeft,190.763
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,0.94
Pond2Fish13_PondTime,141.881
Pond2Fish13_PondOutcome,130
Pond2Fish13_TotalOutcome,826
Pond2Fish13_TimeLeft,168.396
PondEnd_LastFish,13
FishN,12
Type,RT
GiveUpTime,30.412
PondTime,171.439
TimeLeft,138.335
PondOutcome,130
TotalOutcome,826
PondStart,PondStart
PondIntroTime,16.305901063606143
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.029
Pond10Fish1_PondTime,8.551
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,837
Pond10Fish1_TimeLeft,112.865
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.225
Pond10Fish2_PondTime,15.533
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,848
Pond10Fish2_TimeLeft,105.883
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.013
Pond10Fish3_PondTime,22.9
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,859
Pond10Fish3_TimeLeft,98.516
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.096
Pond10Fish4_PondTime,30.716
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,870
Pond10Fish4_TimeLeft,90.7
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
