,5d209dad84b46c000177a6595d209dad84b46c000177a659
Pond5Fish4_CatchTime,1.052
Pond5Fish4_PondTime,32.496
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,188
Pond5Fish4_TimeLeft,1059.964
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.937
Pond5Fish5_PondTime,41.534
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,199
Pond5Fish5_TimeLeft,1050.926
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.719
Pond5Fish6_PondTime,51.428
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,210
Pond5Fish6_TimeLeft,1041.032
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.206
Pond5Fish7_PondTime,62.382
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,221
Pond5Fish7_TimeLeft,1030.078
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.28
Pond5Fish8_PondTime,74.758
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,232
Pond5Fish8_TimeLeft,1017.702
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.103
Pond5Fish9_PondTime,89.135
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,243
Pond5Fish9_TimeLeft,1003.325
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.773
Pond5Fish10_PondTime,106.596
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,254
Pond5Fish10_TimeLeft,985.864
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.959
Pond5Fish11_PondTime,128.965
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,265
Pond5Fish11_TimeLeft,963.495
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,0.942
PondTime,129.07
TimeLeft,962.887
PondOutcome,121
TotalOutcome,265
PondStart,PondStart
PondIntroTime,18.825191990472376
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.035
Pond4Fish1_PondTime,7.809
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,285
Pond4Fish1_TimeLeft,935.637
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.255
Pond4Fish2_PondTime,13.93
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,295
Pond4Fish2_TimeLeft,929.516
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.246
Pond4Fish3_PondTime,20.307
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,305
Pond4Fish3_TimeLeft,923.139
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.97
Pond4Fish4_PondTime,26.971
Pond4Fish4_PondOutcome,60
Pond4Fish4_TotalOutcome,325
Pond4Fish4_TimeLeft,916.475
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.098
Pond4Fish5_PondTime,33.965
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,335
Pond4Fish5_TimeLeft,909.481
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.876
Pond4Fish6_PondTime,41.336
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,345
Pond4Fish6_TimeLeft,902.109
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.085
Pond4Fish7_PondTime,49.173
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,355
Pond4Fish7_TimeLeft,894.272
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.985
Pond4Fish8_PondTime,57.552
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,365
Pond4Fish8_TimeLeft,885.894
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.1
Pond4Fish9_PondTime,66.585
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,375
Pond4Fish9_TimeLeft,876.861
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.011
Pond4Fish10_PondTime,76.453
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,385
Pond4Fish10_TimeLeft,866.993
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.987
Pond4Fish11_PondTime,87.41
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,395
Pond4Fish11_TimeLeft,856.036
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.196
Pond4Fish12_PondTime,99.78
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,405
Pond4Fish12_TimeLeft,843.666
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,1.037
Pond4Fish13_PondTime,114.15
Pond4Fish13_PondOutcome,150
Pond4Fish13_TotalOutcome,415
Pond4Fish13_TimeLeft,829.295
Type,RT
FishN,16
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,0.844
Pond4Fish14_PondTime,131.531
Pond4Fish14_PondOutcome,160
Pond4Fish14_TotalOutcome,425
Pond4Fish14_TimeLeft,811.915
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,19.258
PondTime,149.84
TimeLeft,793.103
PondOutcome,160
TotalOutcome,425
PondStart,PondStart
PondIntroTime,11.79786492139101
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.295
Pond12Fish1_PondTime,9.291
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,435
Pond12Fish1_TimeLeft,771.376
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.12
Pond12Fish2_PondTime,17.116
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,445
Pond12Fish2_TimeLeft,763.55
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.214
Pond12Fish3_PondTime,25.492
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,455
Pond12Fish3_TimeLeft,755.175
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,34.596
Pond12Fish4_PondOutcome,30
Pond12Fish4_TotalOutcome,455
Pond12Fish4_TimeLeft,746.07
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,0.927
Pond12Fish5_PondTime,44.467
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,465
Pond12Fish5_TimeLeft,736.2
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.012
Pond12Fish6_PondTime,55.404
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,475
Pond12Fish6_TimeLeft,725.263
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.085
Pond12Fish7_PondTime,67.779
Pond12Fish7_PondOutcome,60
Pond12Fish7_TotalOutcome,485
Pond12Fish7_TimeLeft,712.888
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,-1
Pond12Fish8_PondTime,82.217
Pond12Fish8_PondOutcome,60
Pond12Fish8_TotalOutcome,485
Pond12Fish8_TimeLeft,698.45
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,golden
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,0.882
Pond12Fish9_PondTime,99.584
Pond12Fish9_PondOutcome,80
Pond12Fish9_TotalOutcome,505
Pond12Fish9_TimeLeft,681.083
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,golden
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,0.845
Pond12Fish10_PondTime,121.958
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,525
Pond12Fish10_TimeLeft,658.709
Type,RT
FishN,13
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,20
Pond12Fish11_CatchTime,0.763
Pond12Fish11_PondTime,154.333
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,535
Pond12Fish11_TimeLeft,626.334
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,34.303
PondTime,187.61
TimeLeft,592.555
PondOutcome,110
TotalOutcome,535
PondStart,PondStart
PondIntroTime,17.082605955656618
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.753
Pond11Fish1_PondTime,9.741
Pond11Fish1_PondOutcome,2
Pond11Fish1_TotalOutcome,537
Pond11Fish1_TimeLeft,565.108
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.923
Pond11Fish2_PondTime,18.122
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,549
Pond11Fish2_TimeLeft,556.727
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.253
Pond11Fish3_PondTime,27.151
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,561
Pond11Fish3_TimeLeft,547.698
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.97
Pond11Fish4_PondTime,37.025
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,573
Pond11Fish4_TimeLeft,537.823
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.928
Pond11Fish5_PondTime,47.976
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,585
Pond11Fish5_TimeLeft,526.873
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.245
Pond11Fish6_PondTime,60.353
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,597
Pond11Fish6_TimeLeft,514.496
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,74.795
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,597
Pond11Fish7_TimeLeft,500.054
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,0.784
Pond11Fish8_PondTime,92.164
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,609
Pond11Fish8_TimeLeft,482.685
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,0.896
Pond11Fish9_PondTime,114.552
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,621
Pond11Fish9_TimeLeft,460.297
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,20
Pond11Fish10_CatchTime,0.903
Pond11Fish10_PondTime,146.934
Pond11Fish10_PondOutcome,98
Pond11Fish10_TotalOutcome,633
Pond11Fish10_TimeLeft,427.915
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,19.977
PondTime,166.018
TimeLeft,408.329
PondOutcome,98
TotalOutcome,633
PondStart,PondStart
PondIntroTime,17.127722813747823
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.311
Pond9Fish1_PondTime,7.809
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,644
Pond9Fish1_TimeLeft,382.742
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.959
Pond9Fish2_PondTime,13.935
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,655
Pond9Fish2_TimeLeft,376.616
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.787
Pond9Fish3_PondTime,20.308
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,666
Pond9Fish3_TimeLeft,370.243
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.83
Pond9Fish4_PondTime,26.959
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,677
Pond9Fish4_TimeLeft,363.592
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.794
Pond9Fish5_PondTime,33.957
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,688
Pond9Fish5_TimeLeft,356.594
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.838
Pond9Fish6_PondTime,41.336
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,699
Pond9Fish6_TimeLeft,349.213
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.903
Pond9Fish7_PondTime,49.167
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,710
Pond9Fish7_TimeLeft,341.384
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.336
Pond9Fish8_PondTime,57.545
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,721
Pond9Fish8_TimeLeft,333.006
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.396
Pond9Fish9_PondTime,66.59
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,732
Pond9Fish9_TimeLeft,323.961
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.789
Pond9Fish10_PondTime,76.468
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,743
Pond9Fish10_TimeLeft,314.083
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.48
Pond9Fish11_PondTime,87.406
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,754
Pond9Fish11_TimeLeft,303.145
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,0.793
Pond9Fish12_PondTime,99.783
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,765
Pond9Fish12_TimeLeft,290.768
Type,N
FishN,16
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,0.858
Pond9Fish13_PondTime,114.166
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,776
Pond9Fish13_TimeLeft,276.385
Type,N
FishN,16
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,12
Pond9Fish14_CatchTime,1.231
Pond9Fish14_PondTime,131.537
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,787
Pond9Fish14_TimeLeft,259.014
PondEnd_LastFish,14
FishN,16
Type,N
GiveUpTime,0.991
PondTime,131.96
TimeLeft,258.087
PondOutcome,154
TotalOutcome,787
PondStart,PondStart
PondIntroTime,11.5271255094558
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.349
Pond7Fish1_PondTime,8.038
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,799
Pond7Fish1_TimeLeft,237.906
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.891
Pond7Fish2_PondTime,14.417
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,811
Pond7Fish2_TimeLeft,231.527
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.804
Pond7Fish3_PondTime,21.187
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,823
Pond7Fish3_TimeLeft,224.757
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.201
Pond7Fish4_PondTime,28.171
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,835
Pond7Fish4_TimeLeft,217.773
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.763
Pond7Fish5_PondTime,35.616
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,847
Pond7Fish5_TimeLeft,210.328
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.754
Pond7Fish6_PondTime,43.51
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,849
Pond7Fish6_TimeLeft,202.434
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.847
Pond7Fish7_PondTime,51.878
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,861
Pond7Fish7_TimeLeft,194.066
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.86
Pond7Fish8_PondTime,60.925
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,873
Pond7Fish8_TimeLeft,185.019
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.01
Pond7Fish9_PondTime,70.803
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,885
Pond7Fish9_TimeLeft,175.141
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.552
Pond7Fish10_PondTime,81.751
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,897
Pond7Fish10_TimeLeft,164.193
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.928
Pond7Fish11_PondTime,94.122
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,909
Pond7Fish11_TimeLeft,151.822
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,gray
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,-1
Pond7Fish12_PondTime,108.552
Pond7Fish12_PondOutcome,122
Pond7Fish12_TotalOutcome,909
Pond7Fish12_TimeLeft,137.392
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,-1
Pond7Fish13_PondTime,126.002
Pond7Fish13_PondOutcome,122
Pond7Fish13_TotalOutcome,909
Pond7Fish13_TimeLeft,119.942
